Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-38.758892	19.7978	-2.2143352	-62.437817	-32.65531	10.841646	-7.085735	-54.597183	140.42857	52.25	1099	-0.11219047	1.0336117	31.58161	-17.463783	0.063823864	0.9768426	1.0297753810882568
2	-30.90566	20.779697	3.736526	-85.2764	-25.750614	11.432203	-5.3954654	-41.142597	66.111115	45.55	2199	-0.92571235	1.297903	13.994475	-8.17731	0.90578204	0.15395574	6.648284196853638
3	-26.787365	16.048235	11.035552	-44.910046	-18.598133	19.36321	8.538864	-46.49475	51.090908	49.85	3299	-2.701448	2.8150702	6.112176	-14.015035	2.6314194	0.5513049	13.142337560653687
4	-25.176373	15.81544	9.984525	-45.676723	-25.713049	17.056545	7.9386964	-48.669468	49.227272	48.05	4399	-4.4470863	4.4820075	11.626911	-16.030579	4.3854146	1.2342926	19.467711448669434
5	-28.030546	12.319047	3.8218927	-46.65195	-24.790752	15.73616	-2.3135812	-52.74512	50.904762	81.65	5499	-6.3426266	5.9858975	17.666864	-16.614908	6.1964765	1.9183934	26.125773191452026
6	-44.87164	20.497307	9.749262	-61.88855	-38.250664	22.247278	9.629362	-74.722046	100.0	73.85	6599	-6.1354675	6.3855963	21.646313	-17.103642	5.774691	1.6463199	33.9537148475647
7	-36.71217	18.47639	-0.32450497	-59.46033	-33.079094	19.019186	2.0784566	-62.689827	80.14286	82.25	7699	-6.028389	7.0324965	20.397238	-21.507648	5.7624364	1.7626178	41.292192220687866
8	-33.131065	21.946568	4.8414316	-73.002235	-39.347702	23.206074	8.092344	-70.13057	78.64286	98.8	8799	-6.0185986	7.4340935	25.769222	-22.797743	5.757088	1.9736408	50.9479033946991
9	-30.043268	13.032236	-13.762279	-56.06374	-28.649506	13.573724	1.5069494	-46.32148	106.7	112.15	9899	-6.2238717	7.1437716	22.031355	-21.932146	5.892055	1.9486386	60.514506578445435
10	-28.095474	16.750732	7.692056	-55.9513	-28.51914	16.809397	4.2690964	-58.541183	123.77778	121.9	10999	-6.0635047	7.0814524	22.294315	-18.971096	5.7290206	1.8087822	68.0817756652832
11	-19.973763	19.149654	7.289548	-41.61414	-25.824398	19.620054	13.707376	-65.89942	100.0	111.6	12099	-5.5028744	7.1415696	22.898298	-18.53195	5.181058	1.6808016	75.95951223373413
12	-28.472902	14.247824	-4.6157765	-52.575527	-25.827168	19.141102	8.269452	-58.228447	103.90909	94.6	13199	-5.4007187	7.1288133	21.863697	-18.036446	5.122507	1.3957599	83.75622773170471
13	-33.239895	12.218847	-13.841502	-50.15495	-23.893803	18.593904	8.405738	-50.35084	93.454544	85.3	14299	-5.5474644	7.4787717	26.751104	-18.39262	5.2904086	1.4799646	92.21398901939392
14	-27.278973	22.593521	5.190975	-61.49269	-20.969181	15.155672	5.1773033	-43.742836	111.7	121.15	15399	-5.671111	8.274418	25.821663	-20.526623	5.4170794	1.5174797	100.08515310287476
15	-19.800694	17.293997	5.132277	-43.3118	-17.070759	12.716492	4.2315207	-40.016693	115.0	111.75	16499	-5.8505425	8.834846	28.66993	-22.056004	5.622768	1.4967647	107.637704372406
16	-20.977192	15.527576	13.165959	-36.51092	-16.267447	19.367125	24.423927	-64.16961	121.77778	116.85	17599	-5.856975	9.336082	31.21747	-23.226608	5.651733	1.5618459	114.9336211681366
17	-24.18135	22.853773	17.733265	-44.59777	-20.145044	23.598494	27.166082	-55.370113	131.375	136.35	18699	-6.1704464	9.95604	34.224224	-24.49357	5.954638	1.6950243	122.12947201728821
18	-16.130201	16.753937	4.3155084	-47.79171	-17.788876	17.121006	12.451598	-46.58932	137.25	143.65	19799	-6.045861	10.2676115	35.375565	-28.389805	5.8073397	1.9013228	129.59830141067505
19	-13.369254	17.147793	10.293421	-44.05408	-17.99251	15.103264	4.70776	-43.08231	137.25	137.3	20899	-5.508449	10.296492	39.57168	-30.288496	5.25508	1.7199961	137.298157453537
20	-24.860678	19.187529	5.0960994	-56.09407	-17.405117	19.766314	35.44498	-42.72937	123.22222	122.45	21999	-5.108245	10.624654	42.296593	-26.165918	4.8852057	1.667721	144.18222212791443
21	1.018419	20.280647	44.318462	-21.242216	-6.632403	25.487019	52.169247	-43.652718	150.0	134.35	23099	-4.6983323	10.865971	44.056496	-26.329386	4.5111003	1.4816761	150.92789959907532
22	-0.48570052	16.26861	35.216267	-21.912828	4.291917	24.704996	64.49321	-30.283743	117.5	116.25	24199	-3.6913633	10.922123	44.55045	-26.339153	3.4132764	1.328475	158.06625127792358
23	-0.8110062	17.399536	38.76482	-28.447866	-10.928301	26.096703	36.486565	-77.94676	111.5	114.4	25299	-2.0990942	10.620728	46.40537	-32.354275	1.7865639	1.2445606	165.2318766117096
24	-3.3657482	19.322527	8.791941	-49.554672	9.16433	20.801178	46.718044	-28.726652	148.85715	112.65	26399	0.47922245	10.6255	47.10286	-26.625448	-0.78651744	1.4801744	171.78958439826965
