Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-14.06385	23.327652	33.273014	-49.508636	-20.20176	7.7935834	-2.995866	-31.879454	149.42857	55.55	1099	-0.07055247	0.29073292	3.0178258	-6.796278	0.05076953	0.031892344	1.0653910636901855
2	-24.342777	14.747324	8.603546	-39.804768	-26.729858	13.891944	5.3247466	-44.15889	88.38461	64.7	2199	-0.4091033	0.8738543	9.933471	-9.017585	0.38039976	0.04533253	7.844174146652222
3	-27.039345	8.379378	-11.531315	-42.47877	-18.188364	9.419269	6.7601285	-33.2473	64.117645	61.9	3299	-1.5311499	2.3841298	8.811758	-9.6798115	1.4757426	0.22896966	15.140909194946289
4	-17.670584	8.712371	-2.2320387	-32.40556	-20.477562	10.52229	-0.27018386	-34.86556	67.3125	60.95	4399	-2.6170926	4.057807	9.9546585	-13.904478	2.5534105	0.41556528	21.367814540863037
5	-13.711043	14.356957	9.153492	-35.942577	3.4287224	8.592006	19.76737	-18.865494	93.5	145.05	5499	-2.5433455	5.1058106	14.404251	-17.436787	2.086696	0.41458145	28.981194019317627
6	3.2173402	8.581545	20.708935	-7.2142463	15.962732	11.294728	41.53495	-0.22902972	140.14285	150.0	6599	-0.2445946	4.6049066	17.675076	-17.037523	-0.078442514	0.18854721	36.341822385787964
7	12.65481	6.280574	23.026655	5.4935846	13.855474	7.4760175	27.520779	-2.3035855	150.0	150.0	7699	0.8202806	5.794	20.625723	-16.970392	-1.1685092	0.27689034	43.339463233947754
8	20.044321	6.256618	26.340723	8.6664295	13.099083	9.998334	38.87316	1.2796844	150.0	150.0	8799	2.320774	7.0718656	22.883162	-17.975853	-2.6963005	0.39423215	50.31741166114807
9	19.055342	10.8261385	40.53059	8.832358	14.846519	11.334021	36.79936	-3.1039715	150.0	150.0	9899	3.847628	8.201996	27.910204	-18.013208	-4.2183986	0.47933805	58.518640995025635
10	3.4828203	15.807148	22.326305	-26.799864	15.017401	8.266692	32.711082	-3.1001837	131.55556	150.0	10999	5.7473645	8.462122	30.116554	-21.228727	-6.083776	0.38094005	66.7916316986084
