Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-38.10136	40.694256	39.235214	-86.953995	-16.456944	7.5645175	-3.9427276	-30.154987	149.14285	49.05	1099	-0.30990636	0.07305742	0.0065454096	-0.5269108	0.3113901	0.09070012	0.8802845478057861
2	-33.914394	24.247747	-12.816427	-89.89998	-26.141758	4.967628	-16.817963	-34.715187	76.53333	60.25	2199	-1.2365694	0.8785273	0.6301627	-3.9339886	1.2315457	0.024386588	6.6422789096832275
3	-35.0169	22.40997	-18.021067	-105.241234	-35.839916	13.480091	-11.063509	-57.92831	77.53846	104.25	3299	-2.6998644	1.8417158	1.9340136	-6.9424114	2.6653712	0.081068724	11.940370321273804
4	-39.603123	13.982223	-15.635802	-63.036564	-43.748314	25.401745	41.47696	-87.17927	107.545456	115.2	4399	-3.9299169	2.7190866	3.2558088	-9.599814	3.847218	0.17291437	18.311976432800293
5	-44.27578	21.708399	-15.757482	-85.96293	-29.224049	26.981283	28.553202	-74.244835	120.111115	124.35	5499	-4.941004	3.4763277	4.509351	-11.8722315	4.83985	0.27413478	24.940620183944702
6	-25.028612	19.668646	19.300827	-55.5493	-31.698772	13.97103	-16.57454	-58.1886	101.2	109.35	6599	-5.7623377	4.2321253	5.7965326	-14.083159	5.644375	0.378734	31.24347186088562
7	-32.923607	13.055758	-10.7729645	-60.933144	-22.202776	5.5505466	-9.5141945	-33.775227	93.53846	74.3	7699	-6.21251	4.9022226	7.166733	-15.533253	6.075539	0.48900422	37.63817238807678
8	-16.19361	32.44978	55.511772	-51.46022	-23.16411	26.579445	53.589108	-61.691498	89.666664	102.95	8799	-6.6483192	5.441012	9.060439	-16.99576	6.496123	0.6362028	44.297394037246704
9	-7.806673	32.85584	54.37107	-34.189438	-4.388101	31.161518	67.96236	-36.532223	111.22222	109.95	9899	-5.846222	6.3119993	11.297348	-17.445482	5.6500516	0.74029285	50.93382930755615
10	-21.197996	23.047234	41.254326	-50.110573	-6.5675535	27.87695	53.67065	-45.446346	100.583336	112.25	10999	-4.9774537	7.2207303	13.397443	-17.214151	4.753246	0.69626963	57.63386344909668
11	-15.4333	29.16671	53.209114	-46.990112	-11.459056	25.152704	38.940514	-44.80987	91.166664	110.95	12099	-3.3825486	8.277685	15.245674	-17.593676	3.130965	0.71988016	64.21031427383423
12	-1.3096129	24.994154	34.250538	-33.5099	-4.044364	27.964828	31.713924	-41.046673	111.333336	107.0	13199	-1.365613	9.3250065	17.09253	-18.408175	1.1065636	0.7638112	70.8346540927887
13	0.5920819	26.005993	33.3829	-37.285767	3.113601	22.544699	30.192577	-35.945255	124.44444	127.85	14299	1.4022541	10.0333805	19.18662	-17.719309	-1.6799306	0.7637718	77.6229293346405
14	8.2016735	19.88079	30.099789	-33.566658	-6.241835	22.121346	36.37923	-38.12413	132.66667	123.6	15399	3.9872928	10.705044	21.186068	-16.700356	-4.260888	0.7255036	83.95724320411682
15	5.1925745	20.862211	28.41706	-35.36471	-9.190664	20.449652	28.792217	-37.426937	130.5	115.2	16499	7.0415034	10.851894	22.856546	-15.812788	-7.2910957	0.5844704	89.72888946533203
16	-10.765949	19.627527	28.10216	-37.181316	-10.712416	18.16643	15.565788	-41.7919	114.888885	121.15	17599	8.976403	10.788214	24.226284	-14.696007	-9.22643	0.5533738	96.14085054397583
17	-4.995286	13.565678	14.301081	-26.364048	0.75133246	11.993326	12.934991	-31.376171	141.375	147.15	18699	10.375312	10.750228	25.658367	-14.859094	-10.607711	0.5060183	102.63137865066528
18	-3.9180174	12.056127	9.771077	-25.306482	-1.1906226	12.077969	18.1444	-26.443026	142.625	144.75	19799	12.402795	10.039021	26.930103	-14.191675	-12.62527	0.43276235	109.02398204803467
19	-1.2978094	12.197012	25.875568	-12.430644	4.1000533	25.368958	33.707504	-67.777756	145.5	136.05	20899	13.6946335	9.193243	28.105976	-17.072056	-13.902184	0.45603314	114.96882700920105
20	15.463246	22.119148	44.94059	-18.141165	0.21444607	32.46439	51.575356	-64.78357	150.0	141.2	21999	14.836237	9.066523	29.060242	-16.92717	-15.055231	0.51682913	120.95501208305359
21	-1.2972345	35.78706	43.696644	-67.75232	0.5407562	29.923046	39.59221	-59.712822	138.75	131.4	23099	16.120249	8.811064	29.486334	-16.410818	-16.330301	0.5556857	127.68208742141724
22	-1.068849	25.055716	50.464813	-27.359304	2.781161	25.81911	46.13201	-43.166954	150.0	135.15	24199	16.36991	9.019639	30.394426	-15.11828	-16.583792	0.53337115	134.1899333000183
23	-7.2699585	27.747347	38.53152	-57.22251	-2.5389555	21.862614	36.078495	-34.113167	127.666664	123.1	25299	17.048315	9.157768	31.347797	-15.118786	-17.286697	0.4378319	140.6023862361908
24	3.9471414	18.852165	29.092636	-23.244442	3.235852	21.01725	39.256214	-31.006517	128.625	145.9	26399	18.202625	8.97185	31.966995	-13.43326	-18.42829	0.3555513	146.9028594493866
25	-22.266195	24.630522	13.3191805	-56.82709	-5.5149374	30.11192	31.76877	-78.66055	128.55556	150.0	27499	19.0226	9.21022	32.026688	-12.429735	-19.260036	0.3067086	153.0827407836914
26	-4.5487475	21.479332	29.246073	-35.507214	2.615117	23.025429	30.424763	-47.400974	150.0	148.55	28599	19.424381	9.450384	32.082035	-12.347734	-19.67174	0.30565614	159.74977564811707
27	-10.477446	23.23377	23.413395	-56.666092	-13.098735	26.950037	18.070269	-85.621475	150.0	146.3	29699	19.792067	9.5129	33.116455	-10.611143	-20.045746	0.3409917	166.72862434387207
28	2.321767	18.125214	26.61395	-24.759525	-13.424906	14.402872	18.363655	-52.08134	150.0	142.85	30799	19.877014	9.620583	33.846592	-14.028978	-20.171932	0.3297866	172.99593591690063
29	-0.99759984	16.49779	21.975098	-36.658703	-17.755894	25.821507	9.019522	-83.80952	139.75	147.7	31899	20.979877	9.484141	34.357506	-19.924696	-21.256128	0.32295927	179.39356899261475
30	-13.168833	18.178692	14.548805	-40.397938	-17.157282	27.429543	22.69449	-61.579895	150.0	144.5	32999	21.713934	9.345107	34.61011	-21.828325	-21.984617	0.34996104	185.47095680236816
31	-9.186725	16.164585	5.6858826	-45.994034	-9.391793	23.447556	23.46722	-68.80297	150.0	145.6	34099	22.452993	8.858858	34.761616	-23.267382	-22.716888	0.32795694	191.6117126941681
32	-9.169598	25.629087	21.6487	-50.53659	-9.45676	24.786543	32.10793	-55.52345	150.0	146.65	35199	22.785698	8.307123	34.69918	-23.682175	-23.040014	0.27467743	197.81525993347168
33	-13.902531	22.981129	24.076374	-43.879852	5.476182	24.151022	35.815887	-81.59103	113.22222	150.0	36299	23.230045	7.5250044	34.509148	-7.1474905	-23.457876	0.29938337	203.96675038337708
34	6.1799827	16.601913	27.16348	-27.132372	4.4926443	23.993635	34.738876	-48.75233	150.0	145.7	37399	23.467575	7.4349103	34.738945	-6.5777607	-23.692375	0.29649788	209.5159511566162
35	9.083105	13.698542	25.297224	-9.201446	-4.340522	22.650414	29.38735	-81.75983	150.0	150.0	38499	24.226408	7.247071	35.050797	-6.548362	-24.431583	0.22424747	215.06074595451355
36	-1.038803	20.391685	26.908947	-28.90384	-14.508081	32.03618	20.427109	-84.57471	150.0	150.0	39599	24.531881	7.3329735	35.550396	-6.9860916	-24.731976	0.17457023	220.59327912330627
37	-21.99634	35.642	21.973427	-80.80124	-8.329236	29.1435	52.363922	-78.966125	150.0	141.5	40699	24.513363	7.597734	36.11259	-6.7099566	-24.686749	0.13280576	225.88333773612976
38	-3.9741454	38.359898	30.49642	-84.735794	7.802176	18.0211	35.08318	-30.358059	150.0	138.05	41799	24.382778	8.236966	36.48062	-9.00745	-24.539232	0.12971431	232.53211188316345
39	-10.490695	34.40544	18.462309	-68.37114	9.440147	25.738298	47.68871	-66.41043	150.0	145.25	42899	24.425024	8.839825	36.593365	-11.26347	-24.614815	0.19629698	239.17430877685547
40	15.53168	23.428919	45.569183	-15.323061	2.3349037	25.712069	48.23433	-44.66667	137.75	120.9	43999	25.090677	9.191022	36.69498	-11.9606905	-25.284378	0.18830508	245.63285994529724
41	-0.047929127	23.339748	30.413244	-31.131966	6.5272264	25.814535	42.056156	-57.910328	131.66667	137.2	45099	25.764704	9.3397255	36.76987	-1.8531954	-25.952946	0.14559332	252.17420840263367
42	11.911741	16.860638	30.389067	-25.036337	11.925099	26.715504	55.413296	-40.87608	140.57143	144.9	46199	25.773026	9.823783	36.91367	-4.1079273	-25.954222	0.18568552	258.4246473312378
43	7.099562	31.806448	34.92792	-47.438904	13.229632	27.012573	45.49646	-42.10346	144.125	144.75	47299	25.939844	10.2913265	37.040855	-4.647994	-26.102703	0.22997198	264.507141828537
44	13.466876	23.294662	53.521427	-22.333227	12.675356	26.11896	47.35841	-43.68278	150.0	140.1	48399	26.430574	10.522709	37.304554	-7.099571	-26.603968	0.24829157	270.6390452384949
45	12.489635	27.306383	44.62112	-32.594635	5.674393	28.198727	40.84542	-42.26497	135.0	133.85	49499	27.95745	9.466214	37.515987	-9.543516	-28.119623	0.25274697	276.7491798400879
46	1.4707474	44.82165	65.36361	-80.48697	18.481411	26.18658	54.86308	-29.506506	142.14285	144.7	50599	28.22325	9.748183	37.76161	-10.551644	-28.407173	0.26028934	282.7847743034363
47	16.775486	12.801972	37.68944	0.8677729	16.998734	18.131836	52.531822	-23.12845	150.0	150.0	51699	28.954052	9.69925	38.298885	-9.81325	-29.134848	0.28325307	288.86647963523865
48	7.4595685	31.539387	28.473444	-65.639915	6.0655894	26.651936	38.917866	-57.510235	150.0	144.45	52799	29.351406	9.741563	38.23252	-9.857625	-29.505535	0.2664282	294.7651150226593
49	2.7794683	35.27234	33.93982	-70.83952	20.813194	23.506786	54.928375	-30.568266	150.0	150.0	53899	29.24014	10.109258	38.448025	-9.546163	-29.400578	0.25667608	300.0990221500397
50	12.452372	29.29605	51.28244	-35.978355	5.2363214	29.508038	50.21517	-57.25078	150.0	142.2	54999	29.431776	10.185354	38.61691	-10.149666	-29.593767	0.2566708	305.40252804756165
51	14.544369	31.644405	49.76893	-31.52136	14.8472395	28.224499	52.127216	-29.80936	135.5	134.1	56099	29.885696	9.867548	38.772984	-10.596881	-30.044163	0.25533548	310.6747281551361
52	19.65236	29.957756	48.095135	-33.75396	18.412466	20.817463	59.99448	-24.89031	150.0	150.0	57199	30.136404	9.95624	38.98483	-9.068177	-30.298288	0.24772544	316.0537955760956
53	23.978642	28.259087	57.3345	-40.901527	8.903325	23.473335	62.866085	-31.901772	141.625	135.25	58299	31.183475	9.183266	39.202896	-7.8229046	-31.340845	0.23732957	322.161101102829
54	6.3598213	36.83884	65.06365	-41.90609	-0.3935631	42.810444	58.012814	-90.22052	129.625	135.9	59399	31.51467	8.981668	39.75474	-8.059145	-31.67281	0.26327682	328.3702435493469
55	-12.726837	25.931503	26.92962	-65.19828	8.477204	24.155384	44.23846	-33.756626	142.875	139.9	60499	31.362392	9.493637	41.106766	-13.783011	-31.528543	0.19851863	335.03091287612915
56	9.997581	43.631058	60.262463	-54.85858	14.400256	28.032022	61.147236	-32.8292	150.0	146.55	61599	31.519869	9.821525	41.107693	-12.722904	-31.695482	0.2280786	341.724436044693
