Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-63.87015	13.469842	-38.15593	-79.44115	-18.609993	5.760738	-8.500472	-29.220268	144.14285	53.95	1099	-0.10527745	0.45410696	13.1786	-8.547315	0.048796132	0.16315986	0.8210206031799316
2	-29.051329	15.394455	-4.085849	-73.40385	-19.438648	6.724573	-8.799145	-31.946795	72.625	54.0	2199	-1.1949214	0.74701655	7.8826323	-6.232791	1.1693896	0.022754109	4.762277364730835
3	-17.469576	7.4882417	-1.4044983	-29.29041	-19.248112	4.5248632	-8.236607	-27.256111	52.809525	51.35	3299	-2.8705347	1.1756426	1.334012	-7.2640276	2.8069656	0.14647894	8.74291706085205
4	-20.118967	6.6359615	-9.795451	-34.91541	-19.41138	6.5754323	-6.810978	-30.445738	52.190475	50.0	4399	-4.107603	1.6861496	3.4276476	-11.679394	4.0407653	0.3155331	13.001424789428711
5	-22.511152	6.3906612	-10.680101	-31.994177	-22.064405	8.176517	-4.3203044	-33.596825	52.61905	52.85	5499	-5.343889	2.1203175	0.7572936	-13.785386	5.285622	0.45503166	16.877602338790894
6	-21.706646	6.275255	-7.0291543	-32.79532	-17.86096	6.1032567	-5.447524	-28.448488	51.190475	51.55	6599	-6.4603367	2.5242076	0.7962609	-16.461021	6.410737	0.50199616	21.359090089797974
7	-19.818716	6.5639915	-7.0251575	-31.157597	-20.688822	5.5573483	-10.413006	-31.38666	52.142857	49.4	7699	-7.421459	2.9141712	0.80882514	-19.281397	7.368761	0.54112905	24.967463970184326
8	-18.977074	6.513563	-3.4408314	-28.296072	-16.768723	5.9254165	-7.056756	-25.129826	51.227272	50.45	8799	-8.11383	3.3504443	-0.06976259	-22.29701	8.063518	0.61931926	28.752474546432495
9	-27.87565	10.850708	-10.140647	-61.370205	-27.987133	10.876954	-14.812815	-56.633614	70.4	72.1	9899	-8.129492	3.5970583	0.12065196	-24.032257	7.991544	0.60047925	32.43926167488098
10	-27.782034	9.248777	-15.259948	-50.562458	-22.950481	9.764379	-7.5753856	-53.43456	80.28571	60.9	10999	-8.356995	3.9544818	0.6533389	-26.061808	8.27068	0.57870936	36.49815130233765
11	-20.071657	6.6456747	-7.173791	-33.967495	-25.67521	12.282238	-10.263987	-56.372692	54.0	70.5	12099	-8.803509	4.1784	2.2432647	-28.18153	8.725572	0.60918844	41.22547745704651
12	-22.134108	7.8863792	-9.955357	-45.383854	-21.800838	10.242695	-8.284249	-60.499844	58.263157	56.2	13199	-8.993778	4.407768	3.627558	-27.136461	8.913444	0.6841393	45.2898383140564
13	-24.944292	14.090662	-11.182394	-66.55488	-24.594952	11.300197	-8.7834015	-53.124012	68.4375	65.6	14299	-9.094856	4.757445	2.7860262	-33.6679	9.006135	0.73989415	49.961037158966064
14	-27.733557	13.874573	-4.6246705	-56.624756	-21.551336	4.996212	-11.714174	-31.095043	76.0	57.4	15399	-9.270578	5.2325935	2.897727	-31.478456	9.175041	0.7464317	54.02568984031677
15	-29.647924	7.186411	-22.458038	-50.40839	-23.215588	7.3266835	-14.27988	-38.223934	96.27273	65.9	16499	-9.3252125	5.4198833	5.5279775	-31.822193	9.230141	0.7035601	58.12615752220154
16	-24.712255	6.4277067	-16.404358	-44.098015	-26.81902	15.812043	-7.427291	-63.70578	68.35294	71.3	17599	-9.42869	5.62407	4.9433823	-32.409203	9.324524	0.69605273	62.57300901412964
17	-16.709301	8.435695	-0.6215653	-38.19033	-22.344006	15.533173	-8.695276	-67.04118	51.857143	59.85	18699	-9.1311865	5.699948	5.015476	-40.66623	9.007429	1.1687796	66.66047716140747
18	-20.218279	8.541203	-6.76748	-44.978916	-22.396116	7.7295256	-7.523002	-46.231735	56.0	62.8	19799	-8.814214	5.5787725	8.187938	-34.872738	8.676806	1.2318994	71.3001320362091
19	-23.008461	10.621905	-11.544767	-51.392357	-25.765945	12.358293	-11.974081	-66.200066	66.75	70.55	20899	-8.530834	5.3858466	5.804438	-31.345572	8.404046	1.16802	75.82901740074158
20	-22.30281	9.085429	-10.36557	-50.07603	-21.747202	10.087931	-6.680259	-57.627743	69.9375	59.45	21999	-8.238557	5.1581316	7.449954	-31.300318	8.1184025	0.99003094	80.02455401420593
21	-21.4124	5.0658374	-10.436224	-32.909996	-24.511597	10.698096	-9.354397	-55.263638	58.94737	65.8	23099	-8.018883	4.7189674	6.97176	-31.91151	7.892368	0.9658372	84.66849088668823
22	-18.810108	7.622247	-6.914455	-33.339912	-20.53845	7.313226	-7.1949143	-31.066336	60.055557	68.9	24199	-7.935138	4.4831643	7.2812185	-31.424133	7.7954946	0.9929283	88.84798550605774
23	-17.842752	6.2576303	-6.238432	-26.945072	-19.534763	7.462499	-8.6742	-39.24723	69.666664	62.2	25299	-7.74035	4.1528687	7.8967104	-32.56859	7.6041102	1.0183852	93.43524193763733
24	-17.688406	7.19138	-6.721679	-37.30104	-20.59219	7.944107	-2.5447948	-31.84422	58.25	65.65	26399	-7.4072304	3.8507075	4.158578	-28.075361	7.26142	0.91290414	97.40822696685791
25	-25.93038	17.468946	-2.096344	-64.5859	-24.11742	12.429132	-5.572912	-45.604347	71.46667	84.6	27499	-7.2001476	3.663004	3.9345784	-28.844137	7.0419683	0.79889095	101.28923320770264
26	-20.548697	16.764153	-3.926353	-80.408	-24.013124	14.810594	-8.20775	-65.669815	70.25	75.15	28599	-7.0601606	3.7255988	6.289793	-28.414408	6.897599	0.7798641	105.26475596427917
27	-20.079546	8.005326	-2.0470636	-32.77096	-19.706272	9.612171	-3.2812629	-41.314114	69.0625	68.05	29699	-6.940924	3.9927266	9.827865	-29.636637	6.7656755	0.9027133	109.23207783699036
28	-22.967503	10.820976	-3.1023023	-45.791424	-19.412878	10.73616	-4.5144143	-48.48296	69.125	67.2	30799	-6.728328	3.9650128	6.662424	-29.742205	6.529948	1.2011604	113.33699107170105
29	-20.281384	10.983585	-5.461399	-49.816013	-25.007158	9.564255	-8.464968	-51.540398	66.8125	73.75	31899	-6.3268476	3.6733382	6.729539	-26.884932	6.100806	1.0332747	117.03091359138489
30	-26.332705	11.482054	-9.406185	-47.310093	-26.250391	7.5983033	-14.300721	-41.198536	80.76923	77.35	32999	-5.863122	3.3596182	5.1671505	-22.200045	5.6593227	0.7171864	121.16197514533997
31	-21.205341	9.423494	-4.4858527	-35.875042	-22.454058	10.659472	-0.38594618	-53.466274	83.42857	73.85	34099	-5.7885714	3.351382	6.2343187	-23.043814	5.61038	0.67208135	125.36253380775452
32	-32.159893	15.924239	-9.223053	-73.36083	-24.839598	9.514419	-8.851061	-40.606125	93.09091	78.3	35199	-5.89428	3.4818149	7.3524456	-26.822569	5.7154074	0.6578887	129.65732669830322
33	-24.8895	10.8485565	-8.841425	-47.127567	-24.744762	8.332559	-12.628428	-45.207966	78.066666	80.75	36299	-5.819242	3.599761	6.608179	-21.16304	5.6428523	0.68146807	133.32396125793457
34	-27.40919	7.5422096	-16.378798	-47.920692	-22.462042	7.6029286	-12.258108	-43.0334	81.53846	82.05	37399	-5.9012594	3.6651044	5.3563128	-20.050285	5.7258906	0.7022723	137.31240797042847
35	-27.291996	11.647565	-8.483753	-54.381916	-23.869951	7.0500145	-8.149599	-39.739822	84.84615	71.9	38499	-5.949022	3.7789261	6.398681	-23.638355	5.775261	0.6420967	141.8856177330017
36	-25.779905	9.64796	-15.108682	-52.27339	-22.806286	7.891723	-7.258899	-36.905464	93.166664	87.9	39599	-5.966594	3.8659482	5.1882396	-22.77906	5.8006053	0.56752264	146.0470838546753
37	-22.32914	5.450917	-14.295341	-34.084194	-22.470783	5.7979865	-13.077144	-31.759386	86.53846	74.1	40699	-5.9521694	4.0151467	8.066936	-22.103212	5.7780833	0.56995827	150.12626218795776
38	-23.88356	8.38824	-13.430186	-41.585594	-23.860298	9.32934	-4.767878	-43.66607	77.0	83.5	41799	-5.9027824	4.0737333	8.229762	-20.787271	5.7223597	0.60132676	154.63082361221313
39	-19.433695	9.102282	-3.8087714	-42.875015	-24.030582	9.295462	-5.577847	-41.221016	78.92308	83.65	42899	-5.7052603	4.196149	6.8757205	-20.673962	5.516265	0.65927356	158.77632546424866
40	-23.460697	6.996029	-13.509865	-39.57111	-23.192123	8.697934	-7.8483067	-46.553356	82.57143	71.0	43999	-5.488165	4.2552924	8.94194	-20.86038	5.301903	0.68366176	162.8614239692688
41	-19.056948	6.6033235	-8.757509	-30.860088	-20.325039	9.470086	-0.76613355	-34.068882	85.30769	65.2	45099	-5.2039533	4.301656	8.953587	-21.141832	5.0322876	0.6376854	166.76081371307373
42	-23.567127	9.300755	-8.01954	-49.489044	-24.37845	8.611572	-8.981564	-37.89678	78.92308	71.9	46199	-5.0830216	4.2539024	9.376727	-19.62294	4.9251785	0.6439038	170.41449236869812
43	-23.799606	7.450989	-9.911666	-41.297882	-21.101881	9.87354	-5.171507	-50.983974	83.28571	77.7	47299	-5.084227	4.21193	10.522711	-23.419243	4.9375024	0.6385431	174.5034704208374
44	-22.237448	7.015182	-13.01336	-34.177753	-24.887024	8.07228	-5.935529	-36.635258	74.8	74.7	48399	-5.141206	4.2348137	11.778165	-23.827887	4.982552	0.6350859	179.22571444511414
45	-21.400923	8.145353	-9.325209	-34.426704	-21.279568	9.358052	-1.8729227	-36.870354	90.583336	85.7	49499	-5.0457664	4.217561	12.022422	-23.549528	4.8694324	0.66181105	183.2488763332367
46	-25.459957	11.908568	-3.2552295	-45.6645	-16.980623	9.626099	2.5180807	-42.72825	87.69231	90.4	50599	-5.058044	4.1589494	12.411605	-26.493542	4.890965	0.58977777	188.12878823280334
47	-21.198729	8.941061	-0.5570441	-37.155964	-17.852259	11.224835	12.393603	-35.549088	87.5	87.45	51699	-5.1191764	4.199514	12.042124	-25.268919	4.9645357	0.5742984	191.9531226158142
48	-18.21478	12.348194	17.873535	-34.523014	-22.118404	9.249706	3.4538562	-37.043015	81.92857	89.15	52799	-4.981102	4.2638774	12.473507	-22.574188	4.834203	0.6264048	196.06038546562195
