Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-51.85175	16.41444	-17.24173	-68.21423	-20.870035	8.041447	-5.311897	-32.32385	149.42857	52.2	1099	-0.018431375	0.12838808	0.557351	-0.4424894	0.019102324	0.029388556	0.7893548011779785
2	-35.529526	21.285578	-14.1512	-93.55432	-22.023426	9.251328	-7.9212174	-37.208862	72.333336	50.2	2199	-1.2038822	0.7868622	0.095626	-4.135371	1.1992456	0.019368345	5.44257664680481
3	-25.547281	15.333952	-12.534873	-77.589645	-44.67119	14.096432	-18.818409	-74.79729	59.944443	99.55	3299	-3.2959003	1.2102315	-0.5140703	-7.1706953	3.2724662	0.11051238	10.498475790023804
4	-31.833101	20.304274	2.8838382	-68.64032	-24.138779	21.320246	-4.303319	-81.67112	90.0	64.25	4399	-4.7746806	1.6497914	-0.48490041	-9.851588	4.697352	0.23903415	15.38578724861145
5	-37.47562	16.61216	-13.8293495	-69.676674	-28.758442	15.686038	-11.207108	-72.68806	91.75	77.9	5499	-5.8590803	2.0992332	-0.36894572	-11.925157	5.759946	0.31123456	20.643327236175537
6	-25.951008	15.705222	-4.810724	-65.08549	-21.407299	16.771206	-8.605204	-88.56902	71.066666	61.45	6599	-6.7477326	2.4480011	0.27583647	-13.6248045	6.635116	0.3964256	25.866933822631836
7	-30.127876	9.900176	-18.943916	-57.40907	-29.636719	17.584795	-11.125837	-77.82468	75.066666	95.05	7699	-7.51699	2.7548785	0.5207783	-15.413878	7.3902235	0.50730693	31.49639630317688
8	-26.075426	16.870937	-9.705327	-75.136955	-25.89526	11.627069	-3.2622058	-58.444763	85.416664	78.75	8799	-8.016572	3.0734699	1.1257598	-17.586088	7.8717656	0.59213895	36.76859188079834
9	-24.999598	14.64828	-9.222876	-62.322872	-33.38359	17.380703	-15.500508	-83.81468	80.64286	88.3	9899	-8.079032	3.2084985	1.6888916	-18.682283	7.9416895	0.6738056	42.05774164199829
10	-22.378643	6.219817	-13.7118435	-35.395348	-23.414667	11.739689	2.0313373	-39.503643	71.375	70.9	10999	-8.080288	3.1726823	1.9772105	-19.10949	7.9412103	0.7009273	46.88525700569153
