Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-97.56728	45.052113	-23.952444	-145.5281	-46.15437	15.679249	-26.69384	-92.948616	145.14285	79.55	1099	-0.82329404	0.54221654	3.2318943	-7.524995	0.7995522	0.06116186	1.0774621963500977
2	-51.220974	37.988937	20.704693	-136.96924	-44.24031	17.17497	-12.749343	-77.59516	80.64286	61.9	2199	-2.4589922	1.7698427	10.369709	-15.590891	2.431196	0.05386738	6.825307607650757
3	-48.134888	32.49531	-6.549286	-124.428856	-46.18249	25.319056	-23.873062	-130.34346	89.916664	115.9	3299	-4.931862	3.163335	5.151172	-14.57308	4.8428373	0.23930126	13.33038330078125
4	-68.991066	32.44305	-32.86476	-123.53547	-40.215645	17.362745	-7.832947	-91.05249	128.55556	96.65	4399	-6.9096594	4.652044	7.643223	-20.71321	6.784022	0.36753756	19.415361404418945
5	-53.355965	33.472004	-2.9463794	-117.30747	-42.849323	31.362509	3.056418	-94.240166	102.9	119.95	5499	-8.497136	6.284079	10.856884	-25.784758	8.365047	0.6011278	26.05784559249878
6	-43.22452	33.030846	27.830233	-96.540855	12.250597	53.64979	76.396706	-67.210655	112.0	121.35	6599	-9.702792	7.7812805	13.905288	-29.046762	9.5257225	0.7786243	32.30961775779724
7	14.29764	43.136257	76.57134	-48.773296	-0.1305623	44.813538	81.23776	-75.707184	119.888885	123.6	7699	-9.025835	10.42944	17.012623	-33.868668	8.767866	0.9376224	38.43681216239929
8	30.138157	15.363563	59.507484	11.532251	36.448925	22.63238	84.170494	-12.80615	150.0	150.0	8799	-6.6298323	13.213545	19.720068	-36.54672	6.318748	1.0277648	45.34551548957825
9	40.99879	37.26976	84.27171	-20.592789	38.265232	27.541647	78.08179	-45.428123	150.0	145.1	9899	-2.3456266	14.73134	24.58201	-39.140884	2.004917	1.1437731	51.650351762771606
10	10.2541895	50.444427	77.268295	-61.997955	34.916462	46.413437	85.00117	-42.240974	139.75	134.25	10999	2.2476244	16.11387	38.03942	-39.28773	-2.5867627	1.1208185	57.813233375549316
11	23.783134	44.68493	73.13965	-43.556255	27.143549	36.171978	74.142006	-58.586246	124.0	135.6	12099	6.4275513	17.085276	27.208656	-40.51284	-6.7482657	1.1345057	63.994696378707886
12	41.300987	22.235859	80.35872	2.7145798	34.971764	19.059381	70.264015	8.266144	150.0	150.0	13199	12.155485	17.05606	29.965258	-41.528328	-12.473286	1.0484093	71.00497627258301
13	33.875664	19.9955	60.502438	10.258837	27.351175	23.366678	61.05762	-36.28146	150.0	144.45	14299	18.32584	15.555124	32.324318	-41.172565	-18.59919	1.0659478	77.40477585792542
14	-2.0880098	29.477903	37.862923	-65.13837	26.49181	31.998854	64.045296	-49.802002	131.11111	145.15	15399	22.661886	14.233078	34.252846	-41.09821	-22.870562	1.257405	84.5047812461853
15	25.959108	15.124063	47.963593	3.0100286	29.598074	19.137846	58.432198	-4.2421746	150.0	150.0	16499	24.770563	14.239865	36.05307	-46.93871	-24.970234	1.2936412	91.07451009750366
16	61.79453	13.507057	74.305214	35.391212	33.8735	36.21723	84.861115	-50.991817	150.0	139.9	17599	26.962496	13.978567	45.44716	-43.499123	-27.220562	1.2666963	97.36645007133484
17	22.49684	33.536808	80.38982	-38.341057	37.969177	31.095985	85.198616	-22.268162	136.375	150.0	18699	29.194515	13.844089	71.540016	-47.546043	-29.517843	1.2929984	104.29630708694458
18	44.35621	26.758877	80.73951	3.9626117	52.81128	19.432062	86.88796	12.760329	150.0	150.0	19799	32.798916	12.321013	50.7352	-32.09307	-33.109665	1.0082883	110.71374773979187
19	32.659283	26.486391	78.07434	8.630345	39.380577	24.936438	83.97852	-4.843796	150.0	150.0	20899	34.853363	12.099362	54.191685	-30.199776	-35.134388	0.8233957	117.5014135837555
20	16.604084	41.364487	78.03359	-51.37659	39.82122	22.48402	83.973976	8.646271	139.0	150.0	21999	36.05892	12.91613	48.161423	-29.261738	-36.337082	0.8377285	124.05309200286865
21	34.42872	7.935056	42.63229	19.330973	54.138344	29.585163	94.64176	-10.020737	150.0	150.0	23099	37.786068	13.070183	63.701168	-34.309555	-38.035263	0.86969185	130.36739659309387
22	46.66019	59.879406	94.66744	-93.06969	36.91972	30.35304	92.47854	-17.976059	150.0	150.0	24199	40.259502	12.109552	66.09809	-31.565691	-40.464153	0.9769276	136.34019470214844
23	44.70523	38.2719	94.75323	-16.8337	22.282383	37.610302	95.495575	-45.77275	150.0	140.3	25299	41.37186	12.538949	70.08648	-40.648495	-41.567154	1.0250521	143.170471906662
24	29.457172	40.37063	85.56562	-38.402477	24.498194	32.938255	83.581856	-35.9598	136.875	139.4	26399	42.445755	12.689701	59.98609	-31.88874	-42.634922	1.0675422	148.86648988723755
25	5.743601	26.54638	39.42408	-41.68058	28.52507	43.437332	94.25659	-44.826855	138.25	130.3	27499	43.19534	13.002051	60.10191	-29.59378	-43.38063	0.91359687	154.5259988307953
26	13.531933	30.959711	77.72819	-31.938646	-4.143396	46.43939	47.88076	-109.63933	140.5	139.25	28599	43.76325	13.455299	62.407825	-32.38095	-43.95788	0.97746074	160.44654321670532
27	33.973225	29.877289	67.193825	-10.550232	35.85176	26.326036	86.82217	-1.8942276	150.0	150.0	29699	45.049297	13.364616	69.78729	-35.46701	-45.268017	0.8797768	166.89498686790466
28	36.3792	22.831177	59.307487	-4.8033085	27.530064	39.61872	69.93815	-58.11732	150.0	140.45	30799	46.29291	13.314632	65.02088	-24.452093	-46.51925	0.8246809	172.69334483146667
29	51.870476	18.261936	96.32742	35.78293	39.08294	30.298914	84.46475	-26.200062	150.0	150.0	31899	47.476044	13.082851	65.93517	-24.948124	-47.75754	0.8272342	178.69329833984375
30	43.750023	19.542274	75.646545	16.646809	39.989597	31.991602	91.46429	-26.595903	150.0	145.3	32999	48.875385	12.669182	66.74622	-15.243186	-49.121185	0.7322198	184.67867159843445
31	12.075563	64.22436	71.39999	-130.19548	10.589892	41.5404	85.912125	-98.787415	142.0	148.8	34099	49.713406	12.570877	96.25717	-32.140316	-49.949467	0.8519698	191.10879683494568
32	50.60544	17.538294	70.84053	23.157228	34.532627	36.753258	73.11527	-50.62324	150.0	135.2	35199	50.162846	13.249601	69.93285	-19.39471	-50.38419	0.6113343	197.4554181098938
33	0.12695652	43.38707	68.42815	-83.97028	4.9403386	44.590878	70.04608	-81.435844	131.77777	135.7	36299	51.372005	13.003726	66.771	-25.182985	-51.58593	0.75563544	203.4568269252777
34	23.264687	43.93503	78.10208	-48.013157	37.01546	34.977646	94.25417	-47.9972	125.0	150.0	37399	51.200207	15.106439	75.14092	-26.348051	-51.43721	1.2715175	209.94144463539124
35	26.007757	27.655804	63.34453	-12.484397	20.750324	34.986675	75.68835	-41.536057	150.0	141.4	38499	51.860798	15.437525	72.44409	-21.68646	-52.134014	1.0284214	216.28490233421326
36	9.056177	40.124195	56.19141	-61.395535	22.108122	36.32367	70.151344	-74.18451	137.57143	140.5	39599	52.186127	16.009445	73.28042	-45.59135	-52.49635	1.1035345	222.48602676391602
37	20.668533	37.91688	70.12146	-63.934944	15.853025	51.28637	80.34395	-134.27339	141.375	129.25	40699	52.13305	17.141043	68.09829	-43.762535	-52.477055	1.1550801	228.73157048225403
38	13.701841	34.344242	58.01378	-50.378277	23.21094	42.555523	77.02051	-71.72627	129.44444	146.15	41799	51.90254	18.052328	103.0789	-38.131104	-52.25815	1.0919485	235.1674358844757
39	4.6496687	52.524616	68.85411	-75.81165	20.6582	43.171043	77.509285	-42.590366	112.0	125.7	42899	52.981224	17.011284	91.17855	-36.492096	-53.27754	1.1702477	241.51115155220032
