Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-68.27371	40.01992	-10.300043	-129.64061	-24.91236	15.542575	12.322748	-40.152565	208.2	47.6	1099	-0.16580373	0.43482476	10.458877	-11.722273	0.14913802	0.11596701	1.3718507289886475
2	-100.00971	22.28193	-59.855156	-121.764015	-42.832855	14.293853	-4.9105487	-61.650463	221.8	65.05	2199	-1.1393087	1.4439182	12.982303	-15.969679	1.1007894	0.06419999	7.50354266166687
3	-62.27912	26.02014	-26.739117	-91.85377	-35.60101	15.703652	13.153502	-47.234447	278.25	57.3	3299	-2.31097	3.2475114	14.222805	-10.360666	2.2416625	0.14181463	14.478413581848145
4	-45.797947	22.741814	-19.266617	-82.97887	-37.757526	8.226271	-24.35254	-49.756107	158.71428	56.5	4399	-2.9793324	4.744392	9.929233	-12.751282	2.896345	0.25462738	21.94951105117798
5	-71.73252	20.984081	-40.0635	-96.40248	-33.458897	10.352424	-2.3120377	-46.727516	223.75	58.15	5499	-3.6516087	6.014878	10.046092	-16.189499	3.560656	0.37667826	29.289402961730957
6	-31.974972	33.97191	7.561704	-74.20141	-31.266562	17.933481	20.311884	-65.43562	250.4	69.3	6599	-4.2644377	7.066513	12.152078	-19.515112	4.146029	0.4527713	36.47417402267456
7	-52.955902	29.563425	-0.05590622	-84.36459	-36.150356	16.84401	13.5329	-60.779232	179.5	70.0	7699	-4.861326	8.087745	14.5742	-22.27208	4.7145844	0.5210077	46.99912619590759
8	-64.82771	24.689507	-33.76135	-91.33754	-42.062725	21.27166	-20.027647	-111.68104	225.0	69.2	8799	-5.272951	8.903241	17.088036	-25.235546	5.1208982	0.5339028	54.534343004226685
9	-58.996143	17.934986	-29.119982	-77.05495	-43.1285	14.709656	-27.139034	-101.25071	183.0	73.65	9899	-5.6957517	9.786683	19.589142	-28.212723	5.5432386	0.5851077	61.858771324157715
10	-89.63452	17.788858	-66.47781	-109.05339	-38.249077	14.811933	-9.892829	-68.52831	246.75	86.55	10999	-6.180766	10.571704	29.378035	-35.92847	6.0028305	0.66707253	69.62974166870117
11	-65.41877	24.961725	-33.637623	-107.44694	-53.394043	21.225445	-2.4108236	-113.07919	215.0	80.6	12099	-6.50042	11.420386	28.306313	-39.253242	6.322271	0.8276191	76.97762084007263
12	-60.73294	12.861909	-46.196835	-80.902664	-43.564857	19.649076	-7.7897325	-87.91049	252.0	63.1	13199	-6.9727526	11.958333	26.162764	-41.54859	6.7951846	0.8977794	84.72074341773987
13	-50.842747	18.204155	-25.383215	-66.88098	-43.402977	22.435823	-18.104752	-110.593895	265.66666	75.55	14299	-7.301559	12.519718	28.485447	-42.341484	7.121988	0.978741	91.99046564102173
14	-48.46591	14.932676	-34.841133	-84.13592	-34.61393	15.771043	-7.4574614	-79.508766	180.875	64.9	15399	-7.2898135	13.086881	29.909697	-43.883236	7.123462	1.0135027	99.72496914863586
15	-32.751534	12.728266	-15.39921	-50.15122	-19.909948	14.833106	14.364197	-41.75716	112.6	103.65	16499	-7.6851635	13.4937105	43.859135	-45.230686	7.4861355	1.2373282	108.21278810501099
16	-21.520638	20.469498	11.781551	-62.891903	-17.065062	15.250149	17.512972	-41.14234	122.44444	144.5	17599	-7.351708	13.867501	33.902782	-46.55542	7.0455728	1.3846036	116.955721616745
17	-8.2170105	15.315244	12.246776	-28.912909	-19.903778	17.328045	10.917124	-49.21073	194.75	236.1	18699	-6.5546536	14.1984	35.572906	-47.284744	6.1927834	1.5015501	125.5277898311615
18	18.650805	29.425795	60.26153	-2.6307652	14.481318	30.934963	66.90478	-40.657112	400.0	316.2	19799	-5.5221734	14.750665	72.535545	-47.81983	5.1326127	1.6011649	134.12866830825806
19	-0.39276028	39.53096	55.395893	-41.523277	12.9366045	42.451157	95.597305	-47.28532	237.5	304.2	20899	-4.1837296	15.231779	73.93638	-47.846596	3.7850986	1.6699595	144.1720254421234
20	14.497276	29.809258	55.997063	-12.672394	-2.996201	31.102598	70.36983	-74.3893	396.0	291.45	21999	-2.9827242	15.512946	73.35522	-47.51713	2.5666788	1.7597923	153.1544063091278
21	29.53088	24.64912	61.48378	4.4148326	18.281824	30.140636	57.89096	-58.261024	319.75	367.85	23099	-1.7045884	15.831288	72.9959	-46.966305	1.2657646	1.8829954	162.77427577972412
22	-21.064909	20.85272	7.9190974	-40.268547	25.51432	19.912453	68.18717	-9.015787	341.66666	371.25	24199	-0.46955237	16.113838	73.08167	-46.46927	0.015631285	2.023364	171.71845769882202
23	21.652567	4.9232216	28.414778	16.835655	17.517456	27.312391	69.922745	-46.021633	400.0	376.2	25299	0.7218802	16.202736	76.07333	-46.45645	-1.1711619	2.1408901	180.81383848190308
24	-30.357038	34.78948	10.751226	-74.321526	34.205635	20.1146	71.56685	-6.000664	316.33334	400.0	26399	1.740918	16.259825	77.041794	-44.138046	-2.1980798	2.2849889	190.14303827285767
25	36.94115	2.268278	40.135437	35.089	43.22929	23.079105	91.26095	3.7109911	400.0	400.0	27499	2.8113024	16.220537	75.204346	-41.55073	-3.2648761	2.2409737	198.89051008224487
26	17.102144	36.998226	56.61072	-32.360855	24.716389	26.0902	67.169754	-31.212246	320.66666	355.7	28599	3.9005218	16.145718	75.56411	-39.42801	-4.3524165	2.2388055	208.155344247818
27	34.947567	12.564891	48.228283	18.083136	33.18786	21.603394	73.004	-1.3528458	400.0	382.15	29699	5.008488	16.1941	76.11527	-38.84696	-5.4554024	2.234311	218.97813749313354
28	10.102086	18.063036	29.457542	-14.012906	27.110966	21.32467	76.21612	-4.4684567	351.33334	400.0	30799	5.8784366	15.986348	76.171555	-38.614494	-6.3123355	2.2075627	227.59742522239685
