Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-78.50755	15.251053	-64.56229	-106.00197	-22.153215	16.27287	10.4684725	-51.59195	204.6	56.7	1099	-0.47520044	0.62298447	6.963744	-17.265005	0.4332734	0.12915412	1.5620436668395996
2	-49.81495	32.259785	3.9200346	-80.47707	-15.702934	13.052368	7.8091626	-41.03674	234.2	52.65	2199	-1.2975341	1.2883146	5.789021	-9.946087	1.248143	0.08416727	10.032024383544922
3	-50.687317	39.033253	2.802162	-89.24514	-12.831212	11.216506	13.79781	-30.335093	261.0	56.45	3299	-2.151807	2.2669468	10.535808	-12.164945	2.089582	0.20219177	17.45003318786621
4	-52.34229	42.452778	26.044018	-104.45766	-19.239777	16.111784	12.652772	-48.442707	228.0	55.05	4399	-2.6453464	3.2009344	11.507187	-16.094847	2.5654314	0.32425943	25.73654294013977
5	-74.19652	31.76843	-42.77426	-129.012	-19.27562	15.706241	8.532854	-45.341698	205.4	55.25	5499	-3.3884542	3.8972406	21.78085	-17.64285	3.2925372	0.57590586	34.31984066963196
6	-60.60664	29.630365	-36.901985	-117.00089	-12.832736	16.046568	12.385517	-49.229332	211.2	61.5	6599	-4.3589005	4.6100993	21.115194	-19.542166	4.272357	0.70444405	42.347965717315674
7	-34.627636	36.59987	22.851156	-72.382996	-19.154215	15.949707	10.282223	-48.81206	226.4	54.85	7699	-4.8878517	5.2081623	19.164042	-24.310947	4.7961073	0.94183415	49.073854207992554
8	-57.943237	14.291768	-36.95334	-84.478355	-25.802622	18.187164	14.149381	-56.01953	156.42857	57.65	8799	-5.519195	5.795008	21.788752	-22.15373	5.4388433	1.0025814	56.68604898452759
9	-70.51507	41.909313	-14.119888	-140.07233	-30.13881	10.690366	-5.260639	-47.786503	214.6	58.4	9899	-6.026434	6.2689276	30.10085	-28.564508	5.935419	1.2008266	64.67428493499756
10	-65.84303	29.088896	-24.514843	-100.489975	-37.200855	9.644353	-11.236176	-56.81967	244.75	57.45	10999	-6.603215	6.5181127	27.610725	-24.75131	6.4968023	1.2163596	72.2569272518158
11	-74.73404	36.96097	-36.163055	-143.56827	-36.648552	11.6188345	-9.877465	-51.748714	253.0	64.05	12099	-7.189391	6.7145553	18.488134	-27.54233	7.078167	1.246602	79.33424210548401
12	-45.657906	28.482594	-0.4318421	-88.38174	-37.94513	10.054119	-16.451466	-51.27952	221.4	60.7	13199	-7.6347637	7.0956683	25.191626	-27.328537	7.5354757	1.3540363	86.64175057411194
13	-62.446075	28.303257	-17.55208	-94.45404	-36.219746	20.611511	14.1444025	-61.602146	304.5	71.65	14299	-7.9960055	7.4461503	24.672235	-30.368382	7.8906417	1.3808752	94.12049388885498
