Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-51.591766	36.36138	-0.17370157	-77.90241	-31.988602	14.939769	-5.8960915	-49.26117	332.33334	61.45	1099	-0.33091393	0.47635558	21.37271	-12.466583	0.26649627	0.56562245	1.0745015144348145
2	-63.13051	28.854507	-23.545858	-102.87028	-38.076714	4.65747	-29.662754	-47.651394	237.5	47.4	2199	-0.56758815	0.7300545	14.824997	-9.316819	0.5224276	0.07013169	5.402679920196533
3	-53.239277	39.405407	22.851429	-86.97034	-39.348335	5.765213	-31.172197	-53.04594	263.0	47.6	3299	-1.2928946	1.4709241	10.807566	-13.272013	1.2547425	0.117313236	10.253758430480957
4	-45.197075	17.830154	-27.306082	-68.4824	-40.395428	20.883133	1.3292761	-95.19816	259.5	87.05	4399	-2.0046167	2.4163907	15.652126	-17.734291	1.9559126	0.258116	14.72221302986145
5	-85.96977	32.42978	-52.41234	-135.65678	-40.600613	15.637641	-4.936394	-76.59251	267.75	91.4	5499	-2.432434	3.068833	18.740673	-16.798748	2.3475742	0.3596916	18.839323043823242
6	-67.93168	40.338398	8.610005	-127.34905	-38.40533	8.128037	-24.375015	-52.509415	204.33333	60.0	6599	-3.0476434	3.6577802	24.696014	-27.677559	2.9657063	0.4830959	23.73900318145752
7	-43.149773	15.685866	-18.409746	-65.07986	-42.534355	10.024991	-27.579285	-62.676968	196.4	57.95	7699	-3.73011	4.1706862	24.906208	-23.707579	3.6470082	0.70222133	28.3280668258667
8	-81.65478	33.84229	-16.340528	-111.07392	-35.684017	7.3606095	-21.202644	-55.674698	236.6	49.7	8799	-4.4465294	4.5573597	18.523201	-23.340393	4.3756895	0.776774	32.52506613731384
9	-62.08394	38.79046	-6.7913375	-100.352844	-38.49339	8.629239	-9.871012	-49.585716	243.5	53.05	9899	-5.16679	4.907754	15.466514	-24.998663	5.082902	0.85402364	37.460771560668945
10	-90.91272	36.77706	-44.71647	-146.54869	-20.989918	14.082125	5.4574995	-45.85327	282.0	55.2	10999	-5.8316526	5.2440658	24.544756	-26.516972	5.7429724	0.9621962	41.98048710823059
