Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-53.302048	36.25099	-0.2751006	-102.61323	-28.425135	14.8308	2.9280674	-52.185722	257.0	74.25	1099	-0.46071374	0.5598067	0.9667811	-1.8716869	0.42157748	0.096857	2.474717617034912
2	-63.1822	26.92468	-33.783646	-113.744545	-37.1856	8.544069	-21.232246	-57.69035	185.16667	54.6	2199	-0.66105884	1.5680169	3.7061765	-6.5885663	0.6256459	0.04077142	14.859972476959229
3	-57.54127	18.646599	-32.219738	-73.92117	-30.851583	11.970413	-6.3552933	-48.73846	210.2	53.45	3299	-1.3908318	2.8574474	6.9422326	-10.742292	1.3161925	0.08167503	26.513517141342163
4	-64.68376	17.39374	-38.371773	-84.78837	-32.437016	8.737349	-6.9138446	-44.47423	180.2	48.3	4399	-2.1580508	4.056176	9.700158	-14.626136	2.0386226	0.1349293	36.41534376144409
5	-65.687386	21.79151	-24.904728	-93.6198	-37.821995	7.901551	-15.199758	-46.50227	225.0	49.5	5499	-3.0562582	5.372951	12.516008	-18.321903	2.9209478	0.20289804	46.62628531455994
6	-81.567955	36.74333	-33.473	-132.56023	-17.803448	19.163363	16.93205	-45.831394	214.5	53.3	6599	-3.9114609	6.3986053	14.85542	-22.218071	3.7697873	0.29062533	56.64169430732727
7	-53.93578	41.100956	7.632002	-111.53942	-22.140503	18.736929	15.148978	-48.03634	258.8	60.05	7699	-4.178169	7.535839	18.135836	-25.433731	4.033963	0.3876332	67.25187849998474
8	-47.76363	22.566986	-15.051119	-74.816826	-29.711117	17.507261	9.666611	-63.155216	199.66667	68.3	8799	-4.6415644	8.417137	21.156832	-27.340305	4.464894	0.45141044	79.29059600830078
9	-62.601086	25.980352	-34.56964	-91.796745	-27.010305	13.291795	4.697441	-41.470943	220.75	60.45	9899	-5.2265587	9.165363	23.387556	-31.035809	5.0633726	0.522613	89.3141736984253
10	-66.75724	21.019884	-34.545666	-91.89857	-27.773108	9.383088	-12.715925	-43.888657	260.8	67.05	10999	-5.645955	9.863371	25.043095	-34.241726	5.491589	0.602691	98.93634009361267
11	-66.07031	41.32808	-24.78265	-121.86866	-28.619177	16.408037	-3.9012065	-59.052063	251.0	81.75	12099	-6.1555	10.446394	26.727602	-37.015434	5.9873805	0.6847824	108.32695126533508
12	-50.817017	44.34181	27.65399	-105.71906	-32.8853	14.083082	-3.1907105	-55.28897	192.6	68.35	13199	-6.33545	10.999522	28.439362	-39.92583	6.1638656	0.77853394	118.46760988235474
13	-39.682667	33.760326	33.252876	-66.75967	-31.503397	15.473763	-8.31265	-57.1715	211.0	75.45	14299	-6.379338	11.6167555	30.312883	-41.975704	6.206538	0.9012917	129.1081166267395
14	-53.24629	30.065365	-18.039928	-104.58537	-23.030437	13.324938	-2.181475	-49.873245	149.28572	60.85	15399	-6.6542735	12.250155	31.280205	-43.817085	6.4783688	1.0136108	140.16615867614746
15	-26.014608	27.397396	24.65981	-91.645355	-21.222363	17.668884	20.611284	-55.87113	93.38461	91.15	16499	-6.8185606	12.629226	32.839798	-44.49238	6.6222115	1.1618167	152.66496229171753
16	-31.736094	19.377522	8.95582	-64.56787	-20.770252	30.719675	67.9843	-56.582882	100.0	150.8	17599	-6.6448994	13.121946	34.811806	-44.870564	6.359623	1.4183869	167.4858798980713
17	-6.252284	37.927315	52.986343	-49.54843	-22.055992	25.530273	34.052437	-62.300247	175.42857	222.4	18699	-5.9093227	13.735252	35.81614	-44.556908	5.5721	1.5591903	184.23728847503662
18	-2.275252	40.79589	49.45333	-50.265823	26.68016	26.860748	86.236786	-50.608852	258.33334	364.45	19799	-4.9543614	14.433173	37.42062	-43.83721	4.5866165	1.6419199	203.52761578559875
19	28.568274	21.697874	58.63663	8.231548	26.349087	24.961643	70.78967	-31.599934	400.0	364.0	20899	-3.919885	14.831572	38.92956	-43.12702	3.5376842	1.7115519	219.45764183998108
20	24.808462	2.1334102	27.439716	22.214346	16.808493	27.859238	75.85075	-36.60779	400.0	351.75	21999	-2.6571777	15.124699	42.33046	-42.52056	2.251523	1.7474198	234.07174015045166
21	-0.626098	22.267567	30.804972	-18.024681	21.340887	31.073378	71.013855	-28.975945	295.66666	328.0	23099	-1.434308	15.244876	46.120697	-42.177902	1.0170629	1.7892063	251.67143964767456
22	15.077354	26.249996	52.185764	-4.381182	16.164875	38.262905	89.35922	-59.90766	400.0	352.45	24199	-0.16912737	15.51698	49.029327	-40.89357	-0.2461585	1.800331	266.17694640159607
23	16.547098	14.158653	33.58123	-1.084789	16.3695	30.773514	68.783264	-51.992943	400.0	335.55	25299	0.93727785	15.681327	51.567505	-39.066643	-1.3483473	1.8141431	286.5302028656006
24	-20.147177	16.256012	1.2457354	-38.13365	31.313091	26.741882	80.80013	-13.794773	310.66666	400.0	26399	1.9860009	15.840104	53.808693	-37.36745	-2.4056387	1.8634384	301.9024991989136
25	40.974804	7.8413315	51.57939	32.864174	27.4222	32.368	90.659775	-36.83502	400.0	380.9	27499	3.0489874	15.919788	56.43805	-36.714195	-3.474688	1.9350069	313.9278841018677
26	32.109528	22.734081	53.960804	0.75966233	0.3021915	21.4429	45.66757	-38.690228	400.0	304.3	28599	4.0436196	15.980668	58.64498	-36.27607	-4.4772468	1.999217	326.17064476013184
27	8.047629	10.920168	18.078827	-7.1368623	5.9491124	32.57246	34.57311	-97.836525	391.66666	320.4	29699	4.9921684	16.025888	60.49995	-36.674107	-5.4181542	1.9789357	340.25340962409973
28	-25.106415	19.939892	3.048723	-40.549683	24.37874	21.381071	60.14467	-20.837442	247.0	380.35	30799	5.6766744	15.971238	62.24241	-36.751205	-6.0956526	1.9480972	362.9875292778015
29	5.031614	12.28161	22.328047	-4.988444	0.48166245	37.024944	68.94454	-69.65716	368.0	295.5	31899	6.285216	15.918116	64.17466	-36.727386	-6.683092	1.9122454	380.16681432724
30	-15.613165	23.39957	8.419019	-41.882668	4.8610053	37.08371	84.82947	-62.279034	317.0	318.55	32999	6.9407663	15.844533	65.33029	-36.018806	-7.3255496	1.8207669	395.48403549194336
