Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-87.955086	34.84422	-45.005314	-158.75372	-47.65253	41.998028	-10.11653	-165.13004	169.16667	116.5	1099	-0.5656869	0.35828766	3.0591266	-13.406678	0.53944224	0.053367343	4.132065057754517
2	-72.04288	28.194414	-34.604202	-114.466324	-29.905407	6.350312	-17.682014	-38.978294	195.66667	56.2	2199	-1.703053	0.82730395	9.981579	-12.9131155	1.6805651	0.032027297	11.865530490875244
3	-90.118286	27.012356	-62.355854	-124.53688	-21.836895	6.4735417	-7.392759	-35.529617	211.6	54.3	3299	-3.34503	1.3164172	4.515348	-10.570099	3.2784584	0.094622985	19.545913219451904
4	-109.25813	11.129225	-94.51388	-123.22597	-21.233517	6.624963	-9.099639	-33.410164	264.0	53.5	4399	-5.008217	2.0196805	1.6071962	-13.527558	4.8955116	0.18499911	27.149861812591553
5	-85.58258	25.369316	-61.42459	-131.70212	-23.845737	4.982762	-14.105581	-35.50024	219.6	57.1	5499	-6.2960634	2.3808944	0.6270571	-13.334472	6.178505	0.242007	33.755200147628784
6	-93.42597	55.388504	-42.996983	-185.75015	-22.152815	6.144171	-12.69048	-34.025925	271.5	54.05	6599	-7.3309264	2.8930392	0.07953584	-14.673719	7.2232857	0.30439264	40.34917402267456
7	-116.3235	39.41976	-48.378567	-163.26175	-25.079647	7.684145	-13.731905	-43.689667	236.4	59.75	7699	-8.445413	3.4687102	0.65405893	-16.548992	8.3466835	0.31863704	46.982935667037964
8	-81.58909	37.139614	-26.66851	-134.37987	-19.975931	9.47876	-4.912108	-40.207233	188.2	57.05	8799	-9.502998	3.922157	2.6865315	-19.288378	9.416009	0.36035153	52.717222452163696
9	-68.163	19.548246	-43.73305	-91.584404	-25.739197	9.340353	-11.295953	-53.09471	301.33334	63.6	9899	-10.260278	4.598179	4.532399	-24.497643	10.17972	0.39867502	58.58692717552185
10	-75.54142	36.39258	-16.408792	-114.955734	-33.080982	11.388318	-18.347006	-57.303356	217.0	90.85	10999	-11.082412	5.199349	4.432295	-25.128878	10.977145	0.48159212	65.2435712814331
11	-127.6423	52.472645	-67.28303	-190.43883	-33.52398	21.508154	-19.786234	-108.52778	318.0	73.0	12099	-11.661146	5.5635505	5.871672	-26.78808	11.5489235	0.5118321	71.77946257591248
12	-68.9301	31.186874	-26.535189	-117.956215	-29.035254	15.366022	-15.3910475	-67.46995	185.6	70.65	13199	-12.254463	6.0320654	12.518084	-28.388174	12.134162	0.5505752	78.62636113166809
13	-98.04795	48.456238	-40.748875	-180.20624	-28.355682	10.729738	-13.908956	-62.761272	212.66667	68.65	14299	-12.868946	6.4638543	10.710066	-30.123285	12.73604	0.61903155	84.89076471328735
14	-83.16151	57.440624	-27.006252	-191.86937	-49.423515	43.552563	-14.469296	-208.41278	215.8	122.85	15399	-13.206519	6.8499093	66.10694	-32.055344	13.078045	0.6279106	91.83750081062317
15	-33.098488	14.070983	-14.159821	-63.30206	-26.113178	10.715087	-5.900253	-42.215626	78.64286	82.0	16499	-13.387209	7.2458444	28.366085	-33.69736	13.223755	0.7239802	98.84214496612549
16	-25.930048	11.355613	-6.3508677	-43.870274	-26.745565	13.7231	-0.7265874	-57.09647	73.64286	92.05	17599	-13.254259	7.667446	20.105007	-34.36971	13.080847	0.76628774	105.2800452709198
17	-27.559402	14.040054	1.824461	-50.71048	-27.340622	12.984798	-2.4335935	-61.88746	92.583336	114.3	18699	-12.917713	8.045469	16.17764	-35.18084	12.724154	0.81905764	111.88759064674377
18	-18.517115	15.543304	2.949191	-40.47337	6.5089693	57.761475	145.76114	-48.09782	226.0	195.2	19799	-12.1536	8.685488	13.72962	-36.761032	11.942494	0.8847605	119.786452293396
19	10.3433	21.58516	34.70311	-20.323044	-24.860245	23.871244	49.414444	-69.59188	284.5	133.15	20899	-11.274903	9.403259	39.124588	-35.283527	11.044415	0.9863127	126.78408789634705
20	-4.54047	48.93355	87.51903	-54.80005	-11.167149	35.943726	60.251648	-54.634083	200.6	220.1	21999	-10.208788	10.117423	16.439938	-36.221367	9.959184	1.0164688	134.0588366985321
21	-7.241176	26.701117	30.33339	-29.274763	-1.5746295	49.30231	116.091156	-58.442333	294.66666	222.35	23099	-9.2712345	10.806945	18.508787	-35.52216	9.019112	1.0903888	141.5884771347046
22	16.094124	39.008278	63.566124	-40.951366	24.445375	70.18768	187.93668	-53.610874	263.25	231.85	24199	-8.251429	11.537851	20.168766	-40.222263	7.986971	1.1621916	148.83932638168335
23	29.621895	84.29586	137.191	-68.663826	57.162945	57.590958	184.74936	-65.40433	374.0	354.7	25299	-7.0641713	12.405984	21.999947	-36.576412	6.7932873	1.1839367	157.33477091789246
24	24.06245	89.23319	154.14818	-79.202866	22.375652	66.11147	152.13219	-75.750916	295.0	370.15	26399	-5.9762063	13.154072	82.54725	-38.204945	5.7046924	1.2400256	166.74577569961548
25	-4.036935	32.97794	47.556736	-35.5659	43.121346	61.089878	176.14598	-55.227985	250.5	353.45	27499	-5.126333	13.746941	25.361391	-37.69819	4.859796	1.2241954	175.96182370185852
26	25.781162	34.461292	47.565144	-33.873386	57.540405	59.919865	197.36636	-58.90044	324.5	388.6	28599	-4.0724998	14.403656	26.890438	-37.436802	3.8070588	1.2337356	185.38869547843933
27	13.702843	36.79946	61.298733	-28.32349	44.23426	36.614815	93.00796	-38.813328	342.0	368.4	29699	-2.9735413	15.093402	28.231808	-37.22913	2.7080572	1.206116	194.68708992004395
28	64.91811	41.740036	110.23196	9.499364	31.13797	59.589935	145.52762	-64.01548	400.0	339.45	30799	-1.7949922	15.860202	29.984625	-53.705856	1.5277911	1.2373708	202.63242554664612
29	84.860695	20.613993	113.16776	64.67081	10.90674	70.59057	141.95697	-124.18821	400.0	346.45	31899	-0.6114339	16.5206	37.718376	-35.641685	0.3307594	1.2234904	211.57154273986816
30	7.1232877	32.01149	30.562136	-38.13818	56.07771	51.497528	158.54755	-52.874554	285.33334	355.8	32999	0.55431134	17.111473	33.013542	-33.657894	-0.85981214	1.2494148	218.8648202419281
31	50.345554	61.093555	132.96362	-38.168568	45.07827	51.463062	158.68555	-54.00939	317.5	368.65	34099	1.8997002	17.78147	34.52678	-70.940025	-2.225055	1.3218652	227.05269312858582
32	81.82876	11.365504	95.485214	67.65969	70.97304	52.491188	164.11838	-44.047062	400.0	366.3	35199	3.2590663	18.27255	36.862675	-34.549156	-3.5999782	1.3821949	235.24314713478088
33	135.49661	10.2731285	145.76974	125.22349	74.85575	52.054623	169.17278	-37.311794	400.0	347.15	36299	4.885204	18.986818	38.56801	-34.520596	-5.2371793	1.3720707	243.3066930770874
34	-27.698513	64.93589	46.347076	-126.76034	69.32396	42.826977	154.4925	-26.388012	314.25	382.1	37399	6.1318917	19.572908	40.107273	-34.296463	-6.4807734	1.5203454	251.04076027870178
35	117.38306	6.140718	125.10523	110.08124	88.539925	44.57908	187.03532	20.201885	400.0	400.0	38499	7.2927933	19.945913	68.4777	-39.73629	-7.632873	1.5947893	260.2170469760895
36	19.92438	39.839836	53.65039	-36.024883	64.094635	64.211624	202.65012	-48.98721	292.33334	335.6	39599	8.590145	20.37968	45.88701	-89.63627	-8.920198	1.5794799	268.4476783275604
37	95.05251	34.312527	139.76431	56.36672	79.36244	47.665977	152.46307	-22.395119	400.0	381.95	40699	9.846701	20.722977	48.637047	-33.38649	-10.173309	1.672603	276.7696373462677
38	33.79959	45.96502	75.333046	-39.69594	70.19917	50.16606	138.98	-51.258446	318.75	367.0	41799	10.907651	20.993103	53.56241	-34.630005	-11.2251425	1.7357979	284.720112323761
39	60.800613	34.647255	95.44787	26.15336	61.05138	42.822113	137.93839	-28.565777	400.0	365.35	42899	11.825164	21.166471	49.581474	-34.85578	-12.139092	1.802187	294.17140650749207
40	87.53945	17.160908	108.07169	66.06773	67.72508	54.344265	190.73027	-36.603004	400.0	382.9	43999	12.768017	21.260828	48.959618	-34.103123	-13.079163	1.818781	303.7526521682739
41	72.12533	8.584437	84.198166	64.982635	81.07063	45.27103	166.0065	-31.894093	400.0	382.9	45099	13.688835	21.364462	48.518436	-32.56795	-13.991495	1.8239615	311.7410135269165
42	14.156981	13.132024	32.616955	3.1671221	82.45484	55.9129	178.28954	-50.082745	400.0	384.25	46199	14.414236	21.395437	53.181835	-31.734821	-14.714894	1.7759821	320.0178897380829
43	75.48017	30.53726	106.01743	44.942913	69.64065	62.120018	172.60245	-49.918617	400.0	366.95	47299	15.174999	21.392326	52.867905	-31.3595	-15.47408	1.8144873	327.9551525115967
44	76.11306	31.71589	114.23925	36.589226	73.822044	38.2261	133.11559	9.832558	400.0	400.0	48399	15.906275	21.376816	49.270046	-31.71601	-16.194542	1.7175357	337.18963098526
45	31.945318	71.414	122.53692	-30.103195	77.60994	46.056305	163.31236	-2.6297903	260.0	400.0	49499	16.497839	21.342545	55.88615	-31.020319	-16.78342	1.6834912	345.89905619621277
46	64.00473	19.129204	83.133934	44.875526	52.695686	51.58921	178.35794	-45.40331	400.0	367.6	50599	17.214897	21.377394	46.457264	-30.901518	-17.500223	1.6757864	354.04740858078003
47	111.3762	14.103136	129.00389	94.48176	63.306366	77.616516	182.48502	-85.257645	400.0	400.0	51699	17.910412	21.355911	55.580044	-31.081614	-18.190443	1.6678053	361.8341519832611
48	17.365788	84.49573	161.0059	-44.92621	46.91244	67.397896	132.09859	-49.239582	239.75	319.9	52799	18.396946	21.34499	46.768044	-31.732456	-18.6774	1.6301625	369.4460959434509
49	61.680202	30.986727	94.42091	20.084856	61.772747	47.017284	144.33626	-31.973543	400.0	364.8	53899	18.991184	21.268888	51.033688	-32.511276	-19.27959	1.708963	377.81309962272644
50	42.01149	13.791059	61.116528	29.062199	61.842705	38.364357	128.1795	-4.3218513	400.0	400.0	54999	19.637808	21.2241	49.852	-33.280567	-19.933298	1.678079	385.2779607772827
51	73.164955	37.73487	101.159065	19.821642	66.116806	58.74107	205.09882	-48.682987	400.0	384.25	56099	20.30496	21.219425	51.491028	-33.585186	-20.610472	1.6448754	393.22312688827515
52	42.287445	2.7749557	45.0624	39.51249	99.11601	56.344242	188.68217	-15.1162195	400.0	400.0	57199	20.895664	21.147476	48.68029	-33.874554	-21.20068	1.6008439	401.2217297554016
53	72.84165	7.2357383	80.13839	62.980225	66.096176	58.59457	219.67004	-33.470894	400.0	384.9	58299	21.570635	21.121372	95.81883	-33.899628	-21.88192	1.6156218	409.13459157943726
54	116.706635	67.18594	210.74458	57.91591	90.192345	68.51248	231.90137	-3.3400235	400.0	400.0	59399	22.196905	21.16205	49.450222	-32.80655	-22.516771	1.5352536	417.4963982105255
55	104.63149	45.466766	163.88841	53.385834	61.48543	54.625465	202.9008	-39.91696	400.0	367.2	60499	22.939957	21.164497	50.14912	-32.74114	-23.252653	1.4936455	426.85465598106384
56	96.82822	46.82141	143.64963	50.0068	95.98555	44.05072	175.53114	-33.66403	400.0	383.05	61599	23.522308	21.18706	50.730236	-32.49484	-23.838299	1.5099562	436.11163425445557
57	64.26444	16.378437	85.47813	45.60375	95.81661	68.03579	200.55377	-29.19535	400.0	400.0	62699	24.12041	21.202286	51.557533	-32.27508	-24.434866	1.4286065	443.7304298877716
58	49.96412	66.171486	122.2862	-57.10854	90.79082	50.660004	209.1378	13.381716	322.25	400.0	63799	24.670218	21.24716	52.410065	-31.734764	-24.984106	1.5126989	453.04046511650085
59	118.21827	23.014381	141.23265	95.20389	99.197525	52.769356	214.12204	-11.452394	400.0	400.0	64899	25.257448	21.271317	52.67242	-30.767551	-25.570599	1.4483504	461.2361147403717
60	111.33932	44.868324	174.791	79.20999	131.11789	53.981373	212.74834	47.00999	400.0	400.0	65999	25.93039	21.235369	52.855335	-30.789845	-26.24323	1.5005301	469.82098865509033
61	105.64358	28.417143	139.76436	70.19487	114.996765	53.960907	215.14587	51.420956	400.0	400.0	67099	26.46828	21.263008	58.106544	-30.066896	-26.782173	1.4630761	477.8105881214142
62	44.95368	23.309393	76.690895	21.367977	130.05962	36.908924	218.35194	87.875946	400.0	400.0	68199	26.995667	21.172543	66.26267	-30.052986	-27.311073	1.4631956	486.02136850357056
63	103.48647	3.9255295	107.412	99.56094	90.98379	44.230232	206.82549	10.738468	400.0	400.0	69299	27.589272	21.068043	60.52	-30.894608	-27.900303	1.4131141	494.5213963985443
64	122.557945	65.80887	215.62163	75.26926	107.687584	43.437008	182.70331	23.623161	400.0	400.0	70399	28.008007	21.082087	56.957027	-28.766535	-28.309593	1.4633527	502.3831284046173
65	161.11299	41.8192	216.33217	115.162186	96.35037	43.688942	177.93112	22.887518	400.0	400.0	71499	28.530882	21.051836	57.882908	-29.236942	-28.823856	1.4358792	510.9733211994171
66	114.03901	102.57642	207.39038	-28.798138	90.86553	62.583885	166.13792	-33.55489	400.0	382.55	72599	28.946661	21.046148	70.29943	-30.009453	-29.232763	1.4267819	520.4911901950836
67	127.1888	17.211803	144.4006	109.977	94.375946	67.98209	219.2834	-68.33595	400.0	383.05	73699	29.239542	21.05309	59.988506	-30.419235	-29.523746	1.4829717	528.9423670768738
68	57.31168	59.524696	101.2021	-26.842915	108.453285	41.125633	187.08954	8.728831	400.0	400.0	74799	29.567633	21.00159	58.026134	-30.34071	-29.847359	1.4178764	538.4157242774963
69	122.46857	16.804384	138.4348	99.24109	98.87215	53.010876	181.22914	-30.728386	400.0	400.0	75899	29.917833	20.932394	58.123375	-30.418663	-30.191473	1.4291214	546.894513130188
70	129.16682	52.903603	183.28932	57.370205	97.34785	61.581123	179.46048	-49.15186	400.0	384.3	76999	30.231142	20.97481	64.44672	-30.148823	-30.499105	1.4208033	556.1933176517487
71	133.74069	6.156414	139.89711	127.58428	112.98196	49.16652	213.86143	-1.3866465	400.0	400.0	78099	30.546476	20.962015	57.643562	-30.042902	-30.806282	1.4424021	564.4931259155273
72	80.591835	88.56772	180.50848	-34.779472	73.228836	65.7367	202.17317	-30.919641	400.0	400.0	79199	30.777138	20.86465	56.977684	-29.834503	-31.029272	1.4377884	572.7734091281891
73	71.68808	40.569267	120.115326	20.830515	112.862404	70.73471	209.85167	-62.509846	400.0	386.1	80299	30.84556	20.899988	67.14554	-30.7587	-31.091797	1.4280851	581.0538196563721
74	46.883102	82.37987	143.88477	-42.476208	79.443344	74.47325	189.21944	-57.20853	249.25	351.65	81399	31.02309	20.867725	56.530727	-31.398756	-31.26939	1.4286642	589.1059489250183
75	124.25376	16.54514	140.10939	101.42421	89.14873	69.92555	185.37589	-54.062553	400.0	354.45	82499	31.129377	20.88689	57.182755	-33.889206	-31.374752	1.3715751	597.1933615207672
76	106.42609	34.72933	149.57614	64.53496	93.50188	54.865196	169.58473	-40.000523	400.0	366.0	83599	31.356728	20.813835	56.337456	-32.275417	-31.598423	1.3360604	605.1366605758667
77	132.07198	33.57535	165.64732	98.49662	87.164696	59.005886	205.169	-48.819668	400.0	367.2	84699	31.571058	20.769455	56.369823	-32.544174	-31.810843	1.4099602	613.6290774345398
78	111.44805	66.56259	177.43997	20.317177	87.42477	57.33679	167.0922	-31.28085	400.0	382.35	85799	31.821299	20.794481	56.421577	-33.06268	-32.059937	1.3330439	621.6525881290436
79	93.71253	13.415114	111.5183	79.13833	69.97989	63.61902	141.30684	-97.581345	400.0	367.05	86899	31.937128	20.811838	65.781555	-32.883286	-32.176605	1.3408723	630.0909585952759
80	60.54674	50.57842	114.417984	-7.140342	87.267426	34.10591	157.45029	31.811785	400.0	400.0	87999	32.18092	20.711185	61.465435	-32.72877	-32.422752	1.3365725	638.1779224872589
81	37.216896	66.2528	112.72082	-48.5821	75.65928	73.50666	178.1855	-58.49135	309.66666	341.4	89099	32.347458	20.70194	60.30327	-33.38552	-32.58994	1.3348712	646.433536529541
