Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-126.21295	51.89926	-78.323105	-206.8227	-28.064692	7.033666	-10.909142	-38.120777	263.75	58.45	1099	-0.64013886	0.75525117	20.760048	-18.960772	0.5709771	0.613223	0.9446771144866943
2	-64.8316	32.66586	-24.59445	-106.836586	-18.176151	6.20873	-7.497844	-28.820341	200.6	46.55	2199	-1.6830833	1.0044246	2.5582242	-9.601158	1.6522405	0.045373376	7.820559501647949
3	-139.66147	85.72755	-53.619907	-281.06638	-22.606834	5.641653	-8.472205	-33.493874	273.0	52.45	3299	-3.4607308	1.7354654	6.494366	-9.230498	3.4181976	0.110757515	12.232014656066895
4	-103.67189	21.598097	-73.52074	-130.74435	-17.53035	8.302833	0.7829349	-31.339205	248.4	52.55	4399	-5.1378813	2.5240786	1.6361085	-12.354658	5.087068	0.24193165	16.63254976272583
5	-66.878746	19.941809	-40.42561	-98.46434	-20.941898	7.1279945	-6.4837637	-32.78911	152.71428	52.2	5499	-6.9823017	3.3523476	2.6891305	-19.567879	6.94266	0.55020136	21.161999940872192
6	-79.476006	22.182896	-50.722775	-121.618385	-22.386219	4.847433	-13.560588	-31.215109	173.83333	51.7	6599	-8.526246	3.83132	4.8719893	-21.840157	8.479629	0.7857876	25.718387842178345
7	-56.085476	21.928986	-30.16118	-97.63777	-20.114246	7.324856	-4.701306	-28.868694	171.83333	50.9	7699	-9.838395	4.3974705	1.7716494	-23.824404	9.783167	1.0696446	30.263513326644897
8	-78.75671	35.618515	-31.484926	-135.7231	-19.998161	6.535843	-8.931575	-30.924768	194.0	51.7	8799	-11.099173	4.7670507	0.6064474	-26.727442	11.042911	1.3002278	35.356064796447754
9	-102.22729	18.16636	-75.98529	-128.75288	-17.889282	5.935327	-2.075554	-26.279491	194.16667	51.5	9899	-12.307764	5.086732	0.77560294	-29.486732	12.257573	1.4419433	39.96178412437439
10	-86.067535	32.508877	-42.49288	-137.70334	-19.233944	5.655592	-8.128005	-30.49296	212.6	52.2	10999	-13.519271	5.2707047	1.2762923	-30.949705	13.456611	1.820166	44.25071716308594
11	-69.32852	21.862642	-43.214226	-95.1283	-20.042423	5.495241	-12.9415245	-29.154	167.33333	49.6	12099	-14.343189	5.4031196	0.0192976	-32.0946	14.2721	1.8910651	48.10784387588501
12	-70.62482	24.718552	-33.45352	-98.3617	-16.657139	6.5429206	-4.7212224	-25.663372	239.75	51.1	13199	-15.055352	5.4995003	2.2908638	-32.981407	14.993734	1.9891782	51.95952868461609
13	-128.74258	64.68466	-41.450638	-203.28828	-34.812042	10.577739	-21.251736	-71.341484	305.0	90.6	14299	-15.780571	5.6298985	-0.33570743	-34.88914	15.686556	1.9676895	56.50871706008911
14	-76.966995	29.777067	-32.474068	-117.14915	-59.294544	23.078062	-23.3614	-99.284355	173.28572	163.95	15399	-16.231668	5.557445	-1.7398508	-34.20309	16.09975	2.037183	61.8128981590271
15	-135.73952	30.30284	-104.26239	-176.66312	-70.777306	36.858177	-20.852428	-175.83966	297.0	160.7	16499	-16.41522	5.6101637	-1.3804878	-34.073643	16.280575	1.9937273	67.44420266151428
16	-56.912178	50.390476	-12.941891	-186.96913	-29.868225	14.591444	-9.216964	-62.663242	134.4	67.1	17599	-16.706438	5.4823155	2.7508464	-32.461952	16.581402	1.883671	72.77069926261902
17	-26.810762	7.0591865	-14.630409	-41.79503	-33.00808	10.170773	-9.489466	-56.00605	62.055557	74.05	18699	-16.660942	5.1635933	0.8314682	-31.151115	16.540064	2.0044754	77.73680925369263
18	-31.998528	19.192245	-6.331231	-91.08106	-27.75241	8.77735	-9.383019	-39.933628	69.0	69.8	19799	-16.729319	5.100371	0.5218942	-30.577068	16.614435	2.0922456	82.21294617652893
19	-23.208761	11.715233	-2.937983	-47.106007	-19.871716	6.031382	-8.309612	-29.137861	57.42105	56.1	20899	-16.706867	5.1141596	0.52084756	-30.225851	16.59259	1.8798333	87.03936672210693
20	-23.080523	10.883095	-6.64216	-45.239662	-20.73898	10.048905	-2.997131	-43.14569	56.25	55.95	21999	-16.544273	5.1180763	2.1784472	-30.262054	16.407648	1.6299407	91.3680350780487
21	-24.574146	9.904531	-8.866492	-42.993465	-22.015041	8.901596	-2.781333	-36.31605	57.736843	54.6	23099	-16.318975	5.218265	6.0238743	-30.46413	16.167528	1.4580632	95.80369091033936
22	-27.453722	6.171736	-14.512236	-42.527237	-19.094002	7.3160896	-7.605372	-34.220196	55.31579	57.35	24199	-15.926583	5.295625	8.754544	-30.588337	15.7621	1.2956406	100.49334073066711
