Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-83.53795	22.571117	-57.046886	-119.86669	-19.000065	7.783552	-3.633821	-32.772015	191.4	50.85	1099	-0.43569118	0.22093478	0.3942647	-1.2110904	0.4369139	0.03253479	1.1715965270996094
2	-87.206665	50.55019	-52.81596	-187.17038	-38.59046	26.991203	-11.408568	-120.45704	217.2	93.7	2199	-1.5696534	0.83235425	-0.063462175	-4.8065224	1.5666007	0.030976081	10.0950927734375
3	-100.20243	28.403402	-64.719185	-135.9954	-20.910847	7.064533	-3.6864076	-33.048958	228.8	59.15	3299	-3.5696213	1.3812035	-1.1549379	-7.894836	3.559244	0.088776454	23.019972324371338
4	-57.90099	12.051624	-41.276615	-70.56947	-38.119427	28.611712	-13.600886	-116.72254	175.66667	120.75	4399	-5.1613216	1.9671264	-0.9468169	-10.859827	5.136758	0.18897167	32.476806640625
5	-93.99874	14.217249	-72.837494	-114.65805	-29.721024	16.155571	-10.489148	-70.94484	205.83333	74.6	5499	-6.6153393	2.5241966	-0.5212863	-13.458744	6.582509	0.32669866	42.595775842666626
6	-105.31683	8.73354	-95.07417	-120.43315	-28.027136	22.822136	-7.595784	-88.43959	203.2	75.1	6599	-8.059631	3.022238	-0.15341797	-15.786927	8.003958	0.4375428	52.05736970901489
7	-86.65561	36.668842	-44.36757	-138.64194	-38.799404	23.878868	-7.1380835	-87.55392	195.16667	103.15	7699	-9.568752	3.5163064	0.16171052	-17.847078	9.511055	0.58548	61.027604818344116
8	-75.17188	31.610697	-25.354532	-116.14461	-36.805717	16.330467	-19.555511	-94.042534	196.8	107.9	8799	-10.818881	3.8517604	0.34816748	-19.67695	10.752818	0.75978374	71.6638548374176
9	-83.85148	30.896957	-35.636066	-120.84339	-52.001953	25.272837	-11.495411	-121.65573	227.5	145.3	9899	-11.6129265	4.2741218	0.73936063	-21.121136	11.531802	0.863683	82.72256278991699
10	-117.83078	28.557539	-76.80164	-150.03273	-42.1681	16.246452	-19.27018	-82.197655	274.75	103.35	10999	-12.460131	4.6558776	1.101	-22.5997	12.375405	1.0042039	92.37889337539673
11	-115.9474	25.019901	-83.02072	-144.32964	-32.80976	26.326948	-8.319633	-137.65533	281.2	82.85	12099	-13.255826	5.0922484	1.4383457	-23.986103	13.163801	1.1110662	101.89671564102173
12	-124.94793	36.152004	-90.84165	-176.536	-28.980373	12.521377	-9.251954	-52.150066	244.75	74.65	13199	-14.113591	5.4482026	1.6221142	-25.035772	14.013062	1.1697344	111.6871588230133
13	-80.2437	22.509424	-53.680862	-120.707214	-38.039852	39.058052	-8.616819	-151.64134	243.2	101.75	14299	-14.683258	5.6625977	1.7828206	-25.735476	14.575261	1.2463317	122.66768956184387
14	-64.05708	47.458138	-18.05234	-175.09077	-44.387054	35.27804	-13.327194	-131.46205	137.125	127.45	15399	-15.241299	5.841768	1.8146589	-26.773285	15.132095	1.3180845	134.14993977546692
15	-90.17893	35.554523	-42.695946	-128.24559	-48.92607	49.459614	-4.0745764	-162.45937	297.0	133.55	16499	-15.54306	5.979239	1.6413308	-27.70834	15.420456	1.3711354	148.055335521698
16	-103.3162	60.051884	-19.907005	-179.39532	-50.04403	42.23391	-17.528921	-161.33229	251.4	140.25	17599	-15.8778105	6.0891123	1.3892714	-28.61904	15.740809	1.3170952	158.58032155036926
17	-78.13964	49.607716	-20.742378	-170.18333	-47.87102	33.24516	-11.905461	-113.23385	214.6	142.75	18699	-16.040808	6.192333	1.594897	-29.45473	15.883505	1.3529903	168.54509663581848
18	-41.473557	27.65436	-9.377905	-106.66298	-40.81565	33.006393	5.4943895	-131.55624	127.333336	135.6	19799	-15.965687	6.4251533	1.8298552	-30.144308	15.784553	1.3645349	177.20111179351807
19	-49.237846	34.628777	-9.674577	-121.20002	-26.996017	17.25695	0.51560116	-71.61869	143.625	125.0	20899	-15.707782	6.636967	2.0866709	-30.841064	15.498416	1.4391981	186.55342507362366
20	-26.592642	14.775564	-8.869922	-58.262913	-23.635136	17.358889	14.758017	-61.04488	92.416664	188.05	21999	-15.2570095	6.8284254	2.8131032	-31.116652	15.030061	1.4449863	195.17501044273376
21	-2.520937	61.59807	59.07713	-64.119	-7.749785	24.14182	47.8767	-53.97916	388.5	213.45	23099	-14.551771	7.1868215	3.8187187	-31.3701	14.300444	1.3708766	206.04637503623962
22	-7.262465	37.864414	68.88593	-36.02013	-5.6117415	39.338688	79.80013	-62.912422	203.66667	234.2	24199	-13.546751	7.6150947	5.1203265	-31.026588	13.263915	1.262816	217.20000314712524
23	51.94377	49.159584	115.943825	-3.5720284	18.482866	51.006935	112.0253	-52.450207	332.66666	303.2	25299	-12.423354	8.041298	6.6971726	-30.0175	12.136262	1.1708312	228.6878740787506
24	14.207856	59.06157	140.06169	-28.136524	31.006199	61.59503	130.5789	-60.674187	210.0	340.9	26399	-11.213724	8.600284	8.034528	-29.324007	10.922359	1.1070955	241.71007871627808
25	34.530743	56.922222	106.53171	-32.64834	30.42841	50.710194	137.54062	-49.340355	387.33334	380.9	27499	-10.000937	9.196597	9.385159	-29.533606	9.709833	1.014319	254.51771354675293
26	82.9447	20.108294	111.37777	68.29727	60.795918	53.869755	174.221	-28.233446	400.0	364.45	28599	-8.790462	9.711309	10.635347	-29.663803	8.503033	0.92795086	265.9847056865692
27	29.281664	19.662317	48.94398	9.619347	44.88959	29.918896	101.10098	-14.020181	400.0	400.0	29699	-7.612979	10.159358	11.763209	-29.692038	7.3324256	0.8891302	278.52881360054016
28	36.789097	5.2834935	43.195004	30.255043	35.144203	55.567825	131.89845	-50.584072	400.0	366.7	30799	-6.5655427	10.518697	12.748871	-29.598362	6.2954683	0.8406555	289.92607021331787
29	60.309017	43.259792	103.63114	1.2379373	3.0484912	52.309517	124.50833	-64.81609	400.0	366.85	31899	-5.517907	10.954051	13.706835	-29.284296	5.252628	0.7980842	301.7748212814331
30	-39.103344	10.964069	-24.320177	-50.54582	18.489666	59.441635	123.33449	-83.928444	297.0	357.3	32999	-4.6813064	11.225761	14.889773	-28.835464	4.4208302	0.7845529	313.07404375076294
31	-13.68333	57.616932	27.599619	-95.16357	2.9996598	61.066067	129.59038	-148.97678	400.0	382.3	34099	-3.911157	11.47613	16.169233	-28.320198	3.6553836	0.79471093	327.3336832523346
32	41.11797	47.74365	88.629364	-24.185104	22.34637	67.13699	109.15414	-116.17958	400.0	400.0	35199	-3.038897	11.789959	17.216022	-27.848623	2.7879012	0.76512855	339.42687010765076
33	17.679682	50.72492	83.52105	-39.902943	41.239162	66.035484	151.80275	-89.33291	400.0	400.0	36299	-2.2039802	12.092921	18.31332	-27.80642	1.9581711	0.76454693	353.66685605049133
34	12.102703	14.641476	26.744179	-2.5387735	65.685585	43.27478	141.59285	10.564369	400.0	400.0	37399	-1.567713	12.348173	19.284365	-27.64149	1.327475	0.7454468	367.06999158859253
35	101.09082	7.0741005	110.5894	93.62177	50.48559	38.906902	121.68103	-53.535034	400.0	400.0	38499	-0.78031933	12.7304735	20.198324	-28.178818	0.5426465	0.7132493	383.0922739505768
36	29.570984	27.611326	60.00949	-6.8308325	71.75832	44.87909	141.1132	-12.315359	400.0	400.0	39599	-0.06851878	13.079332	21.069576	-28.969152	-0.16575375	0.7468719	396.5064871311188
37	33.881493	46.116203	84.71839	-26.91723	55.833782	45.01469	126.853546	-27.89391	400.0	400.0	40699	0.68262106	13.403658	21.98282	-29.728212	-0.9128374	0.70364326	411.5007092952728
38	55.449768	25.779928	81.2297	29.669842	51.269005	59.716007	158.29585	-69.72411	400.0	400.0	41799	1.3862367	13.67562	22.74144	-30.257368	-1.6136448	0.7040167	424.7953464984894
39	43.69972	33.23749	85.65798	4.370534	59.71946	43.649384	137.86598	-32.043835	400.0	400.0	42899	2.0272903	13.918545	23.551487	-30.630373	-2.2532527	0.68913794	440.1778721809387
