Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-69.2313	28.115044	-32.293404	-100.52851	-34.782707	13.299703	-11.079993	-68.27209	201.6	97.55	1099	-0.23722403	0.32102415	1.1156524	-1.2309142	0.21711786	0.0312513	1.8718979358673096
2	-106.12854	31.675388	-60.63577	-160.14325	-30.466284	20.937174	-12.579795	-117.21055	234.8	71.95	2199	-1.3184592	0.9535988	1.2597697	-4.5856614	1.281824	0.015597778	8.972906112670898
3	-96.45081	43.010227	-51.15693	-154.25693	-24.576723	7.913158	-11.212428	-39.11159	327.33334	65.45	3299	-2.7137938	1.6269618	2.0729225	-7.171521	2.6705997	0.040811207	16.03586745262146
4	-116.92344	35.406776	-76.986824	-174.43446	-27.93396	6.240622	-15.248964	-38.614704	241.0	62.5	4399	-4.2329335	2.5803785	2.6806905	-11.045462	4.180087	0.09278317	22.494948863983154
5	-81.2124	29.128868	-44.80101	-138.96935	-24.890873	5.99075	-14.394154	-36.39026	180.66667	59.15	5499	-5.955634	3.1265733	3.283742	-13.377625	5.891078	0.18518075	29.37448000907898
6	-124.91429	38.88099	-83.86273	-188.90761	-21.184343	4.5245786	-14.24257	-31.233007	221.8	60.25	6599	-7.700252	3.6776052	3.732478	-16.06657	7.627776	0.30056402	36.870776414871216
7	-73.33577	45.051727	-35.744396	-150.17166	-23.224075	7.281319	-9.981431	-37.722942	249.5	57.4	7699	-8.953179	4.348232	4.126835	-18.789698	8.859286	0.4192673	44.21222901344299
8	-104.06418	17.686804	-83.17229	-131.99059	-27.943735	9.1057825	-10.4997835	-46.39769	275.75	67.75	8799	-9.795594	5.033192	4.444413	-20.946398	9.688456	0.5365347	50.87226223945618
9	-136.33902	51.93235	-67.64062	-213.94637	-33.33927	8.904274	-15.633504	-47.96605	300.75	74.95	9899	-10.689595	5.485947	5.0268054	-22.81285	10.557108	0.56896347	57.661765813827515
10	-103.44061	41.818016	-56.328606	-157.75992	-27.015263	8.204632	-8.200946	-38.334084	224.25	66.45	10999	-11.434527	5.805333	5.6429896	-23.736267	11.257713	0.55921686	64.87939810752869
11	-116.220215	71.804565	-20.159714	-212.40353	-24.85658	8.216623	-4.5670347	-36.465885	309.75	65.8	12099	-11.804905	6.1456656	6.3243036	-24.830845	11.656686	0.520257	76.97147679328918
12	-91.280075	42.69742	-35.7265	-133.19089	-22.222143	6.643213	-9.825069	-34.057533	239.5	65.25	13199	-12.285989	6.618287	6.795542	-25.98018	12.153833	0.5437541	85.72087287902832
13	-116.05916	51.1869	-56.931496	-197.36479	-30.458065	9.958403	-13.030582	-52.81036	266.2	65.4	14299	-12.9490385	6.9336348	7.274124	-27.57747	12.827948	0.5530013	93.43206548690796
14	-56.276707	35.436085	-23.213215	-119.843765	-33.672634	20.227844	-8.111844	-99.03679	122.333336	67.5	15399	-13.56617	7.317759	8.124989	-29.064672	13.456263	0.6064864	100.96636867523193
15	-30.412304	14.091312	-6.9154363	-58.343052	-27.864395	9.843034	-7.1165185	-53.462807	73.2	66.75	16499	-14.133314	7.6256695	8.837262	-29.979567	14.015388	0.7085535	108.81752729415894
16	-26.862417	7.043606	-14.109119	-44.72433	-28.350666	11.799546	-7.7699823	-59.87547	69.666664	70.45	17599	-14.378356	7.9054213	9.262135	-31.34164	14.244682	0.7899955	116.24812960624695
17	-24.39656	9.933766	-9.110163	-51.14666	-23.754421	8.709076	-3.4672322	-38.286125	68.6875	70.35	18699	-14.370668	8.18554	9.937691	-32.745323	14.21057	0.84317243	124.65658068656921
18	-29.389587	13.46962	-9.99635	-54.704975	-20.876966	12.58365	4.2830815	-40.05509	87.38461	91.15	19799	-14.184916	8.450536	10.694302	-33.790607	13.994732	0.89205825	132.79966235160828
19	-43.703247	23.947252	-16.935625	-108.01556	-29.051712	16.796085	-3.894025	-56.06901	112.3	109.2	20899	-13.830048	8.685288	11.573402	-34.77152	13.627284	0.9069414	142.14000821113586
20	-25.90638	15.743316	-5.272882	-57.22361	2.0028887	55.534935	135.75099	-87.126045	117.44444	279.15	21999	-13.484468	8.900062	12.42963	-35.700275	13.27166	0.8845072	151.85183215141296
21	-10.498663	21.790066	18.648737	-41.095898	63.62622	50.791363	135.42113	-55.925507	270.75	383.15	23099	-12.780902	9.379559	13.324874	-36.216053	12.5570345	0.89954716	161.09073996543884
22	-18.13587	26.990795	11.843772	-53.587128	42.10853	57.472984	135.8732	-40.851192	287.33334	280.8	24199	-11.939989	9.978251	14.231863	-36.35149	11.709947	0.8876577	168.88287019729614
23	12.614155	27.948196	58.962326	-15.299046	30.564413	47.078705	115.17969	-36.666054	265.5	334.05	25299	-10.972387	10.659693	15.37435	-36.38393	10.733554	0.90792656	177.4254539012909
24	64.34879	46.844772	119.85755	5.277766	11.181026	45.20331	110.55963	-65.432014	400.0	338.4	26399	-9.866863	11.457064	16.342318	-36.407635	9.619635	0.8843496	185.41631937026978
25	36.560467	84.6037	129.16333	-52.97917	15.748158	52.879734	137.90257	-49.884914	328.0	350.7	27499	-8.744919	12.157293	17.707825	-36.4411	8.488288	0.89696985	192.93973851203918
26	40.25918	3.2399807	43.499157	37.019196	21.702633	54.437454	123.05348	-62.55522	400.0	336.2	28599	-7.6395783	12.774098	19.38554	-36.720306	7.3751764	0.91517514	201.27215909957886
27	50.733593	58.848404	125.70645	-18.041887	42.79639	43.939144	120.91278	-55.21689	400.0	384.25	29699	-6.454323	13.38299	20.785633	-36.856018	6.185698	0.9362922	209.35763883590698
28	32.98672	30.14348	60.37819	-8.997257	26.26972	38.507904	70.76229	-51.772728	400.0	382.9	30799	-5.318954	13.84623	22.090193	-37.032967	5.0531616	0.94236404	216.85009384155273
29	35.534153	10.176653	45.008446	21.414858	20.489504	50.361485	161.41556	-48.61803	400.0	383.75	31899	-4.234761	14.275171	23.309006	-36.643353	3.9733007	0.91501135	225.02739000320435
30	45.36566	94.61257	124.41121	-87.651276	11.550969	35.32873	65.4283	-48.58932	324.0	384.25	32999	-3.175867	14.676762	24.534151	-36.31105	2.9209766	0.90067995	234.61173272132874
31	17.572119	35.901157	77.62725	-17.346766	20.448359	48.93238	138.19684	-47.678093	314.25	383.85	34099	-2.2587562	15.031486	25.522514	-36.19797	2.0042129	0.891266	242.27319407463074
32	69.67818	37.451027	107.1292	32.22715	39.268433	44.02411	148.97606	-46.180428	400.0	400.0	35199	-1.3199093	15.306472	26.432411	-36.03715	1.0694516	0.9279705	250.1718134880066
33	0.07574018	18.521126	26.268555	-13.044201	36.76632	40.000923	108.10412	-53.71602	400.0	384.95	36299	-0.4159349	15.527648	27.139738	-36.34045	0.16062458	0.8889616	257.9311637878418
34	44.848984	3.1915865	47.71107	40.395412	49.345287	42.54711	132.44655	-19.28161	400.0	400.0	37399	0.44398043	15.70871	27.959793	-36.374474	-0.6966519	0.88729423	265.83904337882996
35	16.384047	36.988316	50.783485	-34.943554	49.019287	36.720562	128.67972	-10.661357	306.0	400.0	38499	1.256344	15.904389	28.671665	-35.75403	-1.5103695	0.8413347	273.43154191970825
36	32.580177	24.686829	67.16644	11.163709	41.27063	51.196823	161.44646	-63.448036	400.0	400.0	39599	2.0783842	16.080814	29.62795	-35.386467	-2.3227832	0.8273561	282.5879123210907
37	37.85026	16.433533	52.491405	14.898979	13.564562	76.35905	133.69815	-188.6322	400.0	400.0	40699	2.7877154	16.201704	30.069368	-34.99084	-3.0247753	0.84527284	291.6030042171478
38	-67.26641	81.34664	14.08023	-148.61305	46.104385	54.21312	166.11066	-43.86265	400.0	400.0	41799	3.32409	16.25406	30.561512	-34.635414	-3.553975	0.8166416	300.42343282699585
39	60.0844	29.279743	99.18849	28.737965	23.763514	44.588634	93.534836	-60.852398	400.0	400.0	42899	3.870423	16.39742	30.924473	-34.1053	-4.0975533	0.8038433	307.72142791748047
