Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	83.21881	65.6454	156.3582	-2.8680518	0.21672817	22.98765	28.723883	-41.8247	332.33334	50.55	1099	-0.10523451	1.0099871	38.114708	-24.784302	0.07026748	0.5887299	1.7774372100830078
2	50.191437	54.566414	166.78625	-1.0111333	2.0379415	22.163134	27.715181	-59.129345	194.66667	50.4	2199	0.8262563	1.837433	17.65445	-10.087401	-0.89733535	0.09401648	9.598904609680176
3	-88.62938	48.216446	-16.860518	-159.50163	4.218594	18.926811	27.513777	-34.603424	181.2	49.6	3299	1.5534501	4.2397594	13.844535	-22.321388	-1.6184297	0.25664097	17.368079662322998
4	29.195831	156.82036	270.35287	-224.06499	5.6287265	16.84619	30.628279	-32.95778	247.6	49.8	4399	2.1291502	6.8503084	25.186113	-29.882622	-2.2024784	0.6493743	23.938332080841064
5	35.13731	60.437218	119.02695	-78.36178	-3.9569023	19.943083	25.592268	-42.591736	182.16667	46.6	5499	2.8357575	8.763977	25.927853	-35.797367	-2.9322586	0.9660205	29.289270877838135
6	93.47291	60.85295	174.3581	27.578144	0.78273886	20.250685	27.555407	-37.207336	349.33334	48.05	6599	3.986845	10.616574	27.95044	-39.73582	-4.1105156	1.39	35.57831144332886
7	32.5343	61.615345	125.515205	-46.793312	-5.80611	19.4089	25.302317	-47.83583	247.5	50.1	7699	4.95117	12.30383	28.822386	-44.17883	-5.0760593	1.5667394	42.22516632080078
8	32.939682	118.432625	173.18976	-154.4146	1.1190951	19.528692	24.526026	-43.932976	285.25	48.75	8799	5.8217063	13.83227	32.1521	-47.88017	-5.949118	1.9191619	48.46628546714783
9	47.219563	143.2147	216.2786	-141.19746	-8.686587	26.355028	30.619959	-56.573273	249.4	66.0	9899	6.810767	15.376782	33.764088	-50.601738	-6.963883	2.4310176	54.67686080932617
10	121.83209	85.09604	243.76326	3.402142	-1.420416	26.832684	37.363533	-49.039043	276.5	65.7	10999	7.999649	16.751228	37.088276	-51.942513	-8.192125	2.6523237	61.23210787773132
