Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	13.114464	82.106384	170.91574	-65.9407	-14.223669	14.569442	9.260539	-37.24886	202.6	48.5	1099	0.062377565	0.5701015	11.86377	-3.9480772	-0.11099077	0.15965018	1.0177438259124756
2	-100.98784	117.947945	50.483967	-251.2828	-9.970308	18.20073	23.973389	-43.09611	255.0	48.6	2199	-0.08929385	2.066664	13.249867	-11.056399	0.034717284	0.058805086	7.5047361850738525
3	34.844013	49.205803	89.93499	-32.11657	-1.2695414	18.1447	22.644278	-30.152327	247.25	48.35	3299	-0.27263466	4.429994	12.064607	-10.417062	0.21926105	0.1762438	14.12135362625122
4	-76.722534	155.81718	104.203705	-318.07684	4.341004	22.491064	29.30717	-38.231647	335.5	61.55	4399	-0.08865697	6.798934	24.698036	-14.858972	0.0010200917	0.32194757	20.8259596824646
5	-10.590367	39.67449	25.926098	-82.655846	9.85491	18.627768	29.53373	-40.62819	204.0	60.4	5499	-0.32487482	8.938653	31.661913	-18.123598	0.2080242	0.4860214	27.439234495162964
6	79.02632	55.467495	152.11314	-3.3673594	-1.234264	17.458393	27.56275	-40.15431	290.75	57.2	6599	0.04984033	11.246603	26.705744	-22.317327	-0.17489065	0.72019327	33.87209105491638
7	-35.38458	64.74392	30.269949	-124.86917	-6.891909	20.925905	31.781534	-51.739105	186.5	59.4	7699	0.50332946	13.555497	30.45167	-32.61868	-0.650628	1.0485291	40.60017991065979
8	-5.77699	41.98005	58.227413	-69.12752	0.9079062	25.667763	42.39059	-35.08249	218.0	65.7	8799	0.59371066	15.500669	38.23985	-33.314728	-0.7811239	1.3072138	47.34404110908508
9	43.663143	41.30181	68.892784	-38.75637	0.7290468	21.069195	38.959522	-42.43574	220.4	59.5	9899	1.4333516	17.223032	42.217793	-36.051025	-1.6174598	1.3462517	54.213868618011475
10	-75.98543	92.04426	29.789898	-175.66391	3.7850819	20.707659	34.50124	-44.750484	225.5	63.3	10999	1.9260118	18.739828	56.095684	-39.585083	-2.1106462	1.5559014	60.83084583282471
11	12.514234	95.384796	166.20097	-86.574356	0.3003438	18.65086	39.371883	-38.521027	277.0	63.5	12099	1.6514121	19.976036	53.200405	-43.128967	-1.8621422	1.8491211	67.71149778366089
12	21.25933	78.51748	87.37717	-111.976585	5.8465524	19.937906	23.353855	-45.410572	302.0	57.0	13199	2.4501553	21.12724	99.44652	-47.719543	-2.6537094	1.9642138	73.89084029197693
13	3.1513345	46.123558	45.666855	-85.73164	1.472108	13.905413	21.686989	-24.846882	197.33333	57.95	14299	2.4628563	22.410688	65.66953	-53.58147	-2.6574671	2.2032092	80.98952293395996
14	13.105308	46.880253	95.89876	-75.38077	-5.124538	21.914968	22.137428	-48.025066	160.71428	59.2	15399	3.0328615	23.613907	62.53448	-54.207714	-3.266638	2.4638224	88.98095607757568
15	12.569698	30.993303	89.053276	-59.315777	4.1894975	40.033463	116.065605	-60.094334	82.15385	86.8	16499	3.9361882	24.603306	75.08019	-53.935677	-4.20508	3.1307182	95.17139983177185
16	-0.96568865	25.160343	42.86813	-48.27691	-10.204432	32.178017	33.49498	-71.77475	93.083336	74.4	17599	5.028256	25.4082	67.425896	-53.49753	-5.369305	3.228319	101.89801239967346
17	-10.034521	37.685364	99.17926	-45.860188	1.0040805	35.49112	53.645844	-64.14312	76.61539	89.85	18699	5.7482104	25.862331	71.375626	-53.049557	-6.104919	4.1221333	108.97889399528503
18	10.944916	47.714085	111.1534	-60.95902	50.410114	65.28625	212.47685	-40.350838	109.36364	203.45	19799	7.1090956	26.322296	68.79029	-52.7933	-7.539424	4.3918447	116.56594443321228
19	78.92229	124.21326	265.4631	-58.353683	71.23546	101.913376	241.55608	-130.1098	187.83333	261.35	20899	9.141884	27.484394	67.74836	-53.531612	-9.657342	5.0397177	124.41642451286316
20	102.17759	114.57686	285.65573	-10.970415	150.17136	126.4143	298.0126	-49.04934	199.2	263.45	21999	11.826112	28.73799	77.19744	-53.75139	-12.383304	5.1678143	133.2836377620697
21	99.96578	132.91364	291.6245	-30.078722	172.81819	125.21171	302.76602	0.46913138	235.5	268.0	23099	14.863158	30.07878	85.94717	-53.320538	-15.469279	5.2833457	141.2636911869049
22	171.6152	114.88562	290.84567	30.510614	169.88646	119.42549	302.8091	6.8210044	259.75	264.2	24199	18.05155	31.460281	90.190994	-52.11302	-18.67201	5.156692	148.95531249046326
23	249.52351	27.60953	288.20117	225.55238	267.12378	61.608578	303.16135	27.82081	393.66666	384.7	25299	21.409552	32.93744	95.53031	-51.091022	-22.069258	5.0508976	157.68195390701294
24	291.61896	5.066322	296.40207	284.60757	245.5668	88.71988	302.46628	-29.74095	400.0	361.8	26399	25.209204	34.341385	98.81132	-48.989742	-25.93234	5.125421	167.604350566864
25	273.52026	33.88339	298.946	225.63248	261.2555	61.250324	297.98038	75.4303	400.0	388.5	27499	28.919552	35.481964	105.89436	-48.47206	-29.665318	5.188451	176.59694075584412
26	254.78748	35.04138	289.82886	219.7461	257.65912	57.181076	297.35867	73.90643	400.0	392.2	28599	32.464783	36.120934	117.538574	-47.933918	-33.231945	5.0441318	185.6564118862152
27	220.41852	79.14706	295.7638	87.33359	212.74094	93.88009	300.95004	-64.694336	350.25	361.8	29699	35.861588	36.423504	111.521805	-49.78222	-36.632984	5.071084	194.0459885597229
28	273.07217	12.539185	285.61136	260.533	247.18225	34.5409	295.95825	165.92032	400.0	400.0	30799	38.829117	36.614883	113.65981	-50.316082	-39.5787	4.576823	203.0507607460022
29	260.1012	31.463486	294.0714	218.22745	260.6503	74.34657	297.73022	-52.202843	400.0	383.95	31899	41.702534	36.86017	113.198616	-47.868317	-42.425163	4.5335183	213.31546306610107
30	240.98872	54.70717	286.7703	164.08546	277.7563	18.996538	303.45874	229.7562	400.0	400.0	32999	44.177517	36.824615	115.794975	-46.204353	-44.883083	3.9905238	222.2458438873291
31	144.59946	109.49104	234.7984	-9.49792	261.10507	37.34255	301.86243	144.62564	289.33334	400.0	34099	46.392345	36.90679	115.810326	-46.882282	-47.06868	3.9115763	231.05679368972778
32	243.2524	22.256374	261.7297	211.94655	266.08096	53.277485	294.51804	41.895794	400.0	388.95	35199	48.466846	37.076614	112.25789	-48.019222	-49.137913	3.8146005	240.09446358680725
