Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-20.534147	93.8052	86.37061	-140.6114	1.700434	18.070755	21.971151	-41.148434	178.83333	55.55	1099	-0.17650507	0.90927076	32.891987	-14.10673	0.10092545	0.684108	0.8894298076629639
2	-27.842127	32.399914	17.520329	-72.41258	3.7018948	22.177723	27.75349	-45.891586	199.6	54.1	2199	-0.40726155	2.0022218	5.225814	-7.7304335	0.3300236	0.08424605	6.921467065811157
3	26.219992	40.4584	86.606544	-28.991571	10.073709	16.232843	31.501898	-39.26518	194.8	59.75	3299	-0.046818446	4.3238344	10.5981655	-13.492537	-0.059064623	0.2408429	11.987498760223389
4	-99.96333	154.37636	53.122116	-350.93896	11.781694	13.862929	28.545347	-27.061357	288.5	56.8	4399	-0.7029809	6.6626925	14.526683	-19.515867	0.5980977	0.5313416	16.871574878692627
5	-36.835438	106.87684	118.957794	-215.06934	0.5505501	14.110233	19.830837	-35.064594	259.6	53.7	5499	-0.5812174	8.665877	18.722578	-25.067535	0.4505268	0.87640196	21.621904850006104
6	9.191687	110.1805	193.8232	-82.751785	-5.399396	20.368986	23.519087	-44.057327	239.5	50.6	6599	-0.6327592	10.242016	22.99339	-28.56062	0.48145857	1.3338122	26.075474500656128
7	12.059607	21.561567	29.955055	-30.207697	-4.26016	19.395124	34.641453	-37.043987	212.4	52.4	7699	-0.17171337	11.6557255	26.822205	-32.55883	-0.018137489	1.6340446	30.317229509353638
8	3.292015	119.50673	106.24242	-210.04181	-9.484304	15.790387	13.554126	-39.4735	208.83333	54.5	8799	-0.094550654	13.232676	30.300282	-35.911358	-0.10880003	2.0656707	34.93322229385376
9	-64.780685	79.52184	32.71938	-146.38483	-0.24008222	24.58633	47.130814	-54.506584	267.5	96.15	9899	0.5403354	14.647494	33.23659	-48.895782	-0.7242251	2.285546	39.51491928100586
10	-30.627142	72.40658	40.974586	-145.1264	-2.6892216	22.2749	42.71484	-49.6591	257.0	73.5	10999	0.28353056	16.019121	35.985466	-51.786762	-0.46517423	2.7110307	43.75561785697937
11	-24.7895	94.1779	79.98861	-144.88956	-16.340773	41.25219	22.908354	-137.17805	197.5	93.15	12099	0.47304285	16.875608	38.199253	-53.532856	-0.67197686	3.0431361	47.93631076812744
12	80.41597	121.14732	274.79196	-45.051937	-17.879175	35.05944	38.250336	-88.2167	263.25	81.55	13199	1.6357194	18.306736	40.40731	-55.453537	-1.8402631	3.139913	52.88589811325073
13	-64.30416	129.99158	61.61142	-327.20944	-3.1121204	34.844894	77.17808	-61.504314	199.0	82.75	14299	2.3697662	19.371307	42.528225	-57.45519	-2.5843444	3.519067	57.67104768753052
14	-5.257167	51.359783	49.0019	-100.82192	-6.0106497	31.39665	66.12805	-65.18892	149.71428	75.3	15399	2.642595	20.25216	44.725487	-59.503128	-2.8618824	3.5169282	61.99617862701416
15	-12.332908	33.28479	74.19614	-52.20021	-4.8841925	30.940273	68.14388	-68.9156	74.8	83.8	16499	3.039402	20.957718	46.35917	-60.2662	-3.26224	4.9227395	66.5761022567749
16	-1.9235018	22.73363	22.853535	-54.430862	-6.8018265	29.878855	25.102316	-63.28434	68.933334	77.95	17599	2.9233966	21.759834	47.179653	-61.19623	-3.1828141	6.3704243	71.53258156776428
17	-2.1092725	27.304789	42.728752	-50.63277	-0.191047	22.255625	31.106016	-54.91988	95.416664	62.15	18699	3.7534833	22.148518	48.719524	-60.289127	-4.1048565	7.057935	76.44142365455627
18	-9.464322	21.413015	16.26157	-49.537437	-11.345993	33.34452	26.2123	-100.54658	104.454544	99.05	19799	5.361278	22.124321	51.857784	-59.315536	-5.776872	7.662847	81.32056379318237
19	-20.340374	67.65864	139.65912	-110.37659	14.29497	67.77813	167.55399	-103.8127	102.0	166.7	20899	6.634766	22.019453	54.406067	-58.380527	-7.0702724	8.294666	86.72645282745361
20	4.1933665	55.029404	108.16388	-57.077423	58.735474	61.654156	192.30318	-66.45941	174.83333	213.6	21999	7.307006	22.227268	53.252083	-58.45829	-7.725364	8.469679	92.76245617866516
21	64.949524	45.77848	109.85204	1.7044551	37.971478	49.279957	148.42052	-82.00666	240.8	211.6	23099	8.973487	22.535496	54.51771	-59.785656	-9.407622	8.581254	97.90295600891113
22	4.4013815	97.16332	140.18056	-93.01062	36.206394	67.39974	207.60388	-69.13822	258.75	183.6	24199	9.840916	22.369246	60.557243	-60.4786	-10.289957	8.9911785	103.51976037025452
23	52.05316	57.74587	175.68694	5.038241	55.410908	71.6777	220.58214	-67.74943	190.0	221.35	25299	11.104299	22.491234	56.968243	-62.75099	-11.565284	8.859129	109.0589599609375
24	53.694927	34.107265	104.69185	18.246193	39.36042	59.439617	204.40297	-42.542953	156.16667	193.75	26399	13.113588	22.45181	58.771915	-61.834305	-13.597232	8.674192	113.8640947341919
25	44.108467	56.339565	170.97882	-40.640125	22.51813	48.140835	111.81423	-70.956665	161.25	153.65	27499	15.04236	22.625364	59.893578	-60.15341	-15.520454	8.526273	118.67788362503052
26	38.5048	53.701187	131.7013	-51.06015	41.882454	47.30109	103.71277	-67.94191	143.57143	180.05	28599	15.830812	22.301458	61.471687	-63.5339	-16.326605	8.609884	123.72527313232422
27	63.465202	37.046524	103.77009	4.9180017	74.63532	87.24629	260.2879	-36.490105	243.75	259.65	29699	17.608381	22.228779	64.8359	-63.522884	-18.130293	8.695701	130.0840039253235
28	44.23752	110.66454	254.38258	-35.902573	147.84192	110.2502	266.5021	-48.729496	215.0	322.75	30799	19.718906	22.581944	73.601204	-63.87169	-20.260479	8.341816	136.7493875026703
29	142.7496	121.68631	266.0134	-22.881653	118.01028	105.16355	266.11966	-52.576008	389.66666	269.0	31899	22.858412	22.4083	70.75818	-62.080334	-23.40977	6.788947	143.820232629776
30	23.974192	127.99279	251.76994	-144.79102	94.78678	119.48219	284.9948	-68.09451	256.4	235.4	32999	25.023554	22.545462	71.57622	-49.858387	-25.572191	6.2176704	149.6540548801422
31	56.785515	85.495636	226.51758	-3.6090064	134.73862	123.44876	288.88657	-28.041721	186.8	259.95	34099	27.823376	23.306004	78.0949	-47.9158	-28.40006	5.604109	156.24693727493286
32	130.06912	112.32029	269.0139	-4.9326315	100.16783	106.18878	288.24435	-83.70037	245.2	225.8	35199	31.30845	24.023102	78.67216	-49.495472	-31.87622	5.3154664	161.7783806324005
33	189.77332	72.05037	240.902	87.87892	129.407	87.39054	270.19952	-36.31261	353.0	260.65	36299	35.58958	23.885668	80.59091	-51.067017	-36.15384	4.795447	167.65851306915283
34	142.6643	128.09857	278.25873	-36.0437	196.34865	93.86588	282.66592	12.080024	254.0	338.55	37399	39.251247	24.391132	91.55488	-53.0038	-39.82204	4.7587695	173.61867427825928
