Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-33.563534	18.915224	-7.8045855	-59.266815	-3.5450788	13.439081	13.735157	-38.21161	248.0	46.2	1099	-0.12976716	0.34356898	1.6711577	-1.2984424	0.08799503	0.3454342	1.3373875617980957
2	3.7933242	107.40457	177.79321	-174.40393	-14.245422	21.224731	17.922842	-46.682186	179.16667	50.85	2199	0.08512509	1.9712865	5.5832534	-6.5758657	-0.10820471	0.08146927	9.033322095870972
3	7.314055	70.8443	66.09725	-129.772	1.7467	18.392723	17.2946	-40.640984	221.6	53.15	3299	0.4035894	4.294674	9.754466	-11.260362	-0.42070162	0.16513287	16.107903480529785
4	47.24381	42.597862	103.052925	-27.133905	-9.074485	17.692682	18.416168	-43.916473	193.5	51.1	4399	0.90885556	6.456667	13.507825	-15.415505	-0.9406655	0.29196578	23.23039150238037
5	-39.598568	104.347275	87.91473	-201.99744	-6.461403	22.17561	23.744286	-49.353737	212.8	51.7	5499	1.3049855	8.448848	17.149689	-18.664356	-1.3375721	0.46822006	31.07658815383911
6	-60.7549	24.013823	-28.17203	-87.09039	-5.5400314	22.730629	27.672215	-43.47959	220.75	51.3	6599	0.79682356	10.263249	20.546759	-21.723572	-0.85675293	0.68074375	38.339935302734375
7	-68.00389	115.73256	69.26153	-269.98068	-5.992551	21.7893	20.042871	-45.768166	254.0	52.55	7699	0.25960064	12.043521	23.804295	-24.530142	-0.33490047	0.8156522	45.3098669052124
8	1.5675615	74.693634	74.73328	-142.71588	-0.38238066	18.867214	24.699461	-53.73984	166.42857	55.45	8799	0.25485557	13.480479	26.885612	-27.004198	-0.3324022	1.0575446	52.17901062965393
9	76.13983	89.378746	156.67485	-68.23774	-4.8400626	20.51659	24.510607	-41.75865	265.75	51.65	9899	1.2020285	14.885757	29.716679	-29.020716	-1.3044506	1.2052566	59.380045652389526
10	24.622204	42.371475	94.118065	-19.097294	-4.7646513	21.16347	26.470062	-44.990383	283.75	48.25	10999	2.1436923	15.960607	32.28127	-31.184757	-2.2578588	1.2980638	65.9052529335022
11	-8.559538	169.41139	201.17506	-250.74304	-6.441424	18.006166	19.656586	-35.96554	249.5	50.1	12099	2.0498807	17.418617	34.433826	-39.545486	-2.1798823	1.5110459	72.95519137382507
12	14.8216305	39.960217	79.24636	-28.952255	-6.291172	22.959764	36.29732	-41.084003	229.6	66.55	13199	2.7634554	18.645699	36.782295	-40.315453	-2.8943524	1.6633164	80.46855354309082
13	-78.90254	62.220814	33.782494	-154.20859	-6.663658	27.40952	35.63793	-51.016075	187.0	59.4	14299	2.7884667	19.483826	38.90227	-40.712692	-2.9190128	1.8112121	88.70562362670898
14	-23.348043	64.68259	24.412376	-171.75304	-0.5818839	22.009792	35.947548	-34.89071	197.71428	67.0	15399	2.6303968	20.285257	40.948	-42.322502	-2.7580957	2.0398972	96.44239044189453
15	4.2305865	26.741165	48.91522	-40.682377	18.780704	46.770134	94.96928	-121.22002	100.454544	112.7	16499	3.3096347	20.983385	43.012302	-43.207706	-3.46697	2.300728	104.00526785850525
16	89.83783	92.466545	275.1753	-18.293104	74.37027	84.799545	287.88702	-37.094162	171.16667	221.7	17599	4.3607383	21.865402	45.394257	-44.111294	-4.5776544	2.5339673	111.56616973876953
