Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-23.677933	41.014183	28.198898	-80.93681	-7.569364	27.417158	42.67476	-56.06282	212.6	71.8	1099	-0.071391135	0.74766845	1.5675993	-1.8462231	0.0018883571	0.12180457	0.9543538093566895
2	-47.708336	64.876114	21.778343	-153.06252	7.73822	27.119041	44.509155	-49.358635	267.0	77.65	2199	0.09062104	2.357648	4.9206944	-7.2469487	-0.13497506	0.06241397	6.17082667350769
3	-69.83947	110.622475	61.28654	-246.8962	-4.3214607	21.36422	20.286163	-72.14051	191.16667	56.2	3299	-0.23948403	5.0976253	9.10231	-12.00202	0.18817596	0.19312422	11.192406177520752
4	59.130272	55.21078	122.44377	-17.11707	2.166873	33.23981	58.8012	-72.864174	278.25	94.4	4399	-0.7095001	7.5725718	13.86448	-14.4969	0.59356326	0.3344665	16.60525870323181
5	-21.477741	99.48424	117.8759	-157.7339	6.6121416	17.979498	33.102005	-28.480095	228.25	70.6	5499	-0.09244428	9.672158	18.174437	-17.33715	-0.043327305	0.4309539	21.11380672454834
6	34.56356	115.51478	191.6482	-125.677185	2.3625941	23.747263	32.635605	-66.8248	294.75	73.25	6599	0.80447394	11.643277	22.136765	-20.711344	-0.9562491	0.5673463	26.132047414779663
7	-135.8555	110.96395	47.66905	-244.93498	0.9382349	22.151888	31.188402	-37.518448	283.75	73.1	7699	0.7479858	13.249483	25.970675	-23.763056	-0.8894336	0.6742818	31.43708610534668
8	0.91327	73.79519	113.950874	-85.8247	0.58999074	26.91372	34.50479	-71.12598	231.75	75.95	8799	0.55669373	14.622394	29.478025	-26.492367	-0.69782805	0.78677166	36.351004123687744
9	40.487408	45.255024	104.73713	-36.203533	8.856049	54.353245	159.49588	-57.574627	245.4	109.1	9899	0.9406932	15.929381	32.75511	-29.937845	-1.0656022	0.8983074	41.38019847869873
10	21.699018	67.93237	95.76105	-76.1273	-15.977568	26.808264	47.67362	-57.526176	232.6	85.15	10999	1.2302412	17.283895	35.81682	-32.61706	-1.3648854	1.0571873	46.7643256187439
