Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	4.2806563	47.56914	76.30225	-57.14159	-1.3570957	9.265935	10.357602	-23.927927	200.0	49.75	1099	0.31819534	0.21622291	1.1681266	-0.27230483	-0.32529002	0.060373172	1.5842852592468262
2	-2.009329	49.157227	82.66246	-63.636967	1.0098419	14.929611	22.145262	-24.910038	195.57143	55.6	2199	0.5471168	1.0024028	3.856045	-3.0825148	-0.55607605	0.043260843	9.351033687591553
3	-29.327852	37.589672	34.24958	-63.74817	0.023797512	10.708416	18.422194	-21.834312	238.0	51.7	3299	1.0257107	2.3563602	7.5668907	-5.0795593	-1.042074	0.06783912	16.616748094558716
4	-16.072674	35.557484	28.632267	-55.53823	-5.800292	11.753494	13.683036	-24.66424	252.8	50.1	4399	1.2224245	3.3202853	10.934452	-6.868848	-1.2341175	0.088511296	23.8388934135437
5	4.0386	74.45979	122.30342	-65.565125	-4.1663904	12.318721	16.078503	-28.927608	187.4	50.4	5499	1.1663051	4.571148	13.7576065	-8.493195	-1.1832482	0.14058083	30.926658630371094
6	58.92502	24.278229	101.09109	35.067463	-4.694913	15.382507	27.176867	-26.723534	231.0	52.15	6599	1.5619191	6.1861243	16.686756	-10.152894	-1.5911139	0.21102786	38.15200686454773
7	31.4871	42.255344	88.96841	-14.166012	2.8497894	55.625267	199.51	-91.97527	219.0	137.75	7699	2.2303367	7.4827585	19.542475	-11.185098	-2.2862477	0.26351768	45.942774057388306
8	-9.831254	33.96546	39.135376	-52.661514	27.709976	59.182022	166.98367	-99.04503	162.5	184.65	8799	2.2851315	8.362957	22.22696	-11.663343	-2.3542166	0.32351255	53.49529314041138
9	46.65668	40.443943	111.36583	-10.538449	-17.905079	48.16624	20.68016	-177.12852	240.6	122.15	9899	2.7524843	9.264355	24.821594	-12.70394	-2.8280473	0.37040672	61.028366804122925
10	38.312084	23.627724	65.88824	4.9895096	8.392279	36.37059	91.75334	-50.081245	200.5	254.5	10999	3.22935	10.068548	27.178217	-13.84571	-3.3056529	0.4264361	68.80864524841309
11	8.555362	86.06921	126.47759	-76.53281	16.86301	24.723757	95.29315	-19.707579	303.0	81.7	12099	3.7403364	10.897221	29.493385	-14.701995	-3.8232725	0.4790037	74.80081295967102
12	39.79123	54.42173	113.068886	-48.2743	7.721096	25.567553	69.1136	-28.444721	184.0	75.45	13199	4.000835	11.768636	32.60179	-15.374019	-4.0915174	0.5584787	81.31966090202332
13	34.67181	74.66484	166.87225	-60.272865	15.799959	25.170658	57.74931	-26.353722	219.4	83.85	14299	4.6900735	12.558486	34.66254	-15.212027	-4.7920427	0.594286	88.25664186477661
14	3.0272906	26.465223	51.806633	-36.89426	15.219337	41.524082	145.94385	-23.301294	124.55556	82.6	15399	5.203447	13.190386	36.55161	-15.031232	-5.3169923	0.64557725	95.32142758369446
15	29.46892	29.521948	75.431114	-19.469095	64.846634	131.57695	312.93036	-125.07087	100.888885	228.65	16499	5.7829223	13.906025	38.32423	-16.20683	-5.8927727	0.77912265	102.72422504425049
16	-9.766692	39.900913	75.72577	-64.385414	92.82286	118.32818	331.22827	-29.440594	163.25	170.8	17599	6.02876	14.552568	40.223618	-17.383944	-6.157437	0.84098554	110.29357576370239
17	73.688194	119.01898	311.99115	-15.574526	86.74242	124.10739	328.79932	-24.15478	157.0	173.5	18699	6.6257687	15.220276	42.09546	-18.534136	-6.7821565	0.91634256	116.68408036231995
18	215.17964	139.31842	315.0886	18.16027	166.15115	150.40279	330.221	-26.586498	292.33334	268.4	19799	8.474522	16.52161	43.965824	-19.214596	-8.657871	0.9513658	123.57446002960205
19	209.88104	138.39116	312.3764	-25.907331	125.462814	155.38196	333.36765	-29.92981	315.25	232.2	20899	10.634009	17.854834	45.73375	-19.46434	-10.816538	0.95738906	130.2015838623047
20	126.15084	99.99086	207.21565	-14.7241335	185.47359	129.62302	322.45206	-33.373425	284.33334	308.2	21999	12.1022	18.560741	47.464504	-20.013063	-12.289959	0.9677732	138.28941011428833
21	72.40008	119.74208	254.58928	-24.400534	166.28403	108.02313	318.56873	-27.250113	192.66667	297.0	23099	13.363818	19.15815	49.131847	-20.36154	-13.566991	1.0216345	145.87635684013367
22	142.77464	137.71655	309.59244	-20.808073	232.91548	102.53172	327.5204	-23.199284	268.2	355.05	24199	14.781679	19.991426	50.738426	-20.887081	-14.99973	1.0451921	155.16609287261963
23	145.23717	137.7805	297.4343	-30.45541	249.46672	82.265366	328.9269	44.096554	262.5	368.4	25299	16.687943	20.97912	52.912964	-21.054867	-16.918758	1.0745012	162.99576616287231
24	151.36093	139.11023	308.32867	12.628573	196.47458	108.63757	327.0038	-35.48042	258.75	358.4	26399	18.558865	21.890001	54.645145	-21.350817	-18.801605	1.1169524	172.10954332351685
25	219.36096	90.50428	309.01352	95.42494	232.70029	104.45617	325.45758	-10.972171	400.0	367.3	27499	20.589832	22.645666	56.61222	-21.938173	-20.8422	1.1569986	180.99980521202087
26	207.58466	109.042885	304.14957	55.177547	231.71765	105.680016	324.68137	-28.556791	304.33334	367.2	28599	22.448168	23.257406	58.5952	-22.384136	-22.705927	1.1234231	188.52343153953552
27	283.88052	9.473952	297.09567	275.36145	212.89078	106.65193	322.85022	-33.28145	400.0	383.25	29699	24.545315	24.052063	60.213844	-22.6675	-24.811365	1.1417352	196.80973553657532
