Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.518644	31.905142	45.0816	-52.22504	15.600629	21.846867	56.4493	-25.405338	179.6	93.55	1099	0.03705872	0.7343282	1.3038425	-1.9445955	-0.06226983	0.048870888	1.070664405822754
2	33.171772	62.008663	123.182465	-35.306686	36.11048	41.05166	138.16096	-15.488119	313.25	98.7	2199	0.41219607	1.5820373	4.286649	-4.397947	-0.43767256	0.02773943	5.938754558563232
3	74.8651	19.432207	105.52191	53.072823	13.692682	25.62859	92.79554	-21.949188	246.75	67.75	3299	1.7175732	3.1070886	8.124585	-6.1248465	-1.7866194	0.062200427	10.887421607971191
4	35.67016	39.44694	89.000725	-12.19679	17.47944	33.9987	115.21414	-21.909657	237.2	77.0	4399	2.7225494	4.7060933	11.910058	-7.5108137	-2.7963102	0.112568416	16.25848937034607
5	-2.205101	97.5676	165.71303	-72.465805	20.962349	23.572884	80.462494	-21.537024	248.25	92.25	5499	3.0604577	6.30721	15.643128	-9.82623	-3.1290603	0.1512774	21.27745819091797
6	32.77682	87.07176	163.46687	-51.896187	22.937313	25.445606	72.58184	-27.655014	278.0	109.9	6599	4.2309213	7.8222938	19.067293	-10.813569	-4.3145285	0.17602047	26.590824842453003
7	44.127174	22.860798	61.060833	-0.88451	37.303272	61.10614	259.64337	-35.459507	254.0	111.85	7699	4.8905835	8.948112	22.189112	-12.115404	-4.9686418	0.21482357	31.779605865478516
8	35.38399	61.612804	116.69046	-32.401314	50.42626	77.873	292.90692	-19.172247	317.33334	128.9	8799	5.4170337	10.050336	25.131151	-12.497883	-5.4944453	0.2436254	37.887173891067505
9	40.537693	48.079285	107.0348	-36.640785	26.427002	36.147144	119.48044	-26.805655	203.83333	92.2	9899	6.2025256	11.31933	28.035723	-12.880274	-6.284776	0.3347892	43.05729293823242
10	95.307526	61.17369	180.78102	8.040468	20.713684	30.907251	77.1857	-30.213865	281.5	79.5	10999	7.0664024	12.519035	30.7207	-14.037658	-7.143886	0.37969622	47.43791961669922
11	41.612278	38.16379	96.85722	-9.704296	30.036976	41.574642	150.2472	-31.727562	199.0	105.55	12099	7.984227	13.584487	33.113983	-15.017662	-8.064066	0.41413063	51.93614935874939
12	44.66682	39.718067	84.24525	-29.721834	31.980312	54.141212	169.4575	-26.851856	229.6	106.35	13199	8.498794	14.51299	35.31368	-16.11803	-8.587642	0.47882384	56.80903434753418
13	88.59674	52.849613	177.45058	43.090206	0.75547904	20.539663	38.756233	-32.386963	246.0	86.25	14299	9.210438	15.227145	38.351814	-17.285856	-9.304206	0.54408413	61.59552478790283
14	43.843533	31.844118	70.051	-15.194463	15.310867	46.047585	136.9001	-34.67601	189.16667	106.0	15399	10.0431385	15.944473	40.36668	-18.120005	-10.138827	0.5528023	67.57953667640686
15	90.588905	94.61766	255.90237	-18.650974	23.098972	40.00729	119.41974	-28.023354	224.0	118.55	16499	11.030137	16.675047	42.12067	-18.456146	-11.138615	0.6289622	72.65449213981628
16	45.800667	50.714516	166.16039	-11.662294	53.27572	86.94015	317.79108	-5.957657	121.2	136.3	17599	12.108157	17.351068	44.11419	-18.828518	-12.250041	0.7693003	77.85227608680725
17	82.870415	117.60108	268.89087	-9.954996	161.56729	132.82553	319.924	-30.748323	166.16667	261.6	18699	13.757716	18.187311	46.18119	-19.329807	-13.920563	0.8514308	84.07904696464539
18	70.8913	54.831253	195.93486	15.608245	109.525185	111.55713	315.52878	-29.720522	148.875	210.4	19799	15.229369	18.824299	47.94368	-19.631035	-15.425378	0.8748877	89.667884349823
19	84.25025	91.290886	232.03468	13.533784	179.9962	90.52288	276.46854	24.006657	181.5	307.5	20899	16.821177	19.28906	49.827904	-19.884218	-17.057596	0.9487083	95.74269795417786
20	111.80171	103.39536	245.77844	5.3517118	163.11102	107.51705	282.79233	-7.5916324	258.5	290.15	21999	18.627403	19.707966	52.1477	-19.774324	-18.890368	0.9601014	102.08558225631714
21	171.1012	47.83837	231.08049	114.00753	134.04509	81.572754	238.0209	-6.379772	370.33334	264.6	23099	20.148825	20.163837	54.243786	-19.733635	-20.423021	0.99102986	107.64645290374756
22	184.62634	35.653633	220.27997	148.9727	219.4366	41.31825	264.67084	72.51859	400.0	387.35	24199	21.970627	20.67429	55.88311	-19.685987	-22.255672	0.99058014	114.44672536849976
23	249.00902	13.473574	268.03818	238.64359	196.9215	42.20705	243.24037	92.085365	400.0	378.65	25299	24.058868	21.247974	57.36138	-19.685545	-24.352053	0.9889564	121.29295301437378
24	186.20819	63.901623	233.16412	76.09898	197.23685	77.24469	291.45044	78.75376	342.5	342.85	26399	25.865984	21.633734	59.590347	-19.492895	-26.16884	1.0581336	127.57370471954346
25	224.84615	18.20285	243.049	206.6433	235.01985	41.305504	292.75446	114.506134	400.0	393.45	27499	27.76725	22.108578	60.973114	-19.818464	-28.07642	1.0321676	135.88441801071167
26	219.48901	23.220036	245.45956	189.09962	217.70576	38.96927	287.02637	120.25662	400.0	393.55	28599	29.652275	22.500418	62.26774	-19.187183	-29.972265	1.0438114	142.32103872299194
27	256.3148	7.065352	265.73364	248.71698	239.26736	27.545208	285.55728	182.55247	400.0	400.0	29699	31.515284	22.834883	64.566246	-19.872337	-31.831797	1.0536864	149.4395260810852
28	228.62598	6.751131	237.57332	221.26692	237.9512	23.789358	264.93716	152.35535	400.0	400.0	30799	33.17127	23.070263	66.325005	-20.31971	-33.47808	1.0615834	156.7820782661438
29	243.89224	1.8421707	245.7344	242.05006	242.78813	14.721741	269.67474	200.92061	400.0	400.0	31899	34.72499	23.245148	67.71678	-20.444136	-35.0313	1.0609366	163.76736068725586
30	223.8409	13.209517	242.26762	211.96693	254.72815	20.986916	287.44485	216.10332	400.0	400.0	32999	36.23812	23.47499	69.16786	-20.820293	-36.53983	1.0434222	170.8243691921234
31	238.2989	9.890779	249.59499	225.50662	240.72066	32.151115	290.99365	171.1229	400.0	400.0	34099	37.65319	23.659744	70.61668	-21.090126	-37.95359	1.0322181	177.5068597793579
32	230.09595	21.330116	249.18909	200.3244	248.83719	26.296753	296.38577	197.37712	400.0	400.0	35199	38.99013	23.914906	71.71406	-21.577263	-39.30266	1.0417598	184.47565817832947
33	229.24448	19.530708	248.77518	209.71376	234.41843	24.90683	270.3917	161.00586	400.0	400.0	36299	40.53585	24.201159	72.80464	-21.9767	-40.851143	1.0131073	191.82573556900024
34	237.14644	8.950141	243.88162	224.49794	223.05069	21.560421	266.25833	180.81903	400.0	400.0	37399	41.944294	24.468618	74.00615	-22.253021	-42.263622	1.0394045	198.89676785469055
35	224.34456	20.165203	244.52448	196.80379	235.17075	19.652409	256.21796	172.04042	400.0	400.0	38499	43.332455	24.75744	75.556694	-22.496716	-43.65197	1.0386308	205.87994837760925
36	228.58308	20.0087	251.38055	202.66786	220.76982	12.953756	239.80443	185.90114	400.0	400.0	39599	44.74155	24.988157	76.45339	-22.26181	-45.071392	1.0477029	212.47574424743652
37	203.13336	18.179543	221.31291	184.95383	218.67094	14.741841	237.31616	180.73425	400.0	400.0	40699	45.981266	25.073229	78.64154	-21.878164	-46.311504	1.063156	219.0683150291443
38	218.17749	8.266989	227.5804	207.45909	230.2155	21.273788	271.43835	175.20238	400.0	400.0	41799	47.26324	25.252865	79.5952	-22.119478	-47.6009	1.0805383	225.752445936203
39	209.43108	19.979784	232.68607	183.90424	199.29176	33.16706	239.77269	107.69187	400.0	394.3	42899	48.420025	25.36557	80.17461	-22.183695	-48.76496	1.0965847	232.39215564727783
40	223.21501	12.381347	240.05754	210.64725	227.6685	11.370879	251.00572	201.40016	400.0	400.0	43999	49.63814	25.36873	81.47793	-22.205667	-49.98459	1.0913842	239.14720034599304
41	227.62228	2.1648788	229.78716	225.4574	215.49094	19.979717	242.70572	157.84073	400.0	400.0	45099	50.846397	25.438274	83.440796	-22.123892	-51.18931	1.1301303	246.32711338996887
42	213.04482	10.545352	221.11232	198.1486	220.5586	38.069134	252.2863	65.540855	400.0	400.0	46199	51.979202	25.541832	84.750145	-21.555399	-52.326763	1.1129745	253.2244119644165
43	221.223	13.33875	233.2717	202.62865	222.04549	13.524471	250.77518	192.83493	400.0	400.0	47299	53.155968	25.445576	86.376495	-21.821133	-53.498158	1.0797052	259.91703963279724
44	194.47176	18.492935	217.73438	172.49052	206.24788	29.982073	241.05759	135.72644	400.0	400.0	48399	54.038296	25.5218	87.56796	-20.973167	-54.367184	1.0757158	268.1909227371216
45	213.83327	14.496017	228.32928	199.33725	215.18362	15.212867	251.35027	188.95059	400.0	400.0	49499	55.002075	25.438086	88.87626	-22.178349	-55.331917	1.1028109	275.2437582015991
46	224.40033	17.866158	249.02849	207.19856	204.9368	18.157902	236.16986	163.78308	400.0	400.0	50599	55.7064	25.496387	89.61381	-22.534443	-56.03654	1.062949	281.92608761787415
47	207.16661	8.528832	218.4973	197.92033	198.28442	33.765667	231.84605	94.789986	400.0	400.0	51699	56.52524	25.497263	90.29222	-22.654894	-56.851925	1.0626543	288.95911979675293
48	221.31502	9.4028425	229.8008	208.20569	202.79799	21.82849	222.84166	133.1436	400.0	400.0	52799	57.361767	25.436941	90.588776	-24.510801	-57.679943	1.0751837	295.5343201160431
49	196.09912	27.801064	223.90018	168.29805	205.45634	10.164096	219.43814	183.22307	400.0	400.0	53899	58.046127	25.357458	90.433624	-23.835758	-58.363834	1.0691711	302.51652693748474
50	206.53831	11.629236	217.82985	190.53712	198.04372	28.118979	220.6093	83.80327	400.0	400.0	54999	58.73979	25.232744	90.19507	-24.882063	-59.05355	1.0200605	309.14339804649353
51	200.64508	9.8394375	213.63155	189.82338	193.25478	29.550575	233.6668	86.941376	400.0	400.0	56099	59.299965	25.11256	89.72705	-23.757105	-59.615818	1.0643284	316.0980157852173
52	162.9384	59.660114	219.62732	80.47584	174.67783	52.90086	222.18831	45.72154	400.0	400.0	57199	59.904404	24.974874	89.813675	-24.01072	-60.216312	1.1210579	323.3906018733978
53	169.2052	39.965523	209.17073	129.23969	190.55916	27.994333	223.574	113.45696	400.0	400.0	58299	60.266117	24.796036	90.16584	-25.549849	-60.573467	1.0540652	331.53066658973694
54	209.64929	2.2515383	212.70262	207.3403	197.03513	22.361391	217.84358	139.99728	400.0	400.0	59399	60.73438	24.583952	90.86155	-26.208584	-61.039112	1.0821553	338.5643746852875
55	206.44563	7.332019	212.88364	196.18732	196.16101	18.050432	222.2969	155.78394	400.0	400.0	60499	61.170624	24.4044	91.1412	-26.932987	-61.47598	1.0730288	345.4903755187988
56	204.77803	14.413744	224.96637	192.24313	198.12984	18.959797	221.1336	148.87862	400.0	400.0	61599	61.620895	24.20749	91.304756	-26.749796	-61.91581	1.0510805	352.1467261314392
57	207.9523	6.5564423	214.50874	201.39586	186.79462	31.860096	218.57039	117.73016	400.0	400.0	62699	62.049667	23.990448	91.15015	-27.1405	-62.348125	1.0322335	359.1638534069061
58	192.52464	16.849802	212.00401	170.89844	198.15611	22.559954	229.44214	144.09447	400.0	400.0	63799	62.401745	23.752747	91.25219	-27.416355	-62.691456	1.0278037	366.3605637550354
59	202.7843	15.977118	219.49815	181.25969	190.09512	41.71324	217.46494	22.969866	400.0	400.0	64899	62.74732	23.507822	91.148834	-26.980534	-63.03522	1.0098561	374.4790780544281
60	198.04834	18.630966	212.01178	171.71626	200.09006	26.427849	233.40367	133.39127	400.0	400.0	65999	63.04216	23.339718	90.99969	-26.12204	-63.3296	1.0123813	382.4049623012543
61	212.44138	1.9780273	214.4194	210.46335	199.91394	24.838236	225.64581	145.9833	400.0	400.0	67099	63.33675	23.18817	90.85555	-24.74361	-63.616	1.0389628	389.3638987541199
62	179.66441	57.871563	228.77403	98.40987	199.30032	21.847063	232.29225	151.73769	400.0	400.0	68199	63.583187	22.92862	90.560104	-26.566927	-63.860825	0.98158646	396.33009219169617
63	193.64229	16.451103	214.39442	174.15744	203.52031	18.602777	242.89621	174.17268	400.0	400.0	69299	63.67518	22.815636	90.8208	-26.527666	-63.9651	1.0230772	404.68940687179565
64	220.99568	21.340166	248.93697	197.14742	199.13246	23.727264	228.72713	123.652054	400.0	400.0	70399	64.00457	22.683498	92.12046	-25.866192	-64.29076	1.0115039	412.05480337142944
65	210.71396	16.529701	227.24365	194.18425	190.3484	37.194405	220.84595	60.43941	400.0	387.9	71499	64.27732	22.57883	89.4512	-25.848919	-64.577255	0.97595924	418.3613660335541
66	201.18901	10.219831	208.94241	186.74911	202.19075	14.8358135	233.11577	171.68681	400.0	400.0	72599	64.650665	22.454962	89.321594	-23.452902	-64.95822	0.9722459	425.2707350254059
67	205.06432	9.495957	218.04485	195.59258	176.27838	57.72195	237.59807	-15.928663	400.0	371.1	73699	64.96803	22.369678	90.38913	-24.367088	-65.280754	0.93610275	431.70805501937866
68	158.2927	59.80765	211.59042	74.767235	188.42488	34.983086	240.1464	84.65313	338.33334	386.65	74799	65.387695	22.147562	90.624626	-24.505146	-65.7124	0.9406989	438.612829208374
