Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	73.695595	57.286606	158.3613	-3.1420605	2.4648397	14.016117	22.833956	-21.203676	251.5	63.8	1099	0.29807636	0.5440643	11.775285	-20.507648	-0.3446088	0.18845658	1.3258435726165771
2	66.37208	66.642395	189.78471	-3.7603686	9.937765	35.180504	56.271423	-60.688602	225.4	143.9	2199	1.235845	1.2861948	22.199633	-12.57948	-1.3185468	0.03080185	9.703489542007446
3	5.5088005	42.293453	63.34647	-73.82356	30.401758	35.781094	105.022736	-18.61098	169.5	123.4	3299	2.7325504	2.8149772	10.69239	-4.586282	-2.8504982	0.04129076	18.4254469871521
4	39.961563	84.998924	214.1847	-44.833096	41.50744	57.886005	191.7132	-33.685055	196.83333	130.0	4399	4.305609	4.7628736	22.815035	-5.8023386	-4.4353747	0.103205875	26.549947023391724
5	17.501286	62.464516	85.75895	-84.36971	19.492617	35.47788	79.149506	-49.858196	252.75	121.55	5499	5.3143973	6.361016	28.545294	-7.859945	-5.466559	0.1895647	34.489933252334595
6	103.04054	50.13873	180.94598	43.11745	41.016884	48.091976	143.08331	-27.105474	276.0	159.45	6599	6.96807	8.004319	26.823872	-9.16431	-7.1393805	0.26755497	43.304219245910645
7	75.68488	70.2954	167.23917	-43.13491	25.789373	44.79537	113.27891	-40.830956	244.8	136.8	7699	9.135708	9.664267	33.097473	-9.919194	-9.317647	0.34850553	51.5203971862793
8	56.68625	13.086632	70.36279	39.061775	49.761986	48.904167	124.24724	-29.716017	253.75	157.15	8799	10.3437195	11.030231	39.573673	-11.109042	-10.527777	0.4783758	59.3061420917511
9	32.43621	48.25363	100.266594	-35.16255	54.95995	52.49714	138.2631	-27.531199	213.2	156.55	9899	11.556501	12.234479	43.305553	-12.198535	-11.745102	0.54251266	67.4923267364502
10	25.655777	82.173485	162.80022	-78.0285	16.389917	39.38709	101.57004	-36.71047	204.66667	128.05	10999	12.338989	13.504529	41.887188	-13.853768	-12.532339	0.6450143	76.1154305934906
11	-6.8200045	38.198288	54.233364	-40.588818	27.831104	43.28337	132.98856	-32.670914	167.8	147.4	12099	12.851245	14.627148	46.267117	-14.957726	-13.049216	0.79493827	85.48057532310486
12	71.16629	59.13295	128.52222	-34.28168	27.632132	41.414288	101.00432	-32.257282	268.0	146.05	13199	13.513641	15.630918	44.932625	-15.8146105	-13.710746	0.84131426	94.69332432746887
13	8.657874	57.466347	60.718075	-86.83823	45.890896	60.211227	239.66452	-23.830925	279.75	157.85	14299	14.357997	16.672749	51.63501	-16.404644	-14.556868	1.0146207	103.33009505271912
14	73.1458	57.40748	182.2791	25.3553	39.783005	51.868916	207.90823	-38.150734	216.4	150.6	15399	15.058522	17.470861	61.38468	-16.688427	-15.2606535	1.0537877	112.63646531105042
15	39.51871	58.4651	172.62433	-24.588242	42.664627	58.67867	198.35818	-25.792883	146.0	152.25	16499	15.855851	18.185152	58.781227	-16.975025	-16.053	1.2031428	121.63422417640686
16	21.175459	30.462435	55.423996	-34.036125	48.692238	41.517967	145.92989	-11.04072	159.57143	138.9	17599	16.179274	18.875345	83.87206	-17.205225	-16.373669	1.4150466	130.6555676460266
17	87.81991	53.009354	183.68637	6.649575	52.00484	54.435265	201.63434	-22.878168	179.0	150.85	18699	16.773962	19.6074	58.79442	-17.0903	-16.983196	1.4654002	139.27309679985046
18	35.883568	31.97609	86.522385	-11.996449	63.38039	84.83722	292.4366	-30.587292	135.75	177.25	19799	17.473484	20.095194	63.442085	-17.053036	-17.70472	1.623795	148.41566967964172
19	47.487755	48.07095	155.63086	-28.323769	53.395844	60.68038	218.64897	-21.986366	140.875	138.65	20899	18.108114	20.54662	73.76781	-16.765388	-18.369522	1.7677081	157.56904482841492
20	65.01673	96.11458	272.8262	-7.045923	43.4569	52.458973	148.3861	-43.758457	169.83333	164.5	21999	19.159876	21.145601	67.16294	-16.362423	-19.459074	1.8162398	166.33185648918152
21	44.873802	40.04674	110.733475	-11.978756	83.95322	82.06362	245.82915	-28.163742	160.85715	201.6	23099	20.216352	21.822481	71.81421	-15.705997	-20.552141	2.009096	175.41376161575317
22	132.14673	92.56335	261.36154	47.564648	150.09103	108.97383	303.81992	-12.274541	227.2	249.05	24199	21.713533	22.505735	76.25114	-15.518588	-22.082634	1.9824845	185.6253399848938
23	132.78107	109.9429	251.40726	-10.08578	115.93339	114.89977	290.09616	-21.709013	268.25	251.7	25299	23.493073	22.998205	80.27368	-15.218418	-23.898563	1.9287895	195.8027744293213
24	145.7998	69.16199	254.5675	65.76028	231.13339	87.26758	312.2187	-29.977793	257.0	356.15	26399	25.350428	23.64929	95.4282	-14.350232	-25.755465	2.0202725	204.8131763935089
25	141.32988	101.42309	273.80576	39.449123	168.13037	116.52355	297.83237	-66.26697	233.2	320.4	27499	27.181831	24.281813	96.52721	-13.653557	-27.587162	1.9286566	214.2712574005127
26	189.77264	100.3994	312.72684	66.79953	202.62442	113.36098	320.59863	-20.226427	324.33334	331.55	28599	29.061268	25.001276	99.343735	-13.897834	-29.464546	1.9584211	222.71367406845093
27	243.83722	30.626972	286.97314	218.88014	166.66011	113.048706	312.64954	-30.312927	400.0	314.85	29699	30.898611	25.608458	90.73502	-14.467193	-31.305721	1.8789773	232.30069971084595
28	173.8423	132.56293	294.55893	-10.733649	154.21577	130.74081	329.26352	-29.400152	353.33334	296.1	30799	32.53075	26.251808	97.90442	-14.997892	-32.959473	1.867281	243.01834917068481
29	274.77893	12.478201	289.37204	258.8894	191.19492	116.55183	311.67444	-12.499848	400.0	351.25	31899	34.483242	26.939594	90.320045	-15.526117	-34.91815	1.9090195	254.08015131950378
30	210.11205	102.8987	296.42596	65.49257	205.33176	115.90647	327.99817	-100.47164	312.66666	362.8	32999	36.209236	27.498453	97.384254	-16.180138	-36.658382	1.7964065	264.0964558124542
31	196.55748	126.97633	275.9602	-23.159119	188.2357	116.27239	320.52692	-20.057476	325.5	340.65	34099	38.31668	28.10449	103.41693	-17.19919	-38.780968	1.9704727	274.3297469615936
32	178.74821	124.58207	270.63632	2.6178548	188.24594	82.09396	284.31274	-22.883137	311.0	343.3	35199	40.0681	28.798632	103.91337	-17.472397	-40.532936	1.9886541	284.3197731971741
33	160.2722	84.4105	263.69257	38.70581	167.30997	115.103226	298.11118	-26.615496	304.75	309.65	36299	42.155003	29.666803	128.5898	-17.99862	-42.64102	1.940954	293.9991855621338
