Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	76.0206	63.94091	160.18262	5.300002	-1.1769824	12.957813	29.430311	-17.222176	268.66666	52.0	1099	0.34615254	0.7015611	56.330692	-20.98447	-0.40017116	0.7285569	3.286471128463745
2	14.357786	38.108265	76.70409	-19.91417	4.7706156	10.198221	20.283224	-15.909215	254.5	59.3	2199	0.9624615	0.8313094	7.266906	-12.310464	-0.9974744	0.03748326	27.584660530090332
3	42.831097	42.082733	99.47632	-1.8290454	45.330162	33.128273	116.38481	2.2487535	294.6	153.05	3299	1.7396264	1.7916747	17.419008	-7.4367843	-1.7980136	0.04064768	52.03756785392761
4	38.87321	33.522274	72.481346	-15.93875	64.84395	39.700844	149.09311	-2.0953238	174.66667	173.35	4399	2.7477257	2.884543	13.803656	-4.5763073	-2.8541212	0.042214647	63.399254322052
5	68.9199	43.59253	121.33066	7.468593	89.31624	39.332325	158.07207	13.914181	188.0	180.1	5499	4.4688883	4.1883874	18.333378	-5.9518723	-4.615864	0.06916491	74.5904893875122
6	36.647358	24.631695	71.125595	4.6747317	83.94813	44.806835	154.28821	8.313911	182.42857	202.2	6599	5.9895678	5.397428	20.933788	-7.082653	-6.1589594	0.10034429	84.91428136825562
7	25.209139	52.396458	85.6687	-58.736855	55.994606	40.788773	165.77185	9.856797	237.0	147.95	7699	7.377939	6.482925	28.120935	-11.170676	-7.5669336	0.15626799	92.78121495246887
8	78.64153	102.28734	216.7342	-27.712431	65.57164	53.975357	199.10205	-2.8027422	310.0	182.2	8799	8.724279	7.783798	32.588985	-12.545313	-8.918821	0.2329663	102.2613296508789
9	52.962933	32.0964	102.99122	13.867871	92.75488	62.94684	263.19446	3.3240588	223.0	212.35	9899	9.859476	8.723739	30.068357	-13.681097	-10.053082	0.2846643	111.16299533843994
10	65.57738	78.04924	214.13206	4.178011	80.251595	72.676	278.46832	3.204498	219.8	192.6	10999	11.115763	9.612633	33.069027	-14.857645	-11.310165	0.36581331	120.19864225387573
11	69.71215	55.284527	170.3197	14.536605	78.33794	58.873177	257.8509	2.4286954	222.2	199.4	12099	12.588435	10.583244	38.59191	-20.888327	-12.787948	0.4618782	130.75716280937195
12	28.658123	37.451458	72.86781	-30.577269	105.29097	66.234764	242.53596	-1.2226526	203.6	239.25	13199	13.578827	11.674337	45.204525	-28.213984	-13.781449	0.5923071	142.77678298950195
13	69.46407	61.87794	187.56213	14.805656	81.81141	59.715477	214.51646	-5.679465	252.8	214.0	14299	14.449407	12.491867	43.959568	-28.89067	-14.658028	0.64156115	153.43156790733337
14	44.14804	28.2204	90.42512	15.921506	108.70866	74.29213	277.55585	-2.0187397	205.25	240.0	15399	15.601866	13.160934	57.719	-28.36288	-15.812679	0.6910139	170.05259799957275
