Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	69.588104	35.152943	118.13693	32.664253	2.3286462	8.263754	17.24523	-11.206459	251.0	50.4	1099	0.12541577	0.93003166	31.352116	-10.931177	-0.16868293	0.66701424	1.1352481842041016
2	57.179268	19.688547	86.194466	30.371405	42.760616	26.307606	144.7455	19.03764	184.8	90.55	2199	0.9980425	0.8953336	15.052825	-7.626776	-1.0448127	0.066080645	7.529557466506958
3	94.229774	45.249447	143.20421	34.513786	73.98836	27.918198	141.69716	43.65328	251.5	136.65	3299	2.8596058	1.658348	9.317608	-1.720958	-3.0013232	0.020334197	13.625499963760376
4	110.36007	40.194305	170.84499	58.500774	82.91502	35.591732	172.80226	30.031967	309.5	146.8	4399	5.3367066	2.5887525	15.082928	-1.41535	-5.5781946	0.026397312	21.85456657409668
5	87.86649	40.31297	120.46895	15.987156	143.81894	58.960655	249.21378	58.114815	221.8	204.9	5499	8.240984	3.4647124	18.502539	-2.409274	-8.503214	0.05127517	30.683980703353882
6	46.08494	14.055748	58.952545	17.264206	118.06677	70.75349	303.5289	25.38771	183.5	196.8	6599	10.521838	4.3948693	23.257751	-3.455554	-10.78524	0.09401133	41.35370135307312
7	63.746193	31.423595	96.780235	15.124001	107.9198	71.13754	326.79053	35.081398	223.4	178.1	7699	12.6126375	5.3553324	27.47387	-4.1612964	-12.875521	0.13389263	48.7896044254303
8	80.921165	46.020645	167.39145	44.79896	130.7479	58.74047	242.78807	50.08207	246.4	204.3	8799	14.4916315	6.3938165	31.297369	-8.799026	-14.7535925	0.1730519	57.01127815246582
9	68.34135	24.481707	121.02626	48.715073	117.6111	59.34344	264.2782	37.302902	192.16667	194.2	9899	16.52282	7.380939	36.735497	-10.532206	-16.785252	0.24688827	65.27631640434265
10	53.741554	25.844183	83.8002	11.7949	97.70372	46.69902	205.59068	30.475286	222.6	163.25	10999	18.135736	8.310856	38.081207	-11.90013	-18.400272	0.30564636	72.2545313835144
11	89.30077	18.07534	108.32431	61.994698	91.3477	36.34084	174.61769	26.929796	252.25	153.25	12099	19.513956	9.246843	41.018288	-13.117377	-19.787	0.3867444	78.05387282371521
12	97.27613	39.59147	164.84	68.92332	68.69096	18.417501	94.678246	27.57014	272.0	119.1	13199	21.151455	10.115046	45.51928	-14.12855	-21.43299	0.43616036	84.143301486969
13	95.97795	24.410727	123.34738	58.19445	75.938286	42.366642	166.68138	32.56963	233.6	134.4	14299	22.836067	10.943787	52.01949	-15.003693	-23.123743	0.54123855	90.97681093215942
14	74.47143	21.756083	107.230606	49.452652	63.72685	22.082745	98.91915	20.31895	180.66667	109.85	15399	24.371506	11.81587	54.355595	-16.242754	-24.65893	0.5607838	97.38198280334473
15	62.960655	23.059221	102.88386	26.584286	88.89796	43.856144	171.1891	26.221172	113.9	166.95	16499	25.638584	12.709809	60.440933	-16.975279	-25.897396	0.77789253	104.60871887207031
16	72.39803	16.43297	96.769226	42.87821	80.13883	30.317204	125.907776	16.765333	129.875	143.5	17599	26.62355	13.388481	52.45256	-18.822676	-26.84843	0.8348908	111.98770475387573
17	63.04254	43.304733	135.95401	17.760565	64.59522	37.524723	136.9395	4.524402	130.0	123.9	18699	26.98819	14.196425	55.79625	-20.814693	-27.185503	0.97973853	118.95541763305664
18	72.52712	27.215578	125.65785	43.277603	156.82431	108.23273	328.55078	10.377596	135.57143	244.2	19799	27.399694	14.937124	58.44159	-19.530605	-27.582253	1.0894096	126.87920093536377
19	126.96217	73.425385	238.62497	34.985798	89.894714	69.27706	268.69742	-1.2405553	241.2	173.2	20899	28.248425	15.512899	61.33355	-26.796864	-28.447647	1.1482812	133.86462950706482
20	59.461174	36.152767	116.562805	7.406477	79.342445	56.699703	176.23073	2.7057698	126.0	175.25	21999	29.452564	15.987345	62.681747	-30.378796	-29.653708	1.3534666	141.42194867134094
21	71.03846	12.122245	91.52615	48.078552	124.88212	70.54916	266.1676	53.417324	134.0	262.1	23099	30.417555	16.409737	60.57072	-34.22423	-30.631758	1.3903252	152.15230250358582
22	86.68366	19.442728	100.99223	59.19522	86.018936	53.117397	199.7484	-8.200475	294.0	194.25	24199	30.99095	16.761913	63.136063	-36.23584	-31.219006	1.526379	159.94665384292603
23	60.029156	49.030373	133.10991	0.8946772	71.41215	71.93996	244.92395	-11.289567	156.14285	156.8	25299	31.413662	17.32034	66.55218	-37.214954	-31.645632	1.8123482	167.25976705551147
24	84.17841	28.435246	126.85844	31.529701	148.54306	123.70856	322.54266	3.1862347	213.0	240.85	26399	31.888659	18.31593	65.37774	-36.448444	-32.144566	1.83183	175.34849786758423
25	86.11482	91.531746	264.82077	19.716646	140.14844	92.23455	248.15164	-8.699449	167.0	282.75	27499	33.447388	18.705715	71.0479	-35.79399	-33.740463	1.9958429	183.50455594062805
26	68.021774	65.549355	205.02075	0.18847843	74.98946	55.31561	193.3477	1.2633679	188.14285	200.85	28599	34.45078	18.97497	91.74641	-35.03763	-34.759758	2.1272826	191.2508430480957
27	100.640854	49.8122	147.52173	19.123413	176.98251	78.65381	351.8591	72.05278	265.0	338.7	29699	35.13517	19.264278	73.94304	-34.67407	-35.46322	2.0182369	203.586323261261
28	205.37671	85.83427	312.77942	102.68783	258.79974	55.18716	340.69083	145.79831	359.0	397.35	30799	36.691486	19.569862	78.4384	-34.00619	-37.053543	2.1084876	213.1270833015442
29	205.7572	62.298542	280.67218	128.14412	231.89355	102.332756	329.37613	24.826906	400.0	351.35	31899	38.684914	19.58142	85.99394	-33.22928	-39.06755	2.0386555	221.03271675109863
30	243.92908	63.581066	304.48016	156.08615	234.46191	65.35066	315.04517	31.208303	400.0	376.3	32999	41.124413	19.62229	79.545685	-33.12024	-41.492615	1.9000759	230.12622594833374
31	245.33356	2.2574234	247.59099	243.07614	240.04196	89.49386	341.13153	33.009052	400.0	357.5	34099	43.130436	19.27771	86.88072	-32.641674	-43.501957	1.8149993	240.96526408195496
32	245.53955	42.11372	293.69534	191.11182	224.38374	81.39617	326.37695	32.66938	400.0	363.5	35199	45.40341	18.742844	83.79901	-32.379925	-45.781597	1.7570672	251.1232933998108
33	177.42339	85.44421	257.0375	33.443203	256.4709	89.90789	334.64362	4.3035755	320.0	368.45	36299	47.242115	18.67465	87.98459	-32.34288	-47.618546	1.7130686	262.81124925613403
34	278.31262	20.53569	298.8483	257.77692	284.78055	69.3626	346.33957	4.585836	400.0	384.75	37399	49.51289	18.282879	83.8101	-28.448046	-49.867493	1.5361685	274.2423050403595
35	303.29895	9.717496	316.91504	294.87964	300.66284	46.86033	336.9856	113.18724	400.0	390.25	38499	51.941795	17.833076	88.4981	-28.536425	-52.28422	1.3542753	283.92788529396057
36	191.31001	119.62214	285.2511	22.497417	295.9086	36.614464	345.5263	188.03694	316.66666	394.3	39599	54.35034	16.823671	86.800385	-27.370499	-54.689823	1.3462559	291.70247173309326
37	279.66055	20.40252	306.6626	257.35263	301.32974	22.716578	339.7903	251.95808	400.0	400.0	40699	56.9923	15.262128	95.889275	-25.951252	-57.31221	1.2515594	299.55976033210754
38	303.53418	8.26974	313.99298	293.77234	274.2564	81.845856	334.33005	51.177704	400.0	375.3	41799	59.493378	13.621602	93.625595	-17.404638	-59.79	1.0599697	310.4683794975281
39	268.7524	18.241396	290.52264	245.88124	305.70288	14.645789	324.96252	269.56525	400.0	400.0	42899	61.276997	12.495702	102.853645	-14.993252	-61.55745	1.0839924	321.530446767807
40	258.77582	34.10057	292.8764	224.67526	295.18332	22.312067	320.8271	216.45418	400.0	400.0	43999	63.393032	10.354346	92.786156	-3.1513553	-63.632656	0.81167865	332.4062671661377
41	274.4937	14.347492	287.4676	254.49623	242.88725	121.696556	343.18298	19.727661	400.0	320.9	45099	65.34057	8.445379	92.425476	2.7024405	-65.60517	0.61786187	342.95515418052673
42	149.41475	136.67525	329.23306	20.168	247.68217	109.837685	333.38882	22.9097	220.4	339.0	46199	67.18506	7.6291237	96.70131	8.01175	-67.492165	0.5456501	354.40701818466187
43	293.13232	10.521652	300.876	278.25665	175.7571	89.17525	305.80185	29.32923	400.0	331.05	47299	69.09482	7.3050323	106.122185	2.5678144	-69.423485	0.541266	363.31570196151733
44	193.27724	88.12434	284.29095	74.03962	232.79558	105.949234	318.3807	32.01458	355.33334	345.55	48399	70.60034	7.3167834	118.74511	1.309567	-70.91798	0.6868717	376.0493724346161
45	295.4154	11.0991125	309.51956	282.39758	261.2393	86.040535	322.8344	45.927944	400.0	365.6	49499	72.03621	7.2026987	97.32986	1.114094	-72.2882	0.5471238	389.5369493961334
46	171.13487	79.70127	244.61014	60.37374	290.7126	20.812471	319.65146	230.25917	311.33334	400.0	50599	72.87374	7.4582624	106.481476	-3.6703308	-73.09608	0.5852923	400.4394829273224
47	293.97168	10.363464	308.08154	283.48367	304.3461	16.377674	334.3781	273.19843	400.0	400.0	51699	73.90624	7.2449546	107.85758	-4.8766313	-74.12148	0.54412174	412.92465710639954
48	284.55753	2.4955466	286.65234	281.05035	305.74335	27.778997	345.23175	261.3364	400.0	400.0	52799	74.64266	7.0529304	128.15654	-3.2842367	-74.87398	0.59755635	426.57468700408936
49	277.55536	7.902115	285.4575	269.65326	310.2377	19.077099	341.60623	267.94226	400.0	400.0	53899	75.47493	6.932028	105.2974	-1.4456799	-75.719284	0.49861866	440.1294436454773
