Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	70.98456	9.723747	78.31826	57.243504	-6.62765	7.1112814	6.8771114	-18.630129	304.66666	75.3	1099	0.1620841	0.40790135	22.935017	-15.395902	-0.18283713	0.082963705	1.3031628131866455
2	63.752045	28.733751	111.43629	40.00058	83.89517	22.431602	131.27554	43.713737	252.75	190.85	2199	1.3530397	0.9320291	11.536867	-10.14436	-1.4831777	0.012852294	6.984630584716797
3	92.50367	11.431563	106.41324	78.41349	112.94696	54.018475	245.67682	60.536545	390.33334	233.7	3299	3.599562	1.2332104	13.766079	-10.31846	-3.808757	0.014959651	12.14094352722168
4	53.86164	12.60483	71.82642	35.03222	88.33156	23.760273	138.08994	44.815186	240.6	199.75	4399	5.532673	1.5404612	24.720396	-12.902365	-5.7513824	0.041725937	16.97379422187805
5	58.12186	18.90856	88.58626	39.295277	75.15021	26.36062	134.20241	36.081375	269.25	177.15	5499	7.4709187	1.8589146	28.313368	-7.946644	-7.6901774	0.0784275	21.91978907585144
6	58.670944	13.663874	75.38598	37.81909	65.13141	25.308249	134.77306	21.535511	267.25	160.4	6599	8.875014	2.5518308	24.397013	-16.274092	-9.098635	0.099065945	26.606696128845215
7	66.97599	26.731155	110.797005	43.936733	56.229576	12.289686	76.609474	29.26289	286.5	152.5	7699	10.4779825	2.9716735	29.195555	-0.3221209	-10.709374	0.11331905	31.233330965042114
8	79.530815	17.068249	98.85081	57.339214	69.78069	26.362152	126.01874	33.986423	336.33334	173.85	8799	12.143255	3.3059685	39.44199	-16.224709	-12.372875	0.16941552	36.19329500198364
9	53.426666	16.328558	79.84574	31.236502	76.80275	36.58292	159.03421	26.096346	243.2	176.3	9899	13.758255	3.5944154	51.770065	-37.339973	-13.994687	0.1976637	42.14537262916565
10	39.755398	11.712266	61.740166	27.496649	65.73952	30.338734	130.86089	18.386198	210.2	162.5	10999	14.981645	4.1266265	48.495464	-25.157856	-15.214151	0.23603469	47.24911141395569
