Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-63.447083	45.22573	4.9238057	-122.13029	-27.73035	9.224952	-13.642546	-43.749577	249.0	74.65	1099	-0.04260252	0.40645278	6.4450045	-14.624809	0.0048536854	0.07812388	0.9288320541381836
2	-53.434288	40.34362	0.7329919	-105.16714	-27.87383	14.035321	10.748154	-48.9988	261.0	96.9	2199	-0.6055852	0.9015324	4.3322315	-6.1417813	0.54927593	0.013479778	5.364869594573975
3	-74.626656	28.178942	-40.541138	-109.54991	-20.43755	15.751935	11.17994	-45.90556	368.0	132.3	3299	-0.9921674	1.6993616	6.256995	-6.5853786	0.8764323	0.02874043	9.67867374420166
4	-60.636086	42.960793	11.207359	-101.5083	-22.315716	15.859967	18.628805	-47.122345	254.25	121.5	4399	-1.3756119	2.2015154	8.513571	-16.57823	1.2488381	0.045299355	14.571288347244263
5	-38.256	48.580093	13.85914	-113.255615	-23.438545	12.320708	-4.116416	-46.52177	285.0	152.0	5499	-1.9876084	2.7083883	9.011284	-7.2645307	1.8589418	0.061172735	18.944262504577637
6	-55.009106	48.442787	37.667294	-104.23068	-19.831776	21.660805	30.182081	-47.796627	242.8	143.4	6599	-2.4359221	3.3331819	11.602723	-9.6594	2.3090487	0.09034438	23.96554684638977
7	-57.590355	19.748425	-34.964607	-91.51624	-24.494022	11.618448	-2.280023	-42.797604	229.0	141.4	7699	-2.88262	3.83917	11.052103	-15.342363	2.760561	0.11867808	28.27999448776245
8	-1.5602417	44.01302	58.420464	-45.953884	-21.007832	18.442904	19.307775	-43.826294	341.33334	154.0	8799	-3.0195823	4.8177166	19.858374	-27.697758	2.8957396	0.18409146	32.74652719497681
9	-50.899376	38.61141	-9.531953	-114.19868	-17.636837	21.043652	32.4638	-52.89401	301.75	168.0	9899	-2.8623548	5.77105	15.965873	-20.550589	2.7320957	0.21218978	37.570740699768066
10	-103.717804	21.922825	-81.794975	-125.640625	-15.534418	30.111336	84.03844	-59.96416	400.0	164.85	10999	-3.175779	6.1346126	18.211603	-21.192986	3.0409434	0.22297676	42.86785316467285
11	-87.63246	16.640667	-67.15721	-112.40743	-19.08674	18.1916	15.544924	-46.25396	297.5	154.55	12099	-3.7083116	6.470688	18.891644	-20.89418	3.5725412	0.25507173	47.3420307636261
12	-60.65326	30.967964	-15.600425	-112.72434	-25.081362	15.026654	14.941383	-40.389877	217.0	141.15	13199	-4.2676415	6.794443	20.142561	-23.844091	4.135979	0.2593841	52.4357647895813
13	-56.064533	29.787436	-19.466644	-92.42955	-21.571514	20.09328	21.383331	-47.206985	342.33334	152.55	14299	-4.523065	7.116787	21.440765	-23.803265	4.392405	0.28309456	57.58940052986145
14	-28.16394	41.214306	23.231594	-79.45494	-20.964447	22.599674	23.852098	-52.75207	221.0	185.35	15399	-4.470682	7.77328	22.691994	-20.001078	4.3388367	0.28959772	62.770565032958984
15	-13.94307	22.052258	26.54166	-40.80279	-15.936839	22.976145	26.180128	-50.00614	161.57143	163.15	16499	-4.670731	8.1962595	24.0475	-47.535103	4.5414367	0.36979982	67.98440313339233
16	-25.366838	15.67215	-3.2087607	-48.271854	-11.918177	18.796965	29.645191	-35.305164	146.85715	138.9	17599	-4.7937036	8.527797	24.86261	-26.206934	4.6721005	0.4458344	73.15118432044983
17	-11.940452	22.376762	24.42816	-36.34495	-18.215506	20.035173	26.665304	-38.91665	123.75	137.8	18699	-4.915971	8.978418	27.781616	-30.39272	4.801806	0.4924478	77.87032294273376
18	-5.801196	13.747495	8.553297	-29.45845	-24.913174	15.772216	11.416219	-52.81148	156.71428	184.55	19799	-4.8685927	9.295893	28.943808	-28.72099	4.759185	0.492588	83.3970787525177
19	-27.389515	24.784414	10.316283	-73.23241	-13.516754	24.074537	29.983746	-49.548138	183.0	161.85	20899	-4.884792	9.49901	30.055904	-29.12828	4.7747884	0.46649957	88.44545149803162
20	-19.754332	26.84493	32.003555	-49.602013	-6.278132	24.98891	49.846405	-33.393284	162.42857	153.05	21999	-4.969987	9.782948	31.061745	-33.750668	4.8608108	0.49662948	92.99922299385071
21	-19.375376	16.14085	12.349152	-37.401558	-21.025883	33.51806	63.881554	-61.60327	146.42857	178.8	23099	-4.9737453	10.007717	32.24019	-33.352104	4.865655	0.5285427	97.74010491371155
22	-13.089783	45.61076	63.427788	-77.44085	-16.781338	20.774853	44.93463	-44.39258	222.0	163.6	24199	-4.9347806	10.23574	33.009167	-35.767715	4.824234	0.5098975	103.16507530212402
