Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-80.0715	33.278725	-46.792774	-113.35023	-133.92082	9.986056	-112.08561	-148.55142	400.0	400.0	1099	-0.15756768	0.43598756	0.77161956	-0.94396734	0.14572048	0.024285411	2.683596611022949
2	-45.321697	32.17678	-8.555407	-86.925476	-197.64133	9.019698	-180.49913	-209.28703	400.0	400.0	2199	-0.62757486	0.8930399	2.10752	-2.611402	0.6160163	0.010400605	10.320975542068481
3	-101.671745	18.101112	-76.27778	-117.1679	-166.00374	42.857124	-56.09031	-207.60294	400.0	400.0	3299	-1.4236984	1.5860946	3.927048	-4.269613	1.4048222	0.008586078	16.6916663646698
4	-63.520863	9.90913	-54.60387	-77.34161	-15.910309	60.391647	91.57752	-134.645	400.0	400.0	4399	-2.046149	2.1890435	6.0351267	-5.529654	1.9562386	0.0060830023	22.939399003982544
5	-78.50899	14.809917	-63.699074	-93.31891	11.853288	44.54443	100.39116	-38.343353	400.0	400.0	5499	-2.1881757	2.8305614	8.453368	-6.399651	2.0382316	0.00426262	29.268683433532715
6	-80.57819	21.289547	-65.464005	-110.68608	11.994501	38.98315	132.81166	-35.621647	400.0	400.0	6599	-2.1593506	3.4712255	10.682145	-6.998801	1.9904501	0.0040732585	36.882997035980225
7	-87.17312	12.424702	-77.54868	-104.7167	20.793766	48.891617	175.75957	-30.399103	400.0	400.0	7699	-2.2232354	4.0423336	12.80952	-7.5263023	2.0511622	0.007149113	42.71839785575867
8	-45.698376	44.15657	16.748388	-76.995056	0.6892439	36.134296	70.75905	-51.6495	400.0	400.0	8799	-2.0397234	4.6483603	14.873364	-8.102761	1.8604692	0.010753802	48.57629656791687
9	-34.019096	32.33104	-1.6880559	-66.350136	1.2146747	25.573835	54.64103	-35.6395	400.0	400.0	9899	-2.0362504	5.2677884	16.694954	-8.586653	1.8530126	0.015129836	54.436779499053955
10	-93.43285	14.7256365	-76.48409	-112.386795	-1.1912644	22.747063	47.36051	-34.877747	400.0	400.0	10999	-1.9696496	5.823958	18.427742	-9.007407	1.7826461	0.021465153	61.198479890823364
11	-84.62819	37.968437	-36.06192	-128.74542	-10.50033	23.022488	49.090023	-50.414326	400.0	400.0	12099	-1.80849	6.1892843	19.876242	-9.368501	1.6162233	0.027003357	67.69913935661316
12	-97.07568	7.0414987	-91.89252	-107.031044	-8.527704	32.710037	66.75289	-45.94366	400.0	400.0	13199	-1.8382943	6.485217	21.160248	-9.563718	1.6391708	0.030359188	75.25232768058777
13	-75.30573	4.286438	-71.019295	-79.59217	24.900991	28.921362	75.38668	-22.49863	400.0	400.0	14299	-1.7443466	6.7929444	22.45959	-9.734842	1.542688	0.037285715	82.78646612167358
14	-72.62236	24.1823	-46.770073	-104.93716	-1.040974	35.306007	88.01341	-52.21847	400.0	400.0	15399	-1.6792202	7.0301194	23.416197	-10.070308	1.4736904	0.042454448	89.3494234085083
15	48.982327	44.669357	90.88303	-12.910368	11.917986	38.673843	118.5166	-36.29778	400.0	400.0	16499	-1.6259893	7.552216	24.64295	-10.426697	1.4275051	0.054818906	95.76032757759094
16	5.07496	20.785564	25.177874	-23.54971	4.457834	30.812489	58.129192	-52.2196	400.0	400.0	17599	-1.3821502	8.117416	25.801712	-10.64452	1.1927	0.0649999	101.92024636268616
17	-13.141504	13.62611	0.4846061	-26.767614	15.599278	37.877354	96.4802	-35.228355	400.0	400.0	18699	-1.3976455	8.409933	27.177696	-11.145005	1.218749	0.077488914	108.55080795288086
18	53.270725	69.886955	151.04681	-8.113597	4.5909023	24.156408	50.59173	-43.968212	400.0	400.0	19799	-1.1643457	8.90638	29.40281	-11.639872	0.992661	0.08355927	115.16354203224182
19	0.008403142	39.477596	55.419174	-33.609287	32.049065	40.92064	114.79581	-38.395943	400.0	400.0	20899	-0.9852575	9.244062	31.07634	-12.024856	0.8225477	0.09320248	122.06182026863098
20	30.658457	68.8102	127.9535	-19.577211	19.928469	46.59219	92.80583	-37.921635	400.0	400.0	21999	-0.80793804	9.633542	32.49957	-12.464055	0.653365	0.10090651	128.9426622390747
21	7.290947	42.17182	49.46277	-34.880875	31.920933	44.692562	126.72205	-27.837477	400.0	400.0	23099	-0.6662296	9.9725	33.85784	-12.998318	0.5159113	0.11047359	136.67635941505432
22	22.864893	60.439278	93.5323	-54.109505	38.587425	41.478397	113.04074	-33.378273	400.0	400.0	24199	-0.48930374	10.303946	35.016346	-13.608894	0.345082	0.12731536	144.29130125045776
23	32.808346	39.97418	70.378586	-22.55902	12.494365	43.228176	108.38593	-43.238743	400.0	400.0	25299	-0.33526126	10.626982	36.233597	-14.26297	0.19569314	0.13250823	151.75681519508362
24	14.874606	28.800676	46.588825	-23.115616	1.5021079	29.453362	67.72765	-36.684196	400.0	400.0	26399	-0.09961711	10.947868	37.26848	-14.842492	-0.036582123	0.14142278	158.336975812912
25	-24.653675	2.9423933	-21.71128	-27.596067	32.054165	44.951458	152.41498	-36.913666	400.0	400.0	27499	-0.16371371	11.039343	38.260014	-15.387772	0.03264104	0.14161411	165.69817280769348
26	8.975619	20.041046	23.216059	-19.366587	29.700037	48.738842	138.601	-47.52319	400.0	400.0	28599	-0.14200135	11.182381	39.183495	-16.540325	0.015362951	0.15214719	173.0714762210846
27	4.311196	15.221198	25.299356	-10.324161	7.7553267	43.638786	111.16088	-46.060123	400.0	400.0	29699	-0.1469915	11.38927	40.129837	-16.625814	0.023826186	0.15731809	180.49227714538574
28	7.4327064	41.14797	65.62471	-21.686766	23.940664	52.740414	138.00345	-43.974346	400.0	400.0	30799	-0.19677827	11.473673	40.902668	-16.616116	0.0780834	0.16584562	186.8028745651245
29	31.063793	51.116978	82.18077	-20.053185	8.222456	30.624895	83.06995	-30.631964	400.0	400.0	31899	-0.06504889	11.705057	41.489784	-16.76121	-0.048643522	0.16791046	193.3161232471466
30	69.27715	80.68972	183.20952	6.7604027	52.82774	71.10246	163.20256	-48.844807	400.0	400.0	32999	0.14634895	12.079227	42.93099	-17.011309	-0.25778726	0.17699042	199.93851828575134
31	75.134	39.734234	130.01143	37.227943	7.656308	35.664806	77.75525	-44.373627	400.0	400.0	34099	0.7155405	12.886519	44.18341	-17.30789	-0.82560706	0.18378696	206.4542760848999
32	98.582954	20.551731	125.97588	76.47334	7.660159	48.190678	111.59273	-47.984264	400.0	400.0	35199	1.1436363	13.305725	44.667316	-17.615206	-1.2518117	0.19991636	213.0341567993164
33	66.58653	50.40219	116.98872	16.18434	14.163686	34.59721	93.65563	-30.2122	400.0	400.0	36299	1.6545237	13.766928	45.23997	-17.779099	-1.7616625	0.203462	220.48954153060913
34	2.3335469	40.753452	56.674007	-41.468025	16.437452	49.1381	137.65564	-45.716793	400.0	400.0	37399	1.8477795	13.879138	45.876873	-17.976864	-1.9528254	0.21519247	226.79478788375854
35	-16.585264	31.059671	26.921432	-43.576008	-5.896558	29.25146	88.07406	-48.35598	400.0	400.0	38499	1.6935121	13.92836	46.54339	-18.073305	-1.7962564	0.21040234	233.23966360092163
