Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	39.751705	22.549986	62.301693	17.20172	-40.916847	0.26563293	-40.337864	-41.238068	400.0	400.0	1099	0.07800132	0.113800645	0.5028913	-0.22447303	-0.08512369	0.045764294	4.445445537567139
2	18.964117	12.381492	36.47395	10.129706	-144.89798	0.14551355	-144.63612	-145.21434	400.0	400.0	2199	0.3859233	0.77187914	2.8911533	-1.0960128	-0.3951779	0.022181056	13.065863609313965
3	34.180714	27.333845	69.47744	2.882646	-158.0904	5.3252964	-134.88023	-159.3632	400.0	400.0	3299	0.82022846	1.9663773	5.572245	-2.048533	-0.8447786	0.02888831	21.649940252304077
4	16.83003	16.074152	33.878063	-4.7166967	-158.74265	0.08115192	-158.4999	-158.8145	400.0	400.0	4399	1.2742465	3.1248384	8.112814	-2.8779943	-1.3307458	0.03661134	29.5633385181427
5	-6.975157	6.7165365	-0.25861987	-13.691693	-153.7974	0.07844024	-153.53008	-153.87479	400.0	400.0	5499	1.7180313	4.2679086	10.691548	-3.6071334	-1.8185068	0.043095775	38.912726402282715
6	31.303644	28.491838	69.13005	0.3675726	-77.21316	2.1136258	-74.764755	-83.971375	400.0	400.0	6599	2.6932135	5.4750113	12.437281	-4.1770225	-2.809271	0.05394522	47.32166838645935
7	31.794067	24.807728	60.284134	-0.18150853	-102.73625	7.2988796	-89.454025	-112.251175	400.0	400.0	7699	3.2580671	6.425587	14.63601	-4.6511064	-3.3771982	0.07215849	56.724674701690674
8	30.15734	30.213106	68.58965	-5.228716	-97.17383	8.741885	-81.73473	-109.68153	400.0	400.0	8799	4.1231804	7.291773	16.723608	-5.1147456	-4.2434754	0.07215262	66.08626055717468
9	57.84062	21.787159	79.62778	36.05346	-90.14766	19.518463	-42.52002	-116.85875	400.0	400.0	9899	4.6349416	8.12115	18.617874	-5.462745	-4.7591505	0.09497909	73.84337377548218
10	38.98647	45.31202	102.97682	4.042612	-75.1133	23.556496	-17.510298	-108.40558	400.0	400.0	10999	5.0371456	8.867701	20.578228	-5.862132	-5.1678233	0.1041867	81.94798493385315
