Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	54.994404	49.436333	104.43074	5.55807	-155.13077	0.0050199376	-155.11981	-155.13615	400.0	400.0	1099	0.30403998	0.15447505	0.6111442	-0.14939696	-0.3108875	0.067118436	2.8164610862731934
2	30.763777	39.776134	85.525246	-7.7568517	-159.09497	0.0027229222	-159.0897	-159.09836	400.0	400.0	2199	0.6520832	0.8389918	3.097861	-1.1309172	-0.6736024	0.023984712	10.555982828140259
3	23.39357	19.459747	50.84904	8.031696	-159.11537	0.003112432	-159.1105	-159.11993	400.0	400.0	3299	1.3083447	1.9180784	5.724193	-2.034503	-1.3356603	0.03321987	17.499138593673706
4	18.55654	24.804508	53.63108	0.5418931	-104.47839	5.6345706	-94.41946	-118.29331	400.0	400.0	4399	1.7163557	3.114204	8.226713	-2.9984708	-1.7390358	0.050281707	23.645426511764526
5	30.305046	17.883509	48.188553	12.421537	-123.4187	7.255381	-112.52497	-135.91899	400.0	400.0	5499	2.4109316	4.299236	10.759704	-3.8021085	-2.4564939	0.06571041	30.31287980079651
6	17.565407	12.674877	34.39407	3.8054378	-120.57115	0.9800899	-118.248116	-122.14642	400.0	400.0	6599	2.9695494	5.222897	13.115312	-4.5899935	-3.01288	0.08816945	37.67605018615723
7	20.247232	1.1262157	21.425108	18.729855	-77.2686	3.3436317	-71.31101	-81.6306	400.0	400.0	7699	3.192376	6.1833696	15.472638	-5.6267595	-3.2390141	0.113665536	46.3199577331543
8	22.527548	42.613457	81.990005	-15.690284	5.460575	37.999794	89.18465	-44.944187	400.0	400.0	8799	3.5390494	7.224606	17.688086	-6.5385118	-3.599636	0.119809546	53.59465980529785
9	26.680656	0.063967705	26.744623	26.616688	-21.616138	32.062508	39.79873	-55.977192	400.0	400.0	9899	3.7090626	8.183101	20.065752	-7.252184	-3.8024955	0.13263264	61.95454406738281
10	6.6970544	7.1468596	13.771361	-3.091663	3.2871506	28.93981	67.85374	-56.733738	400.0	400.0	10999	3.999391	9.037199	22.336012	-7.749595	-4.110427	0.12177198	69.3532063961029
