Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-48.796204	3.4220867	-45.374115	-52.21829	-165.53018	5.5837584	-151.17885	-172.66762	400.0	400.0	1099	-0.40436134	0.08858651	-0.08088298	-0.5659777	0.4033367	0.014567337	12.571012735366821
2	-28.244532	4.7149053	-21.63324	-32.30092	35.849586	15.096341	66.67366	13.550209	400.0	400.0	2199	-0.52447325	0.4244179	0.64385897	-1.7098539	0.49962202	0.010916529	80.88630294799805
3	3.5695093	30.31811	36.16757	-36.850185	51.053688	35.274757	168.7838	4.8649387	400.0	400.0	3299	-0.33549902	0.94069856	1.9511061	-1.8565372	0.17682226	0.0031252305	151.1121506690979
4	-31.228455	14.16048	-11.822461	-45.21331	89.20861	50.4896	220.58298	24.127943	400.0	400.0	4399	0.3888885	1.452797	3.5810769	-1.7909863	-0.579527	0.0013524214	217.65668058395386
5	-18.993708	12.050852	-6.942856	-31.04456	109.86159	43.87971	179.6504	41.961693	400.0	400.0	5499	1.104628	1.9196768	5.13622	-2.0330594	-1.3009489	0.0011484772	284.35629653930664
6	-50.316925	3.832379	-46.650593	-55.606853	94.035164	26.302559	147.69846	46.14996	400.0	400.0	6599	1.6542237	2.2942808	6.5528274	-2.1790662	-1.8572899	0.001424217	357.38125681877136
7	-22.17393	19.350294	-5.0082254	-49.21362	104.46767	40.83886	192.63084	46.35434	400.0	400.0	7699	2.1172822	2.7361915	7.927456	-2.5788066	-2.3225596	0.001685704	423.69496607780457
8	-34.4914	7.2538753	-27.970018	-44.61006	107.71969	41.85275	188.99321	43.133717	400.0	400.0	8799	2.5992596	3.1877503	9.304728	-2.8480775	-2.8065877	0.0025392007	491.46996545791626
9	1.438458	4.884175	6.322633	-3.4457169	106.023315	38.976887	178.6806	53.64137	400.0	400.0	9899	3.1115613	3.5960388	10.864335	-3.050172	-3.3202698	0.0042900955	561.8845422267914
10	-21.431688	10.894014	-11.096592	-36.494118	121.18229	50.761467	229.41232	38.836823	400.0	400.0	10999	3.7089832	3.9942381	12.275539	-3.1195989	-3.920708	0.00413482	631.1322736740112
11	-43.594677	1.6585398	-41.369526	-45.34964	130.10416	51.100914	255.5702	21.96775	400.0	400.0	12099	4.1525087	4.2881923	13.616177	-3.12928	-4.3655486	0.0040489277	704.5905683040619
12	-39.234333	5.6306667	-33.15084	-46.725792	102.14821	42.11841	172.9405	33.95168	400.0	400.0	13199	4.4501657	4.589486	14.88327	-3.0731523	-4.665556	0.0044334116	771.3290321826935
13	12.885271	25.433361	38.31863	-12.548089	105.55475	41.719875	160.06566	29.036798	400.0	400.0	14299	4.862617	4.9968557	16.402317	-3.2051866	-5.079626	0.004417648	840.8898973464966
14	-8.576395	33.547955	19.676008	-55.71092	162.61166	46.43825	212.98628	53.36665	400.0	400.0	15399	5.2676954	5.3872285	17.774872	-3.622807	-5.4881997	0.007375833	911.8344185352325
15	144.90161	28.073118	184.2934	120.92028	130.50705	68.6805	215.49718	21.62957	400.0	400.0	16499	6.053847	6.042009	19.351334	-3.9343839	-6.2717524	0.010208836	984.0214321613312
16	148.95447	55.1625	188.16063	70.94327	132.41321	39.395237	208.34862	37.887444	400.0	400.0	17599	7.079263	6.6880484	21.049158	-4.294284	-7.2927346	0.009535115	1056.9309277534485
17	129.04826	84.62828	213.67654	44.419987	116.55015	101.780685	265.03442	-62.632523	400.0	400.0	18699	8.150701	7.410681	22.965721	-4.6351	-8.361546	0.013486916	1128.0356945991516
18	126.75272	19.738684	153.05508	105.50445	148.97128	107.92209	288.76025	-62.991642	400.0	400.0	19799	9.057901	7.9672046	24.864256	-4.9740243	-9.26696	0.014649651	1198.9067916870117
19	158.10269	36.20721	185.304	106.93198	167.97623	30.182917	222.88036	107.58878	400.0	400.0	20899	10.206246	8.619942	26.707542	-5.255807	-10.412734	0.017155625	1272.795974969864
20	176.82074	49.610764	212.4775	106.663704	163.01454	98.732216	263.33862	-67.40354	400.0	400.0	21999	11.433301	9.307735	28.518044	-5.535398	-11.637755	0.019535363	1345.7037920951843
21	28.319607	63.296825	91.61643	-34.97722	112.59241	103.23724	244.97588	-74.97512	400.0	400.0	23099	12.38535	9.883461	30.24551	-5.7194304	-12.587611	0.027951304	1424.498612165451
22	212.26027	18.947369	228.65443	185.7076	195.83878	52.043888	265.40396	80.74542	400.0	400.0	24199	13.557974	10.5467825	31.904135	-5.9859505	-13.761135	0.030499084	1499.4408707618713
23	116.14506	45.526875	163.0381	54.490868	164.36661	86.37707	285.5937	22.1535	400.0	400.0	25299	14.753576	11.092461	33.520824	-6.2199516	-14.957886	0.034274872	1577.641047000885
24	203.18404	33.142925	249.63121	174.51292	167.2636	74.53479	276.58856	3.5351155	400.0	400.0	26399	15.929866	11.655725	35.10925	-6.540043	-16.134499	0.02985663	1657.498054742813
25	166.75816	57.2999	224.05806	109.45826	143.82286	85.45392	251.32747	-41.799885	400.0	400.0	27499	17.220098	12.213404	36.59227	-6.727175	-17.43049	0.03689551	1734.9817955493927
26	161.92084	55.27049	230.07167	94.69669	181.82042	84.47583	304.79697	16.347622	400.0	400.0	28599	18.461184	12.685074	38.163296	-6.787418	-18.681868	0.03606839	1817.7416276931763
27	205.69824	41.1175	256.8374	156.15862	154.41545	68.056725	286.92685	31.762646	400.0	400.0	29699	19.710287	13.128488	39.603374	-6.7945886	-19.935732	0.043018974	1891.3457782268524
28	132.54091	84.15052	247.52496	48.478878	133.95195	78.342316	270.7095	3.3945043	400.0	400.0	30799	21.087833	13.653998	40.96992	-6.7852163	-21.315191	0.054390833	1961.3220319747925
29	143.04791	63.819496	206.86742	79.228424	124.57589	102.777435	244.69879	-0.34813777	400.0	400.0	31899	22.18573	13.996204	42.375458	-6.683137	-22.415129	0.044855386	2042.608391046524
30	63.768948	105.53848	212.13643	-24.481604	187.74788	112.60437	283.2105	-15.701778	400.0	400.0	32999	22.970554	14.394737	43.651085	-6.693666	-23.204805	0.052365992	2114.735184431076
31	170.62502	132.72159	275.626	-16.61087	234.52502	67.0161	295.88257	41.147858	400.0	400.0	34099	24.009432	14.9080105	44.88698	-6.609044	-24.243631	0.068393014	2187.2559752464294
32	140.7189	90.0471	216.47337	14.192565	231.04105	54.56943	272.34778	20.837168	400.0	400.0	35199	24.930496	15.34931	46.07845	-6.50604	-25.160282	0.06361571	2258.9213576316833
33	242.63232	17.547234	260.17957	225.0851	252.19861	24.898268	286.47025	180.34145	400.0	400.0	36299	26.083847	15.81629	47.292236	-6.615221	-26.31639	0.060932737	2332.638768196106
34	252.23586	14.987218	265.71695	231.33127	227.01128	71.88511	317.0634	-43.613445	400.0	400.0	37399	27.41305	16.293097	48.437027	-6.554867	-27.647827	0.06191298	2407.7827587127686
35	146.94295	81.187126	210.41301	32.34847	232.14958	47.072567	286.73468	56.074013	400.0	400.0	38499	28.640327	16.700819	49.562885	-6.512515	-28.875725	0.07723872	2482.091659784317
36	220.86267	16.209103	239.62088	200.07306	222.29895	54.403137	298.86993	61.54479	400.0	400.0	39599	29.608963	17.094324	50.618042	-6.5179377	-29.841805	0.07914503	2555.4970695972443
37	229.0375	5.5879593	234.62547	223.44955	233.93253	25.31798	285.8809	184.97925	400.0	400.0	40699	30.841705	17.432568	51.62705	-6.401273	-31.072657	0.06995149	2631.1674349308014
38	172.47748	95.18921	257.06073	39.490013	239.77519	90.48267	305.627	-79.322845	400.0	400.0	41799	31.941217	17.735102	52.581177	-6.444256	-32.17124	0.07661586	2706.314113140106
39	258.36172	2.9638329	261.5186	254.39539	200.22897	81.3506	282.1147	3.5774562	400.0	400.0	42899	32.859665	18.059887	53.509857	-6.2967587	-33.09038	0.072487555	2776.4416711330414
40	221.53108	24.480585	242.05943	187.12383	202.16006	101.45375	304.99326	-96.92718	400.0	400.0	43999	33.97185	18.288088	54.430454	-6.161859	-34.20187	0.09107365	2850.617844581604
41	165.39635	37.76646	203.16281	127.62989	223.89871	63.85163	282.53836	-9.635448	400.0	400.0	45099	34.938053	18.462772	55.300064	-6.224881	-35.169483	0.103648804	2921.080210208893
42	210.29633	35.994514	238.09294	159.46675	234.67207	29.593826	311.3748	187.73672	400.0	400.0	46199	35.92494	18.5763	56.17062	-6.238575	-36.157017	0.09945143	2997.840817928314
43	235.91168	32.321648	280.15448	203.8422	191.63416	62.013855	294.3065	21.1969	400.0	400.0	47299	36.99374	18.676628	56.943108	-6.1538057	-37.221714	0.08769312	3072.8705513477325
44	178.81087	8.83905	190.13945	168.57048	224.93698	30.158487	274.27585	169.3593	400.0	400.0	48399	37.85912	18.752956	57.72128	-6.2339234	-38.08505	0.08752463	3150.504406929016
45	181.4758	8.930771	190.40657	172.54503	244.47054	25.418505	281.06186	173.0586	400.0	400.0	49499	38.77467	18.724606	58.446125	-6.5268965	-39.00367	0.105480365	3224.602504968643
46	242.94751	30.337618	284.70844	213.54793	242.925	28.419641	270.95065	154.29085	400.0	400.0	50599	39.663082	18.750267	59.161354	-6.881949	-39.89134	0.088788316	3298.393672466278
47	259.41135	18.115044	281.02557	236.6941	247.3945	24.879173	287.61786	190.07954	400.0	400.0	51699	40.620834	18.718704	59.8592	-7.0569315	-40.847412	0.08759882	3373.7301981449127
48	175.58142	60.82582	231.5753	91.03199	246.97427	23.964254	295.41367	193.8207	400.0	400.0	52799	41.39039	18.647196	60.514126	-7.192268	-41.61601	0.10554584	3452.004636526108
49	225.47208	9.789375	235.26144	215.6827	229.73166	23.696684	268.97424	173.61093	400.0	400.0	53899	42.234257	18.594048	61.149837	-7.1931887	-42.44983	0.0883438	3529.688004732132
50	189.22151	13.600035	207.76219	175.5213	236.0159	32.572533	297.48453	162.30084	400.0	400.0	54999	42.928204	18.496233	61.74519	-6.9240227	-43.1444	0.092800125	3602.8974266052246
51	222.7064	7.3210273	232.99547	216.5631	249.91895	41.20548	299.9193	155.825	400.0	400.0	56099	43.601162	18.435839	62.28907	-6.3584685	-43.816315	0.083940014	3679.6415560245514
52	256.19385	27.516838	281.38943	217.91238	241.52237	15.705902	269.0402	217.49243	400.0	400.0	57199	44.358902	18.389673	62.85898	-5.4680967	-44.571064	0.07870995	3753.214983224869
53	234.21167	7.282997	241.49466	226.92867	242.48474	23.072441	276.15955	200.98265	400.0	400.0	58299	45.056904	18.394974	63.423676	-4.6011543	-45.26683	0.08523991	3826.671903371811
54	251.55486	21.943182	282.5834	235.61961	244.87112	52.615185	318.968	59.933945	400.0	400.0	59399	45.72038	18.424318	64.06936	-3.7980647	-45.92632	0.08767297	3904.385537624359
55	211.39111	36.438858	247.92334	161.6491	241.97165	40.644638	303.12582	135.50026	400.0	400.0	60499	46.38549	18.43628	64.56845	-3.034293	-46.587036	0.08224425	3977.7745373249054
56	276.76572	13.930141	288.38437	257.17856	245.05179	60.13855	294.68713	0.7392909	400.0	400.0	61599	46.97268	18.512293	65.08214	-2.2331524	-47.170765	0.07847748	4056.24308013916
57	256.06512	9.113663	265.1788	246.95148	217.1156	69.34903	289.4316	-71.53885	400.0	400.0	62699	47.54749	18.616158	65.539665	-1.5334041	-47.74266	0.086466044	4132.81885266304
58	249.20616	18.595608	265.764	223.23335	230.98991	35.6925	283.83273	142.81795	400.0	400.0	63799	48.1782	18.593716	66.01325	-0.8417057	-48.369526	0.07462369	4211.576055765152
59	251.84485	27.129702	271.228	213.47835	221.84616	69.60269	274.37677	-23.852436	400.0	400.0	64899	48.74115	18.5878	66.44728	-0.75055933	-48.93342	0.06771852	4284.899617671967
60	235.38104	4.996501	239.21204	228.32355	233.3696	29.359158	274.35428	183.57442	400.0	400.0	65999	49.308395	18.59637	66.86392	-0.7633214	-49.502552	0.07465356	4360.2553515434265
61	240.7167	36.29962	277.01633	204.41708	224.44547	71.41743	281.51657	-60.334885	400.0	400.0	67099	49.819416	18.563437	67.25509	-1.8764716	-50.01704	0.064648986	4433.751862287521
62	195.0146	6.36154	199.7024	186.02072	243.7072	25.97743	284.81262	177.0086	400.0	400.0	68199	50.303062	18.431543	67.63899	-2.184534	-50.49822	0.0634771	4510.101561784744
63	230.84656	8.824791	242.334	220.87857	228.53703	24.45301	267.6004	179.07347	400.0	400.0	69299	50.753376	18.385532	67.95732	-2.7694147	-50.945526	0.077296324	4587.71559715271
64	237.12883	15.771265	259.2314	223.48796	236.53879	33.334118	281.2436	151.29921	400.0	400.0	70399	51.252857	18.285316	68.29904	-2.6289263	-51.443615	0.06553357	4662.828914403915
65	171.84164	58.91663	230.75827	112.92501	228.17009	41.449703	270.31918	101.14218	400.0	400.0	71499	51.718445	18.209314	68.61867	-2.9252534	-51.906326	0.070323706	4741.428245544434
66	238.58093	22.706488	256.40186	206.53635	236.98416	28.200703	290.1477	180.34253	400.0	400.0	72599	52.12804	18.201643	68.9392	-3.0999465	-52.315113	0.07144685	4818.058695077896
67	233.20142	36.486713	276.10873	186.92555	205.6082	96.27551	289.27594	-79.196075	400.0	400.0	73699	52.58226	18.17635	69.23889	-3.4059696	-52.77171	0.07877456	4893.278277873993
68	234.3077	12.757098	244.31648	216.30396	200.15828	70.42277	278.62292	-71.23554	400.0	400.0	74799	53.037712	18.165012	69.507484	-3.3818932	-53.229374	0.07691531	4970.139434814453
69	236.70966	41.793915	278.50357	194.91574	215.2992	80.501305	280.0877	-112.36845	400.0	400.0	75899	53.51544	18.148062	69.75957	-3.0352995	-53.705715	0.08932129	5045.967009782791
70	226.98761	27.20942	265.27533	204.51706	242.42978	31.658554	289.23886	174.87103	400.0	400.0	76999	53.94555	18.107027	70.004585	-2.4922628	-54.130245	0.0865226	5118.984383583069
71	212.60713	28.229181	246.87444	177.73528	232.80069	34.20362	276.66922	168.7783	400.0	400.0	78099	54.3521	17.989902	70.27626	-1.9238368	-54.528522	0.0839592	5196.15466094017
72	243.33208	18.762533	266.7356	220.80186	206.63928	84.31468	284.38406	-93.10207	400.0	400.0	79199	54.632935	17.964216	70.5907	-1.0866413	-54.80324	0.08418326	5272.609934329987
73	233.55997	34.764374	268.32434	198.7956	218.16008	43.99645	270.11917	139.48907	400.0	400.0	80299	54.88903	17.96096	70.80284	-0.6029258	-55.054977	0.079056986	5345.021573543549
74	247.40288	4.3285127	253.10974	242.63168	216.61923	62.13924	278.81512	-5.2516456	400.0	400.0	81399	55.18769	17.869884	71.023605	0.08389318	-55.35164	0.08080734	5422.001191616058
75	161.44347	57.14379	241.3334	110.947784	234.92561	64.4813	300.1485	30.653978	400.0	400.0	82499	55.382244	17.837143	71.23815	0.70394754	-55.544144	0.07089265	5498.696403503418
76	254.10669	35.139313	281.09988	204.47588	222.13908	61.491962	294.56104	88.10589	400.0	400.0	83599	55.656635	17.735449	71.472404	0.966503	-55.818237	0.07301888	5574.348233222961
77	158.241	79.476326	237.71733	78.76468	249.1864	48.331566	296.57413	146.58162	400.0	400.0	84699	55.807728	17.733374	71.683655	1.0420942	-55.96852	0.06617854	5656.424746751785
78	127.07374	130.69356	275.31723	-42.64667	241.7458	44.874054	292.22415	116.75781	400.0	400.0	85799	55.950386	17.741182	71.89733	0.6985377	-56.11277	0.08159087	5735.715220212936
79	202.23582	53.183056	268.87656	138.71751	256.9444	21.965363	299.79117	207.91197	400.0	400.0	86899	55.981827	17.89126	72.067726	0.41805112	-56.14375	0.08236575	5813.115334033966
80	230.57658	25.658096	248.72935	194.29054	257.37003	25.778278	303.64685	207.76746	400.0	400.0	87999	56.28134	17.865597	72.26533	0.1514374	-56.44443	0.080129765	5890.004194259644
81	272.41827	2.6046143	275.0229	269.81366	266.8707	21.26007	308.05795	226.54121	400.0	400.0	89099	56.52377	17.91985	72.41884	0.4601431	-56.690113	0.07285401	5966.710671901703
82	141.14685	147.84042	276.27484	-64.585556	265.62375	31.054327	315.7617	208.63887	400.0	400.0	90199	56.67314	18.005022	72.58764	0.98039293	-56.841515	0.077125214	6043.2109632492065
83	205.44165	32.99619	239.92805	160.97458	250.85019	30.260914	320.5167	201.1096	400.0	400.0	91299	56.93213	18.023802	72.78666	1.9914323	-57.099205	0.082737096	6122.143263339996
84	249.48671	23.09871	281.80136	229.18832	243.22517	36.04503	308.54373	152.01434	400.0	400.0	92399	57.14335	18.079144	72.93443	2.7132678	-57.310062	0.07552061	6198.207309246063
85	209.62859	19.294601	228.92319	190.33398	245.04358	30.446436	307.6618	192.3001	400.0	400.0	93499	57.4385	18.032183	73.0918	3.1863005	-57.604122	0.06929569	6271.342810630798
86	259.22397	11.447268	268.58002	243.10445	219.78496	78.652084	278.48468	-110.76166	400.0	400.0	94599	57.672756	18.080917	73.27599	3.2983212	-57.84057	0.0687153	6349.3028881549835
87	238.46336	47.184544	291.58542	176.92938	228.56877	32.428528	288.59662	167.72844	400.0	400.0	95699	57.985798	18.079365	73.4393	2.897812	-58.15174	0.0748459	6425.04786324501
88	238.72888	18.47271	257.4754	213.59848	225.3908	22.880136	258.45853	181.82222	400.0	400.0	96799	58.201042	18.039526	73.570175	2.571171	-58.3654	0.07227778	6500.430322647095
89	246.30107	20.961624	267.2627	225.33945	246.85214	40.71618	308.01962	142.27135	400.0	400.0	97899	58.4078	18.057455	73.677574	2.6173716	-58.57084	0.074344635	6574.309185266495
90	237.60817	9.092841	249.42441	227.30664	232.96115	81.23347	305.8632	-101.53038	400.0	400.0	98999	58.631557	18.012636	73.83696	2.1496544	-58.79596	0.078620955	6649.531839847565
91	245.91719	19.319834	269.62863	222.3052	230.61801	109.30505	309.49225	-109.89803	400.0	400.0	100099	58.904846	17.926893	73.95074	1.2897007	-59.069275	0.0717827	6724.373646974564
92	272.7787	17.553717	297.5637	259.17065	237.42891	72.18377	316.5622	-36.21383	400.0	400.0	101199	59.114834	17.919436	74.01008	0.631094	-59.281673	0.07563482	6803.232208967209
93	275.54474	16.462967	292.00772	259.0818	214.80957	113.4839	286.03696	-138.95345	400.0	400.0	102299	59.36718	17.87055	74.10217	0.1680367	-59.533863	0.07700471	6879.859607696533
