Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	42.831146	59.911667	102.74281	-17.08052	-169.55994	6.4035807	-157.03687	-176.35683	400.0	400.0	1099	0.03558561	0.19700566	0.40690905	-0.41338268	-0.045791816	0.018539026	5.0295798778533936
2	-14.406924	26.973293	8.263635	-52.31046	15.467341	34.37691	122.64407	-24.61558	400.0	400.0	2199	0.21733634	0.6584049	2.1823747	-1.5017833	-0.23676574	0.013774811	18.91019558906555
3	-38.962433	25.22787	-4.5749154	-64.38979	107.22939	53.04597	235.32304	37.043484	400.0	400.0	3299	0.6840541	1.280776	4.9787836	-1.8522079	-0.8299343	0.004378791	32.87673544883728
4	-41.690636	10.208996	-27.38431	-50.526707	96.110695	26.371624	150.36935	48.634888	400.0	400.0	4399	1.2003479	1.9406077	7.606662	-2.2589314	-1.4035176	0.0025910472	46.682403564453125
5	-0.6044922	42.66837	42.063877	-43.27286	104.7986	37.669266	199.46416	42.56673	400.0	400.0	5499	1.7964122	2.58413	10.009112	-2.4285572	-2.0031168	0.0037039623	60.57450032234192
6	-23.07223	21.115156	-6.903834	-52.89837	90.46913	31.828384	154.70128	11.01846	400.0	400.0	6599	2.5677335	3.1947532	12.412735	-2.692281	-2.7758594	0.0065201106	74.37627625465393
7	-32.927387	22.818419	-2.4699712	-57.390797	102.14721	55.98187	201.05211	14.855286	400.0	400.0	7699	3.1533337	3.8621995	14.816072	-2.7279317	-3.3649647	0.009683186	88.38886904716492
8	-27.88565	24.592558	0.96297127	-59.132824	67.52226	44.88762	141.01495	-9.459986	400.0	400.0	8799	4.010203	4.4947186	17.205574	-2.6971257	-4.2239866	0.011896037	100.74701857566833
9	-43.137405	4.9585743	-38.178833	-48.09598	80.97039	41.395992	171.63774	16.108845	400.0	400.0	9899	4.339329	4.9539466	19.475582	-2.6173553	-4.562265	0.012228267	114.56391668319702
10	-13.102338	34.670372	35.807697	-40.542053	81.53738	57.002922	241.39363	-10.746366	400.0	400.0	10999	4.933305	5.346266	21.637403	-2.4113562	-5.1605625	0.015082456	129.2714445590973
