Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-47.075993	16.980429	-30.095564	-64.05642	-170.839	5.437638	-158.57776	-177.39667	400.0	400.0	1099	-0.18998502	0.068758085	0.06783418	-0.36837423	0.18336523	0.013611636	4.96260142326355
2	-44.658054	23.487734	-11.509262	-63.070515	-50.049797	54.228233	43.404495	-119.420715	400.0	400.0	2199	-0.4818592	0.34123176	1.0766672	-1.3872349	0.4553737	0.010808581	17.299580812454224
3	-22.382467	5.8690453	-16.182014	-30.26122	-14.315676	28.381037	47.665684	-54.093674	400.0	400.0	3299	-0.32452726	0.9637599	2.7216747	-1.7271475	0.17152765	0.005027106	30.014670372009277
4	-18.34419	23.21873	14.436626	-36.386223	97.46919	61.16581	217.09154	-73.45354	400.0	400.0	4399	0.7008626	1.5042462	4.949338	-1.8257145	-0.8676737	0.0048362063	42.322272539138794
5	-41.835205	8.04916	-33.786045	-49.884365	71.2072	26.352118	129.46422	43.59596	400.0	400.0	5499	1.1939919	1.785486	7.436721	-1.9222809	-1.3859533	0.004232903	55.42881441116333
6	-29.062529	12.859732	-14.259413	-45.613396	66.12776	24.610035	116.71726	32.29189	400.0	400.0	6599	1.7520388	2.173851	9.714759	-2.4523177	-1.9479581	0.006069252	69.93333792686462
7	-25.645952	35.732185	24.876823	-51.78493	70.90339	23.877075	110.448586	31.109291	400.0	400.0	7699	2.1225693	2.6337643	11.816191	-2.6483428	-2.321068	0.008700285	82.43443322181702
8	-13.439361	31.649702	29.130547	-46.699615	57.848766	25.488194	107.81729	33.453415	400.0	400.0	8799	2.758437	3.1738398	13.813507	-2.6717327	-2.9595308	0.008163462	95.67944478988647
9	0.6041546	3.0500424	3.654197	-2.4458878	55.782967	19.577589	105.865974	34.04889	400.0	400.0	9899	3.3199742	3.706778	15.665641	-2.637427	-3.5189579	0.011862283	109.30226802825928
10	-9.813409	32.115093	22.02546	-53.78251	59.32514	12.027189	81.0285	38.05807	400.0	400.0	10999	3.8920238	4.2426414	17.381111	-2.6150846	-4.091589	0.017900154	122.47346830368042
11	-20.069765	32.57993	22.517471	-56.59241	60.99302	20.77375	109.32624	31.988316	400.0	400.0	12099	4.50817	4.7518473	19.025864	-2.581637	-4.711464	0.020868255	134.87239408493042
12	-10.6611395	30.388817	32.14038	-35.414883	59.94213	20.78912	113.29651	30.756952	400.0	400.0	13199	5.010369	5.261904	20.584288	-2.5423777	-5.2167053	0.027230846	146.9655683040619
13	-6.7657785	28.814514	22.048735	-35.58029	60.37321	25.682858	134.64154	26.851574	400.0	400.0	14299	5.387973	5.732318	22.14473	-2.514455	-5.597389	0.035693716	157.84568428993225
14	-23.088854	29.494505	5.3165183	-63.744133	78.19398	42.223858	191.86407	33.615814	400.0	400.0	15399	5.740198	6.0953536	23.559872	-2.5790813	-5.9529996	0.039823018	170.44137001037598
15	78.96241	13.179632	89.55235	60.38422	89.53487	47.3482	172.61674	32.04084	400.0	400.0	16499	6.3019586	6.525911	24.937267	-3.0243907	-6.505233	0.05203245	181.7609007358551
16	81.51745	42.646038	113.05004	21.228136	127.298485	60.995094	249.77312	45.714237	400.0	400.0	17599	6.886871	6.991123	26.25697	-3.5330594	-7.0847764	0.04793879	192.735258102417
17	112.533035	24.920013	137.45305	87.61302	140.82724	62.481915	254.22935	34.76257	400.0	400.0	18699	7.566803	7.4662814	27.465641	-3.9364417	-7.7587147	0.05710017	203.0829553604126
18	104.89866	73.665886	206.85532	35.383232	102.23961	39.4315	175.82385	31.50556	400.0	400.0	19799	8.429851	8.111106	28.889584	-4.3354216	-8.618925	0.07129066	213.2665662765503
