Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-27.441463	7.9335604	-19.507902	-35.375023	-167.55527	5.7921033	-157.76881	-176.32355	400.0	400.0	1099	0.027082954	0.09988396	0.28016448	-0.18326926	-0.026838098	0.017534569	5.37711238861084
2	-37.397488	10.9508295	-26.634245	-52.422523	-171.36403	5.58244	-159.94809	-180.45216	400.0	400.0	2199	-0.13781302	0.3751085	0.75967705	-1.0897205	0.13048598	0.013894254	21.36653709411621
3	-46.140293	17.731659	-21.784267	-63.486046	-169.7665	5.3641295	-160.2494	-178.01566	400.0	400.0	3299	-0.5680807	0.7685663	1.3559712	-1.9623382	0.56832844	0.013335723	35.116745710372925
4	-40.52123	8.108023	-29.427132	-48.57841	-78.326004	14.56628	-62.173393	-110.63885	400.0	400.0	4399	-0.89912903	1.190126	1.9330847	-2.8178618	0.8913776	0.013329598	50.406421422958374
5	-45.700905	0.124061584	-45.576843	-45.824966	-95.364784	7.1997905	-81.50375	-104.01848	400.0	400.0	5499	-1.2484626	1.4964634	2.6415205	-3.62345	1.2133454	0.0122581255	64.47418642044067
6	-34.315125	20.72157	-18.483397	-63.587307	52.38748	46.981506	190.14563	-70.967415	400.0	400.0	6599	-1.5456555	1.9405247	4.01608	-4.4225507	1.4679002	0.010962929	79.41347742080688
7	5.3858676	8.572387	16.806192	-3.8471992	46.099827	40.182217	138.53477	-45.158485	400.0	400.0	7699	-1.158748	2.5720587	5.557804	-5.0924225	1.0271782	0.012802343	94.4262466430664
8	-2.8636334	32.600174	38.058468	-41.71471	90.49196	41.276318	178.56778	19.317804	400.0	400.0	8799	-0.4542701	3.2126667	7.164588	-5.6096897	0.3008153	0.01419415	109.60672307014465
9	37.85867	19.502995	57.361664	18.355673	72.87993	39.50554	196.45683	18.828394	400.0	400.0	9899	0.22387308	3.8183093	8.857123	-5.89018	-0.38648677	0.019554622	125.35658550262451
10	-30.65381	15.149848	-14.892585	-51.102825	63.09955	42.22574	152.29248	-11.126893	400.0	400.0	10999	0.7068381	4.3457184	10.544918	-5.9378133	-0.87527674	0.025055822	141.65345740318298
11	-30.724146	20.54704	-10.807993	-59.006565	75.77704	72.521545	226.51329	-29.916658	400.0	400.0	12099	1.2283038	4.8324294	12.135397	-5.9818597	-1.4034114	0.029931141	158.27053260803223
12	-32.1668	1.4741949	-30.65032	-34.16403	121.88063	66.36293	237.13318	13.830033	400.0	400.0	13199	1.6402617	5.1747265	13.598522	-5.9444976	-1.8222842	0.03314767	174.69334816932678
13	-33.947296	30.44088	-3.506416	-64.388176	117.635605	53.266304	226.21495	34.213886	400.0	400.0	14299	1.8956047	5.6006923	15.057257	-5.94196	-2.0792446	0.046307843	189.10504603385925
14	-12.87362	9.924972	1.0722014	-21.222452	162.5604	65.48499	235.97974	31.91491	400.0	400.0	15399	2.402336	6.065883	16.40745	-6.053588	-2.5922022	0.04263617	204.34556126594543
15	135.54747	68.41389	189.03908	38.982788	123.41396	75.66157	222.49518	-34.78767	400.0	400.0	16499	3.3293767	6.853099	18.0342	-6.165708	-3.5191572	0.046197634	219.9853675365448
16	145.36024	83.98116	258.56912	57.658108	129.32909	91.45844	257.07855	-62.25625	400.0	400.0	17599	4.300118	7.6462255	20.037489	-6.2658534	-4.4890785	0.0493022	235.5341739654541
17	169.92683	83.30588	253.23271	86.62096	137.1555	79.40788	276.10724	3.1114419	400.0	400.0	18699	5.415599	8.47884	22.141695	-6.5115895	-5.597492	0.06233748	251.54487824440002
18	157.20978	100.60704	265.49515	23.139791	113.733536	84.93783	239.99394	-56.639397	400.0	400.0	19799	6.6885185	9.348742	24.328142	-6.7368054	-6.8705	0.068271734	266.6335344314575
19	170.65129	74.27336	249.1156	70.94342	151.4309	63.865547	239.0093	53.673683	400.0	400.0	20899	7.6345496	10.102232	26.38067	-7.033378	-7.814589	0.07274481	282.36104011535645
20	200.0268	56.602196	279.78027	154.21298	198.12167	41.996853	270.4846	110.809395	400.0	400.0	21999	9.185348	10.998999	28.51032	-7.305921	-9.368273	0.066291794	298.64844942092896
21	176.56595	37.61521	214.18117	138.95074	165.42885	40.43883	233.71237	89.347786	400.0	400.0	23099	10.700198	11.85663	30.547384	-7.5557933	-10.880473	0.0824991	314.90277647972107
22	180.48116	17.754793	204.43924	161.99391	180.27802	59.104275	271.7797	38.913536	400.0	400.0	24199	12.165511	12.59211	32.49037	-7.8158746	-12.343561	0.09536574	330.20629358291626
23	117.64069	29.190842	152.092	80.71761	159.37953	78.137054	267.8258	19.290546	400.0	400.0	25299	13.509753	13.140825	34.319443	-8.123586	-13.686616	0.085701965	346.4829614162445
24	110.45876	78.655754	205.05347	12.476371	155.63503	97.53327	261.53226	-70.15585	400.0	400.0	26399	14.486672	13.622214	35.967747	-8.37034	-14.6652775	0.11079603	362.0058786869049
25	112.992645	153.85959	266.85223	-40.86695	180.62617	95.922295	266.49472	-38.671856	400.0	400.0	27499	15.663174	14.27581	37.657753	-8.641842	-15.847102	0.11626538	377.607572555542
26	45.872375	112.24432	204.09393	-44.312523	236.70084	36.638134	295.07138	145.62563	400.0	400.0	28599	16.446695	14.9125805	39.263527	-8.838116	-16.636654	0.11366912	393.5722155570984
27	247.27681	11.588192	259.3211	231.63019	165.23189	132.8295	282.14084	-97.922035	400.0	400.0	29699	17.68529	15.684407	40.744526	-9.106015	-17.878796	0.15383911	409.3177721500397
28	238.04561	12.032171	254.8115	227.14494	234.22037	36.627438	283.6427	126.55496	400.0	400.0	30799	19.245337	16.340145	42.05441	-9.239331	-19.441698	0.15090138	424.68457412719727
29	200.09845	18.667648	218.7661	181.4308	235.10098	29.133848	285.84714	173.66739	400.0	400.0	31899	20.870594	16.868795	43.42051	-9.30729	-21.063848	0.16798764	439.7783091068268
30	178.07841	36.967876	214.89377	127.52407	201.84833	55.28813	286.40125	5.3247957	400.0	400.0	32999	22.00943	17.341663	44.656685	-9.505276	-22.210096	0.16932528	455.1435432434082
31	235.53923	5.496732	242.78238	229.47354	217.63313	73.05066	294.7129	-73.15144	400.0	400.0	34099	23.521618	17.785837	45.868492	-9.5097475	-23.72565	0.16380732	470.7297728061676
32	235.55017	30.630491	257.70074	192.23587	234.12532	53.082893	302.56305	88.8314	400.0	400.0	35199	25.055557	18.150629	47.016533	-9.623404	-25.25798	0.15742178	486.339772939682
33	228.78998	18.254707	247.0447	210.53528	230.74435	24.866438	281.7101	177.96046	400.0	400.0	36299	26.529497	18.517815	48.169865	-10.050289	-26.737421	0.17666194	502.95275044441223
34	225.89589	33.526764	271.1124	190.93181	217.14395	78.55219	285.18576	-95.40251	400.0	400.0	37399	27.911016	18.863918	49.23732	-10.400446	-28.123299	0.18063669	518.8310973644257
35	216.60535	21.656626	244.43922	191.62177	243.4961	41.079376	300.2062	104.87824	400.0	400.0	38499	29.285643	19.064108	50.246887	-10.656929	-29.502481	0.17770238	535.5221767425537
36	255.06807	10.569897	267.1225	241.38565	207.8886	115.44138	283.9208	-130.79495	400.0	400.0	39599	30.515446	19.270346	51.29536	-10.718055	-30.73929	0.17851788	551.6018993854523
37	235.30927	20.510681	255.81995	214.79858	230.07364	81.14897	299.0734	-103.11511	400.0	400.0	40699	32.010376	19.373856	52.22262	-10.048482	-32.235218	0.14768286	568.3380951881409
38	225.44328	46.506344	288.58124	177.92256	192.01634	110.61119	275.42514	-127.67684	400.0	400.0	41799	33.22284	19.509293	53.081966	-10.064722	-33.45268	0.14325511	584.5751619338989
39	218.22578	3.5944903	222.8027	214.02176	219.60762	61.863605	269.0526	-37.611397	400.0	400.0	42899	34.559113	19.580517	53.990788	-10.158279	-34.787567	0.15309642	601.0067026615143
40	236.39378	7.516122	243.58052	226.01799	222.77634	52.175697	278.02078	43.676895	400.0	400.0	43999	35.814835	19.639238	54.856815	-10.221971	-36.039154	0.17854473	617.4894449710846
41	188.6289	29.830742	218.45964	158.79816	185.12845	129.70282	281.4353	-121.57877	400.0	400.0	45099	36.905186	19.610462	55.671604	-10.252124	-37.131985	0.17883787	633.9910380840302
42	1.489451	141.68364	201.84409	-100.90001	203.44275	114.35542	286.80383	-112.232765	400.0	400.0	46199	37.400623	19.88189	56.504433	-10.099324	-37.623035	0.1517684	650.2895309925079
43	224.73051	36.815056	262.76886	174.9244	230.14507	35.921146	267.55002	97.96813	400.0	400.0	47299	38.273712	19.964024	57.25757	-9.890983	-38.48907	0.16978921	666.1259095668793
