Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	37.191433	15.619987	52.81142	21.571447	-56.343086	10.796552	-22.901924	-69.46556	400.0	400.0	1099	0.146814	0.37782452	8.115799	-6.5469418	-0.17070697	0.047138028	7.2851972579956055
2	10.650657	8.427521	21.870213	1.5586618	72.56362	7.429029	92.84448	63.56183	400.0	400.0	2199	0.38551104	1.2963762	7.234444	-4.573324	-0.50253403	0.026750678	29.54369306564331
3	14.77155	25.234783	37.975945	-20.31167	43.69876	9.8510065	62.054756	25.95183	400.0	400.0	3299	1.1476856	2.661591	17.427832	-6.0110645	-1.3100523	0.09108617	53.527172327041626
4	17.453728	8.906415	29.695765	8.766439	73.377975	4.0014095	82.96504	67.9997	400.0	400.0	4399	2.1521802	3.9731958	22.90456	-6.158786	-2.3414507	0.11848408	76.84174013137817
5	14.957614	31.591911	46.549526	-16.634298	86.18007	6.198606	96.67957	76.829414	400.0	400.0	5499	3.403071	5.0002894	21.141537	-5.196213	-3.6187904	0.14462893	101.43374943733215
6	19.62327	15.965908	41.92292	5.4059453	69.15152	16.777967	114.49978	45.135777	400.0	400.0	6599	4.463859	5.957775	35.536896	-6.5454636	-4.6893654	0.20849165	125.863196849823
7	32.76099	33.22629	76.84955	-3.3591201	90.75684	18.161995	137.59846	73.78926	400.0	400.0	7699	5.4214487	6.934797	34.884613	-6.787999	-5.65199	0.24706604	152.36030983924866
8	24.144194	25.337332	59.362278	0.81366616	94.593025	20.484032	165.40276	74.05251	400.0	400.0	8799	6.3780117	8.001287	54.18923	-8.009507	-6.616375	0.28690016	174.6290204524994
9	8.540043	9.959484	18.499527	-1.4194417	107.16158	25.534296	188.60019	76.14836	400.0	400.0	9899	7.118287	9.057031	46.202095	-8.270019	-7.362832	0.30206555	198.76954650878906
10	26.86473	20.40738	55.719475	11.942952	66.56125	29.203474	109.7158	21.334347	400.0	400.0	10999	7.9012823	10.039893	50.833736	-8.4672165	-8.151439	0.36133376	223.12690615653992
11	28.725882	15.031958	49.164978	13.4445	122.64565	25.232761	201.15599	89.09226	400.0	400.0	12099	8.785649	10.901261	53.468273	-8.9816475	-9.050048	0.44230703	248.7097451686859
12	38.983044	43.8153	100.93169	6.806759	77.38884	50.781372	182.14601	-12.877315	400.0	400.0	13199	9.592651	11.649736	60.395813	-9.19446	-9.859433	0.54941076	274.54957580566406
