Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	8.798921	36.33311	45.13203	-27.53419	-170.6208	4.822345	-164.00157	-179.80193	400.0	400.0	1099	0.024010891	0.28239354	8.084944	-5.0797	-0.027895544	0.031441092	6.135681867599487
2	-35.164383	27.948515	1.8633268	-65.652824	65.34621	21.160866	117.88376	33.0152	400.0	400.0	2199	0.18647596	0.78720427	4.964631	-11.614958	-0.3654183	0.008105181	20.37005877494812
3	5.334953	27.95329	42.40824	-25.0869	52.964333	42.298775	130.93578	-38.22583	400.0	400.0	3299	1.048967	1.4037312	7.3852806	-1.6691477	-1.2757277	0.0055202185	35.95438075065613
4	-25.578695	29.019825	-3.4052982	-66.573265	68.39189	21.610819	111.72121	39.252586	400.0	400.0	4399	1.9126114	2.0664148	10.667303	-2.8454285	-2.1400452	0.016488187	49.49172830581665
5	-19.510998	20.301167	0.79016876	-39.812164	60.910778	51.112865	113.67368	-119.6237	400.0	400.0	5499	2.762864	2.686514	20.558966	-3.329408	-2.9894297	0.030045642	62.8287148475647
6	-7.8481603	5.203944	-1.0975314	-13.761842	73.14879	53.24121	146.58513	-82.62876	400.0	400.0	6599	3.5441315	3.3188694	17.12543	-3.4013038	-3.7789934	0.0337308	75.93788814544678
7	-28.346685	18.499989	-4.5903053	-49.716984	78.728165	38.370903	172.20485	33.94026	400.0	400.0	7699	4.258507	3.8981268	20.339937	-3.532654	-4.490498	0.053146917	89.24564552307129
8	19.235392	30.694103	43.1602	-24.094105	82.18446	35.281715	153.74924	11.356063	400.0	400.0	8799	5.1506834	4.688973	25.274689	-3.6714473	-5.386505	0.08817441	102.20075392723083
9	-26.88469	7.853139	-19.03155	-34.737827	69.78337	39.920006	190.12564	25.342833	400.0	400.0	9899	5.784298	5.413324	29.085587	-4.1916237	-6.0150037	0.15708591	115.11862373352051
10	4.7090755	33.784134	31.44702	-42.950764	98.87311	51.041645	199.87462	38.407005	400.0	400.0	10999	6.4830427	6.0009975	28.994576	-4.1153426	-6.7138505	0.2072255	128.73268127441406
11	0.41114616	18.926088	21.288557	-24.532578	110.14763	48.240685	186.69174	44.762825	400.0	400.0	12099	7.308954	6.5620375	31.898083	-4.334882	-7.5468254	0.21621707	141.86308765411377
12	-16.187386	33.940914	26.104652	-56.99342	82.417786	53.130238	210.00568	27.3285	400.0	400.0	13199	7.7730217	6.9771314	34.554592	-4.768642	-8.007524	0.24000372	154.9208664894104
13	-20.033516	20.456354	0.42283735	-40.48987	124.015305	80.14312	237.9108	-60.559296	400.0	400.0	14299	8.314563	7.66198	36.986713	-5.0609465	-8.560427	0.29815593	169.07749557495117
14	-13.286121	24.606325	21.487125	-31.822855	148.8298	80.91717	250.50642	11.2049265	400.0	400.0	15399	8.753689	8.085677	38.87641	-5.7177234	-9.006611	0.3228655	182.49761319160461
15	171.76587	70.57503	224.61739	72.016914	158.96902	105.09197	293.63782	-105.41246	400.0	400.0	16499	9.836697	9.132254	60.90814	-5.902691	-10.085224	0.39819014	196.06623029708862
16	161.28258	50.37899	225.92471	103.01715	175.93988	63.492535	246.0903	44.25722	400.0	400.0	17599	11.237551	10.187432	43.937458	-6.549452	-11.483839	0.34173235	209.5781033039093
17	102.622185	76.41799	179.04018	26.204191	166.7562	92.32491	251.60825	-49.61147	400.0	400.0	18699	12.6868515	11.499448	46.07365	-6.7763777	-12.928222	0.45670968	223.31764197349548
18	221.0401	18.988287	247.89291	207.44781	191.24257	72.57518	264.77646	35.226646	400.0	400.0	19799	14.685449	13.136472	52.31847	-7.3912206	-14.926467	0.54434323	237.19506978988647
19	167.69286	101.50925	253.381	25.102377	182.81268	111.579124	280.7635	-111.978584	400.0	400.0	20899	16.390257	14.44904	65.83259	-7.919085	-16.633146	0.55663145	252.49882459640503
20	65.4588	125.37908	234.98187	-64.31738	168.65237	100.27381	241.5527	-136.94862	400.0	400.0	21999	16.956884	15.403131	54.635864	-61.269455	-17.205458	0.53297377	267.8503096103668
21	228.53769	9.0778885	237.61559	219.45981	203.35684	63.311462	264.17422	52.659054	400.0	400.0	23099	18.447264	16.835232	79.95897	-61.27163	-18.694769	0.650807	284.9502191543579
22	121.1688	126.15631	236.08546	-54.478962	160.0929	83.73352	287.8986	-19.970718	400.0	400.0	24199	19.744589	17.852083	70.24896	-62.49192	-19.99823	0.6693018	300.5905604362488
23	237.8506	44.59976	298.45078	192.40382	118.42644	111.49125	241.72377	-73.53727	400.0	400.0	25299	21.380568	18.947275	79.32253	-66.927505	-21.62795	0.7182056	315.3500380516052
24	133.58887	82.85333	199.93877	16.776123	223.39331	68.50426	295.7213	-43.361195	400.0	400.0	26399	22.68116	19.76916	78.007385	-67.38882	-22.93637	0.7673979	329.8701992034912
25	230.67258	12.349587	243.02216	218.32298	156.33308	114.170944	254.42429	-104.65989	400.0	400.0	27499	24.329905	20.536669	105.94136	-70.13116	-24.59975	0.6592249	345.8135244846344
26	211.86983	12.995619	228.2104	196.41473	227.29434	26.491636	259.0962	158.0049	400.0	400.0	28599	26.092278	21.248262	69.927666	-70.980675	-26.33953	0.74215055	360.38834261894226
27	117.78109	168.75041	246.79912	-120.59803	140.50612	134.27168	259.49686	-144.34142	400.0	400.0	29699	27.360155	22.11709	89.064804	-75.350784	-27.605824	0.67785096	376.08134150505066
28	161.44011	95.18965	237.67491	27.235268	198.9793	100.23743	283.33972	-100.4064	400.0	400.0	30799	28.086964	22.881584	62.114212	-77.10424	-28.345345	0.5054508	392.06763076782227
29	247.32277	19.420303	266.74307	227.90247	225.39897	46.969254	294.31497	64.61325	400.0	400.0	31899	29.816957	23.519081	63.014633	-76.66457	-30.071278	0.6354518	408.25928139686584
30	241.79936	20.521635	267.19177	216.93248	165.85295	138.88493	279.45828	-125.42581	400.0	400.0	32999	31.313156	24.160425	63.52617	-80.76667	-31.562565	0.48964095	423.4792408943176
31	241.33586	20.362375	266.10736	216.23323	140.48947	152.16212	275.95493	-126.22372	400.0	400.0	34099	33.043728	24.537502	68.55552	-82.507225	-33.295185	0.6126914	437.9477608203888
32	102.03042	149.1059	209.83551	-108.81926	189.16624	153.49846	308.69348	-133.91963	400.0	400.0	35199	33.60249	25.571999	67.625305	-84.44122	-33.85716	0.5057021	452.13438606262207
33	252.10416	19.890648	271.9948	232.21352	250.13168	17.885532	286.63947	221.34938	400.0	400.0	36299	34.81961	26.15702	82.86876	-86.26632	-35.071053	0.5989376	466.6641993522644
34	229.37251	27.033644	255.9708	192.2905	202.60823	100.975044	273.86578	-99.01695	400.0	400.0	37399	36.141594	26.463589	70.04497	-88.54723	-36.386475	0.65476316	480.7798845767975
35	208.85991	23.296122	240.6537	185.48438	176.82869	128.35243	299.6085	-117.70474	400.0	400.0	38499	37.25778	26.782553	67.29662	-89.697945	-37.50394	0.602254	495.6829934120178
36	250.481	19.429247	276.31757	229.4635	229.82674	30.730618	269.26974	130.3926	400.0	400.0	39599	38.698845	26.885904	110.39333	-90.95596	-38.95091	0.6799855	513.8352768421173
37	200.30962	5.112732	205.42235	195.19688	224.6643	37.892437	286.73492	124.23642	400.0	400.0	40699	39.920063	26.887333	68.42376	-100.16367	-40.17019	0.71591365	532.4887413978577
38	236.20813	7.1140122	245.44292	228.13345	240.6718	26.528603	295.3208	158.46706	400.0	400.0	41799	41.143887	27.006706	69.15516	-94.796104	-41.395195	0.55573016	549.5389099121094
39	211.72878	8.284681	223.44504	205.84395	211.77068	51.631947	285.79205	53.875854	400.0	400.0	42899	42.20083	27.114616	75.016365	-96.141685	-42.45063	0.5558128	567.4551537036896
40	208.70428	14.773778	228.04904	192.19582	220.95935	76.72568	279.401	-99.19145	400.0	400.0	43999	43.065006	27.158197	101.45991	-95.83549	-43.30735	0.6641615	587.4363157749176
41	228.46005	27.179832	255.6399	201.28023	200.7784	81.602005	259.81448	-84.51584	400.0	400.0	45099	44.063843	27.065123	71.210785	-96.68351	-44.31665	0.60152274	604.1953794956207
42	221.48015	10.000829	235.41884	212.4349	201.58792	19.168503	235.73393	167.00732	400.0	400.0	46199	45.240986	26.8384	71.63456	-98.098625	-45.501312	0.65205944	620.5998291969299
43	223.6847	25.150246	250.14027	189.86858	233.28203	15.353901	267.5781	205.65085	400.0	400.0	47299	46.114628	26.919779	75.0217	-97.364494	-46.364567	0.51273614	637.0673491954803
44	259.48453	10.949288	274.70605	249.41219	236.18094	20.078684	277.5505	192.76189	400.0	400.0	48399	47.017838	26.696735	72.19299	-96.71709	-47.26561	0.5845238	655.1647279262543
45	257.6038	28.520653	286.12445	229.08315	216.50601	70.30844	280.40613	-69.29908	400.0	400.0	49499	47.9441	26.711643	88.738846	-97.895325	-48.193974	0.47840482	671.197069644928
46	207.1946	30.046791	242.42958	169.00804	237.03633	37.878452	306.20502	151.30327	400.0	400.0	50599	48.751453	26.481775	73.56765	-99.60364	-48.997124	0.49263188	687.0390450954437
47	246.12822	32.14057	289.79047	213.35495	196.76434	72.355545	266.1745	-6.1801033	400.0	400.0	51699	49.511635	26.394922	74.179726	-98.46937	-49.750084	0.40077278	702.1409108638763
48	198.58894	34.797047	230.16827	150.11426	232.97932	18.947512	267.9307	197.3492	400.0	400.0	52799	50.218964	26.291838	86.28107	-99.47706	-50.454247	0.5114499	716.8485708236694
49	227.96725	30.607567	258.57483	197.3597	237.25668	23.467146	270.5588	190.72876	400.0	400.0	53899	51.086483	25.982525	74.4966	-99.70477	-51.31453	0.38182363	732.2002365589142
50	226.77576	16.365751	249.91444	214.75066	246.01071	22.348001	276.6657	203.13335	400.0	400.0	54999	51.745995	25.987812	74.80889	-99.38308	-51.971924	0.35595724	747.3834846019745
51	236.42719	25.434948	260.07617	201.13039	214.76888	80.72561	280.05862	-100.05526	400.0	400.0	56099	52.30464	25.886457	75.559105	-98.117096	-52.53162	0.39575052	762.8208329677582
52	240.60005	29.854961	272.71762	200.80681	236.90044	29.059566	291.2255	176.29802	400.0	400.0	57199	52.90618	25.890774	77.07951	-97.803604	-53.127575	0.39530578	778.573938369751
53	228.12973	11.734802	239.86453	216.39493	238.23991	24.210493	276.07352	201.12436	400.0	400.0	58299	53.524117	25.692308	90.70634	-97.57485	-53.741528	0.44511926	794.2639219760895
54	221.97371	20.504625	248.92584	199.2323	228.08093	23.974554	264.4738	178.4607	400.0	400.0	59399	53.93793	25.839268	76.8347	-96.79035	-54.152878	0.34655774	808.8061048984528
55	247.07686	29.041037	285.12875	214.6676	234.37747	28.247963	273.5886	164.10709	400.0	400.0	60499	54.331387	25.844494	120.25504	-94.52896	-54.54277	0.3706129	823.4166972637177
56	230.18837	5.587604	236.67908	223.03981	242.92252	27.687767	292.99866	155.76482	400.0	400.0	61599	54.950027	25.716576	100.06336	-96.386116	-55.16904	0.39994803	838.443600654602
57	246.07439	36.369583	282.44397	209.7048	253.00195	30.871288	308.48297	197.23636	400.0	400.0	62699	55.46119	25.641277	77.99	-95.66787	-55.68206	0.39806873	854.5262675285339
58	201.72998	49.475357	264.04675	143.01836	242.2998	23.8085	300.66757	201.03835	400.0	400.0	63799	56.039383	25.591347	81.58464	-100.44881	-56.259426	0.46354184	872.7861006259918
59	222.35968	19.153612	238.74968	195.48802	254.02905	22.485546	283.15604	206.04529	400.0	400.0	64899	56.569763	25.513073	78.75485	-94.549515	-56.790886	0.3637351	891.1173136234283
60	235.17229	20.483932	262.54056	213.26498	237.448	21.433897	283.76962	207.14832	400.0	400.0	65999	56.96183	25.5382	83.09856	-95.96042	-57.182705	0.35649425	909.6712892055511
61	226.81627	3.6421967	230.45847	223.17407	232.59969	26.912174	292.90778	188.65775	400.0	400.0	67099	57.492996	25.451832	80.415726	-95.042114	-57.708527	0.40677595	927.6203818321228
62	228.2509	11.339845	244.27754	219.73927	227.39091	25.664793	265.18323	173.51537	400.0	400.0	68199	57.813873	25.427734	79.26725	-93.82395	-58.026493	0.45656022	944.9031572341919
63	237.95471	6.3692365	245.9363	230.34846	231.61887	23.577217	275.5163	193.72331	400.0	400.0	69299	58.25066	25.210848	84.66099	-91.87817	-58.45836	0.39735433	962.2611076831818
64	212.6408	35.634377	251.6542	165.50839	224.31723	29.528072	269.30878	177.74202	400.0	400.0	70399	58.349377	25.204124	79.59147	-92.10531	-58.556023	0.36726108	980.6842305660248
65	260.4525	12.293098	272.7456	248.15941	248.74747	26.333637	312.98907	206.87529	400.0	400.0	71499	59.00069	24.828085	80.366974	-91.40299	-59.1934	0.34076542	998.5725152492523
66	213.09778	30.727268	238.26901	169.83556	235.21101	27.11168	275.94525	178.01329	400.0	400.0	72599	59.06972	24.926771	80.59454	-91.42631	-59.250546	0.33490068	1016.1305348873138
67	244.78485	5.9017267	251.9098	237.45782	240.54765	22.703524	293.01938	203.22676	400.0	400.0	73699	59.313908	24.775923	80.69805	-93.64861	-59.49066	0.33817577	1033.8007748126984
68	221.79187	12.582374	235.33992	205.02725	241.27234	14.998937	262.75644	195.40523	400.0	400.0	74799	59.384327	24.77521	152.42218	-96.362625	-59.562885	0.65205187	1051.0265009403229
69	232.53726	19.79972	252.33699	212.73755	240.83586	24.055319	280.30267	200.66716	400.0	400.0	75899	59.628654	24.576206	80.81165	-94.866714	-59.79595	0.3097978	1068.5495963096619
70	234.45593	16.51991	255.9065	215.71404	246.2258	30.821562	298.5973	200.22017	400.0	400.0	76999	59.81277	24.51136	80.79819	-98.01441	-59.977825	0.34216943	1085.9954752922058
71	219.37068	21.278603	249.32507	201.8996	240.04639	23.522305	290.2597	183.66035	400.0	400.0	78099	59.850307	24.673792	81.07803	-99.78293	-60.018948	0.30524635	1107.5023291110992
72	228.18062	26.830975	261.60483	195.91318	233.55876	23.6496	281.79556	196.00307	400.0	400.0	79199	60.230614	24.294966	82.15379	-102.14255	-60.403458	0.30141976	1125.8542680740356
73	228.33421	23.745926	252.08014	204.58829	250.3776	29.785303	282.72614	192.43259	400.0	400.0	80299	60.28674	24.472746	88.40473	-105.60484	-60.461662	0.38764974	1143.874585390091
74	257.9298	21.295612	284.1758	232.0156	241.62715	21.93601	274.55225	176.73792	400.0	400.0	81399	60.57812	24.386751	114.9076	-109.288666	-60.756527	0.38168573	1161.9447934627533
75	250.72908	22.566486	274.842	220.56752	262.19052	16.05731	282.6022	230.99405	400.0	400.0	82499	60.934395	24.306395	81.23658	-106.820755	-61.113125	0.37806758	1179.8132784366608
76	225.3929	15.754851	247.67154	213.98975	254.6163	29.129606	311.74512	201.31602	400.0	400.0	83599	61.153008	24.410164	81.29822	-106.466515	-61.341534	0.36592367	1196.3971440792084
77	249.43643	12.772041	262.20847	236.66438	243.75888	29.789673	286.69296	164.47641	400.0	400.0	84699	61.651382	24.150595	81.19768	-104.59957	-61.8498	0.38690075	1213.75741481781
78	227.0595	18.512783	249.58801	204.24387	250.67757	16.79698	282.24387	220.2285	400.0	400.0	85799	61.76258	24.295338	82.16939	-103.052895	-61.965313	0.39456278	1230.0466659069061
79	254.99919	14.226426	265.69867	234.89384	237.05432	31.769245	293.3566	183.10074	400.0	400.0	86899	62.301468	24.176506	83.82924	-103.72291	-62.508274	0.3883878	1247.4970655441284
80	254.05293	11.874989	269.23233	240.2413	233.27792	80.381874	300.79346	-97.71151	400.0	400.0	87999	62.679806	24.125212	88.48346	-103.41364	-62.884552	0.39016503	1264.3380179405212
81	252.54324	18.977448	271.5207	233.5658	247.64388	30.87566	290.13556	164.89641	400.0	400.0	89099	62.98906	23.99082	83.29379	-102.4671	-63.19409	0.39058238	1281.047639131546
82	246.17818	21.617334	261.519	215.6067	242.7636	33.55103	302.841	148.54216	400.0	400.0	90199	63.463192	23.67034	83.9703	-104.463715	-63.65556	0.38280013	1297.577819108963
83	248.9392	7.2516174	254.88307	238.72974	238.61536	20.479895	281.51776	201.25816	400.0	400.0	91299	63.623077	23.714745	84.60554	-107.62923	-63.819817	0.3703312	1313.4102880954742
84	260.40707	17.543108	283.7319	241.42311	246.72478	28.419159	295.28296	199.71968	400.0	400.0	92399	63.8973	23.488703	85.74128	-104.258224	-64.091194	0.37546402	1330.901606798172
85	217.20374	8.60305	225.8068	208.6007	236.01694	22.659126	281.9694	197.46533	400.0	400.0	93499	64.25823	23.258743	85.334305	-106.627884	-64.441124	0.37101606	1347.6102402210236
86	239.45137	33.91028	269.75223	192.11005	221.3011	16.468065	265.01404	193.63107	400.0	400.0	94599	64.384514	23.132183	85.4278	-103.24373	-64.5625	0.38534364	1364.56112074852
87	256.72382	32.16773	302.1792	232.41487	220.6873	16.672302	255.98163	198.78127	400.0	400.0	95699	64.52622	22.923218	84.19239	-103.46339	-64.69231	0.42924505	1382.5407400131226
88	218.91797	8.059591	229.80435	210.55066	229.89114	24.241545	269.80225	185.58008	400.0	400.0	96799	64.60261	22.929258	83.34695	-100.85627	-64.76946	0.42462474	1399.0548994541168
89	235.25957	2.4212494	237.68082	232.83832	231.0738	32.534042	289.90512	177.2566	400.0	400.0	97899	64.66253	22.707123	83.395584	-100.47014	-64.82856	0.31649852	1416.6201026439667
90	248.01488	4.134926	253.5641	243.6431	224.65714	24.110596	269.74698	168.12082	400.0	400.0	98999	64.86907	22.49143	95.31554	-100.52008	-65.02758	0.36222216	1433.8373022079468
91	229.1544	14.832683	243.96466	208.8844	232.48355	24.954184	275.6412	195.68604	400.0	400.0	100099	64.89103	22.563301	85.0325	-93.454666	-65.04926	0.34760088	1449.8729810714722
92	247.03912	18.869137	265.06573	220.98624	235.9906	21.99322	282.51276	180.92336	400.0	400.0	101199	64.90619	22.338142	83.57349	-94.00854	-65.05866	0.34747916	1467.1766378879547
