Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	12.941428	14.195819	27.137247	-1.2543916	-158.87216	0.0032751418	-158.86572	-158.87639	400.0	400.0	1099	0.017025927	0.2401027	0.912356	-0.44851583	-0.02781904	0.033721525	4.980555534362793
2	42.85979	34.21734	87.11001	3.7736096	-53.935295	0.5017535	-52.521606	-54.608776	400.0	400.0	2199	0.4547476	1.098379	3.780362	-1.1080271	-0.46373722	0.01755357	18.884249210357666
3	28.892904	13.482196	46.109287	13.18883	109.72511	28.335382	154.99466	56.67422	400.0	400.0	3299	1.1691545	2.382442	5.9841113	-2.0527303	-1.2415854	0.025388312	33.22671985626221
4	26.056711	24.606916	58.945606	-0.23613745	8.5075865	10.025007	51.796646	3.990389	400.0	400.0	4399	2.2423153	3.4786322	8.008685	-2.6875408	-2.3744035	0.039664146	46.669214487075806
5	29.426931	24.80456	54.23149	4.6223717	53.90609	14.756612	77.863556	2.357268	400.0	400.0	5499	3.4073277	4.35142	10.261664	-3.3983958	-3.5416558	0.04939574	60.31248712539673
6	27.29687	23.545584	53.519688	-3.5871172	147.24287	40.92858	234.10953	74.713745	400.0	400.0	6599	4.7931595	5.0427504	12.376743	-3.9338398	-4.9172354	0.06558283	73.20428490638733
7	46.58955	33.686222	92.76431	13.350278	14.444771	8.68071	47.642235	5.2931075	400.0	400.0	7699	5.4711976	5.837525	14.591217	-4.5666914	-5.5954	0.06575174	87.39444494247437
8	19.058607	26.45201	55.181026	-7.4252667	117.35155	37.161987	201.26892	60.331223	400.0	400.0	8799	6.2295175	6.626039	16.70361	-5.009733	-6.358526	0.07742134	101.43116497993469
9	9.817158	7.7979813	17.615139	2.0191767	66.67404	30.564842	110.88425	25.13672	400.0	400.0	9899	6.4762115	7.470817	18.766441	-5.456646	-6.6107225	0.08927995	114.40974402427673
10	2.0928514	15.737932	24.203955	-11.164535	-39.253532	3.4058192	-31.915192	-45.994965	400.0	400.0	10999	6.7879343	8.193086	20.913403	-5.870542	-6.931843	0.07966844	127.247642993927
11	43.88173	10.468212	54.19071	29.525667	73.983284	68.433395	183.36028	-56.693108	400.0	400.0	12099	7.306953	8.90201	22.677721	-6.200719	-7.4550586	0.09193465	138.75187349319458
12	38.82296	31.029745	72.96249	-2.1243484	143.67441	38.69803	230.82404	72.65551	400.0	400.0	13199	7.9349	9.571377	24.51762	-6.517178	-8.09341	0.111838005	150.37229180335999
13	33.38773	33.337826	66.725555	0.049903207	133.71552	45.942726	217.21083	52.532703	400.0	400.0	14299	8.428361	10.223393	26.288763	-6.75542	-8.59577	0.141379	163.1585512161255
14	23.307863	13.520696	38.463562	5.633361	182.7189	41.304893	260.96848	111.73622	400.0	400.0	15399	8.991389	10.848358	27.893744	-7.103355	-9.167789	0.13770172	177.1465766429901
15	154.44118	26.459156	187.2628	122.46803	182.38075	44.86036	256.79895	126.21169	400.0	400.0	16499	10.0061455	11.606417	29.548481	-7.4910626	-10.182175	0.23329285	190.61334538459778
16	191.60027	34.3468	219.26039	143.19069	184.06882	55.144062	282.59607	114.58032	400.0	400.0	17599	11.277153	12.435217	31.277067	-7.870771	-11.459268	0.21660846	203.83080577850342
17	178.2504	0.68071747	178.9311	177.56967	176.668	27.970528	216.11476	124.74071	400.0	400.0	18699	12.765673	13.297678	32.816296	-8.2667055	-12.958716	0.25414035	216.87110829353333
18	170.86845	51.026897	230.5565	105.90151	181.57826	25.289492	228.65976	118.40646	400.0	400.0	19799	14.370645	14.099787	34.333103	-8.563515	-14.576609	0.32639915	230.26210927963257
19	190.62947	46.23658	231.6673	126.02366	215.79721	50.911076	306.38095	109.024	400.0	400.0	20899	15.5557	14.819723	35.935635	-8.861977	-15.768604	0.34290594	242.49726128578186
20	200.37315	43.32218	251.17627	145.31523	221.02068	22.815248	255.51253	186.6102	400.0	400.0	21999	17.373142	15.568685	37.430332	-9.104853	-17.597046	0.37591332	255.3898890018463
21	225.2438	29.208076	254.45189	196.03574	220.15108	28.598465	273.28165	170.0362	400.0	400.0	23099	19.001059	16.1913	38.9091	-9.471259	-19.232927	0.3729431	268.1266770362854
22	225.25037	29.751001	265.58838	194.72197	222.7042	24.438547	268.3447	172.21542	400.0	400.0	24199	20.680676	16.759281	40.372124	-9.722502	-20.918217	0.4119881	280.7743008136749
23	228.4828	22.623743	258.7334	204.33383	213.12224	34.456512	274.74298	141.55093	400.0	400.0	25299	22.409264	17.209358	41.72611	-10.176702	-22.649687	0.4387032	295.28762912750244
24	191.69713	10.821692	203.27531	177.24069	220.33847	29.28162	275.26968	160.42987	400.0	400.0	26399	24.112722	17.564657	43.026512	-10.321356	-24.347122	0.5072036	308.8796000480652
25	250.64185	3.2720413	253.91388	247.3698	225.71573	23.257874	281.69693	187.62326	400.0	400.0	27499	25.548204	17.872082	44.166775	-10.628205	-25.785746	0.5245467	322.3746564388275
26	223.30635	21.631205	244.44981	193.58836	229.10185	30.56772	282.91202	176.52496	400.0	400.0	28599	27.06804	18.067873	45.23838	-10.858674	-27.303518	0.5980038	336.1112723350525
27	204.70592	13.202561	218.41731	186.8748	241.90256	30.9301	294.5792	179.98573	400.0	400.0	29699	28.472258	18.163187	46.28455	-10.8853655	-28.70591	0.5193114	349.94599652290344
28	196.81079	19.619503	224.5252	181.80453	211.094	26.239822	271.69705	146.17218	400.0	400.0	30799	29.827673	18.171349	47.364464	-11.213605	-30.054766	0.63490576	362.67114639282227
29	219.20004	5.055107	224.25514	214.14493	218.48105	24.04878	276.90674	184.6992	400.0	400.0	31899	31.167967	18.161465	48.278664	-11.433058	-31.389076	0.5532865	375.34470534324646
30	185.42546	25.598969	218.68997	156.42126	216.06938	23.696678	260.12927	161.44696	400.0	400.0	32999	32.316967	18.156126	49.10829	-11.368647	-32.536545	0.54081357	388.9548764228821
31	213.47078	12.197834	222.2622	196.22153	213.49487	23.83077	263.98117	169.6243	400.0	400.0	34099	33.389065	18.12625	49.940166	-11.506853	-33.60377	0.5976232	402.25510025024414
32	226.47144	4.81251	233.16364	222.0524	216.28545	27.541254	250.29355	148.14622	400.0	400.0	35199	34.453594	17.994663	50.822987	-11.65524	-34.652794	0.60614944	415.2036499977112
33	203.69154	3.2583923	206.94994	200.43315	223.8229	23.215462	265.02032	173.9358	400.0	400.0	36299	35.47584	17.862738	51.694874	-11.915312	-35.683636	0.56068015	428.7649369239807
