Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	9.380563	18.36761	27.748175	-8.987049	-170.99112	7.6417494	-156.7547	-180.1631	400.0	400.0	1099	-0.07894266	0.12596868	0.24215381	-0.3467824	0.07453802	0.019405168	7.00370454788208
2	-43.581024	12.155772	-26.61734	-54.475166	-142.7857	5.8285418	-133.4921	-153.2642	400.0	400.0	2199	-0.13893306	0.44849107	1.137426	-1.2223389	0.13706389	0.014394386	26.90002202987671
3	-47.50207	10.1800165	-38.549294	-61.74242	-81.39851	34.694828	8.655014	-117.94596	400.0	400.0	3299	-0.15634853	0.8151774	2.5180774	-2.0044014	0.12622055	0.011703484	47.70436453819275
4	-46.132397	11.217463	-32.54077	-60.013264	100.30317	47.70582	213.65906	23.712044	400.0	400.0	4399	-0.12432858	1.1808594	4.040946	-2.3100824	0.00648313	0.0075265355	72.1581757068634
5	-18.212914	8.070851	-10.142063	-26.283766	70.60985	41.5112	161.01654	-42.26154	400.0	400.0	5499	0.14791788	1.7019026	6.0418086	-2.4346807	-0.32380897	0.0059718816	95.03059792518616
6	-14.789551	15.805487	2.944252	-35.440098	115.69187	41.67005	202.40729	56.667393	400.0	400.0	6599	0.79403824	2.2746532	7.9449267	-2.362027	-0.98844194	0.0073920335	117.70422649383545
7	-13.577599	34.440533	11.426433	-62.278015	82.48985	35.98044	162.26494	20.677393	400.0	400.0	7699	1.529555	2.89351	9.725728	-2.447452	-1.7285427	0.009579123	150.28019976615906
8	14.455517	48.439247	59.793232	-52.68704	82.260666	25.864452	135.2164	35.569603	400.0	400.0	8799	2.2684178	3.5534854	11.246582	-2.5376506	-2.4661646	0.013627657	188.99825167655945
9	-48.144096	7.1270924	-41.017006	-55.27119	80.294815	42.7045	169.6164	26.9727	400.0	400.0	9899	2.8005712	4.064243	12.829355	-2.7541573	-3.0005763	0.018171687	215.7240433692932
10	-22.365921	58.655758	60.45468	-67.8145	79.01011	23.66737	156.57924	47.19026	400.0	400.0	10999	3.3328316	4.623189	14.34032	-2.9685302	-3.533483	0.022964759	241.84611773490906
11	-8.495635	26.63934	15.325627	-45.682583	73.43594	21.31609	119.0233	44.416973	400.0	400.0	12099	3.870363	5.1431556	15.695252	-4.166541	-4.0750747	0.032423984	267.74886178970337
12	-15.585229	46.538593	50.13003	-51.58761	76.29012	59.69942	206.63449	-18.386168	400.0	400.0	13199	4.3196683	5.5456276	17.026836	-4.561554	-4.5258737	0.034029506	296.80972695350647
13	-6.786764	45.22226	38.435493	-52.00902	17.1743	64.840096	150.11311	-97.126976	400.0	400.0	14299	4.913238	5.983682	18.168312	-4.909715	-5.120173	0.037633598	321.80085802078247
