Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-26.203789	10.803395	-15.400393	-37.007183	-156.71898	13.833104	-117.25956	-176.0902	400.0	400.0	1099	-0.04397086	0.4448079	9.129836	-8.467943	0.015641091	0.050235547	2.6194121837615967
2	-15.717618	8.799761	-5.568621	-27.02927	-61.22344	54.20728	58.58883	-133.02469	400.0	400.0	2199	-0.026083862	0.6311303	9.746923	-14.227329	-0.094258256	0.010565279	8.889796018600464
3	-47.680294	5.564954	-40.67829	-54.292892	-71.77495	30.870922	-18.277761	-142.01167	400.0	400.0	3299	0.08267535	1.3416624	44.232933	-39.489887	-0.254332	0.05490968	14.943520307540894
4	-36.133957	24.760782	-4.537296	-65.0045	-0.45868343	45.821297	143.2964	-55.996887	400.0	400.0	4399	0.11987124	1.96502	9.535515	-9.265058	-0.2972208	0.013349526	21.194790601730347
5	-34.3363	14.681916	-19.654383	-49.018215	-38.013023	39.055653	56.14396	-82.235176	400.0	400.0	5499	0.6841133	2.3596466	19.528082	-15.777738	-0.878121	0.0322556	27.435696601867676
6	-44.284557	13.510645	-28.756771	-61.69066	-0.96530026	44.890373	124.262535	-74.596664	400.0	400.0	6599	1.1486326	2.6041307	38.310684	-25.462168	-1.3454674	0.041861806	34.70513844490051
7	-13.470486	19.765484	12.251384	-35.807735	19.093225	28.92392	53.414513	-43.226646	400.0	400.0	7699	1.507987	2.986102	17.556126	-8.155013	-1.7149172	0.01992784	41.05111217498779
8	-12.949164	11.601163	-0.46321064	-28.409311	44.81886	29.890661	95.98178	-4.5616508	400.0	400.0	8799	2.123523	3.3383155	16.549742	-14.161005	-2.3353553	0.030396424	47.164403438568115
9	6.988476	48.787754	55.77623	-41.79928	36.88501	36.80256	112.54766	-13.520554	400.0	400.0	9899	2.821054	3.6998641	19.529448	-11.296736	-3.0374477	0.036118053	53.62969517707825
10	-15.215939	30.962936	8.478634	-58.953358	45.09089	28.999926	102.63497	6.879061	400.0	400.0	10999	3.4471653	4.0947328	21.064634	-14.310198	-3.6617448	0.037078768	59.85184860229492
11	-9.252519	44.592754	51.1806	-55.07834	38.839035	33.859776	117.49408	4.787997	400.0	400.0	12099	3.9284818	4.465267	39.47093	-38.135	-4.14138	0.058368772	66.05508279800415
12	-58.925747	7.4332356	-51.016525	-68.87724	62.184124	33.34808	122.08714	6.457488	400.0	400.0	13199	4.3736286	4.77987	28.374352	-12.75756	-4.591028	0.043236785	72.70133066177368
13	-56.70716	4.427063	-52.280098	-61.134224	39.130173	29.606256	118.53919	-9.921897	400.0	400.0	14299	4.495268	5.1419344	24.408276	-13.232996	-4.713014	0.054164924	79.19288754463196
14	-2.6205204	32.577564	23.604456	-48.5375	12.39966	42.205753	94.56258	-49.797726	400.0	400.0	15399	4.9237185	5.4738407	31.163315	-16.003311	-5.143063	0.06172448	85.82234573364258
15	27.120249	13.117486	45.59378	16.417486	44.443306	26.1325	106.634315	9.066965	400.0	400.0	16499	5.3838725	5.9256496	23.370405	-32.64144	-5.5914345	0.047654495	93.35870409011841
16	42.84828	18.404547	63.47499	18.787376	48.036427	35.924488	146.11436	2.6327562	400.0	400.0	17599	5.3849354	6.793477	41.49391	-33.788715	-5.576516	0.08699372	100.82590818405151
17	33.917027	1.0383415	34.955368	32.878685	62.93789	32.27126	123.188896	16.146538	400.0	400.0	18699	5.5713983	7.225543	66.59253	-38.701725	-5.748477	0.12357316	107.42409062385559
18	119.52127	29.497385	148.12625	78.92316	54.784264	23.606281	97.436	13.250235	400.0	400.0	19799	6.124003	7.675968	27.21122	-32.4949	-6.3006473	0.060499504	113.87129020690918
19	51.038372	32.361504	95.87833	20.685287	70.79167	26.454054	129.92743	21.725616	400.0	400.0	20899	6.501575	8.090225	35.247875	-39.474487	-6.6710715	0.111734964	120.13072752952576
20	50.584934	13.975582	65.40595	31.850626	66.1446	40.44407	201.60222	20.314522	400.0	400.0	21999	6.5433598	8.834088	50.59219	-41.46547	-6.705205	0.103735045	126.51202368736267
21	64.77466	12.440155	77.21481	52.334503	98.93484	49.34889	204.7289	41.68971	400.0	400.0	23099	6.862107	9.096226	57.06224	-39.913788	-7.017959	0.14493982	133.17298340797424
22	128.36505	34.086655	171.5087	88.17014	82.80797	42.336956	206.4403	30.032269	400.0	400.0	24199	7.4968123	9.579844	36.450714	-38.08331	-7.6475773	0.10650902	140.51620316505432
23	77.86863	24.314146	103.60123	45.250328	79.15825	45.242023	167.9448	12.874537	400.0	400.0	25299	8.009516	9.882597	59.03431	-51.846954	-8.155283	0.16727245	147.13202667236328
24	100.327324	29.36231	125.28044	59.106644	68.43025	25.54524	137.53822	29.240665	400.0	400.0	26399	8.609301	10.174303	60.14506	-37.98953	-8.751479	0.14786968	153.6152114868164
25	75.922386	0.76696014	76.68935	75.155426	94.38793	44.34187	186.87721	-12.378684	400.0	400.0	27499	9.034041	10.407917	66.539734	-39.798557	-9.1752405	0.16676186	159.91966319084167
26	80.41613	36.2285	117.63432	31.313412	93.8184	36.523575	154.59767	34.285095	400.0	400.0	28599	9.441574	10.587302	37.247658	-38.368282	-9.582561	0.10956425	166.1627824306488
27	97.92133	46.166245	133.59714	32.72933	99.325455	45.387127	197.0021	32.576218	400.0	400.0	29699	10.025344	10.8542385	56.750355	-42.63004	-10.162067	0.21960616	172.43684434890747
28	65.23557	16.353392	86.32269	46.46704	90.535866	44.20558	172.17165	11.789102	400.0	400.0	30799	10.397911	10.980207	104.24549	-58.65456	-10.531426	0.23600309	179.02006077766418
29	141.68207	1.105629	142.78769	140.57643	91.79033	38.92732	199.83691	37.519688	400.0	400.0	31899	10.898742	11.318354	59.97346	-51.200115	-11.030825	0.17725037	185.25941824913025
30	53.210606	33.921448	101.09053	26.695513	93.04565	44.13048	184.8414	14.475452	400.0	400.0	32999	11.136514	11.863053	43.17174	-53.839573	-11.268093	0.16344078	191.74021434783936
31	84.69001	33.78134	109.95074	36.942833	82.82038	36.24196	161.94524	21.84084	400.0	400.0	34099	11.417816	12.064297	70.365105	-54.7674	-11.547788	0.19554971	198.3171124458313
32	78.41321	35.02541	126.312996	43.537342	57.47518	59.73248	191.98859	-24.559364	400.0	400.0	35199	11.862309	12.268633	73.358635	-55.423607	-11.990331	0.24675198	204.81465363502502
33	117.440994	53.1528	170.5938	64.28819	102.99512	56.357277	194.49072	5.541487	400.0	400.0	36299	12.172758	12.5363865	49.58436	-55.767704	-12.301687	0.20274311	211.08728694915771
34	82.21545	55.11065	158.73483	31.13536	101.09624	40.79624	205.58769	33.66631	400.0	400.0	37399	12.510996	12.78716	61.786205	-54.98075	-12.637657	0.26419085	217.71364784240723
35	86.41217	23.951567	119.47116	63.491764	91.1956	62.28998	260.81152	24.867361	400.0	400.0	38499	12.913856	13.059102	72.90394	-54.50777	-13.039696	0.21036214	224.45085072517395
36	59.008938	35.0906	108.63421	34.04025	69.441635	48.0563	189.485	1.3786386	400.0	400.0	39599	13.189727	13.167294	51.10489	-54.650467	-13.315246	0.25392222	230.88508224487305
37	34.137695	22.381811	56.519505	11.755882	107.675514	56.479267	219.61874	-30.235344	400.0	400.0	40699	13.328012	13.361641	55.856026	-55.26025	-13.454155	0.256603	237.44150137901306
38	54.851578	26.54654	82.6859	19.116625	66.37834	52.388252	178.74158	-18.992512	400.0	400.0	41799	13.542091	13.584627	51.55757	-55.18391	-13.668933	0.20326266	245.0125002861023
39	53.0425	15.593182	72.8466	34.739906	109.16815	56.52067	231.42749	31.43852	400.0	400.0	42899	13.777513	13.677482	109.19757	-55.400043	-13.90045	0.3396593	252.51657724380493
40	71.44401	31.095217	112.867424	37.947773	93.01683	54.18765	192.02823	21.984106	400.0	400.0	43999	14.096779	13.770548	55.79033	-53.499516	-14.219217	0.28838873	259.98006892204285
