Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-43.826775	10.780027	-33.046745	-54.6068	-167.87701	10.296658	-142.97786	-179.36047	400.0	400.0	1099	0.3530289	6.274496	470.07184	-430.564	-0.38711277	39.052505	5.960091829299927
2	-12.046753	17.585752	12.7848425	-25.659182	50.152637	17.942434	90.70398	8.391588	400.0	400.0	2199	0.18817885	1.411714	350.8041	-444.9961	-0.27810797	1.8010129	31.528815269470215
3	-8.686431	10.891952	3.3679874	-23.018467	53.472363	19.711348	104.71429	27.168877	400.0	400.0	3299	0.4899225	1.0076438	39.473114	-18.602055	-0.68885475	0.02457467	59.008962869644165
4	-33.337296	10.2197	-23.361637	-47.38206	64.43579	23.01089	108.084785	20.565166	400.0	400.0	4399	1.0719763	1.626205	112.73801	-87.15494	-1.2862384	0.12372402	86.3117082118988
5	-54.187805	6.392832	-47.794975	-60.58064	61.569115	32.176952	131.2822	3.4544342	400.0	400.0	5499	1.5919851	2.1194782	17.009844	-17.564793	-1.8318847	0.064625815	117.89708375930786
6	-6.090096	36.35046	43.71414	-42.023415	78.34219	23.523853	144.49808	46.914303	400.0	400.0	6599	2.3101351	2.5935156	12.492442	-11.301177	-2.5603116	0.08741701	145.92839765548706
7	-31.561075	15.063233	-11.279448	-47.34486	78.57554	31.004166	141.5593	40.561954	400.0	400.0	7699	3.1114993	3.0056586	56.07012	-9.935464	-3.3610182	0.12205797	178.24355602264404
8	4.8692355	52.105537	74.618385	-50.59107	88.71112	37.525043	173.85101	33.828266	400.0	400.0	8799	3.8697681	3.6412735	17.900799	-9.873882	-4.117326	0.1509302	210.56290650367737
9	-26.672626	20.102673	-6.5699534	-46.7753	75.85604	23.024414	119.460396	37.64294	400.0	400.0	9899	4.6838026	4.289695	44.215103	-20.857632	-4.9315295	0.20354423	243.5904722213745
10	-34.843685	1.7595019	-32.678272	-36.988	67.46046	28.811224	149.75171	35.855145	400.0	400.0	10999	5.1500945	4.831571	75.31786	-12.804316	-5.396084	0.24450178	275.68736600875854
11	5.179306	30.576815	40.56881	-34.035194	92.93074	36.166927	168.42847	39.76034	400.0	400.0	12099	5.9819064	5.463338	47.13123	-33.571	-6.2405734	0.2683468	307.2807447910309
12	-33.89125	19.14266	-11.86618	-58.535892	108.736916	48.194874	203.76987	36.89821	400.0	400.0	13199	6.653539	5.906519	37.412704	-12.716831	-6.9232855	0.30179083	338.210000038147
13	-50.68142	9.310308	-41.37111	-59.991726	82.94351	47.699814	211.87772	25.967047	400.0	400.0	14299	7.1603494	6.2823844	32.203304	-17.672035	-7.4338174	0.34315854	367.5497980117798
14	-10.645489	41.90577	35.070354	-66.163574	90.12321	39.345863	165.46642	39.80433	400.0	400.0	15399	7.756743	6.8585515	231.24297	-18.976578	-8.037662	0.5963548	398.8957898616791
15	62.66836	11.498613	75.19518	47.425182	89.00393	42.80825	179.35846	40.932697	400.0	400.0	16499	8.364886	7.3471313	48.573563	-6.9470224	-8.636762	0.45791587	429.60876631736755
16	91.709564	27.72835	125.67304	57.75274	114.482376	46.450474	202.66296	43.964622	400.0	400.0	17599	9.03954	7.8660793	177.57477	-7.627844	-9.299272	0.59206253	462.12613677978516
17	41.896793	4.1962852	46.09308	37.70051	95.12262	56.003304	189.395	5.77672	400.0	400.0	18699	9.774107	8.544682	42.45078	-22.27185	-10.023677	0.64721656	494.87340569496155
18	103.487976	57.30352	169.52922	29.79236	107.65285	55.498302	191.80827	18.416946	400.0	400.0	19799	10.590282	9.442008	43.36556	-8.987154	-10.845433	0.7488496	528.9548335075378
19	61.723373	60.274784	144.00479	1.2979331	115.38735	40.815384	179.32104	41.103916	400.0	400.0	20899	11.3748665	10.167955	227.72215	-18.460262	-11.63108	1.0625368	559.8341236114502
20	129.18243	74.42006	208.82759	29.777933	109.41307	44.794144	177.5591	30.91304	400.0	400.0	21999	11.951761	11.049839	209.09637	-19.114193	-12.21793	1.1978502	595.8978555202484
21	90.5898	18.671764	109.261566	71.91804	122.62903	53.324875	208.90767	33.1956	400.0	400.0	23099	13.378193	12.288857	113.53716	-18.445934	-13.665014	1.3853726	628.5494368076324
22	125.98752	43.61416	185.25493	81.56114	118.02269	45.796833	178.83939	25.610748	400.0	400.0	24199	14.851089	13.35252	61.044678	-18.630505	-15.155002	1.848989	658.228045463562
23	153.59778	26.040934	187.83682	124.732574	114.242615	49.281296	174.92696	29.70266	400.0	400.0	25299	16.475332	14.481791	55.67227	-105.85922	-16.795368	2.2799025	690.8303971290588
24	109.132256	56.504143	169.37814	33.546116	75.04443	34.543175	155.35994	13.051581	400.0	400.0	26399	17.7718	15.406641	226.52809	-18.918339	-18.105528	2.8187144	720.9202823638916
25	65.078575	51.698765	116.777336	13.379807	81.287735	54.342884	173.63881	-10.022702	400.0	400.0	27499	19.069975	16.311348	139.83664	-18.774296	-19.417038	2.7746005	754.5968232154846
26	109.47402	23.823477	140.6417	82.81006	93.55911	48.32159	170.74876	10.5469055	400.0	400.0	28599	20.437616	17.060509	150.28111	-18.973541	-20.814413	3.0950675	788.0367157459259
27	70.59899	28.243233	93.96996	30.86233	112.031166	42.6915	170.969	4.2482285	400.0	400.0	29699	22.015106	17.791744	130.77429	-19.924393	-22.423223	3.41268	824.5217945575714
28	40.586964	29.44041	81.95283	15.810662	40.123848	70.06288	158.31316	-102.465515	400.0	400.0	30799	23.094551	18.473885	113.9068	-24.26915	-23.529284	3.391726	861.4615752696991
29	56.49506	39.9111	96.40616	16.583963	39.046124	104.939316	164.94695	-153.80167	400.0	400.0	31899	24.334831	19.243538	213.52177	-21.991096	-24.779596	3.550036	895.248575925827
30	121.375984	30.841846	154.46371	80.22052	46.227837	84.249245	168.30171	-115.20667	400.0	400.0	32999	26.020027	20.171211	139.52885	-45.777885	-26.482384	3.842725	932.9674031734467
31	84.08076	14.395466	104.26842	71.70921	28.76004	85.26557	131.94615	-127.30128	400.0	400.0	34099	28.021017	21.014645	173.6936	-111.12087	-28.49325	3.8739417	971.5217485427856
32	-20.942612	96.514244	109.15843	-121.739265	-30.40039	69.14606	92.76777	-149.73718	400.0	400.0	35199	28.969803	23.083477	845.2363	-308.69043	-29.443384	5.7650733	1013.2328679561615
33	-37.596153	42.641285	5.0451317	-80.23744	59.689568	73.44149	171.8378	-117.933334	400.0	400.0	36299	29.333649	26.021807	433.98712	-330.50644	-29.867517	5.262231	1052.8550996780396
34	103.049065	33.994392	142.79477	59.753204	67.48985	78.06652	157.46855	-96.60829	400.0	400.0	37399	30.977192	26.269567	369.36047	-269.55676	-31.511578	4.4856133	1087.2862453460693
35	48.06661	49.868874	113.089134	-8.096511	54.47273	58.54134	145.29811	-49.790344	400.0	400.0	38499	32.693398	26.501661	290.12466	-242.172	-33.244118	4.8825765	1116.581550836563
36	98.0727	36.18505	136.65105	49.666172	39.35487	61.26016	138.77754	-71.22283	400.0	400.0	39599	34.432335	27.113527	132.95358	-253.16933	-35.016975	4.8621736	1142.7193207740784
37	-64.09101	13.398102	-50.69291	-77.48911	42.84417	59.125404	132.20845	-82.48375	400.0	400.0	40699	35.699398	28.128742	133.40524	-226.84695	-36.318096	4.6368866	1168.4784653186798
38	36.648212	26.385818	73.70957	14.354708	80.04274	37.390205	142.35268	5.386117	400.0	400.0	41799	37.032356	29.445354	112.13254	-221.97697	-37.630928	4.065572	1195.0070436000824
39	56.184208	38.172924	94.523254	4.1004615	81.0996	66.4976	178.92181	-75.514435	400.0	400.0	42899	38.84158	29.928305	182.82367	-228.78654	-39.43753	5.1302195	1220.9001314640045
40	79.907776	9.36632	88.17707	66.81177	102.60376	63.72418	182.66463	-36.24529	400.0	400.0	43999	40.485283	30.478031	558.5441	-240.82628	-41.113907	7.227489	1245.552097082138
41	152.58371	4.3844223	156.96814	148.1993	78.75515	57.49461	142.32552	-76.13904	400.0	400.0	45099	42.7194	30.859842	343.61673	-233.14218	-43.408813	6.0577245	1268.7014956474304
42	104.13781	76.18229	159.28333	-3.5900617	110.8162	67.77747	180.92717	-137.24396	400.0	400.0	46199	45.24648	31.53818	149.45895	-234.32416	-45.953724	4.755378	1292.857267856598
43	113.07423	11.239618	128.88696	103.7673	88.72676	85.02089	191.67165	-70.68023	400.0	400.0	47299	47.241486	31.968287	469.38702	-372.34073	-47.923187	6.642397	1318.2380847930908
