Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	55.705643	4.9435177	60.64916	50.762123	-154.3662	2.5922658	-147.86446	-157.53041	400.0	400.0	1099	0.16083062	0.67720866	25.12049	-36.414017	-0.18710183	0.45512214	4.689809799194336
2	2.168473	21.517647	28.03977	-24.642359	-90.136765	1.1080984	-86.66925	-91.27423	400.0	400.0	2199	0.16522798	1.2757008	34.00488	-49.755043	-0.23455656	0.08582853	15.797654151916504
3	19.936354	34.800823	65.58505	-18.818892	99.89064	9.748094	119.076416	84.42235	400.0	400.0	3299	0.6731322	2.7740467	21.955074	-11.653424	-0.7646779	0.12007814	27.02554965019226
4	36.352917	15.514867	47.778206	14.417952	-14.717588	23.311111	19.007885	-57.86607	400.0	400.0	4399	1.3535239	4.21724	27.76944	-8.145366	-1.469901	0.18722084	38.910523414611816
5	20.636679	20.673174	41.309853	-0.03649578	79.39368	42.47623	136.82791	-21.021566	400.0	400.0	5499	1.9918635	5.637856	43.01846	-26.290354	-2.133802	0.2885802	50.36547493934631
6	27.865187	34.14016	75.79876	-1.1121068	136.173	42.156723	244.11266	87.57046	400.0	400.0	6599	2.934491	6.9123774	34.15133	-11.158399	-3.1110322	0.3232347	62.176451206207275
7	40.732647	31.754883	85.62466	17.242773	121.25316	36.522118	161.91193	39.992588	400.0	400.0	7699	4.0418406	8.020686	45.81169	-11.297819	-4.2337003	0.44303977	74.84361219406128
8	18.214418	12.2109165	28.168947	1.0166696	139.5564	25.445318	191.74579	72.69159	400.0	400.0	8799	4.852643	8.970088	50.28524	-19.336994	-5.0532737	0.56077	86.36741423606873
9	38.48654	7.992321	46.478863	30.49422	114.06276	44.968727	172.26901	6.7126174	400.0	400.0	9899	5.940417	9.922665	81.04529	-12.073475	-6.1661744	0.67490655	98.1091320514679
10	4.470245	21.970892	35.535652	-11.596865	85.957565	47.091465	174.93541	7.721592	400.0	400.0	10999	6.597844	10.845962	60.265026	-12.060995	-6.8353443	0.6640125	110.79224419593811
11	30.369104	14.050535	49.867622	17.305914	42.298782	8.907777	60.406563	34.46439	400.0	400.0	12099	7.7030716	11.679834	57.129993	-12.840748	-7.968994	0.7300984	122.81620979309082
12	24.975906	24.900055	43.855576	-10.206652	87.80689	43.713146	166.6292	13.390925	400.0	400.0	13199	8.543619	12.475938	56.85242	-12.295378	-8.824054	0.74682724	134.24876379966736
13	21.265202	22.315754	43.580956	-1.0505519	14.680931	69.500694	169.73035	-78.66343	400.0	400.0	14299	9.243497	13.3468	83.92169	-12.418309	-9.536882	0.7610081	145.40791153907776
14	18.617083	29.675303	60.45712	-5.130268	91.693214	40.935062	164.25041	26.20402	400.0	400.0	15399	9.937009	14.250687	64.25536	-15.173843	-10.245953	0.7806081	158.00554394721985
15	118.61286	55.630695	181.68799	46.35297	96.16235	40.575054	218.5798	46.199753	400.0	400.0	16499	10.316372	15.340338	144.43744	-38.342587	-10.614328	1.6645263	169.62537956237793
16	66.88394	56.562134	146.68478	22.210457	60.565437	40.024876	108.34104	-21.214252	400.0	400.0	17599	11.430335	16.195484	107.08088	-38.184498	-11.726659	1.4330189	181.0002200603485
17	70.24115	2.188511	72.429665	68.05264	110.40969	21.913979	170.70523	65.6031	400.0	400.0	18699	11.811611	16.992378	121.274704	-37.099556	-12.114346	1.2839999	193.09689092636108
18	87.57311	21.82883	117.87056	67.29651	128.47726	35.002014	212.94849	66.197075	400.0	400.0	19799	12.4856205	17.584513	139.70168	-35.347984	-12.76728	1.2067995	205.25800466537476
19	103.53826	7.6531863	113.916954	95.69018	122.04575	52.582977	222.80533	28.300539	400.0	400.0	20899	12.929899	18.38953	132.07835	-35.105465	-13.199666	1.4235567	216.75325989723206
20	111.79395	33.284145	151.9449	70.44226	128.52019	31.627962	173.73509	65.86449	400.0	400.0	21999	13.8419	19.111238	97.78046	-34.621353	-14.110422	1.3445376	228.45508217811584
21	244.95139	18.783562	263.73495	226.16783	169.50664	39.86443	261.47018	110.64466	400.0	400.0	23099	14.8992815	20.003336	105.28963	-35.80149	-15.155937	1.3503009	240.58624601364136
22	173.4391	44.741734	219.43018	112.80914	167.16843	33.752888	211.15086	94.71415	400.0	400.0	24199	16.274431	20.642738	115.41328	-37.232395	-16.554148	1.3324577	251.74690866470337
23	146.20006	13.651082	159.61963	127.47094	145.62534	39.388702	214.57233	94.20833	400.0	400.0	25299	17.73689	21.330551	118.97268	-37.398438	-18.013222	1.5232536	263.93058681488037
24	92.38224	45.309254	154.98561	49.24815	170.33817	46.25372	255.07571	68.13188	400.0	400.0	26399	18.664513	21.876163	106.13927	-34.791237	-18.954123	1.2803646	276.35241889953613
25	142.86755	11.264206	154.13176	131.60335	173.18575	39.32699	239.54713	89.541046	400.0	400.0	27499	19.79855	22.475052	104.90478	-34.978683	-20.093685	1.5793718	287.78847312927246
