Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	12.565397	17.415878	29.981276	-4.850481	-160.02701	0.0013811522	-160.02498	-160.0296	400.0	400.0	1099	0.1781252	0.3077734	1.0857651	-0.37810552	-0.1795229	0.022206407	4.999382495880127
2	16.970602	24.527933	47.572273	-12.475287	52.496418	18.22964	79.6645	17.644602	400.0	400.0	2199	0.43371466	1.1465228	3.9205413	-1.3247405	-0.43563464	0.018380359	23.69998025894165
3	31.010193	31.697918	74.714554	0.5218335	-8.493734	74.81889	115.68807	-107.64996	400.0	400.0	3299	1.04444	2.5593328	7.3410554	-2.0441995	-1.1338321	0.024469275	40.37362861633301
4	54.632618	47.449005	119.5173	7.3715463	126.30951	38.548954	180.3358	54.373596	400.0	400.0	4399	2.6034894	3.76107	9.256148	-2.4155924	-2.7407165	0.03400996	56.40172505378723
5	25.157883	7.555478	32.71336	17.602404	140.0438	28.858826	221.58282	112.87136	400.0	400.0	5499	3.7127526	4.644171	12.075376	-2.9518888	-3.8676639	0.042535234	72.90948987007141
6	5.6798153	7.177604	15.725442	-0.60436743	118.794815	9.865493	141.56581	100.04369	400.0	400.0	6599	4.3229766	5.598814	14.786523	-3.10787	-4.4911523	0.04636348	89.65782523155212
7	16.502028	21.772963	36.371857	-13.804075	116.44624	50.38776	199.348	25.273247	400.0	400.0	7699	5.2363157	6.362233	17.808405	-3.163731	-5.415061	0.07764021	107.4440929889679
8	36.512775	44.32993	96.3641	-9.570807	136.10066	19.547943	169.3127	100.920395	400.0	400.0	8799	6.2214646	7.1756797	20.017668	-3.2553442	-6.4093537	0.071604125	124.03621125221252
9	51.412357	7.5946465	59.007004	43.81771	126.46478	35.644234	168.25409	19.212862	400.0	400.0	9899	7.1550775	7.985727	22.196156	-3.5369813	-7.3394027	0.09610937	142.43389558792114
10	0.3052055	2.9254737	2.9839993	-3.7646937	149.80394	22.395285	191.94237	111.09946	400.0	400.0	10999	7.9756823	8.608777	24.36301	-3.9108212	-8.160005	0.093785055	160.89725518226624
11	42.84222	14.144631	59.04865	24.58422	131.40262	20.95993	173.89767	102.69713	400.0	400.0	12099	8.637635	9.288542	26.521679	-4.179278	-8.823548	0.10849163	179.20437049865723
12	21.111448	15.53495	42.561142	6.2713866	139.66736	24.807938	186.24957	101.77385	400.0	400.0	13199	9.182946	9.946193	28.53156	-4.451668	-9.373693	0.11616967	197.94839239120483
13	9.417458	16.444418	25.861876	-7.026961	90.37427	17.225613	138.82556	73.128494	400.0	400.0	14299	9.380067	10.662826	30.416796	-4.7700195	-9.573889	0.13019215	219.56439900398254
14	2.9997845	12.981761	21.351845	-6.6128054	150.90105	23.836973	225.59741	122.42766	400.0	400.0	15399	9.622318	11.334403	32.466793	-4.9804406	-9.821636	0.15476759	238.5350844860077
15	134.33923	33.49445	174.67216	92.66096	146.38383	26.88077	186.41412	97.65572	400.0	400.0	16499	10.184588	12.080474	34.306847	-5.3773046	-10.380309	0.19419608	258.21247482299805
16	154.707	14.30338	168.36823	134.95709	162.11667	43.054974	235.88565	91.97981	400.0	400.0	17599	11.411282	12.839734	35.26843	-5.3549185	-11.610401	0.1960973	277.5261926651001
17	191.30261	16.969109	208.27171	174.3335	148.8581	28.20562	209.69337	97.526764	400.0	400.0	18699	12.523718	13.615865	37.6348	-5.1430783	-12.718653	0.24461795	297.7985188961029
18	146.69963	8.319433	154.08348	135.07495	174.49973	23.408772	221.39166	142.77284	400.0	400.0	19799	13.816875	14.499024	39.07995	-5.0292873	-14.015947	0.35002005	317.76019501686096
19	179.09923	22.054745	195.59155	147.92665	192.57938	47.660706	258.87924	124.97408	400.0	400.0	20899	14.819992	15.208593	40.71655	-4.9771433	-15.019173	0.40828174	337.9486448764801
20	170.64806	26.215998	198.08614	135.33546	183.21115	34.476948	240.06546	139.08247	400.0	400.0	21999	16.250128	15.854713	42.248627	-4.83088	-16.455685	0.4343747	359.3567476272583
21	239.80447	1.3811646	241.18564	238.42331	199.08168	35.90046	272.72894	152.6095	400.0	400.0	23099	17.572355	16.499727	43.66492	-5.156253	-17.777088	0.33245257	380.04935240745544
22	208.94551	39.43152	245.76501	154.2658	209.58102	45.401665	278.81775	104.88422	400.0	400.0	24199	19.118322	17.20182	45.60418	-5.1849256	-19.324036	0.4061341	400.71182203292847
23	200.20049	34.279278	225.59328	151.74086	202.17159	58.121723	275.03073	91.590904	400.0	400.0	25299	20.425095	17.644785	46.66297	-5.217956	-20.638058	0.48996338	421.33589720726013
24	206.91956	33.93119	249.8543	166.89296	206.62415	63.4718	273.89352	81.20539	400.0	400.0	26399	21.96759	18.124903	48.16881	-5.036201	-22.18474	0.59401625	439.8687016963959
