Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-46.970154	8.927219	-38.042934	-55.897373	-168.23965	7.483338	-156.57057	-178.42862	400.0	400.0	1099	0.027152482	0.2679081	0.85942113	-0.48110747	-0.04086351	0.014879681	3.168565273284912
2	1.7258148	58.93203	81.288124	-59.546158	-159.58705	19.336542	-99.182655	-178.89548	400.0	400.0	2199	0.098860696	0.8055254	3.014792	-1.3216182	-0.15135835	0.010136259	14.208438158035278
3	-20.243141	29.625263	19.988901	-50.48445	49.601	18.866718	84.86679	13.526745	400.0	400.0	3299	0.28938985	1.3926834	5.787987	-1.6022055	-0.4553303	0.0041228877	26.812663555145264
4	-5.2702026	34.673306	36.9824	-47.94634	49.868797	23.493576	106.93742	9.806474	400.0	400.0	4399	0.8177443	2.005306	8.586398	-1.7274034	-1.0071579	0.0036974044	39.38474655151367
5	-34.353325	1.3114643	-33.04186	-35.664787	40.259453	43.175175	146.91513	-25.334246	400.0	400.0	5499	1.6137171	2.6372507	11.035039	-1.7964902	-1.8132958	0.003733146	50.58683657646179
6	-21.846075	12.349801	-4.461728	-31.992476	66.49223	40.7151	144.3753	0.90159035	400.0	400.0	6599	2.3250458	3.121427	13.422418	-1.7787232	-2.5347402	0.005169398	62.213576555252075
7	-28.551254	5.8676505	-20.57433	-34.519737	73.91952	34.382652	140.00983	18.568245	400.0	400.0	7699	3.1140997	3.6322994	15.8057165	-1.7151841	-3.3276641	0.0071698744	73.20147156715393
8	-43.260136	8.515388	-31.230242	-49.753536	74.47167	25.07569	119.15559	9.555597	400.0	400.0	8799	3.6908965	4.0834947	18.121798	-1.6754396	-3.9097984	0.009541664	84.67227387428284
9	-23.239185	8.149707	-15.089478	-31.388891	106.08315	61.218277	264.0878	32.377777	400.0	400.0	9899	4.235371	4.3410673	20.43197	-1.5478647	-4.4611316	0.008023753	96.85699391365051
10	-30.282028	29.667137	11.660845	-52.150818	104.51144	43.06408	226.01062	31.004143	400.0	400.0	10999	4.7922115	4.7862926	22.765976	-1.5305405	-5.0226364	0.009416084	108.78601336479187
11	-26.495264	19.328922	-7.2509794	-52.929726	84.95229	52.694363	228.02145	30.813963	400.0	400.0	12099	5.314822	5.2392583	25.080112	-1.5753459	-5.550275	0.01271534	120.06444430351257
12	-34.395977	19.775755	-15.691575	-61.75456	109.466225	61.920574	243.37956	13.550818	400.0	400.0	13199	6.0547433	5.7839117	27.331697	-1.5948598	-6.2946553	0.015714055	130.41359400749207
13	-25.085579	16.251133	-8.834448	-41.33671	144.21935	54.560955	241.83113	31.309156	400.0	400.0	14299	6.493127	6.121917	29.405228	-1.6039392	-6.738032	0.018567717	140.31316614151
14	-17.663061	20.9257	-0.88085926	-47.163296	135.09784	49.488987	236.51091	46.63315	400.0	400.0	15399	6.9381547	6.4827113	32.161373	-1.5855285	-7.187985	0.020914504	150.30093359947205
15	180.57135	74.74749	254.38731	78.13334	170.18341	65.87772	274.1435	76.65767	400.0	400.0	16499	7.9611855	7.5856247	33.566936	-1.5904531	-8.2070465	0.026107596	161.49331164360046
16	137.02542	94.68457	264.4327	37.638603	177.45126	48.087723	268.24896	89.26013	400.0	400.0	17599	9.562015	9.105869	35.557247	-1.7231439	-9.802638	0.03717247	172.36522817611694
17	199.22377	54.31137	253.53514	144.9124	141.83281	67.5829	247.59169	35.125404	400.0	400.0	18699	10.935158	10.131194	37.887554	-1.80878	-11.174176	0.043060478	183.7504985332489
18	243.95013	14.324972	262.47943	227.5928	173.35423	73.334785	301.16516	55.221607	400.0	400.0	19799	12.795421	11.554395	39.888824	-1.8792526	-13.0319395	0.048708823	195.1024203300476
19	173.77203	71.14768	238.78621	74.76039	171.42123	74.187744	277.311	40.834885	400.0	400.0	20899	14.420756	12.591896	42.166344	-1.8194958	-14.65339	0.054224737	206.62964010238647
20	161.5136	94.474556	247.48245	29.956144	143.96684	87.7071	271.9634	23.299034	400.0	400.0	21999	15.797178	13.4942045	43.791183	-3.0278082	-16.025429	0.05664883	219.12104606628418
21	118.144356	61.12748	179.27184	57.01688	196.38713	79.55717	279.99762	34.184143	400.0	400.0	23099	17.152235	14.284446	45.241882	-3.0822008	-17.379673	0.053756386	229.95717477798462
22	216.9211	57.85116	258.38553	135.10976	212.05136	64.85343	307.30215	22.990139	400.0	400.0	24199	18.66464	15.061371	46.585705	-3.3506348	-18.89069	0.05851034	241.1565806865692
23	238.69624	21.080189	267.09995	216.65321	145.6667	116.29183	280.36963	-7.1533937	400.0	400.0	25299	20.484695	15.959626	47.77959	-3.3455462	-20.708902	0.055178855	254.24179482460022
24	254.2848	6.4881845	262.3451	246.45747	227.71756	49.78154	265.37225	22.284853	400.0	400.0	26399	22.194263	16.774887	48.99599	-3.1261249	-22.419052	0.059779774	266.07138752937317
25	130.81038	92.71417	223.52455	38.096207	187.70985	85.58719	280.62524	1.789305	400.0	400.0	27499	23.601696	17.404114	50.4188	-2.912245	-23.832624	0.06438613	277.958877325058
26	176.28914	81.766495	251.38402	62.589157	204.26306	66.23757	264.39664	9.435347	400.0	400.0	28599	24.789204	17.881424	51.47203	-2.558424	-25.025654	0.069349095	289.83477663993835
27	243.20967	4.8247485	249.99808	239.21935	181.77414	77.59067	269.9633	7.569263	400.0	400.0	29699	26.48056	18.436459	52.40747	-1.9656824	-26.72142	0.06876039	302.7257037162781
28	196.71367	19.806482	216.6549	169.70763	228.39682	28.712706	280.56226	150.34764	400.0	400.0	30799	28.004763	18.793474	53.53706	-1.5979935	-28.24508	0.077091634	314.5693144798279
29	208.79846	39.98449	248.78294	168.81396	214.53032	29.802647	255.37349	155.20027	400.0	400.0	31899	29.436897	19.068066	54.550022	-1.7568411	-29.671993	0.066549666	325.7874662876129
30	159.51562	105.820435	248.11801	10.767521	198.85818	50.23137	271.19626	61.920235	400.0	400.0	32999	30.741226	19.333292	55.637543	-2.0612671	-30.963139	0.08022718	336.7101113796234
31	230.90007	24.038282	257.16055	199.07361	221.46042	59.094334	285.78214	-19.582092	400.0	400.0	34099	31.74081	19.584696	57.15908	-1.9963355	-31.946491	0.09289422	349.64755034446716
32	153.52466	38.45286	207.82881	123.87679	230.95093	32.867905	290.72684	157.03278	400.0	400.0	35199	32.787834	19.82187	58.2266	-2.2211797	-32.974438	0.09589362	360.8449385166168
33	201.47952	43.449097	244.92862	158.03043	234.28362	36.062344	285.72897	169.98819	400.0	400.0	36299	33.580032	20.097517	59.35748	-2.1912353	-33.753403	0.09490801	372.1775772571564
34	235.98816	25.5642	257.038	200.00798	232.0113	42.104996	300.55234	113.89941	400.0	400.0	37399	34.5647	20.477142	60.5618	-2.3648357	-34.743828	0.09420271	383.5220911502838
35	235.97388	11.614965	246.60033	219.81308	237.44263	36.019043	296.43958	156.19568	400.0	400.0	38499	35.609337	20.818794	61.665703	-2.505461	-35.79432	0.091488086	394.8537263870239
36	243.91093	25.21324	262.2973	208.2599	252.8437	21.067831	291.06125	201.84514	400.0	400.0	39599	36.675526	21.081675	62.708035	-2.491064	-36.86919	0.10700042	406.1632421016693
37	261.3673	17.546867	278.91418	243.82045	243.7677	26.846262	294.3278	185.60307	400.0	400.0	40699	37.84344	21.292685	63.64304	-2.4276874	-38.04363	0.102549575	417.4449293613434
38	246.37785	26.444962	282.77994	220.74915	230.42676	29.618736	285.199	169.9154	400.0	400.0	41799	38.919453	21.487993	64.588135	-2.5719705	-39.12657	0.096123144	427.5106158256531
39	231.82704	13.94933	245.12415	212.55843	231.25455	33.282856	280.72482	173.3175	400.0	400.0	42899	40.061905	21.595913	65.42238	-2.7213502	-40.269917	0.102977514	440.54782485961914
40	218.20525	37.4576	268.62234	178.91853	240.33536	24.850685	277.62405	195.48373	400.0	400.0	43999	41.068207	21.708994	66.39939	-2.6132524	-41.274124	0.09869421	451.72911262512207
41	73.18192	156.12582	229.30775	-82.94391	175.65205	120.02878	286.89157	-102.558426	400.0	400.0	45099	41.864174	21.824495	67.290886	-2.338845	-42.067028	0.09952106	462.99105501174927
42	245.51086	2.4583564	248.5242	242.50249	143.44827	144.2778	272.84067	-125.37625	400.0	400.0	46199	42.623737	21.98874	67.956505	-1.880843	-42.831783	0.10623946	474.69865012168884
43	128.10687	165.50505	250.34972	-105.874016	204.10104	98.10208	290.65106	-75.43596	400.0	400.0	47299	43.34045	22.027285	68.5463	-2.0693412	-43.54999	0.11716062	485.0290312767029
44	219.7936	25.57735	251.55226	188.91954	227.9791	74.5639	283.3849	-77.99332	400.0	400.0	48399	44.15387	22.103125	69.10279	-2.3972406	-44.3622	0.11634412	496.1275267601013
45	39.09066	114.20611	153.29677	-75.11545	232.6459	77.15654	294.4027	-75.81599	400.0	400.0	49499	44.90034	22.068321	69.58475	-2.5166829	-45.10929	0.12783289	508.9128496646881
46	206.61829	45.346478	265.9063	155.80467	245.53694	56.374737	301.28946	43.173916	400.0	400.0	50599	45.59821	22.049927	69.8941	-2.616024	-45.814236	0.13159421	521.726452589035
47	239.04433	29.461432	273.7235	201.70525	204.90784	95.931786	299.28378	-17.019495	400.0	400.0	51699	46.500713	21.973038	70.003365	-2.5252619	-46.71147	0.1325156	533.1655650138855
48	176.7135	123.96528	274.36746	1.7958372	218.50119	85.14708	300.74457	-72.51755	400.0	400.0	52799	47.098015	21.90279	70.19114	-2.1720371	-47.31384	0.12839267	546.0063412189484
