Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	24.01244	95.86151	119.873955	-71.849075	-193.08574	24.97668	-147.83565	-246.24545	400.0	400.0	1099	0.2646803	0.5199477	16.483276	-9.076145	-0.30622745	0.16411217	6.310473442077637
2	16.25701	11.619706	30.239079	1.7891669	-118.99013	98.373856	136.69473	-244.65504	400.0	400.0	2199	0.42507228	1.5241097	18.431553	-13.344948	-0.44958752	0.02387615	14.223800420761108
3	76.35963	96.38934	211.56088	-6.3016334	-114.877396	59.30442	-2.4498434	-201.91576	400.0	400.0	3299	0.5514256	3.560677	9.388602	-7.8705153	-0.5899819	0.017507594	22.484991550445557
4	34.595222	36.220764	84.03639	-1.7268225	-147.85925	87.97507	158.94292	-244.39627	400.0	400.0	4399	1.3980188	5.87684	21.055029	-12.054823	-1.4580292	0.031196425	30.78398585319519
5	-60.439846	4.554859	-55.884987	-64.994705	-139.00511	63.792095	-9.6208105	-225.73749	400.0	400.0	5499	1.3916662	8.258609	19.850317	-21.835314	-1.4499221	0.04078537	41.90290927886963
6	-0.31105962	14.610371	20.028444	-13.63086	-162.22798	82.21949	93.57634	-243.90022	400.0	400.0	6599	1.1455436	10.361454	34.13162	-23.610126	-1.1959301	0.0662476	51.194459438323975
7	40.13533	137.36826	234.03781	-67.13229	-109.93573	125.38277	208.64203	-229.68915	400.0	400.0	7699	1.0699025	12.574558	28.137419	-25.100285	-1.1186454	0.075506896	62.259440422058105
8	55.565685	18.06511	74.45934	31.22609	-141.95883	69.110306	101.679726	-216.41791	400.0	400.0	8799	1.7227235	14.350691	40.75917	-26.987755	-1.7740015	0.13808717	71.27971887588501
9	84.15167	72.237236	156.3889	11.914438	-168.22093	30.474054	-109.13467	-223.69214	400.0	400.0	9899	2.550417	16.072538	35.94888	-27.630995	-2.6198144	0.16134593	82.28990745544434
10	71.93415	126.493675	250.35356	-28.494398	-133.03958	46.619118	-43.558624	-221.80283	400.0	400.0	10999	3.4759834	17.712967	40.45814	-29.822355	-3.5474048	0.15590489	94.54378056526184
11	-55.205433	45.32747	-15.284171	-118.600945	-161.37524	41.97925	-80.780365	-232.35373	400.0	400.0	12099	3.5571752	19.031391	46.299736	-35.32378	-3.6313396	0.17418763	115.07578492164612
12	31.286003	33.93983	59.726257	-16.418932	-135.12842	55.17058	-31.763147	-228.42587	400.0	400.0	13199	3.449703	20.609882	41.382786	-36.540688	-3.5279195	0.18525618	146.05356860160828
13	76.17608	148.60889	224.78496	-72.4328	-130.5499	48.085346	-21.60783	-225.64784	400.0	400.0	14299	3.6873167	22.067535	62.899876	-45.680584	-3.7669148	0.28738707	159.51180577278137
14	-63.86096	42.811874	-4.747267	-104.75196	-126.85771	67.82283	103.425674	-232.57953	400.0	400.0	15399	3.0461197	23.412914	66.69315	-98.36828	-3.1271698	0.28154892	175.00122165679932
15	-139.74892	16.157122	-121.3602	-160.68935	-153.81245	52.11056	-37.142006	-236.74467	400.0	400.0	16499	0.035059724	31.484154	429.01172	-455.8516	-0.11962955	2.4550018	192.62564778327942
16	-48.730854	141.73631	149.88034	-171.46648	-66.956795	116.264336	191.93857	-229.80444	400.0	400.0	17599	-5.18224	51.569252	130.17506	-630.5108	5.0610447	0.54446983	206.4716682434082
17	128.72755	144.5259	273.25345	-15.798338	-12.793137	133.26941	271.6987	-169.09256	400.0	400.0	18699	-5.659457	55.373085	192.1131	-616.70593	5.5276165	0.9022982	220.97659015655518
18	-89.49881	26.00169	-63.0526	-124.84837	-66.355774	99.6532	181.09645	-201.38611	400.0	400.0	19799	-5.6259413	54.159336	129.01677	-602.8129	5.493753	0.9036516	239.689945936203
19	-33.739056	77.697945	40.561256	-140.99666	-76.366745	89.56554	156.21469	-204.68259	400.0	400.0	20899	-5.7268076	52.615124	211.67075	-592.5882	5.597042	1.1710408	277.60838055610657
