Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	89.00454	18.832289	102.38316	62.371754	-3.5609326	17.39361	18.202658	-36.30888	280.0	69.3	1099	0.49975953	0.13237987	1.1503065	0.043511026	-0.50652903	0.093719594	1.5056424140930176
2	52.565758	40.178226	99.2287	4.992563	-5.166625	14.195717	14.4982	-28.911795	307.0	66.15	2199	1.1270331	1.020214	4.051908	-1.788084	-1.1324581	0.020104295	8.889791011810303
3	35.788483	24.834213	62.97126	3.5139115	48.897015	36.56982	144.54982	-16.80279	304.25	165.1	3299	2.3784056	2.4954154	7.2302723	-4.387193	-2.4093425	0.018165614	16.780991315841675
4	101.2701	64.723236	170.00085	14.552945	61.450783	63.853687	227.27196	-37.83999	350.0	174.25	4399	3.8913972	3.6911087	10.495102	-5.142613	-4.001066	0.022484217	26.743696212768555
5	39.33232	54.238228	130.43129	-11.788003	113.20847	59.113525	227.62462	19.586853	282.0	244.0	5499	5.4509254	4.811271	13.652378	-6.0004272	-5.595071	0.02932563	35.95939230918884
6	78.41624	53.494995	132.39479	-14.168899	145.22325	93.73407	319.65567	-31.937784	217.6	298.8	6599	7.1045194	5.9552894	16.603138	-7.085268	-7.25593	0.035911635	46.959582567214966
7	55.33076	58.896	105.075264	-44.725117	122.38948	64.6838	300.3297	25.0847	249.25	289.3	7699	8.829556	7.2169347	19.483776	-8.033965	-8.98154	0.044252068	56.13588333129883
8	37.65353	91.19878	190.45155	-50.31419	129.19589	92.00057	299.69485	3.665359	311.25	321.25	8799	9.909813	8.406149	22.23935	-9.006426	-10.065377	0.060154114	66.10692000389099
9	50.931137	42.76689	112.16133	-3.2205296	107.75731	58.885628	298.45456	23.735004	259.25	277.55	9899	11.054328	9.465212	24.840208	-9.866954	-11.209499	0.08101647	75.80204105377197
10	-19.02525	31.645418	28.686857	-54.98542	105.8291	71.23095	275.86987	-9.4389715	246.25	222.85	10999	11.601972	10.596131	27.29296	-10.525486	-11.759308	0.09737715	86.13518857955933
11	21.292566	41.287876	64.61822	-31.178837	112.31468	80.990906	238.05125	-4.085584	233.4	267.85	12099	12.149287	11.513116	29.604063	-11.164476	-12.30819	0.13151449	95.77444672584534
12	95.77112	92.22389	240.5915	-15.218979	92.69671	69.6453	292.73044	21.488699	286.0	220.85	13199	13.169188	12.600814	31.808558	-11.639985	-13.327093	0.14500976	104.97989583015442
13	149.77806	11.88912	166.52281	140.08788	82.13975	79.601906	269.0838	-10.849818	354.33334	206.85	14299	14.394099	13.622352	33.938107	-12.210941	-14.552612	0.16465393	114.16612720489502
14	16.49908	41.590733	73.449165	-50.595226	98.67515	76.780426	248.19455	-16.31138	222.0	256.55	15399	14.943631	14.521343	35.869186	-12.727619	-15.103796	0.1968124	123.83732080459595
15	52.210632	60.98387	146.69054	-3.9499218	78.91439	49.652527	161.45885	-20.056526	181.4	196.0	16499	15.222096	15.284243	37.795143	-13.0939455	-15.37528	0.23269273	132.961266040802
16	99.16978	63.427464	209.89917	-7.5164137	84.586174	68.880005	228.72806	-4.7002153	225.5	217.1	17599	16.168163	16.20293	39.737522	-13.368114	-16.313154	0.24710289	141.66355919837952
17	56.07184	61.157425	132.91415	-17.759712	89.56097	49.786816	157.7459	-13.466512	202.6	229.8	18699	16.490416	16.957048	41.602966	-13.795629	-16.627188	0.26887035	151.11252903938293
