Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.08872175	10.817211	10.905933	-10.72849	-154.39273	30.915106	-90.26022	-197.4624	400.0	400.0	1099	0.7669762	0.44939926	13.72434	-3.4716096	-0.7828777	0.04692153	3.9085166454315186
2	71.27834	36.179535	111.51256	23.787083	-18.863182	48.427265	62.777992	-118.46609	400.0	400.0	2199	0.95152396	1.1365455	11.28262	-11.225673	-1.0416577	0.014865547	12.435104846954346
3	-12.024562	34.15802	18.703972	-59.66844	118.444374	81.409706	259.65717	-22.283764	400.0	400.0	3299	1.7730217	2.632763	23.329727	-17.08816	-1.9615525	0.018225007	21.22117781639099
4	96.462776	82.47129	211.65689	23.05405	105.969765	85.63261	267.6002	-18.402767	400.0	400.0	4399	3.173267	3.9486878	20.199352	-7.901624	-3.3947394	0.033277303	29.411960124969482
5	26.768562	42.893158	69.66172	-16.124596	155.95224	96.40472	335.72507	-8.105064	400.0	400.0	5499	5.074312	5.3344812	26.969421	-5.529503	-5.306834	0.049819004	38.25483298301697
6	1.0669645	45.022484	50.99296	-58.117115	100.54808	68.054245	270.58203	-1.0295985	400.0	400.0	6599	6.19821	6.7064185	32.498833	-6.255692	-6.4270186	0.061797805	47.2820405960083
7	72.687225	85.037994	179.0374	-29.11319	96.59291	66.19846	236.04208	-9.271622	400.0	400.0	7699	7.4594874	8.1883955	80.6615	-9.399652	-7.688608	0.14569946	56.16588258743286
8	45.786068	44.937	103.884285	-5.566605	85.2729	66.7222	215.15442	-21.178764	400.0	400.0	8799	8.624511	9.383728	34.902004	-8.078197	-8.8608675	0.14724343	64.82854962348938
9	33.978943	49.67867	83.657616	-15.699727	89.97972	56.87783	199.955	-26.433758	400.0	400.0	9899	9.5943575	10.60042	41.347767	-9.826408	-9.836969	0.13422777	73.69083166122437
10	40.910397	70.60607	97.54832	-58.626087	113.860886	42.333927	183.28381	30.981308	400.0	400.0	10999	10.467652	11.719044	42.05261	-9.987498	-10.712977	0.13447368	82.45195579528809
