Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	62.1784	6.05805	68.23645	56.12035	123.17125	22.526361	165.86137	93.17544	400.0	400.0	1099	0.14597574	0.079010636	0.39610058	-3.6529377	-0.15705699	0.02031095	2.511631965637207
2	65.95844	8.79923	78.31205	58.485134	47.327084	114.70903	164.52164	-177.1228	400.0	400.0	2199	0.7599087	0.52923816	5.1841993	-1.3693947	-0.8981456	0.0161438	8.903345584869385
3	66.84696	14.005264	84.67975	50.466328	114.88118	70.049446	172.79721	-106.70803	400.0	400.0	3299	2.288223	0.8741243	5.3407636	-0.6336064	-2.451709	0.0386153	14.265148162841797
4	73.97941	13.360868	88.310326	56.14916	87.19016	77.678955	177.12677	-56.723877	400.0	400.0	4399	3.772159	1.260321	8.377194	0.77129734	-3.9310458	0.07785399	20.48026990890503
5	62.0248	14.903576	76.928375	47.121223	111.56294	54.59847	182.69458	-76.82443	400.0	400.0	5499	5.47234	1.5794598	10.377145	0.30932915	-5.624061	0.12754613	26.702239274978638
6	69.88569	10.074243	84.128586	62.46335	134.16609	23.787144	181.26286	107.229164	400.0	400.0	6599	6.707033	1.7716933	12.81258	-3.6943402	-6.862639	0.17130668	31.97105884552002
7	75.93532	14.774739	96.59515	62.900257	109.725266	53.48715	165.24539	-24.980446	400.0	400.0	7699	8.209689	2.0693016	14.614472	3.099658	-8.387273	0.19988626	37.13976979255676
8	56.72113	15.022704	68.37801	35.51055	112.48893	46.53121	162.33063	3.8117857	400.0	400.0	8799	9.99334	2.314569	16.433413	3.7024038	-10.165881	0.22439405	42.320531129837036
9	72.299736	10.631239	82.93098	61.6685	7.851148	67.24698	138.96968	-130.72641	400.0	400.0	9899	11.147332	2.53664	17.576284	4.8143406	-11.318007	0.29022944	47.47085428237915
10	57.78892	24.801823	79.997185	23.173294	151.962	15.6010275	178.55658	123.658066	400.0	400.0	10999	12.201158	2.71307	20.134644	5.5810375	-12.380457	0.34208962	52.41325259208679
11	78.58893	23.885153	101.828384	45.739586	162.4947	13.620984	189.02278	142.73209	400.0	400.0	12099	13.682142	3.1805243	21.350939	6.470837	-13.854375	0.35328102	57.60627818107605
12	52.134617	23.98389	73.859665	18.714231	153.23035	13.02337	181.90984	132.41989	400.0	400.0	13199	15.178608	3.6287248	22.96196	6.8506155	-15.343164	0.36877912	62.765955686569214
13	74.58434	5.866913	80.451256	68.71743	147.80603	13.266245	170.7361	126.19433	400.0	400.0	14299	15.165612	3.4020536	23.755325	7.7557645	-15.338509	0.3361606	69.23792028427124
14	75.674614	46.380013	140.32639	33.769054	150.7681	13.7480345	179.8142	122.4897	400.0	400.0	15399	15.620315	3.0109305	32.42652	8.250534	-15.789308	0.3470716	74.40495419502258
