Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	108.75647	12.922173	121.67864	95.8343	-171.00256	0.70869136	-169.84277	-172.06331	400.0	400.0	1099	0.26444536	0.07558097	0.44909027	-0.09881224	-0.26612046	0.03444217	4.330068588256836
2	105.05774	7.435656	110.691284	94.551315	205.71252	18.063114	242.22421	181.7866	400.0	400.0	2199	1.1513869	0.5607562	3.192519	-0.22003783	-1.2324307	0.018935416	20.369636297225952
3	127.67868	10.185235	135.27292	113.28184	188.84802	15.720133	226.31052	168.67212	400.0	400.0	3299	3.3592954	0.96106553	5.9425044	0.5883205	-3.5532174	0.012414663	34.04438781738281
4	113.3785	1.657336	114.808655	111.055275	197.03918	16.171041	226.12738	177.6702	400.0	400.0	4399	5.798342	1.0853101	8.509793	1.8328516	-6.00358	0.02101001	47.701114654541016
5	76.40094	2.8094215	79.21036	73.591515	200.10567	20.916725	236.45135	168.09413	400.0	400.0	5499	8.022414	1.2201842	11.010137	3.5691202	-8.243713	0.026409227	65.80740118026733
6	102.60821	14.645852	115.92996	82.21235	202.17014	22.574884	241.91429	173.65501	400.0	400.0	6599	10.209522	1.3779761	13.405526	5.3503704	-10.450245	0.028521104	83.23257303237915
7	84.54959	15.235491	104.046585	66.85876	214.73392	20.859877	248.5854	184.4982	400.0	400.0	7699	12.369256	1.4733422	15.562336	6.8825417	-12.625119	0.027134767	99.14675664901733
8	99.85193	10.42121	114.32612	90.21155	212.5795	14.731334	234.37886	189.29703	400.0	400.0	8799	14.447895	1.5506747	17.712118	8.396403	-14.717172	0.024841117	115.4006290435791
9	108.78334	15.047462	123.8308	93.73588	219.35349	14.494624	249.7921	196.34303	400.0	400.0	9899	16.56206	1.5059813	19.774742	9.910571	-16.833149	0.022156624	130.54693174362183
10	88.300934	18.492678	105.76175	62.70907	211.90958	11.864346	231.24915	190.39471	400.0	400.0	10999	18.501833	1.4967536	21.92691	11.704365	-18.776062	0.019212656	146.06187343597412
11	114.315956	25.348228	150.08755	94.40689	213.32097	15.467969	247.08722	192.9469	400.0	400.0	12099	20.375357	1.547215	23.994816	13.541621	-20.65254	0.01435302	160.52298665046692
12	119.50243	6.7444425	127.525536	111.02393	221.325	10.897982	237.1816	196.501	400.0	400.0	13199	22.147537	1.6036525	25.906446	15.349296	-22.427599	0.011528623	176.36673951148987
13	119.683136	20.276764	139.9599	99.40637	220.63322	11.831222	244.6188	200.07268	400.0	400.0	14299	23.887352	1.6640633	27.955603	17.01137	-24.172422	0.0088417735	192.2604067325592
14	122.4765	34.87411	162.6782	77.63352	218.42415	8.451008	237.135	205.50974	400.0	400.0	15399	25.560621	1.7549843	29.821245	18.503145	-25.852468	0.0077316146	207.71436142921448
15	220.81206	2.9285429	224.05168	216.9577	223.16452	8.866504	246.78716	213.52835	400.0	400.0	16499	27.16467	1.8751585	31.60887	20.076818	-27.450947	0.007121098	222.15929579734802
16	213.65291	11.216481	226.69838	199.31506	224.8876	9.531919	244.74803	212.52637	400.0	400.0	17599	28.644972	2.0195277	33.333176	21.572065	-28.920458	0.0070316526	238.93876147270203
17	212.45181	0.668602	213.12042	211.78322	230.90935	9.715377	245.00327	216.49615	400.0	400.0	18699	30.104477	2.1398528	34.95638	23.021353	-30.369585	0.007555542	254.31689190864563
18	225.0703	6.555163	232.97112	216.92012	226.0304	11.983065	248.33748	213.08882	400.0	400.0	19799	31.515106	2.2591355	36.492756	24.433878	-31.769148	0.0074674417	272.3727807998657
19	216.6535	10.230458	230.51973	206.14418	229.50948	9.547709	246.31998	213.11629	400.0	400.0	20899	32.867977	2.3727055	37.982494	25.878746	-33.10992	0.0070036934	290.33278584480286
20	210.8296	10.120763	225.1392	203.4079	224.05997	9.0165415	248.17412	212.33504	400.0	400.0	21999	34.093517	2.4780912	39.44563	27.367092	-34.324753	0.006624801	306.9373416900635
21	227.125	1.8570557	228.98206	225.26794	231.60303	11.562377	253.08176	214.79442	400.0	400.0	23099	35.28829	2.5908985	40.812965	28.623493	-35.509483	0.0059548416	322.52485609054565
22	214.15163	2.6868055	217.95123	212.22615	226.16052	11.162135	243.99904	212.67868	400.0	400.0	24199	36.415016	2.6917672	42.127586	30.044636	-36.6274	0.0058100554	336.640588760376
23	224.52063	14.148118	243.30992	209.16983	225.58818	8.300875	240.84818	213.3524	400.0	400.0	25299	37.477192	2.7975545	43.33709	31.175701	-37.681473	0.005566445	351.95893573760986
24	212.78471	11.834462	229.48837	203.52611	228.82214	10.104466	250.30861	214.0248	400.0	400.0	26399	38.503696	2.8918235	44.568516	32.24357	-38.701096	0.0054273386	366.17870926856995
25	216.39131	3.6528778	220.04419	212.73843	225.91797	9.770436	245.9318	212.62177	400.0	400.0	27499	39.47318	2.985002	45.73313	33.091373	-39.664234	0.0055912826	378.91839838027954
26	219.50813	14.749258	235.74692	200.05132	225.26778	8.864673	244.35251	213.00552	400.0	400.0	28599	40.400814	3.085301	46.84313	33.96609	-40.585255	0.0050852685	394.62823009490967
27	217.8302	9.452017	231.19345	210.86826	224.98978	7.2001996	243.40341	215.01701	400.0	400.0	29699	41.228024	3.1744637	47.928513	34.786407	-41.406704	0.005105877	410.5129201412201
28	212.23425	10.494987	226.44029	201.40854	220.4816	6.544115	236.75468	213.779	400.0	400.0	30799	41.99599	3.2428064	48.881107	35.61538	-42.168728	0.0044673355	430.3840956687927
29	234.59024	2.2589798	236.84921	232.33125	224.48299	7.839803	239.31927	213.51187	400.0	400.0	31899	42.813667	3.3435185	49.92006	36.297825	-42.98155	0.0043683555	447.26427006721497
30	223.01772	15.089699	236.6585	201.98482	224.60982	9.5342045	247.76103	213.85988	400.0	400.0	32999	43.56679	3.420474	50.84462	37.037106	-43.730236	0.0043822466	462.5278995037079
31	221.24614	15.31171	241.27316	204.1009	225.14539	10.372745	252.73613	211.79555	400.0	400.0	34099	44.243965	3.490244	51.748756	37.72306	-44.402016	0.004154349	480.45525431632996
32	220.79358	12.49376	230.3515	203.14505	228.07593	11.226784	254.35437	212.25783	400.0	400.0	35199	44.941418	3.5659947	52.592457	38.428783	-45.095722	0.004433253	496.62260484695435
33	222.89282	7.507118	230.39993	215.3857	227.19685	9.056803	245.86267	212.54092	400.0	400.0	36299	45.550694	3.6316655	53.37326	39.01025	-45.69987	0.0048889136	515.6967415809631
34	213.18373	4.636484	219.72617	209.53445	227.05835	10.750911	249.7644	211.23297	400.0	400.0	37399	46.120125	3.6635277	54.060863	39.62144	-46.265427	0.005217417	530.8024318218231
35	205.58307	1.81099	207.87102	203.44235	228.66635	10.313766	254.41115	212.35931	400.0	400.0	38499	46.60504	3.693446	54.596783	40.11234	-46.747643	0.0050426284	549.8994998931885
36	205.41101	6.308576	213.87941	198.74539	229.37833	8.876289	246.91537	212.25778	400.0	400.0	39599	47.060226	3.7118983	55.197033	40.6175	-47.198246	0.0051888013	570.9878611564636
37	207.73914	0.7711258	208.51025	206.968	225.44101	9.603565	244.29053	214.52354	400.0	400.0	40699	47.474007	3.7282004	55.79175	41.185936	-47.609245	0.004885438	583.4590737819672
38	214.9959	9.922986	228.0751	204.05185	226.89304	10.286953	247.74274	213.6657	400.0	400.0	41799	47.887966	3.7478557	56.349945	41.639942	-48.019814	0.005065058	596.8010447025299
39	214.4258	13.375947	233.32672	204.31175	229.07178	11.221811	250.27039	213.9552	400.0	400.0	42899	48.274925	3.7585995	56.8838	42.056282	-48.40392	0.005355192	610.8731205463409
40	222.14095	2.5277026	224.70636	218.70235	225.92378	6.9118476	240.4816	215.22615	400.0	400.0	43999	48.70441	3.7868614	57.34816	42.43207	-48.83032	0.0047801477	625.5243201255798
41	210.03822	1.5653992	211.60362	208.47282	224.78809	8.8063	242.8501	213.09248	400.0	400.0	45099	49.09107	3.7935638	57.824135	42.720512	-49.2146	0.0045077354	638.5603907108307
42	216.42867	11.638394	231.40662	203.03003	228.1805	8.351951	245.91643	215.69603	400.0	400.0	46199	49.442123	3.7971432	58.28575	43.073997	-49.56343	0.004973648	654.885171175003
43	210.14502	2.183074	213.22513	208.42233	225.63882	9.013546	252.29333	213.3118	400.0	400.0	47299	49.751003	3.7901776	58.70192	43.446762	-49.87122	0.0045323814	671.0381309986115
44	212.3459	8.09878	222.33049	202.49394	228.99698	10.498534	251.74034	214.29807	400.0	400.0	48399	50.043236	3.7788239	59.045734	43.84805	-50.161716	0.00429744	689.4303920269012
45	216.62726	11.248619	227.87587	205.37863	227.13606	10.931011	249.97604	213.78386	400.0	400.0	49499	50.363434	3.7881708	59.3402	44.127926	-50.48184	0.004177856	706.5645709037781
46	219.2545	6.132243	227.73624	213.44785	227.90852	8.953065	244.56818	213.55806	400.0	400.0	50599	50.68071	3.8029022	59.646706	44.41405	-50.79677	0.003865421	721.2643139362335
47	220.37895	9.308504	227.01906	207.2149	228.15015	9.472815	247.3365	215.08118	400.0	400.0	51699	50.959713	3.8046668	60.042774	44.71533	-51.07312	0.0037985607	734.9336104393005
48	220.69531	13.572412	237.22397	203.98006	228.68587	12.6004305	248.80797	213.33871	400.0	400.0	52799	51.23381	3.8112106	60.361523	45.01181	-51.345905	0.0036580337	749.4149615764618
49	212.8074	10.076241	222.88365	202.73117	226.9137	10.086995	247.70415	214.17851	400.0	400.0	53899	51.51275	3.8244674	60.77216	45.301117	-51.622456	0.0036816276	767.6682300567627
50	211.32147	6.5716424	216.50334	202.04915	230.12032	10.436202	248.30989	215.97794	400.0	400.0	54999	51.717587	3.8138382	61.10079	45.478664	-51.826294	0.0036325057	785.4355721473694
51	209.51208	7.4279046	218.56726	200.37326	225.69966	11.328569	252.92516	213.3721	400.0	400.0	56099	51.922146	3.8088546	61.388916	45.75211	-52.02915	0.0035721236	800.7429111003876
52	227.47237	9.433927	236.0395	214.33151	228.15657	9.709808	247.23117	214.44817	400.0	400.0	57199	52.154053	3.8167653	61.653633	45.94989	-52.259556	0.0035572993	814.7944078445435
53	202.36926	2.1446075	204.51387	200.22466	229.09286	9.12951	244.42842	213.805	400.0	400.0	58299	52.34964	3.8187118	61.860046	46.133133	-52.452805	0.0036190068	829.6103737354279
54	220.76485	6.681082	228.71436	212.36751	226.1785	8.146642	242.52762	213.08098	400.0	400.0	59399	52.535862	3.8118432	62.041534	46.391083	-52.63767	0.003428329	843.8144445419312
55	216.30132	1.5263804	218.41753	214.87444	227.12903	11.220248	253.02235	213.0684	400.0	400.0	60499	52.716537	3.8089917	62.221863	46.593388	-52.817566	0.0032430682	858.3547856807709
56	222.22789	0.6973788	223.18428	221.54115	225.80786	7.58496	238.55386	213.7226	400.0	400.0	61599	52.899326	3.8112519	62.40534	46.79164	-52.998196	0.0033014102	871.5041720867157
57	208.89423	0.50505066	209.39928	208.38918	223.68643	8.948648	246.36565	213.49687	400.0	400.0	62699	53.050747	3.8038979	62.560925	46.8696	-53.148743	0.0031408935	886.0096297264099
58	207.06049	4.6093464	213.46623	202.81169	228.13065	11.051951	250.8511	215.33835	400.0	400.0	63799	53.181854	3.7867997	62.6957	47.008762	-53.279495	0.0029165086	899.0240631103516
59	219.38763	8.091948	230.82082	213.24527	227.65372	8.289614	246.09225	215.1439	400.0	400.0	64899	53.300175	3.777255	62.9016	47.117046	-53.39656	0.0029607117	911.9496803283691
60	211.84795	5.273669	219.28789	207.67761	227.38797	9.034785	243.605	212.71198	400.0	400.0	65999	53.44006	3.7763908	62.984245	47.29804	-53.53542	0.002928544	925.9744436740875
61	223.13788	19.215218	242.3531	203.92267	228.4749	10.218716	251.6073	217.05548	400.0	400.0	67099	53.566307	3.7787688	63.21341	47.449886	-53.66032	0.0030106516	938.6467123031616
62	218.64403	12.1347885	227.45206	201.48486	226.21558	9.831813	251.58528	212.41766	400.0	400.0	68199	53.730404	3.8049524	63.329002	47.561836	-53.823566	0.0029420492	952.5858566761017
63	203.74187	3.3280828	207.93845	199.79811	229.07596	8.642637	244.38383	215.58846	400.0	400.0	69299	53.821514	3.7921624	63.520145	47.688972	-53.913982	0.002871114	966.3460907936096
64	213.46777	15.044981	234.60002	200.7573	224.76018	8.352738	248.218	212.61513	400.0	400.0	70399	53.922855	3.7935445	63.618885	47.816242	-54.01323	0.0027020173	980.0664949417114
65	215.43263	9.890915	225.32355	205.54172	233.1169	10.661746	250.72502	214.9592	400.0	400.0	71499	54.028835	3.7909148	63.808567	47.92475	-54.119114	0.0028090212	994.9763808250427
66	209.35588	5.469089	215.54877	202.24664	225.47473	8.2441845	237.81148	212.1116	400.0	400.0	72599	54.110912	3.7803879	63.943462	48.02163	-54.200336	0.0026710413	1008.7705156803131
67	216.86195	4.620307	222.74525	211.4584	230.5812	9.452029	245.68901	217.04202	400.0	400.0	73699	54.201736	3.7714937	64.049545	48.15833	-54.290222	0.0028136896	1022.2504193782806
68	215.40778	7.5171723	225.84108	208.42435	229.0057	12.950843	253.58017	212.56354	400.0	400.0	74799	54.27391	3.7594903	64.16827	48.173546	-54.36102	0.0027064478	1036.910901069641
69	206.43692	5.018654	211.45558	201.41827	229.93806	10.238465	248.19733	213.36717	400.0	400.0	75899	54.337055	3.7494574	64.29642	48.280415	-54.422653	0.0025808234	1052.6098132133484
70	211.84038	10.278814	225.70082	201.11581	228.79092	10.650072	249.42114	213.27225	400.0	400.0	76999	54.403885	3.754701	64.379616	48.410767	-54.48507	0.0024246068	1067.4228994846344
71	214.43054	9.550068	227.2668	204.3753	229.99239	12.559682	254.01457	213.67856	400.0	400.0	78099	54.44222	3.7453473	64.52109	48.496605	-54.519604	0.0025152913	1082.8275628089905
72	210.28099	11.92623	227.14392	201.56073	226.55142	10.086143	246.01166	211.533	400.0	400.0	79199	54.475418	3.7390752	64.54212	48.590546	-54.549656	0.0025738978	1096.9701693058014
73	219.88837	4.0228043	223.91116	215.86555	230.1556	9.42013	253.35591	214.80177	400.0	400.0	80299	54.524647	3.7394786	64.632195	48.99936	-54.59455	0.0024487106	1113.1683349609375
74	213.59355	3.7820249	218.92928	210.60464	227.47635	9.289305	246.16487	215.18742	400.0	400.0	81399	54.553944	3.733174	64.684006	49.135128	-54.61875	0.0022697735	1129.6414844989777
75	211.61584	6.410731	220.55522	205.83781	223.97385	8.182148	244.69745	215.04175	400.0	400.0	82499	54.559982	3.7147422	64.77644	49.20443	-54.62044	0.0022321881	1147.1905934810638
76	209.98785	9.070366	221.49687	199.32782	227.51321	10.55748	249.94594	212.35803	400.0	400.0	83599	54.54296	3.6865578	64.82334	49.267334	-54.598457	0.0020578331	1165.8444368839264
77	204.82028	1.6338806	206.45416	203.1864	225.54129	7.745766	241.5201	212.82578	400.0	400.0	84699	54.52322	3.6622667	64.88368	49.36641	-54.574253	0.002043669	1185.6060750484467
78	216.14598	10.160433	223.49132	201.77817	228.7922	7.132382	240.84247	214.98961	400.0	400.0	85799	54.51371	3.6432095	64.908104	49.432453	-54.55988	0.0019599858	1201.9741184711456
79	220.29651	7.334984	226.02165	209.94261	226.46024	10.111562	248.09334	212.72704	400.0	400.0	86899	54.52497	3.6244247	64.9176	49.48908	-54.566742	0.0018983355	1216.8121614456177
80	227.32689	5.599675	231.62825	219.4179	226.23007	8.909708	249.9513	213.08359	400.0	400.0	87999	54.54368	3.6153636	64.903145	49.548615	-54.580902	0.0017276326	1232.1565279960632
81	204.55228	4.141403	208.69368	200.41087	227.44632	8.592343	244.33185	212.61458	400.0	400.0	89099	54.56328	3.6137521	64.96156	49.63479	-54.59758	0.0018385543	1245.0322573184967
82	218.2351	9.921917	229.05457	205.08774	225.51067	9.477735	243.98894	213.08409	400.0	400.0	90199	54.587254	3.6174645	64.982544	50.291588	-54.617485	0.0016962558	1259.7511439323425
83	217.43831	10.3643675	226.17244	202.8773	227.48848	9.40025	242.85686	213.43228	400.0	400.0	91299	54.61072	3.616304	65.03532	50.302032	-54.639114	0.0017173112	1277.8698389530182
