Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	68.79572	45.153557	113.94928	23.642166	-171.37886	6.1897664	-156.12352	-178.34705	400.0	400.0	1099	1.1201147	0.069001384	1.4589285	0.86559314	-1.1259885	0.041811414	2.9669241905212402
2	43.14822	103.45678	188.6439	-42.94929	191.02759	85.542915	332.62323	54.89981	400.0	400.0	2199	1.6130803	0.8604008	4.381312	0.064389125	-1.6710546	0.017375456	12.588197469711304
3	-18.852587	35.497547	25.04348	-61.89482	184.97183	94.492836	336.37753	51.941833	400.0	400.0	3299	2.4279072	1.9746162	7.914828	-0.54508173	-2.6194627	0.0026749615	21.844760417938232
4	-5.9941177	43.79064	50.858646	-55.686737	234.06058	101.0758	335.0007	50.109074	400.0	400.0	4399	3.5170317	2.8085337	11.036575	-0.68969226	-3.7129214	0.003614766	31.102692127227783
5	-2.2388687	22.627394	20.388525	-24.866262	212.9676	94.66852	322.17853	48.273506	400.0	400.0	5499	4.2306757	3.5860162	13.972844	-0.73915124	-4.432616	0.0052054427	40.982460737228394
6	124.131905	19.209963	145.5011	98.91967	218.11096	88.583984	326.16675	54.676216	400.0	400.0	6599	6.016806	4.5917544	16.662569	-0.71687376	-6.22553	0.006601657	49.99200415611267
7	64.21053	85.126915	132.07973	-55.835724	231.60559	84.385826	322.59897	43.395287	400.0	400.0	7699	7.774913	5.575035	19.110596	-0.6152782	-7.9921203	0.009020011	59.53934693336487
8	-17.367878	53.93886	58.90992	-56.11826	281.8283	38.01667	327.23276	161.84259	400.0	400.0	8799	9.000514	6.3637633	21.382729	-0.47449678	-9.226624	0.01069718	68.7891948223114
9	-32.08681	0.12457752	-31.962233	-32.211388	251.70718	66.9585	323.9532	92.66232	400.0	400.0	9899	9.471723	7.0569634	23.513638	-0.33899182	-9.706266	0.012222799	79.6063482761383
10	82.45273	33.48433	129.80661	58.686134	235.31145	75.85915	326.81406	59.7972	400.0	400.0	10999	10.883832	7.7990837	25.588741	-0.2339411	-11.126319	0.013855165	89.31721329689026
11	-12.411865	62.588413	74.9355	-68.48684	263.2093	65.3074	340.93936	76.59092	400.0	400.0	12099	11.653018	8.490403	27.452639	-0.3459099	-11.903565	0.016027024	99.08441138267517
12	152.71889	19.139627	169.92615	126.020485	222.8248	58.59753	299.96344	77.912895	400.0	400.0	13199	13.388907	9.364374	29.337097	-0.30804205	-13.651027	0.022848763	109.83766055107117
13	60.828163	74.12351	134.95168	-13.295352	267.5309	33.31829	311.0833	204.23143	400.0	400.0	14299	15.035655	10.063567	31.162598	-0.3057664	-15.298974	0.020559551	118.91546535491943
14	10.831063	43.654606	69.03725	-36.09385	263.5492	54.839554	315.62503	82.776924	400.0	400.0	15399	15.9889145	10.514101	32.91308	-0.2283853	-16.250399	0.025547218	128.05237817764282
15	302.06277	13.396827	316.88025	284.42935	280.78195	39.61466	323.75378	180.04927	400.0	400.0	16499	17.628712	11.323915	34.988136	-0.18135563	-17.881832	0.027621804	136.71183252334595
16	271.7604	57.312614	317.48688	190.94098	242.55405	78.20373	331.69214	33.681786	400.0	400.0	17599	19.736368	12.238305	37.29303	-0.04422918	-19.981056	0.02707448	145.9776840209961
17	290.0802	6.6431274	296.72333	283.43707	283.91342	46.135406	335.92007	138.63916	400.0	400.0	18699	21.726395	13.070822	39.50208	0.019862473	-21.962421	0.029897207	155.1009123325348
18	232.63135	83.52642	293.86273	114.53405	259.40363	56.211166	318.38397	122.10101	400.0	400.0	19799	23.420544	13.844014	41.762817	0.16020244	-23.650383	0.032740694	165.0041332244873
19	198.08058	113.68752	322.39246	47.622917	277.59613	52.58681	334.96436	167.1108	400.0	400.0	20899	25.037754	14.603217	43.84769	0.33029085	-25.260912	0.033541586	175.0117588043213
20	259.71506	57.005344	324.24713	185.6026	277.14685	52.423897	332.36575	141.76405	400.0	400.0	21999	26.836134	15.346307	45.88843	0.514972	-27.055231	0.035997696	184.03685688972473
21	311.80618	9.258972	321.06516	302.5472	274.5712	53.21814	333.16806	132.86263	400.0	400.0	23099	28.657835	16.021055	47.898922	0.7378228	-28.872494	0.03747802	193.84583449363708
22	286.63516	33.560005	324.3009	242.7947	275.6797	53.840717	327.82596	142.79378	400.0	400.0	24199	30.65044	16.650793	49.67381	0.90588355	-30.861015	0.038718086	202.49093985557556
23	315.47754	4.8637943	320.17523	308.77744	257.9937	55.367435	327.63104	149.48633	400.0	400.0	25299	32.587997	17.230804	51.34473	1.1415834	-32.7933	0.042778492	211.86247277259827
24	277.46762	48.07842	316.37985	209.72401	266.55878	38.167664	328.25385	176.11766	400.0	400.0	26399	34.397564	17.732025	52.977127	1.3854234	-34.59938	0.044404536	221.29130053520203
25	261.82562	54.534004	316.35962	207.29161	259.8878	57.524788	328.4823	134.0375	400.0	400.0	27499	36.047325	18.182083	54.429523	1.6518381	-36.24535	0.0473229	231.3237109184265
26	289.24176	36.850597	317.97562	237.22217	284.58197	38.133274	330.74496	159.47745	400.0	400.0	28599	37.690605	18.55772	55.83447	1.864539	-37.884007	0.050602585	241.36030507087708
27	219.60942	19.903507	246.35327	198.63493	264.44293	45.94622	327.84656	182.86732	400.0	400.0	29699	39.067486	18.904451	57.200153	2.0768023	-39.257896	0.05147381	251.03753519058228
28	224.86072	53.42923	284.63092	154.9423	259.99115	58.632355	335.92123	122.342995	400.0	400.0	30799	40.349857	19.225368	58.45186	2.2415206	-40.535046	0.050412793	260.4080545902252
29	300.0125	5.783951	305.79645	294.22855	267.15976	50.658054	333.74377	162.32852	400.0	400.0	31899	41.85297	19.456308	59.63852	2.354653	-42.03478	0.05195413	269.8431875705719
30	296.6253	10.774201	310.41992	284.12384	267.0771	54.012596	330.74887	141.38057	400.0	400.0	32999	43.32014	19.697432	60.723732	2.420664	-43.498425	0.05039013	279.26345682144165
31	287.8899	19.681686	314.25516	266.9802	248.71793	64.625916	329.00522	105.111755	400.0	400.0	34099	44.81328	19.835733	61.85248	2.4497612	-44.98742	0.053562243	288.5537350177765
32	280.3157	48.2343	314.51117	212.10219	268.5335	49.63916	328.86218	172.70714	400.0	400.0	35199	46.01929	20.032145	62.872875	2.4220686	-46.188454	0.05417719	299.6430330276489
33	259.2219	9.79435	269.01624	249.42754	283.44623	49.074696	333.5684	178.43849	400.0	400.0	36299	47.33843	20.127188	63.85231	2.423751	-47.50226	0.05357653	308.55467104911804
34	238.25627	17.681376	253.43776	213.4583	285.06287	44.278866	342.13245	179.52663	400.0	400.0	37399	48.34365	20.243853	64.81432	2.500927	-48.50468	0.05569812	319.6651895046234
35	283.68262	4.8797913	289.98096	278.09076	263.4853	46.922543	331.44705	159.58438	400.0	400.0	38499	49.45362	20.333212	65.744026	2.5598233	-49.61062	0.053837184	329.305810213089
36	267.8967	38.62631	296.92877	213.30771	283.61548	40.298218	336.87573	206.28442	400.0	400.0	39599	50.57239	20.383343	66.61745	2.5193303	-50.727486	0.055724077	340.2617208957672
37	290.41153	11.926056	302.3376	278.48547	283.74768	46.031616	336.51508	186.56776	400.0	400.0	40699	51.594482	20.442253	67.42259	2.5325875	-51.747208	0.05593186	349.7185056209564
38	229.11128	24.121502	258.96793	199.8929	297.08945	34.672085	341.49255	222.58928	400.0	400.0	41799	52.503212	20.492258	68.23509	2.585046	-52.653557	0.05796681	358.93679666519165
39	257.26865	16.091082	273.88107	235.49377	289.32617	46.4956	337.06998	174.74057	400.0	400.0	42899	53.390484	20.528334	69.010864	2.5521202	-53.537918	0.05104741	368.2638568878174
40	287.8016	22.724918	317.4593	262.25134	271.89496	46.820557	334.98077	177.17928	400.0	400.0	43999	54.385674	20.47194	69.68765	2.5791924	-54.532444	0.049984943	378.0568993091583
41	260.7633	46.016678	306.77997	214.74661	286.49872	46.85266	340.40244	175.70708	400.0	400.0	45099	55.23061	20.447712	70.382484	2.5384984	-55.37527	0.051884443	388.0902690887451
42	259.00473	42.226757	290.99802	199.33919	301.59082	22.507282	337.1992	271.13046	400.0	400.0	46199	55.95098	20.48125	71.04007	2.6434944	-56.09548	0.05538186	398.90464520454407
43	228.63982	66.46535	307.9782	145.31827	292.1561	37.290367	342.34622	209.39006	400.0	400.0	47299	56.62984	20.525452	71.62362	2.625633	-56.77381	0.054479904	409.3179519176483
44	296.51767	11.088081	306.26483	281.00626	285.56683	46.724426	342.1893	189.58916	400.0	400.0	48399	57.43474	20.445398	72.20106	2.6880765	-57.57929	0.0563688	419.3935739994049
45	271.40027	16.750755	288.15103	254.64952	291.4505	46.674606	335.5907	181.01501	400.0	400.0	49499	58.2145	20.320864	72.741196	2.6880686	-58.359547	0.05432797	428.8640158176422
46	269.0353	36.039726	319.9624	241.8067	298.85632	33.046906	331.74274	222.92607	400.0	400.0	50599	59.01321	20.144331	73.26659	2.6789122	-59.1564	0.052022435	438.59026741981506
47	284.63773	3.272632	289.0021	281.12164	293.41583	32.169205	333.7668	210.09184	400.0	400.0	51699	59.813755	19.925741	73.75176	2.671485	-59.957928	0.051181596	449.61909317970276
48	298.38974	23.709757	329.15402	271.4578	277.7798	49.904385	334.00195	174.25496	400.0	400.0	52799	60.54287	19.74361	74.258224	2.5717762	-60.684418	0.054097395	458.964154958725
49	281.83438	30.32418	312.15857	251.51021	286.75296	41.758503	327.00336	168.86621	400.0	400.0	53899	61.19315	19.594261	74.73305	2.5150187	-61.331093	0.054076992	469.74975061416626
50	268.178	4.8532743	273.01074	261.54086	288.24847	27.35116	329.5507	225.42934	400.0	400.0	54999	61.82759	19.436314	75.159996	2.5224977	-61.96487	0.052360952	479.36210584640503
51	284.86526	34.204327	310.47253	236.52145	275.87247	34.6827	331.0308	195.30927	400.0	400.0	56099	62.433002	19.291939	75.58237	2.5024743	-62.567913	0.048879	489.52662467956543
52	274.65662	32.890488	314.9818	234.41704	288.32916	45.80466	343.50317	182.37668	400.0	400.0	57199	62.98243	19.131943	75.97288	2.4821882	-63.115013	0.051238686	500.3767056465149
53	272.57272	33.525963	306.0987	239.04677	287.8306	45.53622	331.88437	182.70819	400.0	400.0	58299	63.54126	18.978306	76.3495	2.5182953	-63.67037	0.049646877	510.01151990890503
54	281.4646	18.9253	301.5482	256.10165	279.5941	34.9412	332.74945	200.70976	400.0	400.0	59399	64.0607	18.844711	76.721756	2.5798578	-64.18752	0.04801849	520.8487095832825
55	295.49496	20.018509	312.90613	267.4568	287.43536	34.412502	331.6041	229.31375	400.0	400.0	60499	64.57421	18.724056	77.07758	2.7157605	-64.70006	0.050329983	530.6654813289642
56	294.13278	29.669767	319.32788	252.47755	302.75186	43.10163	341.95612	168.15778	400.0	400.0	61599	65.063896	18.576488	77.41528	2.8355923	-65.18849	0.05035851	540.3459544181824
57	269.09293	22.282784	291.3757	246.81013	286.403	30.49243	322.888	212.7731	400.0	400.0	62699	65.51156	18.504221	77.74685	2.8951273	-65.63342	0.05279459	548.867297410965
58	287.8781	22.034979	316.30188	262.6038	280.25616	47.865902	331.1572	179.90746	400.0	400.0	63799	65.9099	18.42882	78.03326	3.0352175	-66.028725	0.04884484	559.6925821304321
