Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	85.63453	49.75112	135.38565	35.883408	-137.1802	36.74232	-47.67332	-176.2507	400.0	400.0	1099	-0.2614932	0.36783	2.9747193	-18.723547	0.24944696	0.04968575	2.914105176925659
2	15.743947	76.41625	123.80267	-39.5699	128.07619	63.09703	206.45645	44.126312	400.0	400.0	2199	0.4163184	1.0428799	10.294379	-7.59228	-0.5982262	0.0058051236	9.998518466949463
3	39.47877	69.14348	137.13483	-13.67385	112.15438	63.78625	281.64755	45.87717	400.0	400.0	3299	1.8319933	1.8161566	8.0734825	-4.1928062	-2.0684097	0.0044293897	17.49128007888794
4	2.1622684	74.424065	107.183365	-56.37647	124.138145	65.34975	276.69305	43.39894	400.0	400.0	4399	3.3641903	2.8052669	13.4709835	-17.666122	-3.6087341	0.015439605	24.590125799179077
5	46.42867	63.764286	110.192955	-17.335615	141.17334	88.253716	316.6149	43.522404	400.0	400.0	5499	4.615963	3.6418502	14.928513	-3.7037265	-4.865763	0.00663131	31.478461265563965
6	49.340076	77.05287	113.6566	-58.99729	121.78479	73.14253	293.8007	41.780647	400.0	400.0	6599	6.1098256	4.6257176	18.481606	-7.357029	-6.3629823	0.012582712	39.91510486602783
7	46.87824	56.918285	127.22739	2.514706	122.95536	68.5581	254.1831	46.593594	400.0	400.0	7699	7.813449	5.258439	21.623154	-4.4547715	-8.067404	0.012723657	48.605144023895264
8	36.549225	43.445885	97.9902	5.560017	168.10526	92.373886	300.78928	50.63725	400.0	400.0	8799	9.565846	5.935766	24.587936	-7.4286127	-9.820865	0.018708125	55.473692893981934
9	48.98621	86.390076	135.37628	-37.403862	181.27545	110.08946	315.31702	50.512596	400.0	400.0	9899	10.962087	6.559828	27.611814	-8.894574	-11.217629	0.023911098	64.49677658081055
10	52.30068	53.03711	117.36994	-12.543333	231.35776	90.444435	324.10315	50.520924	400.0	400.0	10999	12.235287	7.0981846	30.089443	-6.209179	-12.494355	0.027637128	71.28922080993652
11	-7.1403756	47.666252	59.874104	-46.964417	194.38852	88.28394	285.0062	63.1018	400.0	400.0	12099	13.364687	7.8093553	32.77104	-13.027703	-13.624657	0.039887466	78.38056468963623
