Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	3.6667995	55.666878	59.33368	-52.00008	97.02611	20.907696	124.720276	51.100918	400.0	400.0	1099	-0.13090503	0.2232084	0.7269011	-0.5095273	0.11518042	0.030983075	7.088395357131958
2	105.1355	117.17875	191.07462	-60.54159	148.58272	98.30363	338.365	36.3576	400.0	400.0	2199	0.33825213	1.1932406	3.8731472	-1.3477168	-0.41537017	0.015221153	22.2001953125
3	61.74068	36.995632	104.57992	14.309235	196.48048	105.33473	326.53882	46.320007	400.0	400.0	3299	2.206572	2.2183309	7.5077963	-1.3383005	-2.3923402	0.0038160875	36.94473695755005
4	81.95406	45.420403	117.614456	17.855387	198.42459	96.587524	324.06583	52.95146	400.0	400.0	4399	4.076971	3.0200498	11.297336	-1.0987284	-4.2726307	0.003893857	51.14027953147888
5	85.78523	85.7085	171.49373	0.07673087	206.59648	101.44961	324.01746	51.859253	400.0	400.0	5499	6.101872	3.9653294	15.007736	-0.96928406	-6.3074856	0.00603229	68.90453052520752
6	-21.348993	8.427045	-14.749714	-33.242805	176.6397	103.52416	315.54343	40.774105	400.0	400.0	6599	7.1353545	4.9087887	18.593187	-0.8592089	-7.348879	0.008965529	84.30634641647339
7	85.98028	99.39324	176.27933	-52.45959	238.5087	72.652176	313.9739	36.803787	400.0	400.0	7699	8.46701	5.991255	22.07186	-0.7193553	-8.688692	0.014130912	101.31907296180725
8	58.98227	29.79618	87.49446	17.855934	218.88403	96.55979	305.96008	40.0814	400.0	400.0	8799	10.164913	6.929133	25.345842	-0.541435	-10.396239	0.0236725	123.84024572372437
9	106.400955	5.931736	112.332695	100.46922	250.83565	55.382423	298.74435	65.39256	400.0	400.0	9899	11.872437	7.674358	28.493195	-0.35482866	-12.113173	0.029573854	142.11860990524292
10	84.32392	58.251007	134.1298	2.594047	232.14865	71.5694	305.40506	50.763855	400.0	400.0	10999	13.894964	8.503803	31.57656	-0.15080385	-14.148608	0.04097105	164.8385009765625
11	0.5379359	72.17863	102.61212	-51.024597	189.85066	86.46527	286.97748	48.134487	400.0	400.0	12099	14.937397	9.45403	34.173977	0.12050089	-15.203838	0.047118314	185.8697419166565
12	9.754254	75.443985	116.44101	-44.659485	205.97653	70.58431	277.10938	49.712402	400.0	400.0	13199	16.117426	10.309684	36.611206	0.36616495	-16.398067	0.05482571	196.9105589389801
13	20.66976	64.42076	85.09052	-43.751003	204.92465	76.9763	283.26944	58.38422	400.0	400.0	14299	16.935642	11.106782	38.993797	0.10259923	-17.218023	0.05528712	207.26793813705444
14	-34.36303	39.365562	20.979055	-67.26968	213.66678	77.068954	299.5316	44.755314	400.0	400.0	15399	17.265278	12.068795	41.123688	-0.06402067	-17.543703	0.057338215	217.2494773864746
15	185.44917	105.67728	294.9598	42.619484	241.8116	86.14048	312.10175	40.256657	400.0	400.0	16499	18.465328	12.999223	43.214317	0.11704784	-18.732658	0.05835341	226.52470517158508
16	238.76917	92.06449	309.79504	108.75594	244.5124	78.53461	325.158	48.62845	400.0	400.0	17599	20.430508	14.16928	45.111546	0.32605368	-20.683352	0.057227116	236.96054363250732
17	291.46124	30.262222	321.72348	261.19904	237.76453	81.66936	311.59692	41.174305	400.0	400.0	18699	22.625446	15.212855	47.085712	0.49410188	-22.868595	0.057377215	247.2002866268158
18	281.2179	25.208332	300.88446	245.6337	260.16956	80.72562	331.65323	47.726833	400.0	400.0	19799	24.975185	16.164795	49.01345	0.62145895	-25.210115	0.057561256	257.58638739585876
19	233.97046	47.44762	271.11383	167.00256	260.28412	71.72549	339.9188	42.99046	400.0	400.0	20899	26.987354	16.866058	50.947803	0.7913659	-27.215528	0.058614016	267.1173348426819
20	306.725	22.21579	329.34933	276.53384	262.15564	79.500595	343.50644	40.060722	400.0	400.0	21999	28.93134	17.5258	52.669605	0.92878616	-29.155504	0.060411833	277.0255661010742
21	273.15112	39.633224	312.78436	233.51791	272.3289	63.117496	341.62665	52.503387	400.0	400.0	23099	30.996033	18.176567	54.468216	1.0814039	-31.215952	0.0636712	286.0796422958374
22	216.50641	128.28098	312.59525	35.19827	258.52554	75.698586	338.11163	78.5829	400.0	400.0	24199	32.440025	18.797373	55.977783	1.2508209	-32.65364	0.06466812	296.7262234687805
23	200.97362	41.173256	235.55476	143.11256	260.3592	82.38757	340.0005	44.658897	400.0	400.0	25299	33.891205	19.289762	57.500145	1.4348952	-34.09942	0.06881558	305.33834958076477
24	289.42105	16.29592	312.39706	276.3797	278.90094	57.979027	342.08887	92.851105	400.0	400.0	26399	35.457226	19.703983	58.948715	1.5993465	-35.660732	0.06661905	314.2912986278534
25	263.95297	36.022217	299.9752	227.93076	280.1659	45.846493	335.99414	174.03511	400.0	400.0	27499	37.195396	20.09515	60.374947	1.7460985	-37.395313	0.06898898	322.432133436203
26	243.87471	101.1014	325.4858	101.39834	251.96024	65.475746	332.96146	98.78	400.0	400.0	28599	38.75845	20.494263	61.493294	1.9139574	-38.95418	0.06869562	331.45571279525757
27	199.30315	77.37745	269.8503	91.58491	268.1734	62.796337	339.9003	92.167915	400.0	400.0	29699	39.67012	20.868753	62.636333	2.0465012	-39.862194	0.07025561	340.77345728874207
28	280.2458	12.384149	297.42184	268.6933	255.4	87.39322	341.6	58.054882	400.0	400.0	30799	41.18917	21.10997	63.58444	2.1800683	-41.377945	0.071653485	351.3424563407898
29	281.59955	13.716263	295.3158	267.88327	268.66217	70.19681	341.2324	42.746098	400.0	400.0	31899	42.632664	21.325785	64.50684	2.3146343	-42.81576	0.06797562	361.5916106700897
30	240.78218	29.328398	281.40598	213.22368	281.71442	49.975143	343.69418	180.90495	400.0	400.0	32999	43.938904	21.476343	65.384995	2.4590642	-44.11947	0.06630263	371.31913781166077
31	299.08084	38.74397	326.56793	244.2887	262.87875	78.48444	342.67834	38.645008	400.0	400.0	34099	45.383827	21.64951	66.161644	2.639079	-45.559135	0.06905448	382.02041602134705
32	159.71167	79.00032	267.62274	80.69667	267.38397	66.63548	341.49203	122.03241	400.0	400.0	35199	46.180626	21.929075	67.016914	2.7429395	-46.352	0.06568909	392.7767584323883
33	256.31708	68.02666	324.34375	188.29044	272.84283	73.823784	342.94876	40.738007	400.0	400.0	36299	47.18634	22.101843	67.805405	2.9007084	-47.353737	0.06423832	400.975928068161
34	229.72852	34.082115	273.0042	189.71143	250.90552	76.82135	344.2425	80.21791	400.0	400.0	37399	48.118855	22.23063	68.69453	3.0768373	-48.284496	0.06304303	409.68985652923584
35	299.9086	8.116871	308.86743	289.2139	278.40573	53.465008	341.36145	124.455086	400.0	400.0	38499	49.251377	22.27961	69.53684	3.2330568	-49.413696	0.06211312	418.3789494037628
36	302.33945	26.85074	327.49335	265.12708	290.37152	55.386818	336.50345	84.294395	400.0	400.0	39599	50.482117	22.339518	70.26026	3.3994586	-50.6444	0.063544564	427.81464886665344
37	300.75745	6.581604	307.33905	294.17584	300.25946	25.456247	345.32327	257.49796	400.0	400.0	40699	51.64231	22.317915	70.93815	3.553669	-51.804638	0.063670486	437.4379286766052
38	286.4042	10.0943575	299.99844	275.83328	255.4573	56.523533	325.42535	68.50673	400.0	400.0	41799	52.754265	22.239258	71.66108	3.6360326	-52.916267	0.064015545	448.10162234306335
39	278.38428	19.626818	302.6425	254.57303	290.79266	28.735958	338.5484	226.41757	400.0	400.0	42899	53.77727	22.153646	72.33277	3.7204437	-53.939228	0.06037169	456.47384309768677
40	253.25294	13.379228	268.37512	235.84323	292.63242	27.890718	333.5884	227.87003	400.0	400.0	43999	54.724056	22.052753	72.94796	3.6269841	-54.882732	0.06284057	465.2846214771271
41	295.23718	10.717819	305.95502	284.51938	298.99203	26.51045	341.9897	256.2216	400.0	400.0	45099	55.63054	21.965693	73.53627	3.4976606	-55.78693	0.065653846	474.5704348087311
42	317.48727	7.980998	326.18326	306.90796	288.2096	67.947266	342.30792	26.70412	400.0	400.0	46199	56.674553	21.779497	74.07548	3.4831643	-56.831993	0.061728355	483.82068967819214
43	281.78845	15.818862	295.82074	259.68338	299.16055	25.8466	337.80786	253.14925	400.0	400.0	47299	57.57997	21.64126	74.608284	3.4020703	-57.740356	0.0641129	493.48142647743225
44	276.45602	13.587203	289.3235	257.6635	303.74033	27.856007	342.6543	228.90465	400.0	400.0	48399	58.38672	21.481483	75.11311	3.1936407	-58.546528	0.06361702	503.1995143890381
45	249.41887	4.546997	253.96587	244.87187	292.44598	38.952442	341.48087	197.6681	400.0	400.0	49499	59.13952	21.332457	75.57925	3.0183215	-59.29721	0.06308396	513.8958165645599
