Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	181.43098	17.821869	199.25285	163.60912	-240.33366	25.954308	-202.5339	-285.51584	400.0	400.0	1099	0.3645226	0.17992114	0.97959805	-0.25204623	-0.40952247	0.07390837	20.563854217529297
2	-4.1324615	147.72185	203.52345	-127.75642	229.75452	123.71405	301.3752	-72.80629	400.0	400.0	2199	0.8216157	1.5229312	4.6710377	-4.960292	-0.92841613	0.004582746	73.94603848457336
3	58.69258	109.64593	181.80539	-84.507996	98.2807	131.07808	279.96277	-163.02586	400.0	400.0	3299	2.01549	3.3910108	7.7574544	-6.1735415	-2.1524868	0.0078346515	123.48440861701965
4	79.10952	215.38303	261.4506	-223.36311	114.66689	148.26596	314.4854	-171.99791	400.0	400.0	4399	3.0415242	5.742345	13.125844	-9.017182	-3.1791167	0.01683788	164.4510624408722
5	134.95058	126.28748	261.23807	8.663092	244.03601	143.59023	325.77258	-159.2893	400.0	400.0	5499	5.639714	7.769945	16.747183	-10.866303	-5.782365	0.026725087	207.31096935272217
6	158.49544	63.79944	248.67352	110.8592	300.95447	34.33875	325.47318	211.7041	400.0	400.0	6599	7.6965437	9.230834	20.355413	-14.207983	-7.8474603	0.036445692	247.49050521850586
7	188.03734	97.39372	258.83478	50.32	305.75815	25.850637	327.71335	250.93848	400.0	400.0	7699	10.499696	10.579194	23.836918	-14.787842	-10.699841	0.048881568	287.56670331954956
8	153.0562	102.12524	271.24265	22.071966	300.98126	28.104	325.8389	245.6282	400.0	400.0	8799	13.011878	11.819857	28.37047	-16.816448	-13.243761	0.04951894	319.17926692962646
9	42.123253	225.58469	267.70795	-183.46144	305.357	20.35431	320.96002	265.79657	400.0	400.0	9899	14.388248	13.505041	31.563877	-18.702595	-14.653524	0.05795908	352.36035537719727
10	85.650055	131.80371	272.04358	-8.737902	296.81848	24.005634	314.8405	243.16516	400.0	400.0	10999	16.21266	14.448157	38.272923	-20.635862	-16.505394	0.055098	385.74720788002014
11	-95.38828	119.84999	65.85054	-221.25764	303.23325	9.316921	311.59653	274.08606	400.0	400.0	12099	17.199644	16.18765	36.834984	-25.418072	-17.518826	0.07092023	436.2963025569916
12	28.262152	127.24785	201.46193	-100.63905	293.9854	18.067474	314.15356	244.92848	400.0	400.0	13199	18.591738	16.884392	42.4705	-23.8199	-18.945549	0.07528728	482.48663997650146
13	114.2915	96.4242	210.7157	17.867289	290.47745	16.208618	302.37433	243.60466	400.0	400.0	14299	20.301167	17.30812	48.13271	-24.182022	-20.673714	0.070802055	531.1622951030731
14	236.94019	24.17762	271.08472	218.30286	296.24356	6.7567296	301.09573	269.9519	400.0	400.0	15399	23.088713	17.573341	45.54419	-23.721535	-23.478224	0.08439521	573.6052279472351
15	274.75528	34.482033	300.248	226.00746	277.53314	21.69253	294.367	203.96808	400.0	400.0	16499	26.102295	17.819263	47.31595	-24.395554	-26.492018	0.09924334	623.61843085289
16	289.0168	2.8401144	292.89005	286.15936	277.3907	15.908891	289.84027	235.43417	400.0	400.0	17599	29.276024	17.768486	51.72868	-24.381788	-29.656187	0.08107749	667.4667348861694
17	274.8194	2.2628021	277.08218	272.55658	267.9396	10.330373	279.51715	242.01505	400.0	400.0	18699	32.195534	17.577288	50.793213	-24.01967	-32.555378	0.07604372	694.8900451660156
18	259.44965	24.567375	280.7677	225.03163	274.31656	7.2867246	280.35074	246.94894	400.0	400.0	19799	34.790264	17.353523	53.057636	-23.3435	-35.129807	0.09588916	736.5280752182007
19	272.9585	8.529678	281.56897	261.33698	274.18842	8.625589	283.78534	250.52554	400.0	400.0	20899	37.20825	17.057543	54.599266	-22.413233	-37.52661	0.08683594	782.4550349712372
20	275.25558	3.4921005	280.09576	271.98605	268.49496	11.523378	278.8025	233.83948	400.0	400.0	21999	39.401848	16.801552	55.871933	-21.375278	-39.70131	0.07760441	812.4256327152252
21	276.5376	4.4398956	280.97748	272.0977	293.51328	12.807612	306.05573	256.93906	400.0	400.0	23099	41.410423	16.576025	57.47635	-19.436066	-41.70288	0.08410543	845.2056593894958
22	267.98587	18.12499	281.89474	242.38525	281.74188	20.195686	303.6869	227.93393	400.0	400.0	24199	43.35443	16.348768	58.151314	-17.447819	-43.65266	0.09168812	869.1802935600281
23	274.61368	33.19388	303.03207	228.0464	294.57996	24.85898	313.4593	230.41957	400.0	400.0	25299	45.170593	16.211012	59.369785	-16.091537	-45.464073	0.0709893	886.6004118919373
24	295.7295	11.266524	310.15036	282.65128	286.58902	21.842432	312.637	218.90273	400.0	400.0	26399	47.015434	15.92043	60.410236	-15.544148	-47.30017	0.073104	900.7203435897827
25	273.29712	42.481026	315.77814	230.81609	292.99277	19.302845	304.2487	213.79886	400.0	400.0	27499	48.630768	15.7043705	61.792885	-14.698318	-48.918118	0.0645591	913.6080586910248
26	273.42923	10.525109	285.87698	260.13733	275.69415	20.647484	293.8209	232.54776	400.0	400.0	28599	50.279366	15.457649	62.94866	-14.366089	-50.566986	0.084359065	926.2916736602783
27	269.0451	19.49079	291.11194	243.70688	284.04218	17.75645	296.26328	230.30623	400.0	400.0	29699	51.84888	15.243804	65.86388	-14.513667	-52.108803	0.095041506	936.1065156459808
28	293.81015	2.1285286	296.25372	291.06598	289.30463	13.022923	300.74115	250.79124	400.0	400.0	30799	53.183502	15.345387	65.727356	-15.891838	-53.40929	0.090970114	944.2302165031433
29	291.35968	6.8678436	298.22754	284.49185	297.17316	10.876565	304.54	270.96454	400.0	400.0	31899	54.328743	15.4764805	72.10996	-16.927082	-54.54727	0.15027304	952.7881500720978
30	300.88312	2.3631897	304.21796	299.0256	295.56784	20.65366	312.34225	240.62624	400.0	400.0	32999	55.476604	15.380839	69.09146	-16.662363	-55.70574	0.077855	961.3399305343628
31	277.47763	21.456081	299.625	248.44104	299.13165	21.338846	320.83054	258.17612	400.0	400.0	34099	56.60287	15.203577	71.937805	-16.601124	-56.838997	0.090925574	969.8864212036133
32	282.1025	30.584824	310.08652	239.54794	301.40482	21.523077	323.82776	259.67	400.0	400.0	35199	57.673485	14.942213	69.77463	-15.802541	-57.902466	0.10369363	978.3193664550781
