Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	262.9146	8.167404	271.082	254.7472	-245.76804	24.350796	-213.60909	-278.01456	400.0	400.0	1099	0.6562585	0.2469727	0.9533547	-0.003780678	-0.6661889	0.055648208	2.930433750152588
2	192.9727	61.342987	255.49467	109.62818	-256.2922	17.369991	-222.85712	-283.16486	400.0	400.0	2199	2.3856883	0.8920408	4.490719	0.8595314	-2.3907413	0.013562327	10.134406805038452
3	196.34569	86.19214	267.5863	75.06786	211.10979	12.069052	217.62387	175.08263	400.0	400.0	3299	4.986099	1.5521721	7.9075274	2.0962346	-4.994712	0.009837539	17.578129529953003
4	23.484446	159.22636	210.92879	-178.30261	207.24951	14.709065	217.59512	166.40172	400.0	400.0	4399	7.216631	2.6963365	11.244601	-0.78881204	-7.255034	0.010461604	24.880286693572998
5	255.83871	17.47702	273.31573	238.3617	207.13904	14.467327	217.6017	170.2197	400.0	400.0	5499	9.097588	4.6195884	14.381255	-3.578045	-9.130472	0.008617087	31.848345279693604
6	209.19505	59.40632	254.1567	125.25282	279.12192	23.519857	325.30887	229.2163	400.0	400.0	6599	11.342147	5.841314	17.367579	-6.138802	-11.421562	0.00651395	39.115190744400024
7	91.59432	199.25392	238.93443	-190.09343	299.347	17.192188	318.8831	251.58287	400.0	400.0	7699	13.40551	7.4687676	20.290457	-8.629257	-13.524683	0.0083641745	46.7179639339447
8	179.22087	103.72339	274.7071	35.043335	289.7203	29.83899	309.77777	213.00584	400.0	400.0	8799	15.4242325	8.694094	23.082392	-10.832689	-15.616431	0.01222289	55.77086138725281
9	46.696545	115.79401	162.49055	-69.097466	307.44748	16.314219	326.88834	253.0096	400.0	400.0	9899	17.81523	8.893673	25.783798	-11.766559	-18.068989	0.03331183	63.6652512550354
10	23.613192	174.30463	268.97363	-119.60599	289.56357	29.207668	327.8513	225.32701	400.0	400.0	10999	19.331377	9.825911	28.350834	-13.665197	-19.581518	0.029240046	71.6895158290863
11	215.00923	39.683945	269.38354	175.78885	293.19516	22.380255	327.60748	256.9201	400.0	400.0	12099	21.382067	10.468078	30.758162	-13.5978365	-21.576284	0.017100899	79.51596713066101
12	39.191757	75.11755	118.65207	-61.599964	298.9913	32.347427	326.43033	223.51625	400.0	400.0	13199	23.008242	11.161431	33.005215	-13.225323	-23.166695	0.013983324	86.88560438156128
13	-44.47207	20.198755	-24.273312	-64.67082	302.3376	28.8126	328.91855	231.15648	400.0	400.0	14299	23.574986	12.5205345	35.143288	-13.11425	-23.75217	0.019374108	95.91280436515808
14	26.771902	169.81993	266.90628	-96.42918	287.5197	23.620382	317.30435	244.51392	400.0	400.0	15399	24.091305	13.786313	37.145397	-13.458214	-24.298998	0.024811732	103.47944140434265
15	285.0226	36.56692	318.59103	234.1711	278.9122	40.957478	325.23572	196.2754	400.0	400.0	16499	26.049946	14.479289	39.120052	-14.103433	-26.26204	0.025703067	112.57653832435608
16	202.8949	6.907124	210.57852	193.82968	248.51128	40.114433	288.98166	142.62115	400.0	400.0	17599	28.177382	14.870205	40.987118	-14.329527	-28.394571	0.029803623	120.32212781906128
17	61.44709	28.836294	90.28339	32.610798	288.73776	46.536144	327.76727	174.14644	400.0	400.0	18699	29.8527	15.32747	42.787083	-18.67333	-30.085014	0.055481985	129.0893678665161
18	294.93253	6.058822	303.33322	289.27097	309.2591	20.382496	327.08224	254.02345	400.0	400.0	19799	31.776848	15.675259	44.542076	-19.276348	-32.030277	0.09380511	137.2637917995453
19	314.57056	2.0972927	316.83527	311.7795	284.52783	28.467688	318.9797	220.45683	400.0	400.0	20899	34.04441	15.704025	46.24648	-19.691732	-34.302013	0.1056375	145.45803427696228
20	291.42484	13.729305	310.83508	281.3048	289.226	21.946653	323.88687	250.73885	400.0	400.0	21999	36.218464	15.5914135	47.875126	-19.900154	-36.478695	0.13504365	153.0341248512268
21	280.5205	8.074783	288.5953	272.44574	278.28354	20.433582	320.38913	234.71361	400.0	400.0	23099	38.31251	15.3253565	49.403496	-20.149971	-38.57101	0.11608016	160.69394397735596
22	287.06638	7.9233646	298.19876	280.39478	264.36075	18.452276	304.35214	222.25993	400.0	400.0	24199	40.35383	14.948625	50.80313	-20.276255	-40.606377	0.123143226	168.8855459690094
23	271.27567	4.169211	276.96338	267.0861	267.5014	21.544193	309.01398	220.94926	400.0	400.0	25299	42.24726	14.503589	52.107857	-20.270086	-42.48708	0.122576915	176.01273441314697
24	250.4618	22.758	276.13638	220.81673	246.5055	25.505606	282.45563	196.35512	400.0	400.0	26399	43.941372	14.137457	53.316296	-19.996593	-44.16556	0.111118644	183.85598945617676
25	246.8233	0.3274002	247.15071	246.49591	250.29936	17.017397	278.19775	205.63132	400.0	400.0	27499	45.485508	13.815241	54.379288	-19.799114	-45.69655	0.108666755	191.7050483226776
26	277.74313	12.223553	294.66235	266.21304	258.47162	25.142313	310.78467	209.64273	400.0	400.0	28599	46.92775	13.490111	55.397804	-19.468079	-47.12927	0.09832989	199.28845357894897
27	271.3036	14.785189	291.49805	256.5116	278.88464	22.138702	309.75592	224.81996	400.0	400.0	29699	48.25314	13.21028	56.33141	-18.78194	-48.443466	0.084935024	205.9408938884735
28	266.85565	37.082306	301.09235	215.3348	292.2717	21.048296	312.33826	237.49733	400.0	400.0	30799	49.411797	12.996917	57.25656	-18.275248	-49.59343	0.07911367	213.91969776153564
29	308.67392	2.709381	311.3833	305.96454	295.714	23.810389	321.2677	226.74248	400.0	400.0	31899	50.60894	12.729187	58.161285	-17.675041	-50.781933	0.07229119	220.99097180366516
30	278.9985	23.509241	309.50616	252.29964	299.65796	22.05389	321.28287	255.12328	400.0	400.0	32999	51.68273	12.513413	59.0897	-16.463074	-51.851433	0.067890584	230.3015751838684
31	309.65405	3.280562	314.2673	306.9214	304.0364	19.42672	325.03403	263.26788	400.0	400.0	34099	52.7082	12.376184	60.0324	-15.61044	-52.87154	0.062274657	237.91792011260986
32	280.8695	25.315165	315.10873	254.69214	301.87292	20.640947	323.28235	256.2915	400.0	400.0	35199	53.69771	12.264871	61.069695	-15.267212	-53.865974	0.06450811	244.60215377807617
33	315.336	0.8312073	316.1672	314.5048	309.12775	18.649122	324.2741	258.69943	400.0	400.0	36299	54.73375	12.178861	62.044716	-14.733219	-54.903286	0.06472873	251.28496384620667
34	298.94852	11.409334	315.05276	290.03043	310.21274	18.484474	323.69785	264.72067	400.0	400.0	37399	55.689922	12.142114	62.91175	-13.958493	-55.856556	0.058555845	257.99027276039124
35	306.29642	11.254776	315.74457	290.47934	304.74255	21.880148	322.80634	241.91406	400.0	400.0	38499	56.634686	12.097582	63.77112	-13.512116	-56.795616	0.050753333	264.7951352596283
36	315.16763	1.0742744	316.4933	313.8621	300.14603	22.692852	326.26242	265.28326	400.0	400.0	39599	57.523033	12.081858	64.610344	-13.105117	-57.679764	0.05537323	272.27705335617065
37	268.7498	13.352234	282.10202	255.39755	307.28104	23.632875	326.066	247.20567	400.0	400.0	40699	58.359684	12.067435	65.41188	-11.986078	-58.511868	0.05808767	280.02055859565735
38	309.07907	12.018048	319.1557	292.18762	304.7339	23.607634	325.30325	255.9354	400.0	400.0	41799	59.16112	12.042202	66.14098	-11.578279	-59.309605	0.04979663	287.1749186515808
39	295.67355	30.102255	317.35046	253.10495	310.4852	16.128244	324.2518	262.5749	400.0	400.0	42899	59.90473	12.053467	66.881386	-11.616824	-60.05179	0.05098952	294.9548933506012
40	293.24066	30.195103	317.09833	250.6406	305.6442	19.887283	325.45102	270.262	400.0	400.0	43999	60.64975	12.036998	67.55669	-12.391507	-60.794304	0.05619683	302.76381278038025
41	295.81177	21.344742	317.15652	274.46704	300.55432	23.285128	324.9903	239.76468	400.0	400.0	45099	61.367134	11.992339	68.199	-11.856209	-61.510426	0.048564784	310.6081874370575
42	294.81308	22.958302	314.4852	262.60782	306.00397	20.526852	324.99857	261.51736	400.0	400.0	46199	62.032837	11.956216	68.808464	-11.715174	-62.17537	0.04810354	318.1266722679138
43	312.60782	4.57874	316.3746	306.16312	311.25024	16.705349	324.03552	260.73254	400.0	400.0	47299	62.760006	11.819713	69.38751	-11.256779	-62.899452	0.043098997	326.21853375434875
44	308.82016	6.2310624	316.58188	301.326	314.69073	12.012678	324.91226	284.92474	400.0	400.0	48399	63.36829	11.801967	69.92291	-11.301761	-63.50557	0.048018187	334.04248881340027
45	312.67343	3.574646	316.24808	309.0988	305.5022	23.23091	324.21628	250.13367	400.0	400.0	49499	63.981274	11.746491	70.44468	-11.193256	-64.11651	0.041751396	342.0609414577484
46	297.2549	19.723358	316.39572	270.11356	314.34866	12.68336	325.4753	287.10202	400.0	400.0	50599	64.62334	11.582841	70.92848	-11.171951	-64.756744	0.040158127	349.5313880443573
47	296.642	15.472774	316.2128	278.38028	302.84796	22.726967	324.42758	252.80574	400.0	400.0	51699	65.173965	11.537541	71.39426	-11.295292	-65.30597	0.04169483	357.31457781791687
48	301.46103	14.965879	318.21246	281.88226	310.06372	19.359688	324.50726	258.9239	400.0	400.0	52799	65.677666	11.50274	71.82679	-10.343266	-65.807755	0.041511074	365.1440055370331
49	289.53174	24.057861	313.5896	265.47388	308.94687	13.885187	324.94614	276.45486	400.0	400.0	53899	66.23734	11.367732	72.22002	-9.838661	-66.36518	0.038215864	374.47490334510803
50	308.9795	11.11501	317.5837	293.2848	305.85565	16.64319	325.3777	274.14862	400.0	400.0	54999	66.72928	11.301723	72.60721	-9.717962	-66.854645	0.03475666	382.36636209487915
51	296.29538	23.18241	315.50644	263.6825	306.88406	15.061499	325.24835	277.00146	400.0	400.0	56099	67.207535	11.239264	72.957726	-8.899502	-67.33034	0.038263045	390.0789008140564
52	296.6226	14.6242695	317.26605	285.21024	304.8545	21.374264	326.30298	250.26796	400.0	400.0	57199	67.65421	11.144673	73.30894	-8.463498	-67.77524	0.044346686	397.8200092315674
53	310.09738	7.5491333	317.6465	302.54825	309.7737	16.06449	325.88495	270.30276	400.0	400.0	58299	68.0964	11.079327	73.63139	-8.095814	-68.21442	0.03495317	405.99015069007874
54	312.40195	1.9426936	314.99417	310.31757	300.8537	21.544195	325.62506	247.96254	400.0	400.0	59399	68.50065	11.001408	73.93528	-7.575756	-68.618256	0.040454663	414.1819999217987
55	282.36606	10.627087	296.19562	270.3562	308.56653	13.798013	325.52585	288.0191	400.0	400.0	60499	68.896065	10.9253845	74.21355	-7.443788	-69.011635	0.0364115	422.4549250602722
56	299.90695	23.226025	317.7966	267.1054	307.07925	22.277784	325.96045	256.54764	400.0	400.0	61599	69.26665	10.835024	74.499306	-6.577486	-69.38185	0.037409484	430.6306777000427
57	294.34833	8.553375	302.9017	285.79495	311.45493	15.281791	325.0133	259.2521	400.0	400.0	62699	69.642654	10.739683	74.75944	-6.386015	-69.75504	0.03588354	438.0598478317261
58	298.7787	22.32603	318.25455	267.51877	315.5971	11.996479	325.39044	274.5347	400.0	400.0	63799	69.98435	10.66234	74.99636	-6.16828	-70.09486	0.034264103	445.9488732814789
59	288.50174	19.850445	303.29337	260.44278	307.46884	22.151703	325.25534	244.61403	400.0	400.0	64899	70.30628	10.556265	75.237	-5.827578	-70.41512	0.035727356	453.96245217323303
60	309.93027	5.6085634	317.1766	303.51392	307.66357	19.48173	324.83167	251.36494	400.0	400.0	65999	70.61381	10.483669	75.46832	-5.4402747	-70.721886	0.033966564	461.59688568115234
61	317.30463	0.76023865	318.06488	316.5444	304.66873	20.729786	325.06186	257.2215	400.0	400.0	67099	70.94059	10.36378	75.67758	-5.251955	-71.04681	0.034699786	468.30799198150635
62	292.1379	26.531569	316.33295	255.2042	302.0215	22.708052	325.03998	243.39375	400.0	400.0	68199	71.23813	10.26828	75.89408	-4.949492	-71.34359	0.03344594	477.5303068161011
63	305.9507	4.577124	311.99265	300.91818	315.86893	10.247184	324.93243	288.89502	400.0	400.0	69299	71.48576	10.23153	76.093575	-4.756262	-71.59057	0.03430385	486.4404263496399
64	313.0552	2.8833954	316.43124	309.3866	306.8853	21.93029	325.5489	256.44656	400.0	400.0	70399	71.75688	10.115906	76.271065	-4.078851	-71.859375	0.03245759	495.15191102027893
65	305.33157	6.678589	312.01016	298.65298	316.10455	10.410149	325.43677	289.42966	400.0	400.0	71499	72.01196	10.039352	76.46163	-3.7131414	-72.11216	0.032817278	502.93670654296875
66	312.52197	7.1534033	317.72882	302.407	305.88754	15.984603	324.39267	281.19507	400.0	400.0	72599	72.25858	9.978197	76.630424	-3.5194254	-72.35883	0.037779856	512.2367069721222
67	297.09793	22.569681	318.68015	265.94162	303.4959	24.040678	323.99875	242.90573	400.0	400.0	73699	72.48456	9.921544	76.797585	-3.174487	-72.582344	0.031218102	519.2339816093445
68	306.48492	14.081736	316.74957	286.57355	308.35245	20.591251	324.84256	252.90378	400.0	400.0	74799	72.70826	9.840827	76.95075	-2.8977754	-72.804726	0.031476147	526.8182015419006
69	277.4828	35.06044	312.5432	242.42233	310.35858	13.216001	325.68857	283.75348	400.0	400.0	75899	72.875725	9.835925	77.10114	-3.5412219	-72.96996	0.035266362	534.2438833713531
70	302.19333	17.752157	317.43405	277.29584	307.32953	19.954378	325.38788	244.46637	400.0	400.0	76999	73.08066	9.833754	77.23318	-3.5422866	-73.17388	0.03493063	541.8938949108124
71	306.82837	13.14808	317.4803	288.30353	306.42114	17.02607	324.32684	261.20624	400.0	400.0	78099	73.37479	9.710563	77.379616	-2.7437263	-73.46472	0.034529503	549.555520772934
72	305.89	9.840538	317.3825	293.347	299.79712	19.45127	325.1394	264.93155	400.0	400.0	79199	73.62864	9.635322	77.50997	-2.3889055	-73.71373	0.031973254	557.8081705570221
73	303.65918	4.683304	308.34247	298.97586	310.34232	17.440424	325.696	270.29245	400.0	400.0	80299	74.042175	9.125919	77.63992	-0.9967338	-74.121864	0.03102596	567.0908479690552
74	290.23154	19.403574	317.61118	274.9562	306.162	20.848179	325.48077	257.5127	400.0	400.0	81399	74.26994	9.068022	77.75984	-1.0465567	-74.34682	0.03503288	574.7912542819977
75	290.32318	5.2020354	295.2403	283.1256	304.9013	21.010212	323.02588	254.98135	400.0	400.0	82499	74.51424	8.853607	77.886246	-1.4198273	-74.58804	0.03640356	582.5085937976837
76	314.18494	3.9592662	317.39307	308.60663	309.27264	16.330578	325.72745	258.86377	400.0	400.0	83599	74.819756	8.514918	77.99434	-1.2155757	-74.88859	0.034361914	590.7311503887177
77	293.5951	23.527664	317.12274	270.0674	305.70163	22.114033	324.9218	243.19792	400.0	400.0	84699	75.11066	8.320825	78.09917	-1.8255483	-75.175156	0.033268377	598.2478504180908
78	295.17477	31.615377	318.04913	250.46791	311.00482	19.101624	325.73376	266.65167	400.0	400.0	85799	75.54206	7.606237	78.20753	-1.55643	-75.5987	0.037613526	605.8084378242493
79	316.31894	2.9774072	318.99136	312.16473	312.63742	13.447519	325.67108	266.98526	400.0	400.0	86899	75.86572	6.981296	78.31897	-1.4734976	-75.91751	0.03745697	613.4542171955109
80	308.51993	8.40138	317.4542	297.2698	309.19168	16.204945	326.35037	268.9064	400.0	400.0	87999	76.13225	6.7766995	78.42848	-1.2622453	-76.179474	0.032400712	620.9101016521454
81	311.42786	3.0422213	314.4701	308.38565	310.10684	16.195875	325.33685	279.70984	400.0	400.0	89099	76.56138	6.113305	78.52848	-0.94110334	-76.601204	0.029777953	628.6437702178955
82	310.1589	6.8475537	318.3694	301.6068	311.50064	18.307533	326.28204	263.81918	400.0	400.0	90199	77.05468	5.0577235	78.62248	-0.08495617	-77.08469	0.027124729	637.6839687824249
83	315.1004	4.4225307	318.39072	308.84888	307.9188	17.918308	326.6893	270.5117	400.0	400.0	91299	77.257095	4.754859	78.717125	0.6077286	-77.2851	0.02302823	645.3826286792755
84	306.69467	8.994841	318.8664	297.40762	314.50882	14.513207	326.67245	276.9603	400.0	400.0	92399	77.38904	4.6551085	78.80046	0.87596333	-77.415825	0.02537049	652.8059060573578
85	313.44122	4.6108704	318.0521	308.83035	308.8252	19.611534	326.5109	264.8712	400.0	400.0	93499	77.585014	4.269615	78.87448	1.3406713	-77.60901	0.023320295	660.7772812843323
86	310.03806	7.699989	319.37772	300.51923	315.75613	11.315898	326.22025	283.2409	400.0	400.0	94599	77.818924	3.3012571	78.9356	19.893549	-77.838264	0.01877673	668.5213668346405
87	305.59695	14.917348	316.80194	284.51456	315.57965	12.618488	326.72064	271.8257	400.0	400.0	95699	77.882195	3.3084705	78.99476	21.37071	-77.901146	0.022816243	676.2705564498901
88	297.28732	22.863413	317.32117	265.29114	312.08832	20.566744	325.96497	248.99875	400.0	400.0	96799	77.951515	3.27854	79.04502	21.953733	-77.96993	0.021283915	684.0531063079834
89	309.50763	4.3743134	313.88196	305.13333	300.9521	22.89131	325.79614	253.51553	400.0	400.0	97899	77.99998	3.3075013	79.08469	22.930038	-78.016914	0.018728405	691.8378577232361
90	315.15244	3.8016968	319.91428	310.6098	307.88495	22.054354	326.49597	250.71193	400.0	400.0	98999	78.05531	3.31357	79.12044	22.85377	-78.071266	0.0196127	699.3860378265381
91	317.3846	0.37743318	317.88153	316.96738	309.14243	17.837168	326.3942	268.28726	400.0	400.0	100099	78.10755	3.3234596	79.16494	22.882933	-78.12247	0.0192586	706.750242471695
92	282.8728	29.13568	317.74762	246.43166	311.92917	11.780567	326.3808	287.60773	400.0	400.0	101199	78.1619	3.286838	79.1893	22.93029	-78.17511	0.018294519	714.2269520759583
93	295.1483	20.600098	315.74838	274.5482	304.10138	19.760511	326.54742	261.77554	400.0	400.0	102299	78.1907	3.3834674	79.23085	22.927874	-78.20245	0.0219269	722.6675136089325
94	301.62686	16.476261	316.86972	278.74298	312.30493	15.713181	326.163	251.73093	400.0	400.0	103399	78.22757	3.4463823	79.27552	23.557077	-78.23765	0.019551214	730.407383441925
95	298.63608	16.524038	317.5398	277.28662	308.41397	19.034561	326.72345	262.8102	400.0	400.0	104499	78.25849	3.486409	79.31051	23.511967	-78.267235	0.020511478	737.9571197032928
