Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	93.05892	78.0873	171.14622	14.97162	-243.55075	21.000458	-213.38356	-280.33398	400.0	400.0	1099	0.22282428	0.12798332	0.6646915	-0.26502705	-0.23620729	0.13402964	2.608614444732666
2	139.44563	95.42436	269.35434	42.84463	208.51782	13.109558	218.50703	178.13347	400.0	400.0	2199	0.98525727	1.152961	5.064172	-2.6225317	-0.98992056	0.021802709	8.313785552978516
3	79.21203	158.17526	259.83322	-125.38377	208.90286	12.874856	218.49722	172.87177	400.0	400.0	3299	2.8852146	2.7553036	8.673678	-5.41996	-2.9073348	0.015894577	15.155058145523071
4	230.97551	31.888815	271.76297	193.91948	308.84912	10.335844	323.44406	288.37546	400.0	400.0	4399	4.3537736	4.4393086	12.249434	-7.803825	-4.399716	0.020714648	20.592968463897705
5	267.76447	3.6645966	271.42908	264.09988	295.73312	17.684933	312.46	247.39825	400.0	400.0	5499	7.3480253	5.9640517	15.713458	-9.43895	-7.4288683	0.021519251	26.100969791412354
6	-33.665234	210.39638	262.2146	-208.832	304.84714	24.336987	324.0896	236.9363	400.0	400.0	6599	8.27615	8.448305	19.020111	-10.819728	-8.391049	0.02372359	31.471402406692505
7	82.9827	148.48315	214.21582	-124.5996	290.8488	25.520578	319.23282	229.20306	400.0	400.0	7699	9.571344	10.0787325	22.285873	-11.93597	-9.7162285	0.022595434	38.40568685531616
8	252.12933	27.311424	271.82254	213.50768	304.0301	28.91719	327.8883	215.82289	400.0	400.0	8799	12.0750065	10.897182	25.375551	-12.80654	-12.228164	0.020267475	45.5729124546051
9	-35.65599	183.75778	148.10179	-219.41377	279.8928	54.510925	328.7537	166.39178	400.0	400.0	9899	13.768928	12.63292	28.394924	-15.537258	-13.924681	0.022188867	53.96591591835022
10	239.16463	32.55316	271.3148	194.55293	299.45145	30.710537	329.14056	232.40987	400.0	400.0	10999	15.806216	13.776972	31.25517	-16.487831	-15.957462	0.022699872	60.9152250289917
11	54.839905	202.63097	273.9727	-214.64702	310.9532	26.113998	329.16467	213.17412	400.0	400.0	12099	17.134832	15.593445	34.070995	-17.896576	-17.284027	0.024813555	67.69603872299194
12	176.40497	85.56807	266.21796	61.262703	310.9792	15.601361	323.80792	255.88406	400.0	400.0	13199	18.980427	16.668774	36.386257	-19.253647	-19.134895	0.02797099	74.45913648605347
13	151.1948	90.5877	241.78249	60.607094	295.2156	27.623735	322.98972	239.32027	400.0	400.0	14299	20.819992	17.514046	38.819553	-20.828854	-20.986174	0.031246705	81.08892583847046
14	273.22018	2.1157491	275.5859	270.45078	303.72345	21.184416	327.05463	252.86359	400.0	400.0	15399	23.101593	18.234114	41.030586	-22.058315	-23.277683	0.034556415	87.63150572776794
15	262.66586	4.835996	268.29587	256.4882	301.07416	30.634113	328.89905	234.68323	400.0	400.0	16499	25.420876	18.739021	43.10351	-22.952536	-25.600496	0.039547946	94.5316162109375
16	308.533	13.115178	318.72726	290.01688	317.07294	13.612992	328.54755	281.12604	400.0	400.0	17599	27.85005	19.106928	44.994286	-23.645664	-28.03065	0.04118891	101.27306246757507
17	283.64835	30.347198	313.99554	253.30115	312.77814	20.86743	329.62378	252.69846	400.0	400.0	18699	30.264439	19.364405	46.739246	-24.079151	-30.446459	0.04705846	109.51079726219177
18	313.44864	4.559804	319.03073	307.86154	316.36053	13.907816	328.83768	276.1929	400.0	400.0	19799	32.62073	19.543242	48.50161	-24.39042	-32.80158	0.050176445	116.78439235687256
19	308.35123	11.136118	320.34537	293.51532	308.20877	18.363373	328.86526	260.94147	400.0	400.0	20899	34.883945	19.677773	50.180428	-24.717157	-35.067486	0.050549354	127.27641534805298
20	318.38248	3.9335396	322.6077	313.13623	308.4749	17.092213	328.794	258.7834	400.0	400.0	21999	37.17265	19.688068	51.780666	-24.843521	-37.359566	0.0551226	134.44574999809265
21	309.25903	10.404892	319.6639	298.85413	305.59625	20.740643	328.24362	261.94284	400.0	400.0	23099	39.340717	19.621904	53.40484	-24.97357	-39.529263	0.05225568	141.32236409187317
22	310.75687	6.492603	317.00476	301.80594	311.05634	15.1192875	328.47473	276.1537	400.0	400.0	24199	41.39139	19.481852	54.78172	-25.069288	-41.580532	0.05693097	148.4910056591034
