Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.1409454	96.4334	97.57435	-95.29246	-271.6076	22.553202	-235.14476	-306.42862	400.0	400.0	1099	0.027874067	0.18139383	1.5158161	-3.1242487	-0.06882301	0.07193912	2.6067698001861572
2	92.67397	125.46708	254.4772	-51.29719	222.90178	172.07964	306.6098	-292.74713	400.0	400.0	2199	0.6480375	1.4662958	4.8438783	-3.5097036	-0.70973355	0.008828267	9.259186029434204
3	171.32246	102.06659	272.67316	31.639196	195.31232	200.09636	316.33054	-297.73993	400.0	400.0	3299	2.5054064	3.4572194	9.220178	-6.4225535	-2.6048644	0.01096819	14.790454387664795
4	207.8078	29.543257	233.18785	166.37589	55.42251	200.09985	305.03983	-291.98074	400.0	400.0	4399	4.726688	4.921756	13.186108	-9.390104	-4.82988	0.020020392	20.301274299621582
5	94.76561	136.87694	231.64255	-42.111324	-133.88675	65.21041	5.1012926	-230.65091	400.0	400.0	5499	6.832025	6.56749	16.890934	-12.457018	-6.9420314	0.026335202	25.856001377105713
6	48.409687	214.79512	273.40823	-240.82993	283.59793	24.548786	319.16385	234.98091	400.0	400.0	6599	8.819306	8.547968	19.829044	-24.795115	-8.962009	0.036173034	31.69295835494995
7	198.14632	106.03552	275.89136	48.223896	266.32248	34.66113	311.1061	207.96605	400.0	400.0	7699	10.128936	11.359433	23.11518	-28.629654	-10.304201	0.03869142	37.47155237197876
8	164.05215	110.25204	261.1295	9.847687	257.98993	39.82864	312.4183	167.66275	400.0	400.0	8799	12.789644	12.520786	26.587633	-31.744663	-12.992074	0.047564045	43.405112504959106
9	272.9007	2.6587067	275.5594	270.24197	290.27344	17.307035	322.92572	267.10202	400.0	400.0	9899	15.533084	13.56973	30.645441	-34.204914	-15.744771	0.072035275	49.39040970802307
10	144.89087	77.65285	227.84059	41.09062	306.52628	16.57848	322.177	253.21407	400.0	400.0	10999	17.742886	14.297716	33.139606	-36.142994	-17.96201	0.08767639	55.29738116264343
11	52.221745	223.16711	276.14676	-252.35051	308.49783	13.884411	323.45288	257.0437	400.0	400.0	12099	18.602514	17.302532	36.683067	-53.97035	-18.840145	0.0787085	62.10954403877258
12	4.7827706	206.11914	273.67075	-227.13991	297.4799	18.913181	322.38098	247.33586	400.0	400.0	13199	20.656887	18.29346	39.40608	-55.403015	-20.917957	0.08481475	69.56836414337158
13	-9.296682	25.288546	15.991863	-34.585228	296.0705	19.85566	321.68994	246.95384	400.0	400.0	14299	20.826063	20.241917	42.547817	-56.0161	-21.120773	0.09226851	75.27728271484375
14	118.142555	211.38286	270.84155	-180.77454	288.72433	24.68753	322.52875	243.83209	400.0	400.0	15399	22.452135	20.839561	43.35546	-56.243824	-22.759321	0.09233393	83.30018305778503
15	302.79562	12.388992	313.7423	285.47498	301.1164	20.21673	323.58798	262.02856	400.0	400.0	16499	25.094547	21.197031	46.872616	-56.238663	-25.39432	0.07637119	90.24542903900146
16	287.10867	22.399893	317.14276	263.3682	264.2365	43.98519	323.64404	182.59982	400.0	400.0	17599	27.836958	21.297014	48.68446	-55.959175	-28.122412	0.09069303	96.73981642723083
17	282.78796	30.343529	313.1315	252.44444	300.83124	21.893814	323.65637	236.34192	400.0	400.0	18699	30.426426	21.167425	51.83417	-55.427128	-30.711832	0.08956469	103.5993115901947
18	302.52444	5.603308	310.42386	298.03137	288.31073	29.036453	321.5517	222.13739	400.0	400.0	19799	32.937565	21.019527	54.07433	-54.900883	-33.220997	0.07640884	109.76140213012695
19	306.94632	13.887212	317.77936	287.343	266.07407	80.85672	324.14313	72.1338	400.0	400.0	20899	35.392586	20.736645	55.093346	-54.452053	-35.66941	0.072211124	117.4944577217102
20	175.40587	93.55712	304.5039	85.76355	247.66898	83.98508	321.75494	50.309593	400.0	400.0	21999	37.323357	20.34835	56.278675	-53.582508	-37.590157	0.07432743	123.73023223876953
21	201.80081	67.46414	269.26495	134.33667	228.0118	114.996216	318.05255	-5.869877	400.0	400.0	23099	38.713856	19.89756	58.531548	-53.03165	-38.934597	0.071884654	129.5482017993927
22	283.29886	41.181736	314.72653	225.12175	178.78818	154.74394	320.56198	-105.24368	400.0	400.0	24199	40.236965	19.767702	60.304108	-51.289005	-40.42296	0.054112542	135.61753916740417
23	298.06625	18.049168	314.43002	272.91885	224.00528	122.33398	319.55786	-140.55673	400.0	400.0	25299	41.78067	19.883408	63.449066	-49.384766	-41.935997	0.051163666	142.0757873058319
24	287.8367	22.902542	315.46985	259.3881	202.08936	136.4819	323.35693	-66.16516	400.0	400.0	26399	43.09322	20.247894	64.40926	-49.08441	-43.225986	0.069340736	148.4842565059662
25	279.63284	14.000702	293.63354	265.63214	273.7597	62.411636	323.26102	50.652546	400.0	400.0	27499	44.153057	20.689049	64.938515	-50.75939	-44.275803	0.06892763	154.30834579467773
26	230.57848	64.17754	294.88123	142.95636	293.58694	37.266773	324.0503	212.1837	400.0	400.0	28599	45.02958	21.206629	68.56446	-51.62562	-45.152702	0.063336626	160.55480766296387
27	302.22916	13.564058	312.58273	283.06744	295.52777	24.676907	317.82016	211.03079	400.0	400.0	29699	46.239822	21.733498	69.19328	-53.249935	-46.372494	0.07732211	166.5290424823761
28	218.1303	51.92047	291.34943	176.74355	263.90216	31.111517	300.25345	180.8584	400.0	400.0	30799	47.248386	22.310163	71.35849	-56.553005	-47.37852	0.076206766	172.3744924068451
29	284.48322	4.7837067	289.26694	279.69952	289.55368	30.161366	311.4882	215.81306	400.0	400.0	31899	48.173058	22.591444	70.72898	-58.976044	-48.28819	0.09445648	177.7710485458374
30	264.95956	39.988842	301.29053	209.26132	290.01434	21.09352	308.8361	227.92653	400.0	400.0	32999	49.187557	22.59882	71.94168	-61.074413	-49.31176	0.092547245	185.2034707069397
31	247.07982	49.411964	284.44144	177.25807	87.26908	112.847595	311.8492	-14.10377	400.0	400.0	34099	50.330162	22.6228	72.41138	-62.36726	-50.47063	0.08432667	190.86828422546387
32	221.82674	65.73934	277.44254	129.50021	137.35121	190.47304	251.72887	-218.91599	400.0	400.0	35199	51.212852	22.60247	74.42044	-62.934807	-51.368786	0.13582322	196.71090602874756
33	242.11841	0.15653229	242.27495	241.96188	148.28085	158.1558	276.0794	-85.458244	400.0	400.0	36299	52.475216	22.281218	74.72329	-63.168495	-52.62881	0.15903506	202.30286645889282
