Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	91.39206	154.3451	245.73715	-62.953026	-207.3711	22.515549	-174.95303	-249.29335	400.0	400.0	1099	0.2100661	0.27784607	1.4093204	-2.9224474	-0.23642331	0.1111603	7.589538097381592
2	224.51495	52.13752	264.13095	150.8515	31.965313	74.05254	191.74008	-60.60086	400.0	400.0	2199	1.5634984	1.5556144	4.9881306	-2.4911468	-1.6636556	0.011730004	21.63252902030945
3	108.56193	156.18362	220.3558	-112.309494	125.82277	134.12637	333.99533	-91.18389	400.0	400.0	3299	4.49625	2.8272185	9.118155	-4.23283	-4.6741333	0.0075365016	33.5875768661499
4	209.6516	30.502445	251.7899	180.59052	96.68964	115.70854	309.59393	-126.56109	400.0	400.0	4399	6.436472	4.7158504	12.749993	-5.833364	-6.6141467	0.012115194	48.710593461990356
5	-8.622993	29.672153	21.04916	-38.295147	231.37793	79.314095	322.64426	32.942173	400.0	400.0	5499	8.954942	5.0749245	16.543764	-6.3801847	-9.131047	0.013426058	62.14040160179138
6	133.31946	78.33698	199.27353	23.254364	192.50545	138.33652	323.6549	-91.41299	400.0	400.0	6599	7.816647	6.5292377	19.742708	-6.1051264	-7.9789896	0.025023447	76.33544135093689
7	237.76447	3.7630658	241.21028	232.52933	186.15622	154.18977	330.89746	-96.71114	400.0	400.0	7699	14.038651	7.668651	23.159729	-6.75928	-14.210813	0.03507121	92.64272546768188
8	34.66551	161.66039	261.72815	-101.9535	166.07117	139.24394	334.44537	-87.432945	400.0	400.0	8799	17.833473	9.937766	29.235174	-10.862639	-18.016378	0.05437211	107.91290283203125
9	148.77066	45.975487	194.74614	102.795166	135.89499	174.35059	331.80524	-140.11806	400.0	400.0	9899	14.111789	13.869665	31.990622	-11.909184	-14.284566	0.06642049	123.047922372818
10	242.9397	11.339408	254.6209	227.58409	91.334724	182.88992	325.95676	-181.95467	400.0	400.0	10999	20.815886	12.316733	35.213085	-10.256349	-20.991995	0.06445903	136.12972736358643
11	159.21902	145.3329	265.75873	-46.26596	212.33972	122.42372	328.49243	-99.344505	400.0	400.0	12099	27.447092	12.120393	42.100445	-22.204647	-27.630707	0.08017233	152.36215353012085
