Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	22.43844	5.497225	27.935665	16.941216	-169.85617	6.028582	-159.78128	-178.87436	400.0	400.0	1099	0.37749538	0.06640612	0.7283077	-0.13199544	-0.38527378	0.03016476	7.25373101234436
2	-32.54801	13.412698	-20.907005	-51.33832	-72.65017	11.66774	-56.864983	-98.57087	400.0	400.0	2199	0.34907687	0.56318885	2.4566326	-1.0233144	-0.36181784	0.015842872	32.72185778617859
3	29.69008	64.91067	119.965225	-29.865898	65.12609	14.602265	88.432014	32.755	400.0	400.0	3299	0.72766507	1.492676	5.1972857	-2.025776	-0.8292445	0.012844769	59.98968696594238
4	-21.283611	13.465488	-2.2544372	-31.428226	78.35816	25.877974	116.6423	33.09732	400.0	400.0	4399	1.2636774	2.3785374	7.8685837	-2.2463512	-1.4722537	0.014951734	88.31356024742126
5	27.803877	23.892506	51.69638	3.9113717	68.955696	34.49098	132.72224	-7.02735	400.0	400.0	5499	2.3892834	3.0956416	10.175115	-2.2639403	-2.6063826	0.0416777	122.50960421562195
6	-23.583075	8.531463	-12.035612	-32.38515	58.068146	35.34425	167.50482	5.0843463	400.0	400.0	6599	3.3396077	3.686707	12.297956	-2.717754	-3.5583591	0.059754536	146.25944781303406
7	-19.464964	29.13871	1.921366	-60.6633	52.948467	26.89193	111.12157	10.061743	400.0	400.0	7699	3.9424496	4.2329	14.343134	-3.1096818	-4.1655354	0.07716206	166.20139813423157
8	-21.996117	27.50964	16.225582	-47.3916	55.602905	25.933704	132.53249	23.939638	400.0	400.0	8799	4.826887	4.667288	16.308525	-3.4820423	-5.0533605	0.10118286	185.7932047843933
9	-15.157774	14.3419285	-0.815846	-29.499702	39.499428	31.381012	133.3992	-6.044011	400.0	400.0	9899	5.3888955	5.1399555	18.039932	-3.8849845	-5.6222134	0.113480836	206.54556703567505
10	-29.3715	19.151821	-4.158322	-50.546055	72.8445	51.88093	204.8894	3.6917083	400.0	400.0	10999	6.1620936	5.487092	19.658686	-4.2585073	-6.40179	0.12439378	227.26658463478088
11	-31.403223	22.698372	-1.845677	-57.025784	66.27649	61.320015	208.56958	-7.9189434	400.0	400.0	12099	6.8220873	5.8318725	21.147797	-4.589987	-7.0651813	0.13786502	247.16949915885925
12	-29.69133	1.6648802	-28.232353	-32.021217	44.848446	49.015125	124.99866	-32.42458	400.0	400.0	13199	7.2598634	6.1852508	22.566021	-4.9116426	-7.5048475	0.13353175	266.42115211486816
13	-31.886076	7.950468	-23.935608	-39.836544	48.193047	69.971825	202.8542	-67.6334	400.0	400.0	14299	7.667517	6.615852	23.795279	-5.229622	-7.920855	0.13911949	283.2527995109558
14	-11.6524315	9.377291	-0.24840929	-23.216318	62.94115	70.91534	206.50371	-66.896324	400.0	400.0	15399	8.167402	7.0716248	24.928736	-5.4218097	-8.429851	0.1592163	299.6543016433716
15	37.817165	21.387486	64.7785	12.464196	38.812855	40.85777	122.47768	-26.50872	400.0	400.0	16499	8.820788	7.46643	25.783516	-5.6874986	-9.082212	0.15635155	316.9709255695343
16	72.46737	24.428288	106.05804	48.6819	90.74079	76.92508	247.70895	-34.23455	400.0	400.0	17599	9.666807	8.046491	26.57996	-5.897513	-9.9252615	0.17335054	335.8232350349426
17	116.7552	8.62529	125.38049	108.12991	90.51595	77.863205	239.9873	-25.084059	400.0	400.0	18699	10.671333	8.583229	27.496855	-6.0457964	-10.924636	0.19027758	354.7427010536194
18	100.81003	78.57621	210.9015	32.678745	112.790726	60.08905	227.05487	11.871659	400.0	400.0	19799	11.697695	9.047232	28.420547	-6.2703195	-11.950554	0.21611811	374.39977192878723
19	69.84333	65.87219	161.73824	10.659017	68.30048	87.45305	232.13776	-81.76693	400.0	400.0	20899	12.640844	9.456656	29.477463	-6.4220934	-12.894229	0.2272004	393.1161687374115
20	147.85051	43.70024	205.85924	100.385185	91.74911	63.082314	227.69376	-6.678991	400.0	400.0	21999	13.326541	9.841666	30.50725	-6.495203	-13.573244	0.24793752	411.30179238319397
21	97.13103	87.33415	184.46518	9.796873	123.740036	66.862465	227.94072	23.518248	400.0	400.0	23099	14.264372	10.330246	31.558458	-6.539739	-14.50671	0.26054272	430.25732231140137
22	105.10105	51.245068	153.25209	34.119316	159.08833	53.78173	267.78668	68.96619	400.0	400.0	24199	14.986299	10.716045	32.59734	-6.473285	-15.228437	0.27039206	449.57632279396057
23	114.00974	47.12087	166.70645	52.336372	100.30607	57.406403	217.79202	13.828052	400.0	400.0	25299	16.054594	11.008904	33.571148	-6.369805	-16.296465	0.3024915	468.0071499347687
24	130.61377	33.52884	173.74171	91.98346	148.6549	85.896225	262.57315	14.24577	400.0	400.0	26399	16.841433	11.300059	34.482815	-6.2360234	-17.084549	0.31894937	485.4449369907379
25	114.18232	78.35034	192.53267	35.831974	138.32214	77.9567	258.2675	13.406217	400.0	400.0	27499	17.943163	11.597481	35.326946	-6.097399	-18.183838	0.36215273	503.4959137439728
26	145.01788	43.76734	184.57881	84.01158	96.153076	72.07198	227.36865	-9.928318	400.0	400.0	28599	18.939632	11.75614	36.169952	-5.8703165	-19.177158	0.35367915	522.0098867416382
27	180.58118	87.24435	280.97833	68.27244	99.35149	81.2455	252.72798	-22.199966	400.0	400.0	29699	20.043722	12.011821	37.113495	-5.6579995	-20.28317	0.35841662	540.3260996341705
28	146.28078	60.013214	197.70401	62.09594	151.83333	60.48842	244.14378	-2.2290227	400.0	400.0	30799	21.041132	12.253324	38.135727	-5.271029	-21.278889	0.3780018	558.5457708835602
29	45.903584	16.791052	62.694633	29.112532	159.24297	47.09387	251.9126	30.595581	400.0	400.0	31899	21.914125	12.452979	39.095512	-5.081874	-22.147951	0.39017776	577.8394346237183
30	130.87962	75.14591	202.32611	27.024796	144.24539	45.856007	249.07089	74.806786	400.0	400.0	32999	22.79076	12.651734	39.9996	-5.1026163	-23.015474	0.40634787	597.7337951660156
31	147.37657	11.452859	163.05292	136.01118	168.5141	49.313705	241.59311	30.844736	400.0	400.0	34099	23.51199	12.826397	40.781418	-5.07974	-23.733833	0.43201995	616.6104109287262
