Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-39.221325	16.50278	-22.718542	-55.724106	-170.44916	5.641996	-158.37892	-179.33316	400.0	400.0	1099	0.23910281	0.092382856	0.48244733	0.01819957	-0.2501112	0.01759261	4.585487365722656
2	-34.147137	17.349178	-12.87861	-55.375183	57.34325	18.993538	84.64252	15.351267	400.0	400.0	2199	0.016694723	0.37221864	1.6060989	-1.0671811	-0.057316795	0.011418691	20.242084503173828
3	-5.7373214	9.892949	4.822762	-18.965265	59.266003	13.6302185	80.39744	18.691212	400.0	400.0	3299	0.1444914	1.005776	3.695553	-1.7667944	-0.3143866	0.0075131427	36.50762605667114
4	-1.9750761	37.098114	47.521053	-41.789825	43.321194	18.047235	69.84727	-4.0334826	400.0	400.0	4399	0.99070704	1.8574318	6.033187	-2.3082354	-1.1807661	0.013381921	52.48844242095947
5	-17.667274	10.657948	-7.0093265	-28.325222	46.242435	34.388664	150.07666	-24.754873	400.0	400.0	5499	1.633234	2.5729527	8.393278	-2.687062	-1.8320395	0.024899036	68.61100578308105
6	-10.675919	36.877235	37.245834	-52.456024	49.29128	25.59296	112.4904	9.993214	400.0	400.0	6599	2.3183906	3.2963624	10.60907	-3.0770526	-2.5187793	0.0324156	84.86221981048584
7	-31.437887	30.651894	10.705248	-61.300083	35.477837	23.007132	106.0699	-5.0395203	400.0	400.0	7699	3.1742666	3.945121	12.6284	-3.5094767	-3.3776717	0.047789514	101.38659429550171
8	-9.6477	34.618412	38.03755	-43.094456	49.40937	23.256584	85.25106	1.5240213	400.0	400.0	8799	3.8155944	4.5873137	14.596322	-3.9392107	-4.0224752	0.051574685	118.8189435005188
9	-28.61529	0.6451988	-27.97009	-29.260489	55.078197	33.50316	124.85988	-4.916276	400.0	400.0	9899	4.2708955	5.009248	16.5014	-4.3408337	-4.4836984	0.056425396	135.2458713054657
10	-0.7380492	2.5272524	2.8333454	-2.6435876	55.137836	30.45716	121.09854	17.618654	400.0	400.0	10999	4.9533978	5.461543	18.141243	-4.635259	-5.1731954	0.0697691	153.13336634635925
11	-31.43676	12.5573635	-18.251888	-48.33213	62.898033	41.67697	137.4834	8.396172	400.0	400.0	12099	5.4307976	5.8322587	19.647968	-4.9005885	-5.657794	0.08533655	170.21544361114502
12	-26.25669	29.64848	11.830922	-60.48433	70.13589	52.052395	192.90472	13.439486	400.0	400.0	13199	5.9855957	6.234337	21.123608	-5.160414	-6.2177052	0.09606224	186.98341941833496
13	-44.51911	10.144508	-34.374603	-54.66362	53.63508	43.403645	174.31165	11.41902	400.0	400.0	14299	6.3111663	6.595008	22.397074	-5.435084	-6.550092	0.10730685	203.50258827209473
