Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-35.583992	1.0050564	-34.578938	-36.58905	-168.5544	6.0392804	-158.40619	-178.0587	400.0	400.0	1099	0.22510289	0.08074425	0.38192844	0.029840618	-0.22674528	0.016643386	4.629584550857544
2	-53.843815	2.3540962	-51.212803	-56.925953	43.633038	14.321509	67.80929	18.009249	400.0	400.0	2199	-0.08738495	0.3470886	0.86028314	-1.1014798	0.05836832	0.011525182	22.237717866897583
3	27.242203	31.317606	62.68477	-13.480321	59.6515	18.603043	94.38443	29.62385	400.0	400.0	3299	0.11520346	0.8989982	3.1405725	-1.3109684	-0.30669156	0.0052018375	41.07475304603577
4	-17.819475	10.271902	-5.408165	-30.562521	63.373993	19.008297	94.122856	35.70219	400.0	400.0	4399	1.1431907	1.5223745	5.8184266	-1.3921236	-1.3486918	0.00855505	58.69005632400513
5	12.181995	60.67963	72.861626	-48.497635	59.927284	13.391824	80.50006	32.1987	400.0	400.0	5499	1.9690502	2.14651	8.252161	-1.4638712	-2.1716738	0.015606337	76.1552906036377
6	-13.449832	13.284282	3.941894	-28.298267	65.010475	14.724638	88.55898	35.52958	400.0	400.0	6599	2.8781066	2.7763312	10.391068	-1.5591966	-3.0812948	0.02686025	94.43479108810425
7	-34.80001	15.146083	-14.720763	-51.299015	65.01922	18.156364	101.3037	34.27257	400.0	400.0	7699	3.4383397	3.2309992	12.364883	-1.6831038	-3.6405656	0.0440661	110.7542552947998
8	-40.608685	15.151654	-19.515806	-54.42266	51.846355	26.932089	90.22972	-41.64444	400.0	400.0	8799	3.8948028	3.6734357	14.143653	-1.8086249	-4.0969954	0.050137855	125.92533588409424
9	-35.792645	4.2408094	-31.551836	-40.033455	85.33459	40.49541	180.9882	-14.362663	400.0	400.0	9899	4.2243443	4.023072	15.761762	-1.8599079	-4.4279556	0.05931986	143.1577913761139
10	-32.396954	16.29282	-18.198732	-55.212036	32.46503	52.68533	125.89753	-90.052124	400.0	400.0	10999	4.62783	4.347011	17.260695	-1.9161379	-4.8338203	0.06815847	162.1251859664917
11	-11.914498	40.473843	45.27164	-42.630596	54.83027	65.851006	192.79851	-104.235146	400.0	400.0	12099	5.1944995	4.744265	18.708307	-1.975792	-5.4015164	0.0723531	180.81311511993408
12	-41.986984	19.687607	-14.365142	-58.827465	-30.755102	88.71735	154.99751	-113.75179	400.0	400.0	13199	5.47412	5.1106133	20.021528	-2.1013544	-5.685481	0.07895072	198.99435257911682
13	-19.537891	2.771144	-16.766747	-22.309034	-0.06090908	82.142235	151.54152	-113.53945	400.0	400.0	14299	5.841173	5.384478	21.304556	-2.167045	-6.056685	0.08372588	217.3392424583435
14	-21.487932	25.41064	1.6083307	-56.878735	-16.129889	90.54574	162.2148	-121.91333	400.0	400.0	15399	6.112413	5.7437987	22.46242	-2.293177	-6.3298016	0.089130335	235.7926037311554
15	-16.684015	134.91093	173.55128	-124.42458	60.352745	81.40355	272.01028	-100.07655	400.0	400.0	16499	6.397309	6.1407857	23.555246	-2.2932363	-6.6132298	0.10537967	253.94414567947388
16	117.419556	38.018288	153.86928	64.96534	118.06376	54.78889	228.59381	1.0962474	400.0	400.0	17599	7.2555447	6.963198	24.814783	-3.7849321	-7.469446	0.1226786	271.60024523735046
17	184.41345	1.337532	185.75099	183.07593	125.659386	67.41833	233.14679	-33.205975	400.0	400.0	18699	8.351828	7.9079638	26.230043	-5.2405376	-8.563843	0.14877333	291.40538001060486
18	95.98425	88.22037	214.88568	3.806071	94.874084	75.9712	240.94812	-50.337467	400.0	400.0	19799	9.173731	8.656893	27.620068	-6.6954226	-9.384721	0.18026415	310.10704803466797
19	107.21182	107.983246	189.72751	-45.329185	119.66443	82.084435	233.61995	-36.747528	400.0	400.0	20899	10.376573	9.577936	29.01073	-8.061852	-10.588878	0.22035925	328.19444608688354
20	132.61182	63.412342	182.16385	43.10455	94.43428	56.765335	189.25803	20.545982	400.0	400.0	21999	11.239268	10.3536825	30.274261	-9.444174	-11.4535475	0.27535808	346.3879461288452
21	110.61037	83.40543	194.0158	27.204935	88.87611	66.86617	196.4199	-24.002111	400.0	400.0	23099	12.15026	10.959615	31.58089	-10.739122	-12.3686495	0.2647157	364.87862253189087
22	86.27322	73.438896	189.77019	27.02863	84.98598	71.26524	211.40862	-18.326653	400.0	400.0	24199	12.938632	11.5097065	32.866215	-12.0021715	-13.159227	0.27940357	382.90450978279114
23	60.5009	60.491283	135.73001	-12.387294	79.76427	61.70139	179.13676	-17.226154	400.0	400.0	25299	13.906529	12.060874	34.030598	-13.23285	-14.128301	0.3368222	401.0094258785248
24	109.59846	57.95452	174.77083	33.971455	150.93272	48.595253	243.48088	49.164463	400.0	400.0	26399	14.80759	12.538299	35.14169	-14.429337	-15.032976	0.3626096	419.70001339912415
25	88.12725	11.136818	99.26407	76.99043	93.59726	111.9765	210.73486	-159.08134	400.0	400.0	27499	15.71858	12.970055	36.16295	-15.612771	-15.948853	0.37171453	438.568302154541
26	115.29486	45.952496	163.59457	53.491306	140.86755	76.69103	238.79454	-142.87997	400.0	400.0	28599	16.813007	13.2831135	37.17181	-16.66707	-17.04331	0.3739299	457.23486828804016
27	164.90984	39.342953	206.44423	112.080635	128.7018	78.4819	234.41615	-68.49493	400.0	400.0	29699	17.879568	13.577879	38.138588	-17.619701	-18.100224	0.3741634	475.74352073669434
28	150.13452	12.372557	165.95323	135.74855	71.48096	97.10177	208.06873	-105.01311	400.0	400.0	30799	18.932333	13.816213	39.061314	-18.460945	-19.150366	0.4132752	493.6913001537323
29	71.63907	114.25394	185.893	-42.614864	142.10966	73.05978	218.18712	-108.4181	400.0	400.0	31899	19.915567	14.015227	39.89941	-19.057495	-20.134396	0.441935	511.3475878238678
30	59.11642	53.557888	103.552826	-16.221695	148.97766	62.69775	243.4842	8.727437	400.0	400.0	32999	20.58746	14.124925	40.814545	-19.230864	-20.807383	0.4292292	530.5062215328217
31	130.10739	48.986526	193.35304	73.999664	151.07217	42.881454	206.45953	6.8824058	400.0	400.0	34099	21.423443	14.297991	41.525448	-19.141907	-21.649656	0.44569266	548.2964444160461
32	166.42174	30.063385	208.28777	139.07487	137.21738	69.5822	200.6584	-89.6169	400.0	400.0	35199	22.42891	14.488307	42.277584	-19.475649	-22.655504	0.47399735	563.9036047458649
33	134.46121	0.2652588	134.72647	134.19595	107.978676	69.47197	207.2011	-71.13537	400.0	400.0	36299	23.36839	14.654227	42.949757	-19.873337	-23.5937	0.47489858	580.6388251781464
34	130.8742	23.526318	160.494	102.94058	103.788376	87.05746	230.85324	-67.9909	400.0	400.0	37399	24.225718	14.736477	43.56242	-20.29668	-24.452246	0.5219651	598.8953175544739
35	50.148773	89.2477	169.52667	-45.028427	143.20374	79.91622	252.4765	-91.809784	400.0	400.0	38499	24.696575	14.875146	44.142868	-20.507027	-24.922827	0.49872047	616.806224822998
36	120.58123	56.77314	175.98215	42.553467	136.84296	70.619446	231.52278	-39.07631	400.0	400.0	39599	25.304667	14.964812	44.697765	-20.410347	-25.533503	0.522767	634.1342921257019
37	142.31044	2.2220154	144.53246	140.08842	146.64792	59.900307	222.92386	-36.419018	400.0	400.0	40699	26.19482	14.976939	45.152676	-18.813128	-26.429031	0.5396425	652.5925242900848
38	110.25857	119.89704	200.00468	-59.20252	151.5079	65.845215	225.20532	-47.966713	400.0	400.0	41799	26.877258	15.120545	45.587864	-18.636026	-27.113916	0.53136724	671.0334503650665
39	191.5655	23.32214	222.53853	166.26129	173.10634	42.21616	230.22655	83.19043	400.0	400.0	42899	27.721008	15.207433	46.037155	-18.16106	-27.95252	0.5137756	689.2882010936737
40	175.1029	20.794052	204.16122	156.66231	156.50098	31.245285	220.45334	100.45682	400.0	400.0	43999	28.57657	15.2277775	46.464737	-13.540901	-28.79832	0.50868577	711.6135890483856
41	159.16644	0.22590637	159.39235	158.94054	148.47862	40.608143	198.90453	45.468777	400.0	400.0	45099	29.34853	15.24569	46.902657	-9.644685	-29.563545	0.497371	729.5299751758575
42	127.60703	30.98368	150.03929	83.79369	172.8992	37.048332	231.98833	95.4103	400.0	400.0	46199	30.029074	15.228697	47.255825	-11.256214	-30.234837	0.5149777	747.1849949359894
43	134.74922	34.06607	180.22417	98.23612	123.65391	46.01163	225.05487	22.214441	400.0	400.0	47299	30.61021	15.21004	47.629654	-11.813101	-30.808977	0.47389442	763.8776433467865
