Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-21.142097	6.1542063	-14.987891	-27.296303	-164.4026	5.941315	-153.75789	-176.64142	400.0	400.0	1099	-0.1479446	0.065594435	0.0870387	-0.40860847	0.13896236	0.020971118	5.1636881828308105
2	-33.542866	20.366833	-5.9460793	-54.48443	36.4104	37.261578	107.165825	-31.568277	400.0	400.0	2199	-0.27727064	0.3758673	1.1806685	-1.2336977	0.2566654	0.013849252	21.451435089111328
3	-34.89564	24.43206	-10.756213	-68.374565	80.73516	21.3415	124.686935	47.93099	400.0	400.0	3299	-0.26110363	0.9672784	3.013965	-1.8962392	0.11830741	0.009660835	37.26122975349426
4	-18.720882	13.369697	0.15842938	-29.055984	94.8221	25.28037	144.93993	47.28282	400.0	400.0	4399	0.35289106	1.5464602	5.158119	-1.9155718	-0.55413646	0.011691468	52.08959937095642
5	15.804444	8.378659	24.183104	7.425785	91.62234	29.309471	175.53732	49.930115	400.0	400.0	5499	1.2023563	2.0906186	7.530368	-1.8948224	-1.4108145	0.019551676	67.03629851341248
6	-43.092846	11.011708	-28.917776	-55.764927	94.91068	35.302666	155.67273	27.201551	400.0	400.0	6599	1.8220803	2.6067107	9.793637	-2.2711434	-2.0322683	0.024907406	82.23195147514343
7	-39.87332	14.176191	-24.182589	-58.525967	101.364235	35.129795	166.33713	30.216532	400.0	400.0	7699	2.4254475	3.0407157	11.975116	-2.2101955	-2.6393657	0.030597534	96.84163761138916
8	-27.963661	22.0438	-12.082766	-59.136448	95.91248	41.102444	164.1904	28.396149	400.0	400.0	8799	2.944235	3.4604182	14.657435	-2.2952683	-3.1605673	0.04190939	111.38759803771973
9	-53.155113	0.5739727	-52.58114	-53.729084	86.090515	50.184067	159.57019	14.0857935	400.0	400.0	9899	3.4236436	3.8963666	17.052624	-2.3862357	-3.6480188	0.056838017	124.48648190498352
10	-26.738947	10.727967	-12.729192	-38.78654	63.162132	24.13555	106.98012	22.41731	400.0	400.0	10999	3.938207	4.3502827	19.366402	-2.4325583	-4.166044	0.069036946	139.06728410720825
11	-31.774858	7.522674	-24.083593	-41.985966	84.64195	33.716522	191.1233	26.60813	400.0	400.0	12099	4.4167824	4.719218	21.604727	-2.4801533	-4.6470327	0.08333062	155.86847949028015
12	31.33824	18.262451	52.991703	8.320474	61.720436	31.683487	110.836365	14.919047	400.0	400.0	13199	5.180262	5.4213023	23.69831	-2.565683	-5.4153357	0.10729183	170.37847256660461
13	-39.749077	10.351488	-29.39759	-50.100567	91.22601	39.361824	182.0574	37.67038	400.0	400.0	14299	5.9279833	5.835084	25.663214	-2.753735	-6.1710014	0.12781085	184.67285251617432
14	-26.47927	30.975447	17.238237	-50.746788	43.36608	30.888552	110.84251	-14.5081	400.0	400.0	15399	6.2826242	6.140369	27.602436	-2.9220066	-6.534335	0.13493109	199.2755229473114
15	36.572174	16.049616	55.133396	15.97803	66.04507	44.358994	183.88591	5.1758814	400.0	400.0	16499	6.8157315	6.517796	29.391613	-3.1635597	-7.0634446	0.14052814	214.75912976264954
16	47.915195	38.650894	101.07614	10.322339	65.80226	44.936863	165.81458	-6.5040007	400.0	400.0	17599	7.287379	6.898452	31.811993	-3.606313	-7.5301704	0.16674	230.56757235527039
17	26.268312	16.599516	42.86783	9.668796	72.96709	41.22273	140.10812	6.5706735	400.0	400.0	18699	7.916848	7.3843765	33.538227	-4.009653	-8.151447	0.18769595	246.68326663970947
18	120.00704	76.62411	208.17992	21.36751	72.35991	77.189064	215.54868	-52.224045	400.0	400.0	19799	8.69807	8.011151	35.510284	-4.3859806	-8.931557	0.21226595	262.5362491607666
19	59.786438	36.32344	92.66321	9.165794	50.816082	68.37154	211.9988	-64.36522	400.0	400.0	20899	9.69029	8.744797	36.926033	-4.8551536	-9.91885	0.24066593	277.756032705307
20	48.35982	55.836735	126.12435	-2.4018457	96.41599	87.0278	223.65851	-63.760536	400.0	400.0	21999	10.246027	9.180571	38.26494	-5.654431	-10.4713	0.2836444	292.79289984703064
21	196.94583	4.2231293	201.16896	192.7227	143.0721	64.74541	223.47954	-11.605159	400.0	400.0	23099	11.375223	10.075938	39.17256	-5.4316235	-11.601515	0.33185992	307.1379165649414
22	141.54509	85.822266	206.76006	20.289719	98.772156	70.80732	195.18025	-43.794666	400.0	400.0	24199	12.433679	10.937972	40.272625	-5.6880302	-12.656787	0.3594943	321.8484344482422
23	127.344826	32.273827	162.77121	84.70919	82.70181	58.068687	166.79225	-24.660763	400.0	400.0	25299	13.662263	11.651958	41.40504	-6.0931506	-13.883684	0.40572935	337.486852645874
24	96.88442	26.871006	130.2066	64.40244	120.98965	59.128094	209.25418	11.193036	400.0	400.0	26399	14.671338	12.145441	42.566025	-6.2595205	-14.892289	0.46638876	353.0535273551941
25	104.01544	67.34439	171.35983	36.67106	116.324646	61.282036	219.35823	21.222372	400.0	400.0	27499	15.693565	12.624574	43.88761	-6.404106	-15.91623	0.48481545	369.30446314811707
26	141.63483	59.838192	184.76523	57.01616	63.7006	74.51778	232.66797	-62.3264	400.0	400.0	28599	16.690554	13.063592	45.117188	-6.489365	-16.91731	0.5422911	385.62884306907654
27	97.31368	58.303825	179.66515	52.576893	77.000626	68.462975	191.34564	-33.552887	400.0	400.0	29699	17.675306	13.389186	45.801994	-6.600027	-17.910599	0.55597216	400.6924686431885
28	132.52219	34.067146	173.34612	89.95371	48.59627	74.621895	206.18492	-63.146168	400.0	400.0	30799	18.737999	13.756036	46.51334	-6.8634706	-18.977814	0.5720407	416.2999303340912
29	37.854797	2.071638	39.926437	35.78316	80.59489	83.319405	221.27478	-59.204853	400.0	400.0	31899	19.63438	13.964966	47.307846	-7.027348	-19.883612	0.6322421	432.79705715179443
30	35.339203	42.325996	93.25267	-6.7231627	40.767117	83.764305	197.56369	-97.3022	400.0	400.0	32999	20.451912	14.141223	47.558403	-6.98295	-20.704567	0.66125727	449.0553545951843
31	19.453377	52.771618	93.02326	-28.188332	96.92284	67.33604	224.34894	-16.478685	400.0	400.0	34099	20.914125	14.250808	47.854694	-6.6544085	-21.168503	0.66826093	464.2905008792877
32	125.33677	32.329857	156.3279	80.729485	87.2621	63.639294	183.8537	-28.988651	400.0	400.0	35199	21.802107	14.443428	48.461033	-6.5292945	-22.062258	0.7065337	479.11392307281494
33	-28.786127	15.73797	-13.048158	-44.524097	97.36759	84.19189	211.04477	-63.462494	400.0	400.0	36299	22.303885	14.633917	48.851467	-6.184624	-22.569382	0.7415613	494.13873982429504
34	23.04103	47.03196	66.63694	-42.260433	110.22141	70.05801	203.55301	-9.578015	400.0	400.0	37399	22.821177	14.808298	50.95868	-5.9178634	-23.092575	0.8313441	509.3350350856781
35	120.108284	53.209774	194.56868	73.46231	96.362625	71.134155	191.8343	-10.333725	400.0	400.0	38499	23.394268	14.991252	49.39882	-5.849806	-23.668533	0.73976034	525.392749786377
36	122.28591	44.228153	183.45923	80.404854	96.39787	87.68724	189.4317	-77.280334	400.0	400.0	39599	24.389547	15.164465	50.292	-5.625966	-24.659563	0.8140544	540.3407733440399
37	111.847824	32.286682	144.1345	79.56114	139.65953	56.094196	247.15042	-4.735684	400.0	400.0	40699	25.1832	15.252284	50.205437	-5.415742	-25.445345	0.8535537	554.9730050563812
38	136.27763	16.174416	154.03246	114.91053	116.079735	64.117584	186.00676	-25.636	400.0	400.0	41799	26.067009	15.361753	51.346138	-5.3550453	-26.319876	0.8505133	569.8928437232971
39	114.938225	52.18284	188.13	70.16952	111.00655	80.11193	204.82857	-64.748405	400.0	400.0	42899	26.833319	15.400035	51.26594	-5.4299755	-27.081789	0.8860991	585.4511675834656
40	166.8874	23.49947	199.47743	144.95721	104.88391	77.66925	234.90654	-32.40226	400.0	400.0	43999	27.55618	15.424333	52.884113	-5.3741703	-27.804255	0.8100129	599.1470251083374
41	211.5427	6.1256714	217.66837	205.41702	123.85756	66.45751	206.77759	-19.515472	400.0	400.0	45099	28.316545	15.52119	52.976803	-5.391575	-28.562607	0.77052844	614.3253259658813
42	50.996723	84.06549	125.76852	-66.43538	141.04085	39.55584	230.63628	43.404762	400.0	400.0	46199	28.859955	15.592335	52.23511	-5.269064	-29.105576	0.8102049	629.2099461555481
43	145.2538	26.39917	180.99698	118.044495	115.081314	74.71205	220.04875	-50.41396	400.0	400.0	47299	29.490934	15.6251545	53.079254	-5.0635777	-29.736847	0.7924641	643.0409150123596
44	120.09043	61.16828	185.44826	38.333996	137.9795	39.038425	225.13535	30.519972	400.0	400.0	48399	29.977524	15.590808	53.250736	-4.7154627	-30.22048	0.8353431	657.9781131744385
45	115.70781	0.1013298	115.80914	115.60648	143.10587	55.30561	221.06628	-25.703075	400.0	400.0	49499	30.609343	15.530223	53.741375	-4.117789	-30.84958	0.78147393	673.058940410614
46	123.10813	36.93992	174.00606	87.466675	144.8631	46.727005	233.27942	61.433033	400.0	400.0	50599	31.088789	15.401322	54.451744	-3.4834661	-31.325468	0.7567956	688.5359883308411
47	115.878365	33.563816	162.7104	85.76423	132.72476	57.69188	210.25443	-46.10936	400.0	400.0	51699	31.686884	15.34315	55.236267	-3.1417003	-31.92284	0.7143781	703.5516397953033
48	30.7269	95.27683	157.63077	-71.943245	125.79149	49.5336	227.10062	24.470959	400.0	400.0	52799	32.111755	15.253637	55.460724	-2.4761953	-32.344944	0.6707704	718.7124166488647
49	122.614525	6.8672714	129.4818	115.74725	122.58034	40.216442	197.79663	3.5415478	400.0	400.0	53899	32.33965	15.2311125	55.90983	-1.9619095	-32.571465	0.7329576	733.8894443511963
50	149.04472	26.198746	185.94406	127.698456	166.52689	41.657402	215.78983	54.22906	400.0	400.0	54999	32.783268	15.159667	56.214733	-1.8330548	-33.010468	0.69507074	751.3021116256714
51	171.1833	43.14517	221.62021	116.226875	125.91499	57.357094	224.66396	-10.7539425	400.0	400.0	56099	33.3079	15.079329	56.66554	-1.8165118	-33.53659	0.70520586	766.9432265758514
52	146.1791	35.3762	176.05379	96.487755	124.73696	54.966778	232.19159	-5.196531	400.0	400.0	57199	33.797432	15.001487	57.02667	-1.5172777	-34.02614	0.6650161	782.1484315395355
53	90.65572	50.360268	141.01599	40.295452	133.16068	48.7782	208.39642	-12.443651	400.0	400.0	58299	34.172466	14.867538	57.298622	-1.3167598	-34.400227	0.67935514	797.9214828014374
54	125.97422	17.581427	146.93625	103.91284	144.82176	43.91933	209.95265	52.152092	400.0	400.0	59399	34.486763	14.768698	57.696243	-1.1202834	-34.708893	0.7070746	813.0982580184937
55	173.64087	10.352301	186.94029	161.69029	144.13449	71.3858	227.95749	-92.26927	400.0	400.0	60499	34.885166	14.658986	57.9704	-0.48597807	-35.102844	0.6803866	828.1149265766144
56	157.32083	22.534336	186.96931	132.37631	144.95122	36.625698	204.71443	76.48102	400.0	400.0	61599	35.263916	14.586969	58.31278	0.11381692	-35.48073	0.67056173	843.9172563552856
57	159.27574	31.924484	191.20023	127.35126	129.03879	83.386955	210.02637	-112.10493	400.0	400.0	62699	35.596394	14.50517	58.704105	0.9268522	-35.809525	0.64795333	858.9536046981812
58	138.66595	45.244114	197.95123	88.17896	138.64423	55.813755	214.65154	-18.502306	400.0	400.0	63799	35.931744	14.410722	58.87861	0.9635577	-36.1424	0.6607116	874.456221818924
59	192.39308	33.38912	219.60942	145.36781	155.20822	41.16155	219.55547	44.85713	400.0	400.0	64899	36.270725	14.337379	59.229847	0.17113134	-36.477047	0.6456372	888.9035394191742
60	168.16417	33.062767	200.20584	122.65234	169.25148	48.950882	237.66455	28.464567	400.0	400.0	65999	36.61858	14.28707	59.25968	-0.03097868	-36.823654	0.6469755	904.113855600357
61	157.06888	25.123314	182.1922	131.94557	167.91403	49.51595	270.00705	60.446465	400.0	400.0	67099	36.8721	14.184155	59.664707	0.25625974	-37.07839	0.65282935	919.1409788131714
62	120.79974	23.402382	138.67886	87.740486	133.5075	72.700386	267.64154	-18.467384	400.0	400.0	68199	37.162502	14.0644455	59.77462	0.818158	-37.367764	0.65933585	932.7823832035065
63	178.68707	14.70191	197.5262	161.64946	147.49033	61.097504	233.73813	-7.3590803	400.0	400.0	69299	37.445335	14.036439	60.001522	1.2340949	-37.64914	0.6513933	947.3443913459778
64	126.061165	41.815144	183.24521	84.42121	122.06234	87.95001	219.24797	-92.35295	400.0	400.0	70399	37.71624	13.937048	60.133183	1.459967	-37.9209	0.6859762	962.1149904727936
65	203.79124	10.40802	214.19926	193.38322	135.06418	65.22302	213.38881	-45.034237	400.0	400.0	71499	37.992493	13.910489	60.31012	1.6821344	-38.195286	0.700958	976.9602165222168
66	166.1811	51.833828	226.35315	99.8375	103.020775	76.125534	200.8039	-86.65459	400.0	400.0	72599	38.347534	13.927714	60.57013	2.1614048	-38.546585	0.6925386	992.3585805892944
67	136.35225	61.5287	220.44853	74.95124	134.89609	71.558556	215.21597	-103.260155	400.0	400.0	73699	38.639683	13.917715	61.039955	2.0065005	-38.843487	0.66796994	1007.7079834938049
68	130.93944	12.983968	144.74086	113.54989	156.32895	55.57652	209.79546	-46.434265	400.0	400.0	74799	38.853745	13.937666	61.31023	2.323476	-39.05393	0.7455447	1023.0912070274353
69	116.899826	11.679363	128.5792	105.22047	140.86728	65.58889	232.31575	-71.18052	400.0	400.0	75899	39.120235	13.997808	61.54731	2.3692503	-39.31806	0.79048896	1038.7663533687592
70	184.44402	13.160009	198.54575	166.87485	122.87634	84.00475	233.36824	-47.628143	400.0	400.0	76999	39.34307	14.0162	61.78857	1.9208709	-39.538628	0.8366312	1053.2448813915253
71	99.764656	31.503252	135.56653	58.89958	145.24356	77.97074	254.86974	-60.730755	400.0	400.0	78099	39.547146	14.034055	62.031593	1.6333616	-39.749523	0.8030093	1067.907975435257
72	138.61656	36.717632	189.9109	105.9734	140.16187	66.41448	245.98344	26.976704	400.0	400.0	79199	39.769505	14.04539	62.336533	1.3384905	-39.9756	0.83428556	1082.4858088493347
73	126.34944	51.21448	177.56392	75.13496	128.69142	79.55003	222.73584	-44.52005	400.0	400.0	80299	40.001274	14.17794	62.65392	0.77201533	-40.207214	0.85684115	1097.0791301727295
74	93.453735	86.63448	200.17395	-12.025437	149.30328	53.71021	228.08264	36.25233	400.0	400.0	81399	40.259205	14.286189	62.907574	0.564402	-40.459446	0.88081944	1113.001915693283
75	138.62054	47.164272	182.72108	73.23369	135.73395	57.119934	249.25856	38.31136	400.0	400.0	82499	40.396297	14.454262	63.361362	0.45023644	-40.598145	0.91707873	1127.6599597930908
76	195.6782	25.651426	219.52675	160.08055	128.23439	70.16195	219.99481	-70.99926	400.0	400.0	83599	40.73811	14.544326	63.4991	0.34612924	-40.94159	0.9094925	1143.7382655143738
77	228.06967	34.94748	263.01715	193.1222	80.383194	90.256805	217.11066	-72.250435	400.0	400.0	84699	41.06042	14.673009	63.72229	0.4486128	-41.265575	0.9396186	1158.0415389537811
78	118.493866	54.6315	161.72458	41.423744	153.2142	53.551086	237.12932	46.518433	400.0	400.0	85799	41.33008	14.727605	64.0504	0.42240813	-41.539974	0.9074304	1171.0620675086975
79	133.36534	8.48131	143.4611	122.70893	147.44872	44.036015	217.13812	59.69719	400.0	400.0	86899	41.55115	14.725597	64.220695	0.79497623	-41.76063	0.93506604	1186.3496630191803
80	123.63395	11.754583	138.57912	109.85765	154.23947	72.98476	244.17392	-69.08426	400.0	400.0	87999	41.827774	14.68307	64.333626	0.8531939	-42.033344	0.88903755	1201.5887932777405
81	175.08273	71.00094	246.08368	104.081795	137.03503	62.362404	249.44571	-17.132353	400.0	400.0	89099	42.0268	14.706968	64.52137	0.87667966	-42.234142	0.9292569	1216.8175945281982
82	119.380165	10.166697	133.72188	111.326645	125.51904	86.99611	269.0715	-66.027054	400.0	400.0	90199	42.23486	14.684672	64.73421	1.0150516	-42.43627	0.9366789	1232.24893283844
83	152.95576	23.448034	183.4517	126.428894	124.60494	58.75716	213.55515	4.7224913	400.0	400.0	91299	42.494694	14.663334	64.79464	1.2445757	-42.693573	0.93451613	1247.7322545051575
84	135.9698	40.675037	187.1473	87.636024	125.390366	58.2117	208.4581	-47.57156	400.0	400.0	92399	42.63298	14.676895	64.864815	1.184386	-42.828445	0.93373626	1263.3049693107605
85	145.20605	8.525215	153.73126	136.68083	140.27086	41.644997	230.76132	81.007034	400.0	400.0	93499	42.897503	14.64067	64.70517	0.8488784	-43.08797	0.95625263	1279.0306096076965
86	95.822365	102.40318	187.77875	-47.045628	158.17294	36.888466	238.265	77.60123	400.0	400.0	94599	42.944073	14.671091	64.71304	1.0517731	-43.134518	0.9327197	1294.3174214363098
87	163.37842	17.10919	178.96748	139.55821	122.34932	85.91515	216.70972	-69.442375	400.0	400.0	95699	43.055065	14.668362	64.40389	1.052127	-43.250546	0.99251866	1309.6640267372131
88	165.8747	12.487161	178.01662	148.6986	149.03456	49.71173	220.3367	58.068375	400.0	400.0	96799	43.270138	14.623467	64.35746	1.0082066	-43.4702	1.0197864	1325.1696367263794
89	157.75282	6.689026	164.44185	151.0638	155.94516	58.08455	260.19547	34.851955	400.0	400.0	97899	43.505524	14.573127	64.241035	1.3469672	-43.707603	0.96172655	1339.4123480319977
90	176.94153	10.963226	190.6248	163.78606	149.25558	68.52337	241.70493	-30.488203	400.0	400.0	98999	43.749153	14.507191	64.07698	1.8399493	-43.95338	1.0573651	1355.2933628559113
91	170.2577	78.35943	247.363	62.774815	119.26516	78.168205	199.59554	-103.00121	400.0	400.0	100099	43.991425	14.424294	63.760284	1.0135458	-44.197926	1.0085083	1368.285528421402
92	126.013245	27.255713	163.10806	98.39437	140.935	49.788013	225.641	33.671314	400.0	400.0	101199	44.182373	14.334259	63.65562	-0.04771185	-44.386	1.004739	1383.6199173927307
93	177.42244	43.63321	221.05565	133.78923	122.812645	81.9817	224.21785	-100.61221	400.0	400.0	102299	44.39192	14.240029	63.542088	-0.58142745	-44.596584	1.0132747	1398.1547594070435
94	76.12609	70.95755	168.04736	-4.695984	153.27911	57.461292	241.31783	7.652264	400.0	400.0	103399	44.532547	14.227732	63.26653	-1.0438998	-44.73782	0.9967399	1413.1517736911774
95	107.45652	127.46413	215.16917	-71.57626	130.57509	90.2477	237.06306	-59.2212	400.0	400.0	104499	44.709328	14.197109	64.00165	-1.4230604	-44.91084	0.96291435	1428.390653848648
96	149.26526	38.88243	179.26308	94.35566	124.47327	81.94038	226.36047	-55.22026	400.0	400.0	105599	44.79931	14.217595	63.739117	-2.3861964	-44.995567	1.0042176	1443.3321158885956
