Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	34.565857	26.921072	61.486927	7.644785	-159.83606	0.051145345	-159.61324	-159.85034	400.0	400.0	1099	-0.1870972	0.47102562	11.579512	-11.26959	0.14024667	0.17712225	2.9835386276245117
2	21.552328	9.636338	34.61072	11.647145	-30.556332	3.4362855	-25.21644	-38.39304	400.0	400.0	2199	0.17683086	1.0677423	13.122638	-28.43678	-0.18816712	0.06818197	9.374204635620117
3	0.74542046	16.950233	16.222761	-22.845839	-33.69204	5.541369	-23.641045	-43.07109	400.0	400.0	3299	0.87789214	2.7234266	18.474678	-11.225011	-0.9674103	0.08479323	15.955766201019287
4	31.592133	16.667599	51.607822	10.8027115	-30.05517	4.0201244	-24.67309	-35.465424	400.0	400.0	4399	2.1048625	3.8156507	21.698307	-14.709018	-2.2223082	0.086578995	22.75307536125183
5	22.515276	9.697981	32.213257	12.817295	17.057837	30.655739	76.6457	-8.665943	400.0	400.0	5499	2.6858292	4.671185	16.949432	-7.3737454	-2.8387249	0.082325585	29.01200532913208
6	1.8399401	12.997613	19.367495	-11.719204	-4.6399174	22.080776	28.103693	-31.637714	400.0	400.0	6599	3.2297878	5.532084	25.696468	-11.947802	-3.4049976	0.13759267	35.12779521942139
7	11.766098	12.913802	22.190975	-6.432522	102.053795	30.490479	155.86128	53.055534	400.0	400.0	7699	4.166593	6.390383	30.209671	-10.370312	-4.3516183	0.17149262	40.89963459968567
8	4.1806107	17.251585	28.553282	-8.957288	145.1194	11.969266	165.37662	124.781456	400.0	400.0	8799	4.680944	7.167328	38.693874	-10.194606	-4.8671308	0.2215274	47.53266358375549
9	36.135506	1.1556301	37.291138	34.979877	90.043076	20.64739	129.14854	60.296597	400.0	400.0	9899	5.384127	7.8816032	47.938446	-10.4423895	-5.570111	0.22091156	53.984052658081055
10	-6.724632	5.6837573	0.7246849	-13.064325	81.61883	26.425838	138.55186	54.39869	400.0	400.0	10999	5.829097	8.587939	50.65546	-13.686593	-6.024391	0.19710812	60.477250814437866
11	41.106396	12.685806	58.14341	27.719664	100.30723	6.5299883	114.06457	89.92008	400.0	400.0	12099	6.468024	9.378666	43.966415	-13.889105	-6.6646447	0.2013077	67.40184044837952
12	49.047653	59.480785	128.17073	-15.244424	26.0655	7.700348	42.949287	15.138795	400.0	400.0	13199	7.0485477	10.17609	43.78645	-16.27577	-7.2408566	0.2692927	74.03735542297363
13	52.703423	25.21146	77.91488	27.491962	90.625725	9.886035	110.28376	72.5396	400.0	400.0	14299	7.8377595	10.80811	56.53075	-16.355211	-8.035612	0.35136864	82.64575839042664
