Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.559218	1.478638	3.037856	0.08057994	-160.26149	0.0012845373	-160.25943	-160.26328	400.0	400.0	1099	0.40606022	0.2959115	1.4571172	-0.1469691	-0.4082176	0.027784623	6.140307188034058
2	2.882899	13.982708	13.513966	-16.872494	-54.379498	0.4529172	-53.488945	-55.012794	400.0	400.0	2199	0.45884466	1.0978408	4.7858653	-1.3380582	-0.47311422	0.02034502	22.634793519973755
3	17.521364	18.25959	37.27495	-6.7591014	41.7914	22.858912	80.58986	8.091893	400.0	400.0	3299	1.3921301	2.7269843	7.4733877	-2.0103567	-1.4829491	0.016169742	39.887831687927246
4	37.442738	6.581296	46.74255	32.468323	114.78447	21.09694	137.7554	45.74712	400.0	400.0	4399	2.6378973	3.6871397	10.093438	-2.256854	-2.784361	0.023868069	57.69330811500549
5	7.260808	9.027526	16.288334	-1.7667183	187.8049	32.092304	268.8746	145.30098	400.0	400.0	5499	3.920521	4.480679	13.099659	-2.543723	-4.0780272	0.045072563	74.75218081474304
6	40.11403	24.953285	75.37377	21.234123	145.88248	20.215029	178.7785	116.264946	400.0	400.0	6599	5.087358	5.423473	15.834575	-4.256907	-5.263376	0.06901307	92.46879506111145
7	33.729538	5.106212	39.180267	26.90207	193.28218	28.730944	256.17154	148.87167	400.0	400.0	7699	6.2451615	6.3770556	18.362215	-4.5472326	-6.4405026	0.076694086	110.25841569900513
8	22.619347	11.344644	33.69407	7.028912	190.68533	43.770058	272.00543	118.63594	400.0	400.0	8799	6.952864	7.33666	20.844038	-4.708595	-7.1606693	0.102078535	127.21678948402405
9	42.17875	24.38446	66.56321	17.794289	174.44843	45.965668	256.5777	99.1953	400.0	400.0	9899	7.8481703	8.395336	23.145132	-4.6207047	-8.053675	0.121254824	149.42630982398987
10	18.469267	6.5378428	26.719553	10.729616	185.84634	51.67898	272.45877	109.57367	400.0	400.0	10999	8.447291	9.279702	25.424791	-4.7277126	-8.654441	0.13284291	167.33955764770508
11	0.40688434	8.11025	11.594954	-7.37452	185.91798	50.392082	277.88068	103.43394	400.0	400.0	12099	9.1581955	10.063408	27.43162	-4.406645	-9.37247	0.13246383	188.7593400478363
12	36.482162	31.000633	79.94216	9.754149	171.79303	48.957924	260.6284	99.6686	400.0	400.0	13199	9.838592	10.870165	29.834562	-4.305809	-10.05907	0.19111776	211.27806639671326
13	13.126673	4.196602	17.323275	8.930071	136.8191	37.362465	240.46214	101.320885	400.0	400.0	14299	10.370841	11.571682	31.476027	-4.423556	-10.601262	0.237949	237.7529375553131
14	12.982354	14.986228	33.22788	-2.5690005	171.56485	68.13593	305.1759	99.56624	400.0	400.0	15399	10.7820015	12.347115	33.543354	-4.2134414	-11.020201	0.21890081	259.490149974823
15	224.95465	1.1307366	226.52254	223.89842	177.69893	54.982056	277.23236	107.2031	400.0	400.0	16499	12.031266	13.414646	35.293877	-4.490921	-12.274151	0.23560883	286.5331335067749
16	189.4189	58.61587	269.71817	131.4437	196.7893	68.37625	296.42618	65.78782	400.0	400.0	17599	13.817636	14.524151	38.01764	-4.3837895	-14.058468	0.32125738	311.9054594039917
17	135.70778	20.799755	156.50754	114.90803	171.36575	40.225094	256.2659	106.69807	400.0	400.0	18699	15.307592	15.393006	39.058914	-4.550834	-15.55293	0.36622047	334.93540477752686
18	170.04515	54.483513	242.46817	111.05517	200.28734	47.398457	302.22488	127.77599	400.0	400.0	19799	16.876667	16.169512	40.81318	-4.6299644	-17.116938	0.37691906	354.9686691761017
