Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-50.134937	4.838875	-45.296062	-54.973812	-170.2605	4.91144	-161.04604	-178.56631	400.0	400.0	1099	0.28402865	0.19839934	0.8750169	-0.1029031	-0.2789434	0.02250285	5.037194013595581
2	5.1014442	19.022009	22.901363	-21.266409	35.781868	31.937204	98.12728	-17.623102	400.0	400.0	2199	0.33187872	0.67488	2.4262938	-1.2272295	-0.35974318	0.0139952805	30.3108651638031
3	-34.253593	11.222603	-21.890364	-49.053974	48.362556	22.239721	90.504776	8.902581	400.0	400.0	3299	0.40687767	1.3040377	5.1200576	-1.7916231	-0.5866372	0.008392728	56.33464074134827
4	-28.289179	5.3184223	-20.987944	-33.50421	2.8179944	30.496649	71.80832	-40.953857	400.0	400.0	4399	0.93616647	1.9175662	7.7943044	-2.1627436	-1.133657	0.014419266	80.85788464546204
5	-24.575155	13.402539	-11.172616	-37.977695	37.814	25.744205	85.458466	-16.767788	400.0	400.0	5499	1.5953102	2.5316324	10.331519	-2.211919	-1.8069515	0.025484044	103.26933884620667
6	-38.723293	12.629933	-23.335255	-54.270912	33.795918	49.50004	94.66665	-68.11175	400.0	400.0	6599	2.186733	3.0299752	12.866902	-2.215449	-2.4066384	0.03495156	126.8037178516388
7	12.258298	46.273243	60.597614	-50.11218	10.23625	54.821396	138.87709	-58.892036	400.0	400.0	7699	3.0219789	3.8261893	15.411629	-2.0439322	-3.2444808	0.051126957	151.6996021270752
8	-16.559664	5.8428392	-9.96675	-24.169851	33.283314	49.17671	126.01038	-47.269848	400.0	400.0	8799	3.9081213	4.6510024	17.851027	-1.8727355	-4.136771	0.06699659	177.04039931297302
9	-14.883496	8.973029	-5.910467	-23.856525	38.7507	40.95415	120.42853	-38.408367	400.0	400.0	9899	4.5965767	5.2155337	20.062798	-1.6977535	-4.8203073	0.085889354	201.09116101264954
10	32.107906	43.322327	73.32142	-27.75851	53.792744	42.87263	131.82024	-18.162306	400.0	400.0	10999	5.4671893	5.9498024	22.154154	-1.9957628	-5.6944275	0.099481896	226.37752747535706
11	-27.094542	27.503355	5.5998907	-61.688877	73.03551	40.97203	181.25955	20.711575	400.0	400.0	12099	6.3218675	6.543194	24.145786	-2.253007	-6.5642195	0.12606128	247.1902265548706
12	-50.544994	12.063301	-35.767063	-65.315994	52.07955	45.84741	177.9115	-4.273596	400.0	400.0	13199	6.703398	6.97537	26.052462	-2.568802	-6.960817	0.12603675	273.0186972618103
13	-22.04188	26.272184	4.2303033	-48.314064	75.59008	63.81473	245.14655	-24.51113	400.0	400.0	14299	7.0851097	7.4919934	27.843056	-2.6979613	-7.349763	0.13674618	298.5985834598541
14	-27.610916	33.959908	18.742569	-61.67015	32.417576	55.186985	170.57114	-39.24656	400.0	400.0	15399	7.43805	7.9340205	29.537317	-2.9332988	-7.7067327	0.14249946	324.4876923561096
15	0.10933813	32.847153	43.39305	-36.13709	12.450098	47.09106	78.225395	-86.20314	400.0	400.0	16499	8.140536	8.38512	31.121355	-3.079561	-8.404278	0.15647091	348.0960307121277
16	22.429491	94.69164	151.56375	-72.84623	34.17102	49.61603	166.72783	-54.224472	400.0	400.0	17599	8.670775	8.764724	32.745525	-3.1934009	-8.934064	0.17231889	373.9865891933441
17	58.653664	63.600403	122.25407	-4.946741	65.340775	74.15626	239.51038	-78.93688	400.0	400.0	18699	9.690997	9.51956	34.221565	-3.2402227	-9.949155	0.20983467	400.5919415950775
18	45.415348	51.90697	115.57915	-8.355614	37.92561	56.888252	191.95271	-50.784878	400.0	400.0	19799	10.219177	9.886337	35.72314	-3.291003	-10.476253	0.23496626	425.23647809028625
19	93.97692	96.80681	191.71814	-37.913734	29.98145	81.89548	177.66637	-83.41315	400.0	400.0	20899	11.33298	10.713545	37.08625	-3.3784423	-11.588969	0.2769505	450.5227761268616
20	79.591515	43.247704	111.7474	18.457552	82.42658	62.75033	196.71806	-81.15973	400.0	400.0	21999	12.059762	11.431445	38.245	-3.4099333	-12.31277	0.3037305	476.59578919410706
21	157.95425	11.306099	169.26036	146.64816	31.799433	75.80234	178.95084	-122.08151	400.0	400.0	23099	13.169339	12.222737	39.387615	-3.3292367	-13.428896	0.3250759	503.22252345085144
22	25.817163	10.359556	38.55738	13.182411	80.74621	67.62211	163.27794	-49.7028	400.0	400.0	24199	13.934923	12.864619	40.697575	-6.759499	-14.201808	0.34387583	529.5583293437958
23	31.447847	45.695904	77.24846	-30.935379	98.53929	67.66866	189.24217	-42.097256	400.0	400.0	25299	14.427938	13.261431	41.92948	-7.1374183	-14.699772	0.38266686	553.6871325969696
24	61.987408	70.39891	117.49178	-37.343113	89.90673	67.05457	221.11266	-39.302185	400.0	400.0	26399	15.028493	13.655651	43.09682	-6.886428	-15.304879	0.3805443	576.7758274078369
25	76.9391	43.83855	120.77766	33.10055	93.67475	71.17137	214.39195	-65.09987	400.0	400.0	27499	15.976651	14.078293	44.37959	-5.968826	-16.257092	0.41767806	600.5579636096954
26	92.332756	26.788643	125.940956	60.38555	98.40834	73.72886	207.74515	-11.084833	400.0	400.0	28599	17.04922	14.674364	45.369766	-7.4811687	-17.33379	0.44114524	627.1968014240265
27	20.2355	16.768461	43.942814	7.8875012	118.51967	67.21329	233.94498	-20.09233	400.0	400.0	29699	17.827076	15.099864	46.236755	-7.7945824	-18.113817	0.5114924	654.8471431732178
28	149.8374	50.32422	215.38313	93.05186	104.947495	83.3872	213.52315	-13.936381	400.0	400.0	30799	18.695477	15.61941	47.136063	-8.872125	-18.973253	0.5298906	679.3779323101044
29	86.636215	15.692471	102.32869	70.94375	25.420506	59.665726	136.30565	-117.47022	400.0	400.0	31899	19.764277	16.03744	47.953354	-8.937719	-20.035574	0.5608493	706.5200724601746
30	65.92185	55.58081	134.53079	-1.6008397	104.77523	65.67399	204.56305	12.309491	400.0	400.0	32999	20.486975	16.274525	48.60548	-8.074475	-20.761545	0.5493707	733.0166311264038
31	24.938555	47.919807	90.85043	-21.66217	95.13101	80.924225	222.12224	-64.77522	400.0	400.0	34099	20.941593	16.402985	49.247677	-9.480225	-21.215176	0.53557163	760.0237853527069
32	73.52973	92.62366	193.33215	-32.243553	52.309917	76.483154	177.03152	-58.53159	400.0	400.0	35199	21.489836	16.57136	50.097103	-8.32598	-21.7581	0.5473059	786.993597984314
33	-54.78121	33.424255	-21.356958	-88.20547	89.24581	84.53406	200.14082	-95.93997	400.0	400.0	36299	21.932154	16.75502	50.65057	-8.128295	-22.204773	0.5451919	813.6830327510834
34	168.83385	70.98502	225.47246	68.73458	91.82915	79.331116	228.59612	-70.29761	400.0	400.0	37399	22.579039	16.9676	51.273468	-7.4333205	-22.859133	0.54529893	839.2315554618835
