Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-21.870773	24.654139	2.7833652	-46.52491	-169.52147	5.7100925	-159.37561	-177.19203	400.0	400.0	1099	0.014240191	0.19956891	0.46218002	-0.39484075	-0.02167171	0.017266994	4.822171449661255
2	-30.859312	37.798676	21.241508	-67.265305	-166.36014	8.368068	-152.79347	-178.0479	400.0	400.0	2199	-0.1306477	0.4943945	0.9771673	-1.5879059	0.12531622	0.013859527	21.755331993103027
3	-34.717304	14.562916	-16.086111	-51.634003	83.97725	57.327953	205.32008	7.1666265	400.0	400.0	3299	-0.26672053	0.87231827	2.1567886	-2.3537774	0.1610485	0.008586801	44.57343506813049
4	-5.452147	12.637144	12.129967	-17.017744	71.98812	58.67796	158.18954	-41.392883	400.0	400.0	4399	0.26423186	1.2595552	4.3356376	-2.2244332	-0.46809077	0.009928142	64.13239049911499
5	-6.684342	3.7783742	-2.9059677	-10.462716	5.8099732	48.21359	78.28534	-68.85112	400.0	400.0	5499	1.1072873	1.8515618	6.9059644	-2.1658547	-1.3264064	0.017260144	82.578608751297
6	-32.1878	22.884459	-0.9133376	-55.034653	53.169586	36.0029	107.4025	-8.188797	400.0	400.0	6599	1.8711101	2.4113092	9.587826	-2.202839	-2.096812	0.030492852	100.27877473831177
7	-19.670996	23.474094	8.465894	-48.996777	77.03111	39.280262	143.6633	-24.959047	400.0	400.0	7699	2.7166452	2.9886353	12.106874	-2.401204	-2.9466856	0.042128738	117.80935287475586
8	-11.10296	18.776527	15.393101	-25.869602	76.15057	48.351505	171.57178	-13.24581	400.0	400.0	8799	3.4525568	3.5942616	14.640521	-2.5108583	-3.689275	0.058834173	134.4367697238922
9	-32.453125	19.44653	-13.006595	-51.899654	93.984245	43.32609	177.10211	21.826014	400.0	400.0	9899	4.28267	4.149901	16.995958	-2.7171392	-4.5232725	0.070329174	153.24455070495605
10	-9.280303	22.700323	18.4144	-37.18858	92.02988	43.498272	192.29933	22.00622	400.0	400.0	10999	5.0119085	4.6727896	19.23179	-2.8592653	-5.2551093	0.088939644	170.5044186115265
11	-46.926678	15.909691	-25.568558	-63.73358	106.5555	40.7261	199.40694	54.702625	400.0	400.0	12099	5.593309	5.053521	21.468319	-2.9452682	-5.8390656	0.09936394	186.24666786193848
12	-26.550837	21.137222	3.0660956	-44.86661	113.37264	46.42609	207.49442	42.724716	400.0	400.0	13199	6.041475	5.5077333	23.422262	-3.1326623	-6.2898765	0.11507497	205.17042064666748
13	-17.459784	3.9551244	-13.504659	-21.414907	80.87014	49.81978	152.87985	-6.131359	400.0	400.0	14299	6.6252575	6.029224	25.430996	-3.1789365	-6.8766637	0.12651011	223.22782683372498
14	-32.134743	14.150308	-21.981249	-52.14557	107.109276	50.575302	221.02284	12.755825	400.0	400.0	15399	7.021745	6.4188867	27.243729	-3.139361	-7.2749424	0.14235902	240.8783757686615
15	118.99713	82.23617	183.43222	2.9328804	94.00342	59.33058	188.42648	-57.11893	400.0	400.0	16499	7.746142	7.093384	29.77963	-3.0487242	-7.985714	0.17520602	258.9223711490631
16	162.53569	23.51321	193.65457	136.82646	134.88182	53.70799	214.23366	34.263184	400.0	400.0	17599	9.0502	8.076261	31.384209	-2.8953922	-9.278845	0.21572134	277.73899698257446
17	101.440796	3.9962082	105.437004	97.44459	104.229904	67.64762	253.07756	-49.25815	400.0	400.0	18699	10.235002	8.718748	32.93293	-2.7313983	-10.459695	0.25491694	293.17280435562134
18	168.0716	5.599077	175.29965	161.65741	117.50535	48.956703	208.50755	37.585514	400.0	400.0	19799	11.429303	9.308436	34.500687	-2.65948	-11.646761	0.29338712	311.91900753974915
19	115.03827	51.113525	158.61511	43.303047	137.86172	52.572433	223.70001	25.138506	400.0	400.0	20899	12.638351	9.947216	35.795815	-2.628295	-12.850143	0.33152205	327.7459247112274
20	73.50352	42.798134	122.43851	18.188894	88.86229	95.97042	240.80699	-117.27929	400.0	400.0	21999	13.328709	10.281807	36.968586	-2.5787632	-13.533926	0.38114312	346.03886365890503
21	126.058395	8.579639	134.63803	117.47875	125.9171	88.28707	231.68745	-112.70544	400.0	400.0	23099	14.098351	10.643656	38.157646	-2.553581	-14.304051	0.42162082	362.1044044494629
22	139.94403	57.72966	220.89317	90.27718	95.01889	84.017555	227.42169	-89.02061	400.0	400.0	24199	15.118356	11.159517	39.134438	-2.5595899	-15.326509	0.47617948	377.6757662296295
23	108.5447	53.591675	164.98677	36.519306	94.88233	92.10129	228.96048	-119.88504	400.0	400.0	25299	15.962238	11.522741	40.087357	-2.5710297	-16.166122	0.5013877	393.4976534843445
24	164.42351	58.407875	206.35388	81.82552	103.614456	89.722755	222.34679	-77.01032	400.0	400.0	26399	16.711855	11.847743	40.952682	-2.4337394	-16.905859	0.5153982	409.1634566783905
25	55.76471	20.873255	76.63796	34.891453	85.57744	89.03566	203.01425	-113.85274	400.0	400.0	27499	17.61167	12.163947	41.78788	-2.2351801	-17.79825	0.5260455	422.54431891441345
26	122.643036	72.25084	176.71971	20.524338	104.463036	101.670456	236.07654	-140.88387	400.0	400.0	28599	18.236824	12.371178	42.65174	-2.0987313	-18.41456	0.56226563	437.036737203598
27	184.30916	5.967222	192.68976	179.2611	67.3351	95.61028	203.77133	-120.512886	400.0	400.0	29699	19.1687	12.778888	43.461044	-1.9922701	-19.342888	0.56161094	451.505779504776
28	119.76551	127.874176	249.49417	-54.211433	82.16506	113.518105	237.97894	-118.31411	400.0	400.0	30799	19.957157	13.180102	44.197933	-2.0178952	-20.131618	0.59467524	464.54458928108215
29	38.70169	44.25861	82.9603	-5.5569177	83.639114	82.83142	191.17914	-115.582825	400.0	400.0	31899	20.692945	13.531884	44.928383	-1.8773055	-20.866331	0.62942004	477.583208322525
30	59.82922	85.17106	179.89743	-8.504484	110.64546	92.76342	272.1546	-83.71099	400.0	400.0	32999	21.25775	13.816631	45.51605	-1.8975961	-21.433262	0.65267545	491.6487910747528
31	122.5552	66.06594	202.27765	40.500244	109.30068	90.066246	228.91553	-50.435905	400.0	400.0	34099	21.778372	14.039768	46.160095	-1.7027723	-21.962072	0.6994639	504.34229707717896
32	113.54297	104.729225	206.6486	-32.763634	75.75219	104.841225	217.19757	-97.51614	400.0	400.0	35199	22.488865	14.292478	46.79954	-2.187712	-22.676527	0.75743973	517.0798530578613
33	83.9305	76.2289	160.1594	7.701603	16.99982	105.2193	269.68872	-91.07346	400.0	400.0	36299	23.053474	14.58248	47.523678	-2.9122508	-23.239204	0.7502484	530.6012725830078
34	63.602062	74.37119	168.26363	2.2667835	41.0036	102.25259	211.33708	-99.6879	400.0	400.0	37399	23.526768	14.830537	48.18255	-3.6220644	-23.716518	0.788405	542.9460916519165
35	113.35372	43.30178	154.15663	53.405987	109.06688	100.394455	251.69374	-108.19079	400.0	400.0	38499	24.09192	15.132604	48.707973	-3.2098963	-24.277884	0.8240068	558.952062368393
36	149.96758	62.944332	202.06606	61.40997	99.910515	99.60746	260.79556	-111.2128	400.0	400.0	39599	24.723557	15.425402	49.097248	-2.6603134	-24.910355	0.8981007	573.051794052124
37	161.09735	67.666565	228.76392	93.43079	106.50584	83.38554	226.86203	-53.44306	400.0	400.0	40699	25.50747	15.756307	49.577797	-2.95486	-25.697254	0.89332765	587.1616790294647
38	49.319965	97.69367	161.84143	-76.36894	66.79088	82.43639	195.21457	-86.71242	400.0	400.0	41799	26.127354	16.095354	49.94209	-3.881756	-26.3332	0.96420366	601.3187124729156
39	123.43879	14.118933	135.24243	103.58986	52.180622	102.38157	195.9212	-128.34315	400.0	400.0	42899	26.66609	16.345129	50.42061	-7.8860826	-26.868412	0.997597	615.7308928966522
40	25.031683	81.073425	129.58052	-68.004295	83.67632	113.66765	263.2711	-106.48317	400.0	400.0	43999	27.224138	16.587526	50.97773	-10.162024	-27.425817	0.98184395	630.2356109619141
41	65.168236	116.0505	181.21873	-50.882267	80.273636	98.76171	220.45058	-55.807762	400.0	400.0	45099	27.300219	17.002289	51.42493	-12.25576	-27.49559	1.0546254	645.8778431415558
42	155.29085	46.32269	190.33609	89.83536	96.391525	86.339455	224.15987	-34.269806	400.0	400.0	46199	27.959475	17.364277	51.81215	-13.032545	-28.155865	1.0444225	662.4512131214142
43	138.39404	57.935173	192.30818	58.00781	107.652756	64.37705	227.33308	-37.762856	400.0	400.0	47299	28.557983	17.513044	52.232616	-13.394167	-28.754665	1.0486488	679.0488896369934
44	90.17855	79.34001	155.52861	-21.485615	108.886475	77.4313	242.94025	-65.582695	400.0	400.0	48399	28.96098	17.69426	52.776234	-13.955157	-29.16473	1.1134301	696.7587292194366
45	45.474117	149.78664	195.26076	-104.31252	97.028595	73.6037	223.50809	-85.459885	400.0	400.0	49499	29.341627	17.902058	53.365017	-14.68004	-29.544643	1.151454	714.7226693630219
46	143.10683	3.7629766	147.01622	138.02524	97.10998	84.95658	193.65555	-66.881935	400.0	400.0	50599	29.714502	18.00053	53.85532	-16.212725	-29.916218	1.1835841	731.57071185112
47	119.05778	28.796043	159.78096	98.510345	108.88429	80.72943	252.23112	-56.601364	400.0	400.0	51699	30.317774	17.937424	54.355247	-17.077894	-30.521048	1.1457018	751.3834128379822
48	89.80856	59.90348	145.1282	6.583975	125.386475	39.687748	200.61998	21.89165	400.0	400.0	52799	30.665142	17.82916	54.543777	-17.815084	-30.871292	1.139062	769.1479058265686
49	25.210382	14.26937	39.47975	10.941012	81.94722	60.863792	159.92352	-77.663635	400.0	400.0	53899	30.88478	17.76268	54.97643	-17.677916	-31.08669	1.1174927	788.5868482589722
50	82.422585	22.107803	108.22086	54.227398	62.501137	66.47986	158.24565	-77.616875	400.0	400.0	54999	31.115255	17.699488	55.42859	-17.201183	-31.317614	1.1136339	803.9848253726959
51	117.4989	0.84863	118.66459	116.6688	68.02741	63.48112	158.02644	-49.559753	400.0	400.0	56099	31.569134	17.65008	55.93049	-16.769966	-31.764637	1.1318568	820.4823486804962
52	-2.4098256	74.79653	100.91083	-73.702095	64.77514	75.26531	167.72963	-72.45113	400.0	400.0	57199	31.691069	17.613852	56.431313	-16.697989	-31.876122	1.1325302	838.673178434372
53	89.54834	14.288036	103.83637	75.2603	126.46507	78.02393	246.81097	-12.776745	400.0	400.0	58299	31.81225	17.532595	56.212986	-16.670084	-32.0025	1.1011801	856.7791810035706
54	101.8613	60.97085	167.03664	20.382954	82.9948	98.20175	227.09856	-71.210815	400.0	400.0	59399	32.10808	17.461025	56.392548	-16.669092	-32.314377	1.2166562	873.8551881313324
55	126.16388	23.756151	144.58173	92.62146	73.72574	101.21497	221.66713	-98.08379	400.0	400.0	60499	32.43716	17.396967	56.553776	-16.468473	-32.64009	1.1009732	890.9407784938812
56	3.4008198	38.50953	48.71931	-45.414715	72.55513	66.02397	179.4	-58.317146	400.0	400.0	61599	32.66821	17.3556	56.701653	-16.287966	-32.87199	1.165414	907.7396516799927
57	104.74475	47.80362	152.54837	56.941128	84.189255	73.20027	207.30983	-55.710262	400.0	400.0	62699	32.730263	17.359287	56.69762	-16.530176	-32.927364	1.1221857	922.1707746982574
58	32.21583	46.409714	93.75488	-18.314804	76.55986	82.82872	228.40169	-31.231857	400.0	400.0	63799	32.8805	17.257536	56.811638	-17.111605	-33.077847	1.1816957	937.9661469459534
59	75.861885	60.112053	159.44315	20.624413	119.54673	72.8529	261.90167	-25.198904	400.0	400.0	64899	33.01016	17.24638	56.86933	-18.32238	-33.206337	1.0957131	949.906177520752
60	118.696495	72.4165	220.05757	55.340305	128.82996	88.33107	262.37384	-33.58845	400.0	400.0	65999	33.160908	17.11226	56.91276	-18.690502	-33.35748	1.1907578	961.3670780658722
61	73.40348	86.773674	160.17715	-13.370197	114.21303	74.37121	231.76811	-31.797596	400.0	400.0	67099	33.33639	17.051222	56.951363	-18.17351	-33.535427	1.1490967	974.5455470085144
62	145.73347	23.448015	174.18953	116.760826	105.40187	81.50794	223.77408	-34.7693	400.0	400.0	68199	33.644886	16.973074	56.96178	-17.205912	-33.846775	1.1477914	989.5115234851837
63	79.573105	75.6644	185.45464	13.235411	138.60724	72.98216	263.45886	7.7347317	400.0	400.0	69299	33.76629	16.92327	56.984688	-17.051497	-33.967773	1.15665	1002.6551330089569
64	110.25705	67.95762	205.19165	49.83119	122.271095	73.22305	227.52213	-29.82257	400.0	400.0	70399	34.10402	16.851835	57.03704	-17.647179	-34.306286	1.1477743	1015.3751680850983
65	51.305077	115.119835	166.42491	-63.814762	111.1876	69.5666	238.43646	-40.26449	400.0	400.0	71499	34.2528	16.788298	57.076157	-18.007984	-34.455784	1.1756281	1029.5261549949646
66	92.66718	27.256062	129.6839	64.84961	118.74925	78.43713	221.21695	-31.847555	400.0	400.0	72599	34.468185	16.729322	57.097225	-18.338923	-34.667854	1.1829041	1048.489091873169
67	117.243126	42.28852	169.22272	65.639465	153.29672	62.42351	247.96124	10.509983	400.0	400.0	73699	34.785133	16.621243	57.089176	-18.77172	-34.98299	1.147077	1064.861183643341
68	100.24741	93.43992	216.49991	-12.289723	127.12889	70.63726	231.26492	-27.250309	400.0	400.0	74799	34.98351	16.59454	57.22185	-19.854961	-35.180023	1.1432451	1081.728110551834
69	48.153988	39.409733	87.56372	8.744254	158.53531	38.42983	230.73486	39.224213	400.0	400.0	75899	35.06128	16.568325	57.234875	-20.840425	-35.262413	1.1883765	1097.7949504852295
70	129.98466	20.690979	157.02003	106.772064	97.897385	86.3366	235.36179	-42.008564	400.0	400.0	76999	35.234756	16.524548	57.331806	-20.94156	-35.435894	1.2294194	1116.7332029342651
71	149.54665	4.3614697	153.60161	143.49405	124.59972	70.07396	229.63687	-21.736008	400.0	400.0	78099	35.49483	16.46799	57.47166	-20.979692	-35.69723	1.1758506	1143.158828496933
72	109.045876	92.30821	226.51337	0.9942849	112.045204	80.98347	225.713	-59.804028	400.0	400.0	79199	35.68842	16.395658	57.519745	-20.131676	-35.890038	1.1900465	1163.1067848205566
73	81.8716	30.91273	112.784325	50.958866	96.65427	83.45463	221.8615	-73.69522	400.0	400.0	80299	35.879074	16.299107	57.618866	-18.21914	-36.076317	1.1881196	1184.0570673942566
74	109.41229	41.507984	151.92548	53.100872	116.39978	56.24557	210.3116	-26.9102	400.0	400.0	81399	36.047405	16.171711	57.658394	-16.21309	-36.238503	1.1704383	1200.7640659809113
75	142.66652	40.4289	197.65144	101.600624	146.72366	52.995735	242.41055	19.642023	400.0	400.0	82499	36.211636	16.091734	57.54367	-15.011907	-36.401695	1.1977199	1217.156193971634
76	99.96603	82.49949	176.90845	-14.460083	119.42079	65.33527	224.70024	8.804191	400.0	400.0	83599	36.353912	16.003782	57.42827	-14.797365	-36.545147	1.1170248	1231.5029184818268
77	147.11871	21.238876	168.35759	125.87984	139.61827	59.241013	215.97675	-5.8057594	400.0	400.0	84699	36.58827	15.922521	57.435104	-14.416601	-36.779545	1.1076884	1247.012808561325
78	71.81051	83.14017	175.15234	-28.427671	106.936745	58.744698	216.79216	-11.939095	400.0	400.0	85799	36.685978	15.85129	57.476143	-13.357352	-36.878483	1.0875161	1259.671275138855
79	144.25203	32.357834	181.16023	102.36969	86.04858	80.53431	196.44011	-57.40049	400.0	400.0	86899	36.823048	15.834702	57.402714	-13.545105	-37.008278	1.1102952	1271.9624328613281
80	119.54528	13.558586	135.97867	102.77226	129.24068	67.24	204.39508	-65.69574	400.0	400.0	87999	37.026737	15.740221	57.45185	-13.415521	-37.215603	1.0898505	1283.179503440857
