Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-49.892166	9.273809	-40.61836	-59.165977	-168.99213	6.141977	-154.95615	-176.72519	400.0	400.0	1099	-0.03158562	0.21040913	0.47050226	-0.34018615	0.029361749	0.017923271	3.2333993911743164
2	-27.282022	12.644401	-13.941897	-44.2648	-25.028973	87.81181	92.48015	-130.14023	400.0	400.0	2199	-0.21294008	0.6368988	2.090415	-2.2858148	0.17780238	0.0127017405	17.76669454574585
3	-9.47975	18.06849	12.449911	-31.803404	63.161327	19.01754	99.99516	18.640429	400.0	400.0	3299	0.00842947	1.1959596	3.974451	-2.5742714	-0.16941904	0.013124562	30.95675802230835
4	-28.77814	22.372385	-1.1584594	-55.953995	-15.253116	75.03792	92.787544	-130.67519	400.0	400.0	4399	0.6778909	1.6097627	6.6380887	-2.6241508	-0.86619586	0.018290143	44.91928482055664
5	-0.5316639	55.569374	55.03771	-56.101036	64.83205	25.391222	129.96906	24.30694	400.0	400.0	5499	1.5355202	2.2838504	8.102602	-2.6456695	-1.7297596	0.026313169	59.56605315208435
6	-44.775967	16.504942	-22.091572	-60.88087	58.925762	25.084274	105.91479	15.253485	400.0	400.0	6599	2.092174	2.6491115	10.5053215	-2.4417188	-2.3040621	0.025867702	73.50710010528564
7	5.8709717	22.893671	37.610516	-15.533358	66.50057	31.606106	130.16438	-7.013986	400.0	400.0	7699	2.8030086	3.1361647	12.898933	-2.3505075	-3.0255854	0.034831043	86.3081443309784
8	-12.722707	39.360104	21.390703	-67.87183	51.053898	31.392105	106.39796	-1.6261861	400.0	400.0	8799	3.788806	3.7724059	15.334175	-2.2616727	-4.0183616	0.052872915	98.72714304924011
9	-40.46691	12.772431	-27.694479	-53.23934	33.652092	43.353443	117.562675	-47.158707	400.0	400.0	9899	4.457216	4.324444	17.46809	-2.3187845	-4.694176	0.068924144	111.91137862205505
10	-8.37839	31.285255	35.584	-34.676064	76.7901	32.87433	134.54695	17.05296	400.0	400.0	10999	5.0711904	4.898515	19.468536	-2.3205934	-5.309708	0.091307536	126.74254107475281
11	-19.317146	5.046804	-15.190326	-26.423607	61.02131	45.428654	186.90884	6.8387966	400.0	400.0	12099	5.8565702	5.3689394	21.352108	-2.1703112	-6.10183	0.11399864	139.41176581382751
12	-55.537704	4.5265837	-49.412254	-60.211044	79.61333	47.363667	179.58986	21.598566	400.0	400.0	13199	6.3799424	5.757016	23.380394	-2.181049	-6.6287603	0.122952215	150.78500652313232
13	-5.8662977	4.132412	-1.7338854	-9.99871	81.21224	54.606457	203.74348	-8.693681	400.0	400.0	14299	6.9717145	6.2469125	25.4327	-2.8255074	-7.2244425	0.14517899	162.27586603164673
14	-19.39137	26.666239	4.1568065	-56.675163	95.47181	92.6959	232.16458	-36.73599	400.0	400.0	15399	7.5216255	6.7113523	27.103891	-2.7465072	-7.778305	0.15783705	176.66817474365234
15	83.05312	16.311972	105.8502	68.59831	107.30678	78.47389	248.21799	-21.127384	400.0	400.0	16499	8.201028	7.3752403	28.710663	-2.6612034	-8.445006	0.17890936	191.7756791114807
16	89.51702	24.885397	109.10627	54.402035	99.88108	55.480804	171.12422	-28.622808	400.0	400.0	17599	8.896351	7.9092283	30.27008	-2.6171684	-9.129016	0.19175851	204.36864686012268
17	95.011765	26.76205	121.77382	68.24972	119.62959	53.025692	205.21573	30.107311	400.0	400.0	18699	9.607068	8.434615	31.528976	-3.1599033	-9.829945	0.22228943	217.2931661605835
18	126.03623	63.076645	200.76848	46.4882	135.74155	65.43121	231.99979	40.06659	400.0	400.0	19799	10.501854	9.102621	33.580887	-2.6547275	-10.715092	0.279899	229.30351090431213
19	165.60826	49.307404	235.30095	128.755	91.68275	75.31643	213.39195	-67.19761	400.0	400.0	20899	11.716576	9.967543	34.722027	-2.8647919	-11.922916	0.3287014	242.3745560646057
20	42.059036	40.40034	95.18164	-2.7169049	101.23833	79.4362	231.0484	-56.547924	400.0	400.0	21999	12.401253	10.459271	35.69123	-2.837702	-12.604591	0.3682352	254.33958983421326
